Date,RAMCOCEM
2014-01-01,188.05
2014-01-02,181.8
2014-01-03,184.2
2014-01-06,183.7
2014-01-07,182.3
2014-01-08,176.75
2014-01-09,177.15
2014-01-10,178.6
2014-01-13,174.6
2014-01-14,173.5
2014-01-15,172.05
2014-01-16,172.35
2014-01-17,172.6
2014-01-20,171.2
2014-01-21,172.35
2014-01-22,173.75
2014-01-23,169.55
2014-01-24,167.95
2014-01-27,169.5
2014-01-28,167.1
2014-01-29,163.5
2014-01-30,161.35
2014-01-31,161.95
2014-02-03,160.3
2014-02-04,160.05
2014-02-05,163.75
2014-02-06,160.7
2014-02-07,167.95
2014-02-10,170.5
2014-02-11,165.05
2014-02-12,164.0
2014-02-13,163.7
2014-02-14,168.4
2014-02-17,163.05
2014-02-18,165.15
2014-02-19,167.3
2014-02-20,166.1
2014-02-21,171.85
2014-02-24,172.1
2014-02-25,172.05
2014-02-26,177.9
2014-02-28,177.75
2014-03-03,175.35
2014-03-04,179.15
2014-03-05,178.4
2014-03-06,186.55
2014-03-07,187.2
2014-03-10,197.15
2014-03-11,198.5
2014-03-12,197.05
2014-03-13,197.6
2014-03-14,196.85
2014-03-18,197.5
2014-03-19,192.45
2014-03-20,189.3
2014-03-21,190.25
2014-03-22,195.15
2014-03-24,191.9
2014-03-25,195.75
2014-03-26,202.3
2014-03-27,200.15
2014-03-28,213.6
2014-03-31,215.3
2014-04-01,215.0
2014-04-02,218.9
2014-04-03,211.95
2014-04-04,205.95
2014-04-07,205.9
2014-04-09,213.85
2014-04-10,214.1
2014-04-11,216.1
2014-04-15,222.0
2014-04-16,226.85
2014-04-17,227.95
2014-04-21,222.95
2014-04-22,218.45
2014-04-23,217.95
2014-04-25,213.2
2014-04-28,207.05
2014-04-29,213.95
2014-04-30,216.6
2014-05-02,215.85
2014-05-05,210.35
2014-05-06,209.95
2014-05-07,216.1
2014-05-08,219.95
2014-05-09,219.9
2014-05-12,225.85
2014-05-13,239.1
2014-05-14,237.5
2014-05-15,234.4
2014-05-16,240.1
2014-05-19,270.25
2014-05-20,269.85
2014-05-21,274.2
2014-05-22,274.55
2014-05-23,280.85
2014-05-26,262.55
2014-05-27,260.75
2014-05-28,254.7
2014-05-29,264.7
2014-05-30,265.1
2014-06-02,266.3
2014-06-03,279.5
2014-06-04,294.15
2014-06-05,292.95
2014-06-06,294.45
2014-06-09,301.9
2014-06-10,304.25
2014-06-11,296.85
2014-06-12,308.1
2014-06-13,301.0
2014-06-16,291.85
2014-06-17,292.9
2014-06-18,279.7
2014-06-19,276.4
2014-06-20,269.4
2014-06-23,283.1
2014-06-24,286.0
2014-06-25,289.75
2014-06-26,289.7
2014-06-27,288.9
2014-06-30,290.45
2014-07-01,292.0
2014-07-02,296.5
2014-07-03,297.9
2014-07-04,304.35
2014-07-07,297.05
2014-07-08,291.7
2014-07-09,288.1
2014-07-10,289.0
2014-07-11,277.2
2014-07-14,278.0
2014-07-15,284.25
2014-07-16,279.85
2014-07-17,279.9
2014-07-18,277.0
2014-07-21,278.8
2014-07-22,285.05
2014-07-23,287.4
2014-07-24,282.9
2014-07-25,284.2
2014-07-28,280.05
2014-07-30,273.55
2014-07-31,284.35
2014-08-01,280.2
2014-08-04,275.75
2014-08-05,279.95
2014-08-06,276.45
2014-08-07,282.95
2014-08-08,275.15
2014-08-11,273.9
2014-08-12,294.8
2014-08-13,296.2
2014-08-14,298.6
2014-08-18,299.35
2014-08-19,306.85
2014-08-20,306.8
2014-08-21,312.05
2014-08-22,315.35
2014-08-25,319.8
2014-08-26,319.05
2014-08-27,328.2
2014-08-28,334.1
2014-09-01,328.95
2014-09-02,338.9
2014-09-03,341.35
2014-09-04,342.85
2014-09-05,340.4
2014-09-08,342.05
2014-09-09,345.35
2014-09-10,349.85
2014-09-11,342.2
2014-09-12,339.2
2014-09-15,331.8
2014-09-16,322.95
2014-09-17,317.1
2014-09-18,318.1
2014-09-19,316.95
2014-09-22,325.15
2014-09-23,325.4
2014-09-24,324.9
2014-09-25,323.75
2014-09-26,319.45
2014-09-29,322.4
2014-09-30,322.05
2014-10-01,314.05
2014-10-07,306.6
2014-10-08,305.5
2014-10-09,309.6
2014-10-10,310.0
2014-10-13,309.8
2014-10-14,308.25
2014-10-16,310.0
2014-10-17,304.0
2014-10-20,308.4
2014-10-21,312.25
2014-10-22,316.5
2014-10-23,318.9
2014-10-27,314.3
2014-10-28,332.8
2014-10-29,338.25
2014-10-30,337.05
2014-10-31,344.75
2014-11-03,339.65
2014-11-05,348.25
2014-11-07,354.05
2014-11-10,351.5
2014-11-11,349.6
2014-11-12,342.7
2014-11-13,339.1
2014-11-14,348.9
2014-11-17,353.95
2014-11-18,354.2
2014-11-19,352.25
2014-11-20,341.55
2014-11-21,344.0
2014-11-24,341.85
2014-11-25,341.35
2014-11-26,340.55
2014-11-27,339.95
2014-11-28,339.75
2014-12-01,340.3
2014-12-02,334.5
2014-12-03,328.2
2014-12-04,324.9
2014-12-05,331.35
2014-12-08,325.35
2014-12-09,328.75
2014-12-10,328.9
2014-12-11,324.45
2014-12-12,313.85
2014-12-15,308.85
2014-12-16,305.0
2014-12-17,304.2
2014-12-18,302.4
2014-12-19,315.35
2014-12-22,321.15
2014-12-23,315.6
2014-12-24,323.75
2014-12-26,331.7
2014-12-29,335.8
2014-12-30,333.1
2014-12-31,344.95
