Date,KKCL
2014-01-01,1151.05
2014-01-02,1151.55
2014-01-03,1161.9
2014-01-06,1198.15
2014-01-07,1200.0
2014-01-08,1204.6
2014-01-09,1168.35
2014-01-10,1182.1
2014-01-13,1179.55
2014-01-14,1164.85
2014-01-15,1180.0
2014-01-16,1197.5
2014-01-17,1154.4
2014-01-20,1118.45
2014-01-21,1153.8
2014-01-22,1150.7
2014-01-23,1166.15
2014-01-24,1143.35
2014-01-27,1117.45
2014-01-28,1088.9
2014-01-29,1071.35
2014-01-30,1034.05
2014-01-31,1061.05
2014-02-03,1079.9
2014-02-04,1072.55
2014-02-05,1077.05
2014-02-06,1058.45
2014-02-07,1047.55
2014-02-10,1065.55
2014-02-11,1060.2
2014-02-12,1032.25
2014-02-13,1030.3
2014-02-14,1018.95
2014-02-17,997.6
2014-02-18,988.25
2014-02-19,1003.5
2014-02-20,1001.95
2014-02-21,1024.0
2014-02-24,1015.0
2014-02-25,1013.35
2014-02-26,997.7
2014-02-28,1023.0
2014-03-03,1042.9
2014-03-04,1052.85
2014-03-05,1063.95
2014-03-06,1080.2
2014-03-07,1076.5
2014-03-10,1108.3
2014-03-11,1112.95
2014-03-12,1110.25
2014-03-13,1120.45
2014-03-14,1120.0
2014-03-18,1134.05
2014-03-19,1141.35
2014-03-20,1176.45
2014-03-21,1169.45
2014-03-22,1174.0
2014-03-24,1164.0
2014-03-25,1148.35
2014-03-26,1183.65
2014-03-27,1185.1
2014-03-28,1188.5
2014-03-31,1155.0
2014-04-01,1130.15
2014-04-02,1110.0
2014-04-03,1103.1
2014-04-04,1160.05
2014-04-07,1195.8
2014-04-09,1203.8
2014-04-10,1200.9
2014-04-11,1203.7
2014-04-15,1242.8
2014-04-16,1215.55
2014-04-17,1245.7
2014-04-21,1249.8
2014-04-22,1240.9
2014-04-23,1261.0
2014-04-25,1275.75
2014-04-28,1270.0
2014-04-29,1270.8
2014-04-30,1240.0
2014-05-02,1240.8
2014-05-05,1201.7
2014-05-06,1207.1
2014-05-07,1229.8
2014-05-08,1250.05
2014-05-09,1250.0
2014-05-12,1267.55
2014-05-13,1307.05
2014-05-14,1288.95
2014-05-15,1281.3
