Date,ASSAMCO
2014-01-01,6.25
2014-01-02,5.85
2014-01-03,5.9
2014-01-06,5.9
2014-01-07,5.7
2014-01-08,6.8
2014-01-09,6.35
2014-01-10,6.1
2014-01-13,6.2
2014-01-14,6.15
2014-01-15,6.05
2014-01-16,6.0
2014-01-17,5.65
2014-01-20,5.65
2014-01-21,5.8
2014-01-22,6.1
2014-01-23,6.0
2014-01-24,5.7
2014-01-27,5.3
2014-01-28,5.2
2014-01-29,5.1
2014-01-30,5.1
2014-01-31,5.15
2014-02-03,5.15
2014-02-04,5.2
2014-02-05,5.15
2014-02-06,5.35
2014-02-07,5.15
2014-02-10,5.15
2014-02-11,5.05
2014-02-12,4.95
2014-02-13,4.7
2014-02-14,4.7
2014-02-17,4.5
2014-02-18,4.4
2014-02-19,4.25
2014-02-20,4.0
2014-02-21,3.95
2014-02-24,4.7
2014-02-25,4.8
2014-02-26,4.65
2014-02-28,4.35
2014-03-03,4.4
2014-03-04,4.35
2014-03-05,4.35
2014-03-06,4.4
2014-03-07,4.45
2014-03-10,4.55
2014-03-11,4.4
2014-03-12,4.45
2014-03-13,4.45
2014-03-14,4.4
2014-03-18,4.35
2014-03-19,4.3
2014-03-20,4.3
2014-03-21,4.3
2014-03-22,4.3
2014-03-24,4.25
2014-03-25,4.4
2014-03-26,4.25
2014-03-27,4.35
2014-03-28,4.5
2014-03-31,4.65
2014-04-01,4.9
2014-04-02,4.95
2014-04-03,4.75
2014-04-04,5.15
2014-04-07,5.2
2014-04-09,5.4
2014-04-10,5.3
2014-04-11,5.3
2014-04-15,5.25
2014-04-16,5.1
2014-04-17,5.1
2014-04-21,5.4
2014-04-22,5.3
2014-04-23,5.3
2014-04-25,5.15
2014-04-28,5.1
2014-04-29,5.0
2014-04-30,4.9
2014-05-02,4.7
2014-05-05,4.9
2014-05-06,4.85
2014-05-07,4.8
2014-05-08,4.75
2014-05-09,5.05
2014-05-12,5.05
2014-05-13,5.1
2014-05-14,5.1
2014-05-15,5.05
2014-05-16,4.9
2014-05-19,5.3
2014-05-20,6.05
2014-05-21,6.15
2014-05-22,7.0
2014-05-23,7.5
2014-05-26,6.75
2014-05-27,6.35
2014-05-28,6.4
2014-05-29,6.25
2014-05-30,6.05
2014-06-02,6.35
2014-06-03,6.55
2014-06-04,6.65
2014-06-05,7.2
2014-06-06,7.85
2014-06-09,8.2
2014-06-10,8.05
2014-06-11,7.65
2014-06-12,7.3
2014-06-13,6.95
2014-06-16,6.65
2014-06-17,6.35
2014-06-18,6.05
2014-06-19,5.8
2014-06-20,5.9
2014-06-23,5.95
2014-06-24,6.2
2014-06-25,6.5
2014-06-26,6.45
2014-06-27,6.6
2014-06-30,6.7
2014-07-01,6.75
2014-07-02,7.05
2014-07-03,6.85
2014-07-04,6.55
2014-07-07,6.15
2014-07-08,5.7
2014-07-09,5.65
2014-07-10,5.9
2014-07-11,5.6
2014-07-14,5.6
2014-07-15,5.7
2014-07-16,6.05
2014-07-17,6.15
2014-07-18,5.95
2014-07-21,6.0
2014-07-22,5.8
2014-07-23,5.8
2014-07-24,5.7
2014-07-25,5.7
2014-07-28,5.55
2014-07-30,5.4
2014-07-31,5.4
2014-08-01,5.35
2014-08-04,5.75
2014-08-05,5.75
2014-08-06,5.7
2014-08-07,5.05
2014-08-08,5.0
2014-08-11,5.05
2014-08-12,4.95
2014-08-13,4.7
2014-08-14,4.85
2014-08-18,4.95
2014-08-19,4.75
2014-08-20,4.65
2014-08-21,4.65
2014-08-22,4.5
2014-08-25,4.25
2014-08-26,4.0
2014-08-27,4.2
2014-08-28,4.3
2014-09-01,4.95
2014-09-02,5.05
2014-09-03,4.8
2014-09-04,4.75
2014-09-05,4.85
2014-09-08,5.1
2014-09-09,5.05
2014-09-10,5.35
2014-09-11,5.5
2014-09-12,5.35
2014-09-15,5.35
2014-09-16,4.75
2014-09-17,4.85
2014-09-18,4.95
2014-09-19,5.0
2014-09-22,4.95
2014-09-23,4.8
2014-09-24,4.55
2014-09-25,4.45
2014-09-26,4.45
2014-09-29,4.45
2014-09-30,4.7
2014-10-01,4.55
2014-10-07,4.5
2014-10-08,4.5
2014-10-09,4.6
2014-10-10,4.5
2014-10-13,4.5
2014-10-14,4.4
2014-10-16,4.3
2014-10-17,4.3
2014-10-20,4.35
2014-10-21,4.35
2014-10-22,4.4
2014-10-23,4.55
2014-10-27,4.45
2014-10-28,4.45
2014-10-29,4.45
2014-10-30,4.45
2014-10-31,4.55
2014-11-03,4.75
2014-11-05,4.65
2014-11-07,4.6
2014-11-10,4.5
2014-11-11,4.5
2014-11-12,4.5
2014-11-13,4.35
2014-11-14,4.4
2014-11-17,4.75
2014-11-18,4.9
2014-11-19,4.8
2014-11-20,4.65
2014-11-21,4.65
2014-11-24,4.8
2014-11-25,4.55
2014-11-26,4.55
2014-11-27,4.55
2014-11-28,4.45
2014-12-01,4.45
2014-12-02,4.4
2014-12-03,4.55
2014-12-04,4.55
2014-12-05,4.5
2014-12-08,4.35
2014-12-09,4.3
2014-12-10,4.4
2014-12-11,4.4
2014-12-12,4.3
2014-12-15,4.25
2014-12-16,3.95
2014-12-17,3.95
2014-12-18,4.1
2014-12-19,4.1
2014-12-22,4.1
2014-12-23,4.0
2014-12-24,4.05
2014-12-26,4.05
2014-12-29,4.85
2014-12-30,5.65
2014-12-31,5.4
