Date,GENESYS
2014-01-01,81.45
2014-01-02,78.55
2014-01-03,79.8
2014-01-06,81.15
2014-01-07,80.05
2014-01-08,81.15
2014-01-09,81.85
2014-01-10,79.55
2014-01-13,79.15
2014-01-14,80.95
2014-01-15,80.05
2014-01-16,78.95
2014-01-17,76.6
2014-01-20,78.55
2014-01-21,78.05
2014-01-22,77.35
2014-01-23,75.05
2014-01-24,75.15
2014-01-27,71.6
2014-01-28,68.45
2014-01-29,66.15
2014-01-30,62.15
2014-01-31,63.1
2014-02-03,63.65
2014-02-04,57.75
2014-02-05,55.95
2014-02-06,55.25
2014-02-07,56.95
2014-02-10,60.05
2014-02-11,60.1
2014-02-12,61.4
2014-02-13,60.7
2014-02-14,65.15
2014-02-17,63.65
2014-02-18,63.55
2014-02-19,66.3
2014-02-20,65.2
2014-02-21,70.05
2014-02-24,84.0
2014-02-25,88.2
2014-02-26,87.6
2014-02-28,81.25
2014-03-03,79.7
2014-03-04,79.95
2014-03-05,83.7
2014-03-06,85.25
2014-03-07,82.05
2014-03-10,79.55
2014-03-11,79.9
2014-03-12,79.2
2014-03-13,78.05
2014-03-14,75.75
2014-03-18,77.0
2014-03-19,73.8
2014-03-20,74.55
2014-03-21,72.15
2014-03-22,75.0
2014-03-24,74.85
2014-03-25,72.7
2014-03-26,71.1
2014-03-27,70.95
2014-03-28,71.95
2014-03-31,71.1
2014-04-01,75.85
2014-04-02,78.95
2014-04-03,78.8
2014-04-04,78.8
2014-04-07,79.95
2014-04-09,82.15
2014-04-10,80.2
2014-04-11,76.1
2014-04-15,76.5
2014-04-16,75.55
2014-04-17,77.0
2014-04-21,76.2
2014-04-22,76.75
2014-04-23,81.0
2014-04-25,82.6
2014-04-28,80.6
2014-04-29,79.1
2014-04-30,77.15
2014-05-02,76.4
2014-05-05,77.7
2014-05-06,78.05
2014-05-07,75.05
2014-05-08,73.25
2014-05-09,71.6
2014-05-12,74.25
2014-05-13,72.4
2014-05-14,72.5
2014-05-15,70.4
2014-05-16,70.95
2014-05-19,73.6
2014-05-20,73.9
2014-05-21,70.85
2014-05-22,77.5
2014-05-23,77.0
2014-05-26,72.35
2014-05-27,73.95
2014-05-28,73.4
2014-05-29,70.7
2014-05-30,72.9
2014-06-02,71.25
2014-06-03,69.25
2014-06-04,70.3
2014-06-05,69.95
2014-06-06,68.85
2014-06-09,69.4
2014-06-10,65.9
2014-06-11,69.65
2014-06-12,70.0
2014-06-13,67.15
2014-06-16,66.55
2014-06-17,65.65
2014-06-18,62.35
2014-06-19,64.3
2014-06-20,63.9
2014-06-23,62.35
2014-06-24,64.35
2014-06-25,65.6
2014-06-26,64.0
2014-06-27,64.45
2014-06-30,63.95
2014-07-01,62.55
2014-07-02,63.15
2014-07-03,63.0
2014-07-04,64.0
2014-07-07,62.05
2014-07-08,61.05
2014-07-09,60.25
2014-07-10,58.1
2014-07-11,54.9
2014-07-14,51.0
2014-07-15,51.5
2014-07-16,52.95
2014-07-17,52.9
2014-07-18,63.45
2014-07-21,71.0
2014-07-22,66.75
2014-07-23,65.4
2014-07-24,61.5
2014-07-25,67.5
2014-07-28,72.15
2014-07-30,67.95
2014-07-31,65.85
2014-08-01,63.25
2014-08-04,63.9
2014-08-05,63.0
2014-08-06,60.6
2014-08-07,63.4
2014-08-08,61.35
2014-08-11,61.9
2014-08-12,60.95
2014-08-13,58.7
2014-08-14,57.65
2014-08-18,57.75
2014-08-19,59.25
2014-08-20,60.95
2014-08-21,62.7
2014-08-22,61.25
2014-08-25,60.1
2014-08-26,59.0
2014-08-27,57.95
2014-08-28,58.85
2014-09-01,60.0
2014-09-02,62.25
2014-09-03,61.5
2014-09-04,61.25
2014-09-05,59.75
2014-09-08,64.75
2014-09-09,63.2
2014-09-10,64.8
2014-09-11,63.2
2014-09-12,62.05
2014-09-15,60.8
2014-09-16,60.15
2014-09-17,61.95
2014-09-18,70.45
2014-09-19,68.8
2014-09-22,67.9
2014-09-23,63.8
2014-09-24,62.0
2014-09-25,59.2
2014-09-26,60.8
2014-09-29,60.1
2014-09-30,60.55
2014-10-01,64.5
2014-10-07,63.8
2014-10-08,65.0
2014-10-09,68.25
2014-10-10,68.5
2014-10-13,67.1
2014-10-14,66.35
2014-10-16,69.45
2014-10-17,67.65
2014-10-20,68.55
2014-10-21,66.6
2014-10-22,65.95
2014-10-23,66.8
2014-10-27,67.15
2014-10-28,70.05
2014-10-29,66.6
2014-10-30,66.95
2014-10-31,66.15
2014-11-03,66.45
2014-11-05,65.2
2014-11-07,64.7
2014-11-10,62.65
2014-11-11,63.9
2014-11-12,64.35
2014-11-13,66.6
2014-11-14,66.5
2014-11-17,62.75
2014-11-18,62.6
2014-11-19,61.85
2014-11-20,61.35
2014-11-21,63.7
2014-11-24,61.75
2014-11-25,60.25
2014-11-26,60.65
2014-11-27,59.55
2014-11-28,60.15
2014-12-01,58.6
2014-12-02,59.95
2014-12-03,62.85
2014-12-04,59.85
2014-12-05,59.7
2014-12-08,60.55
2014-12-09,58.6
2014-12-10,57.9
2014-12-11,60.0
2014-12-12,57.05
2014-12-15,59.15
2014-12-16,55.05
2014-12-17,55.25
2014-12-18,58.15
2014-12-19,55.85
2014-12-22,56.0
2014-12-23,56.5
2014-12-24,53.55
2014-12-26,53.4
2014-12-29,53.7
2014-12-30,54.05
2014-12-31,52.0
