Date,UNICHEMLAB
2014-01-01,197.6
2014-01-02,193.75
2014-01-03,195.8
2014-01-06,202.8
2014-01-07,211.25
2014-01-08,213.75
2014-01-09,222.35
2014-01-10,213.75
2014-01-13,213.75
2014-01-14,215.8
2014-01-15,222.25
2014-01-16,220.55
2014-01-17,216.2
2014-01-20,215.15
2014-01-21,216.25
2014-01-22,211.8
2014-01-23,209.85
2014-01-24,202.95
2014-01-27,203.6
2014-01-28,203.65
2014-01-29,207.85
2014-01-30,203.1
2014-01-31,206.25
2014-02-03,205.3
2014-02-04,201.65
2014-02-05,202.85
2014-02-06,200.0
2014-02-07,202.4
2014-02-10,204.3
2014-02-11,204.35
2014-02-12,204.65
2014-02-13,204.4
2014-02-14,204.35
2014-02-17,205.0
2014-02-18,204.35
2014-02-19,205.05
2014-02-20,205.95
2014-02-21,207.75
2014-02-24,210.65
2014-02-25,213.4
2014-02-26,217.95
2014-02-28,218.1
2014-03-03,219.65
2014-03-04,217.45
2014-03-05,217.4
2014-03-06,229.3
2014-03-07,222.4
2014-03-10,216.7
2014-03-11,213.5
2014-03-12,213.9
2014-03-13,211.7
2014-03-14,209.1
2014-03-18,217.05
2014-03-19,215.3
2014-03-20,221.25
2014-03-21,220.35
2014-03-22,221.9
2014-03-24,211.15
2014-03-25,213.1
2014-03-26,210.15
2014-03-27,225.35
2014-03-28,225.8
2014-03-31,229.35
2014-04-01,229.55
2014-04-02,225.95
2014-04-03,226.7
2014-04-04,220.45
2014-04-07,220.8
2014-04-09,220.0
2014-04-10,221.6
2014-04-11,225.2
2014-04-15,222.2
2014-04-16,219.4
2014-04-17,221.55
2014-04-21,222.85
2014-04-22,222.55
2014-04-23,221.8
2014-04-25,220.7
2014-04-28,217.95
2014-04-29,216.0
2014-04-30,215.6
2014-05-02,215.1
2014-05-05,221.05
2014-05-06,218.0
2014-05-07,223.6
2014-05-08,219.75
2014-05-09,220.9
2014-05-12,207.55
2014-05-13,210.3
2014-05-14,210.6
2014-05-15,205.05
2014-05-16,198.9
2014-05-19,192.85
2014-05-20,194.05
2014-05-21,192.85
2014-05-22,194.1
2014-05-23,194.75
2014-05-26,191.4
2014-05-27,189.3
2014-05-28,187.0
2014-05-29,189.35
2014-05-30,189.4
2014-06-02,197.95
2014-06-03,197.4
2014-06-04,194.65
2014-06-05,189.35
2014-06-06,197.05
2014-06-09,198.6
2014-06-10,201.65
2014-06-11,205.3
2014-06-12,201.75
2014-06-13,198.35
2014-06-16,200.6
2014-06-17,201.1
2014-06-18,202.55
2014-06-19,206.4
2014-06-20,206.4
2014-06-23,204.15
2014-06-24,206.4
2014-06-25,206.6
2014-06-26,215.55
2014-06-27,219.6
2014-06-30,226.8
2014-07-01,226.15
2014-07-02,228.65
2014-07-03,238.65
2014-07-04,227.15
2014-07-07,226.3
2014-07-08,220.6
2014-07-09,218.1
2014-07-10,202.5
2014-07-11,194.6
2014-07-14,187.2
2014-07-15,187.65
2014-07-16,199.6
2014-07-17,193.15
2014-07-18,191.0
2014-07-21,198.15
2014-07-22,195.75
2014-07-23,199.05
2014-07-24,206.1
2014-07-25,207.55
2014-07-28,207.05
2014-07-30,213.4
2014-07-31,210.4
2014-08-01,207.75
2014-08-04,208.25
2014-08-05,211.05
2014-08-06,215.85
2014-08-07,216.8
2014-08-08,214.2
2014-08-11,219.15
2014-08-12,216.35
2014-08-13,215.95
2014-08-14,211.3
2014-08-18,216.55
2014-08-19,212.45
2014-08-20,216.4
2014-08-21,216.5
2014-08-22,215.8
2014-08-25,213.4
2014-08-26,213.3
2014-08-27,222.8
2014-08-28,222.55
2014-09-01,223.0
2014-09-02,221.95
2014-09-03,223.55
2014-09-04,226.55
2014-09-05,228.1
2014-09-08,237.1
2014-09-09,233.45
2014-09-10,248.45
2014-09-11,242.05
2014-09-12,241.7
2014-09-15,240.2
2014-09-16,228.9
2014-09-17,222.15
2014-09-18,225.1
2014-09-19,229.5
2014-09-22,225.6
2014-09-23,217.4
2014-09-24,218.9
2014-09-25,216.45
2014-09-26,218.3
2014-09-29,216.55
2014-09-30,222.05
2014-10-01,220.65
2014-10-07,221.3
2014-10-08,217.3
2014-10-09,217.95
2014-10-10,216.05
2014-10-13,216.45
2014-10-14,224.9
2014-10-16,218.4
2014-10-17,221.15
2014-10-20,199.4
2014-10-21,197.65
2014-10-22,198.35
2014-10-23,204.8
2014-10-27,197.5
2014-10-28,196.45
2014-10-29,195.4
2014-10-30,196.4
2014-10-31,196.3
2014-11-03,209.3
2014-11-05,221.5
2014-11-07,218.5
2014-11-10,235.25
2014-11-11,230.0
2014-11-12,228.05
2014-11-13,220.35
2014-11-14,222.3
2014-11-17,221.8
2014-11-18,233.2
2014-11-19,231.05
2014-11-20,231.4
2014-11-21,232.75
2014-11-24,227.0
2014-11-25,225.3
2014-11-26,225.65
2014-11-27,224.7
2014-11-28,226.2
2014-12-01,227.3
2014-12-02,231.9
2014-12-03,235.3
2014-12-04,237.1
2014-12-05,241.0
2014-12-08,242.3
2014-12-09,241.65
2014-12-10,249.1
2014-12-11,249.1
2014-12-12,245.95
2014-12-15,260.05
2014-12-16,245.45
2014-12-17,237.3
2014-12-18,245.8
2014-12-19,246.55
2014-12-22,245.0
2014-12-23,241.55
2014-12-24,243.3
2014-12-26,242.15
2014-12-29,243.5
2014-12-30,242.15
2014-12-31,242.65
