Date,RSSOFTWARE
2014-01-01,197.8
2014-01-02,182.5
2014-01-03,187.95
2014-01-06,193.75
2014-01-07,193.4
2014-01-08,189.35
2014-01-09,187.3
2014-01-10,188.65
2014-01-13,190.45
2014-01-14,189.2
2014-01-15,191.75
2014-01-16,192.2
2014-01-17,181.55
2014-01-20,175.8
2014-01-21,180.95
2014-01-22,182.1
2014-01-23,180.35
2014-01-24,175.35
2014-01-27,168.25
2014-01-28,173.3
2014-01-29,175.75
2014-01-30,168.75
2014-01-31,171.2
2014-02-03,169.85
2014-02-04,168.5
2014-02-05,169.75
2014-02-06,172.15
2014-02-07,168.35
2014-02-10,170.25
2014-02-11,173.2
2014-02-12,182.05
2014-02-13,186.1
2014-02-14,188.95
2014-02-17,186.65
2014-02-18,186.5
2014-02-19,189.45
2014-02-20,186.15
2014-02-21,189.05
2014-02-24,186.85
2014-02-25,184.65
2014-02-26,181.6
2014-02-28,180.15
2014-03-03,178.7
2014-03-04,184.5
2014-03-05,217.0
2014-03-06,211.2
2014-03-07,196.4
2014-03-10,197.8
2014-03-11,196.65
2014-03-12,194.05
2014-03-13,187.9
2014-03-14,187.35
2014-03-18,190.0
2014-03-19,187.7
2014-03-20,186.7
2014-03-21,187.3
2014-03-22,185.85
2014-03-24,179.1
2014-03-25,171.3
2014-03-26,170.2
2014-03-27,176.2
2014-03-28,173.6
2014-03-31,172.8
2014-04-01,177.25
2014-04-02,180.3
2014-04-03,179.3
2014-04-04,183.6
2014-04-07,184.5
2014-04-09,183.25
2014-04-10,180.7
2014-04-11,183.3
2014-04-15,191.15
2014-04-16,191.55
2014-04-17,199.9
2014-04-21,202.95
2014-04-22,215.45
2014-04-23,226.1
2014-04-25,221.0
2014-04-28,217.6
2014-04-29,220.7
2014-04-30,218.5
2014-05-02,215.1
2014-05-05,207.1
2014-05-06,207.7
2014-05-07,205.4
2014-05-08,198.1
2014-05-09,197.55
2014-05-12,187.3
2014-05-13,190.7
2014-05-14,187.55
2014-05-15,184.0
2014-05-16,182.55
2014-05-19,178.7
2014-05-20,183.35
2014-05-21,199.45
2014-05-22,197.05
2014-05-23,195.75
2014-05-26,190.5
2014-05-27,203.4
2014-05-28,206.3
2014-05-29,197.7
2014-05-30,197.0
2014-06-02,195.75
2014-06-03,198.8
2014-06-04,200.05
2014-06-05,203.0
2014-06-06,206.7
2014-06-09,228.35
2014-06-10,235.7
2014-06-11,244.75
2014-06-12,239.4
2014-06-13,228.0
2014-06-16,228.6
2014-06-17,229.35
2014-06-18,226.2
2014-06-19,226.2
2014-06-20,230.55
2014-06-23,234.55
2014-06-24,236.15
2014-06-25,237.15
2014-06-26,242.2
2014-06-27,276.4
2014-06-30,293.0
2014-07-01,294.6
2014-07-02,286.45
2014-07-03,287.75
2014-07-04,288.15
2014-07-07,310.6
2014-07-08,297.35
2014-07-09,283.35
2014-07-10,327.45
2014-07-11,335.05
2014-07-14,337.05
2014-07-15,338.8
2014-07-16,387.75
2014-07-17,374.3
2014-07-18,383.7
2014-07-21,385.2
2014-07-22,372.5
2014-07-23,350.4
2014-07-24,385.4
2014-07-25,381.6
2014-07-28,409.45
2014-07-30,409.6
2014-07-31,401.05
2014-08-01,407.35
2014-08-04,394.9
2014-08-05,397.2
2014-08-06,392.45
2014-08-07,388.9
2014-08-08,376.55
2014-08-11,429.75
2014-08-12,448.95
2014-08-13,436.35
2014-08-14,469.75
2014-08-18,552.9
2014-08-19,526.8
2014-08-20,550.0
2014-08-21,566.5
2014-08-22,572.85
2014-08-25,531.0
2014-08-26,533.2
2014-08-27,530.05
2014-08-28,527.1
2014-09-01,530.95
2014-09-02,530.55
2014-09-03,523.65
2014-09-04,537.25
2014-09-05,605.3
2014-09-08,726.35
2014-09-09,721.35
2014-09-10,725.3
2014-09-11,749.9
2014-09-12,739.65
2014-09-15,728.1
2014-09-16,657.9
2014-09-17,641.4
2014-09-18,765.8
2014-09-19,789.7
2014-09-22,763.95
2014-09-23,765.15
2014-09-24,714.75
2014-09-25,681.6
2014-09-26,720.45
2014-09-29,727.15
2014-09-30,713.75
2014-10-01,717.9
2014-10-07,711.45
2014-10-08,697.7
2014-10-09,716.1
2014-10-10,698.3
2014-10-13,723.3
2014-10-14,720.05
2014-10-16,731.0
2014-10-17,646.7
2014-10-20,666.95
2014-10-21,677.0
2014-10-22,681.45
2014-10-23,669.5
2014-10-27,633.25
2014-10-28,679.5
2014-10-29,663.8
2014-10-30,630.9
2014-10-31,644.0
2014-11-03,656.8
2014-11-05,667.55
2014-11-07,641.05
2014-11-10,633.55
2014-11-11,633.1
2014-11-12,619.0
2014-11-13,618.8
2014-11-14,611.95
2014-11-17,617.1
2014-11-18,608.7
2014-11-19,609.95
2014-11-20,612.7
2014-11-21,627.1
2014-11-24,617.85
2014-11-25,604.65
2014-11-26,604.15
2014-11-27,592.25
2014-11-28,578.3
2014-12-01,536.25
2014-12-02,541.85
2014-12-03,547.9
2014-12-04,528.95
2014-12-05,525.45
2014-12-08,503.75
2014-12-09,506.8
2014-12-10,503.1
2014-12-11,489.75
2014-12-12,498.7
2014-12-15,510.35
2014-12-16,498.85
2014-12-17,477.4
2014-12-18,501.5
2014-12-19,493.2
2014-12-22,495.35
2014-12-23,508.3
2014-12-24,506.4
2014-12-26,501.5
2014-12-29,551.6
2014-12-30,554.7
2014-12-31,580.15
