Date,JAYNECOIND
2014-01-01,9.85
2014-01-02,9.95
2014-01-03,10.0
2014-01-06,9.85
2014-01-07,10.15
2014-01-08,10.1
2014-01-09,9.75
2014-01-10,9.2
2014-01-13,9.3
2014-01-14,9.1
2014-01-15,9.1
2014-01-16,9.1
2014-01-17,8.8
2014-01-20,8.75
2014-01-21,8.65
2014-01-22,8.6
2014-01-23,8.5
2014-01-24,8.25
2014-01-27,8.05
2014-01-28,8.05
2014-01-29,8.05
2014-01-30,7.7
2014-01-31,7.95
2014-02-03,7.65
2014-02-04,7.95
2014-02-05,8.0
2014-02-06,7.9
2014-02-07,7.8
2014-02-10,7.8
2014-02-11,8.3
2014-02-12,7.95
2014-02-13,7.4
2014-02-14,7.05
2014-02-17,7.0
2014-02-18,7.0
2014-02-19,7.05
2014-02-20,7.1
2014-02-21,7.2
2014-02-24,7.3
2014-02-25,7.4
2014-02-26,7.45
2014-02-28,7.3
2014-03-03,7.3
2014-03-04,7.35
2014-03-05,7.6
2014-03-06,7.7
2014-03-07,7.9
2014-03-10,7.75
2014-03-11,7.65
2014-03-12,7.75
2014-03-13,7.75
2014-03-14,7.85
2014-03-18,7.8
2014-03-19,7.9
2014-03-20,7.95
2014-03-21,8.15
2014-03-22,8.15
2014-03-24,8.35
2014-03-25,8.0
2014-03-26,8.15
2014-03-27,8.25
2014-03-28,8.25
2014-03-31,8.5
2014-04-01,9.05
2014-04-02,9.25
2014-04-03,9.05
2014-04-04,9.2
2014-04-07,9.35
2014-04-09,11.2
2014-04-10,10.9
2014-04-11,11.75
2014-04-15,11.35
2014-04-16,10.7
2014-04-17,11.0
2014-04-21,11.25
2014-04-22,11.65
2014-04-23,11.6
2014-04-25,11.15
2014-04-28,11.75
2014-04-29,11.7
2014-04-30,11.5
2014-05-02,11.8
2014-05-05,12.15
2014-05-06,12.0
2014-05-07,12.05
2014-05-08,11.7
2014-05-09,11.8
2014-05-12,11.4
2014-05-13,11.55
2014-05-14,11.35
2014-05-15,11.3
2014-05-16,11.0
2014-05-19,13.15
2014-05-20,14.0
2014-05-21,14.85
2014-05-22,17.05
2014-05-23,15.35
2014-05-26,13.9
2014-05-27,13.0
2014-05-28,13.65
2014-05-29,13.85
2014-05-30,13.95
2014-06-02,14.05
2014-06-03,14.5
2014-06-04,14.7
2014-06-05,15.15
2014-06-06,15.8
2014-06-09,16.55
2014-06-10,16.55
2014-06-11,15.9
2014-06-12,16.45
2014-06-13,15.65
2014-06-16,15.0
2014-06-17,15.55
2014-06-18,14.95
2014-06-19,14.8
2014-06-20,14.85
2014-06-23,14.75
2014-06-24,15.35
2014-06-25,16.05
2014-06-26,16.85
2014-06-27,17.65
2014-06-30,17.6
2014-07-01,17.2
2014-07-02,17.1
2014-07-03,16.55
2014-07-04,17.35
2014-07-07,19.3
2014-07-08,17.1
2014-07-09,16.55
2014-07-10,17.25
2014-07-11,16.1
2014-07-14,16.3
2014-07-15,16.6
2014-07-16,17.2
2014-07-17,17.55
2014-07-18,17.45
2014-07-21,18.95
2014-07-22,18.5
2014-07-23,18.75
2014-07-24,18.65
2014-07-25,18.45
2014-07-28,17.45
2014-07-30,17.05
2014-07-31,16.85
2014-08-01,16.4
2014-08-04,16.8
2014-08-05,16.9
2014-08-06,16.75
2014-08-07,16.1
2014-08-08,15.45
2014-08-11,15.7
2014-08-12,15.95
2014-08-13,15.2
2014-08-14,15.15
2014-08-18,15.55
2014-08-19,15.35
2014-08-20,15.5
2014-08-21,15.55
2014-08-22,15.4
2014-08-25,14.6
2014-08-26,14.15
2014-08-27,14.2
2014-08-28,14.0
2014-09-01,14.2
2014-09-02,14.2
2014-09-03,14.25
2014-09-04,13.7
2014-09-05,13.75
2014-09-08,14.25
2014-09-09,14.35
2014-09-10,14.1
2014-09-11,15.0
2014-09-12,16.55
2014-09-15,16.35
2014-09-16,14.4
2014-09-17,15.05
2014-09-18,16.2
2014-09-19,15.7
2014-09-22,15.95
2014-09-23,15.05
2014-09-24,13.85
2014-09-25,11.1
2014-09-26,12.05
2014-09-29,12.15
2014-09-30,11.65
2014-10-01,11.3
2014-10-07,10.85
2014-10-08,10.95
2014-10-09,11.1
2014-10-10,10.65
2014-10-13,10.8
2014-10-14,10.45
2014-10-16,10.15
2014-10-17,9.75
2014-10-20,9.95
2014-10-21,9.8
2014-10-22,9.95
2014-10-23,10.05
2014-10-27,10.05
2014-10-28,9.95
2014-10-29,9.95
2014-10-30,9.9
2014-10-31,10.0
2014-11-03,10.35
2014-11-05,11.35
2014-11-07,11.7
2014-11-10,11.4
2014-11-11,11.75
2014-11-12,12.55
2014-11-13,11.95
2014-11-14,14.0
2014-11-17,13.5
2014-11-18,13.45
2014-11-19,13.15
2014-11-20,12.55
2014-11-21,12.25
2014-11-24,12.75
2014-11-25,12.2
2014-11-26,12.2
2014-11-27,12.05
2014-11-28,12.6
2014-12-01,12.05
2014-12-02,12.05
2014-12-03,12.25
2014-12-04,12.05
2014-12-05,12.35
2014-12-08,12.1
2014-12-09,11.9
2014-12-10,11.9
2014-12-11,11.8
2014-12-12,11.35
2014-12-15,11.15
2014-12-16,10.85
2014-12-17,10.55
2014-12-18,11.1
2014-12-19,11.05
2014-12-22,11.1
2014-12-23,10.95
2014-12-24,10.85
2014-12-26,10.7
2014-12-29,11.1
2014-12-30,11.1
2014-12-31,11.1
