Date,QGOLDHALF
2014-01-01,1387.05
2014-01-02,1394.1
2014-01-03,1387.3
2014-01-06,1389.9
2014-01-07,1404.25
2014-01-08,1390.2
2014-01-09,1387.85
2014-01-10,1392.95
2014-01-13,1378.85
2014-01-14,1377.1
2014-01-15,1386.5
2014-01-16,1373.4
2014-01-17,1373.25
2014-01-20,1380.0
2014-01-21,1381.15
2014-01-22,1374.95
2014-01-23,1379.2
2014-01-24,1383.85
2014-01-27,1392.4
2014-01-28,1389.3
2014-01-29,1380.9
2014-01-30,1390.05
2014-01-31,1379.65
2014-02-03,1397.3
2014-02-04,1391.75
2014-02-05,1397.45
2014-02-06,1391.2
2014-02-07,1414.95
2014-02-10,1397.35
2014-02-11,1403.25
2014-02-12,1395.95
2014-02-13,1397.6
2014-02-14,1401.95
2014-02-17,1422.0
2014-02-18,1420.0
2014-02-19,1417.1
2014-02-20,1412.1
2014-02-21,1421.15
2014-02-24,1420.3
2014-02-25,1415.6
2014-02-26,1426.05
2014-02-28,1418.35
2014-03-03,1425.4
2014-03-04,1425.4
2014-03-05,1419.6
2014-03-06,1413.95
2014-03-07,1432.4
2014-03-10,1421.45
2014-03-11,1415.7
2014-03-12,1414.1
2014-03-13,1410.7
2014-03-14,1418.35
2014-03-18,1423.45
2014-03-19,1404.6
2014-03-20,1390.0
2014-03-21,1384.8
2014-03-22,1392.25
2014-03-24,1385.05
2014-03-25,1370.1
2014-03-26,1361.95
2014-03-27,1346.5
2014-03-28,1349.9
2014-03-31,1339.25
2014-04-01,1343.25
2014-04-02,1325.75
2014-04-03,1323.35
2014-04-04,1331.15
2014-04-07,1340.5
2014-04-09,1346.2
2014-04-10,1359.7
2014-04-11,1364.1
2014-04-15,1389.15
2014-04-16,1375.05
2014-04-17,1377.95
2014-04-21,1370.3
2014-04-22,1372.5
2014-04-23,1383.6
2014-04-25,1390.0
2014-04-28,1394.65
2014-04-29,1394.5
2014-04-30,1388.9
2014-05-02,1386.25
2014-05-05,1385.55
2014-05-06,1388.9
2014-05-07,1388.95
2014-05-08,1375.75
2014-05-09,1376.3
2014-05-12,1367.1
2014-05-13,1365.75
2014-05-14,1358.8
2014-05-15,1363.35
2014-05-16,1351.0
2014-05-19,1335.75
2014-05-20,1322.25
2014-05-21,1322.05
2014-05-22,1271.8
2014-05-23,1266.0
2014-05-26,1269.95
2014-05-27,1268.75
2014-05-28,1263.95
2014-05-29,1251.15
2014-05-30,1257.1
2014-06-02,1252.0
2014-06-03,1245.35
