Date,ATLASCYCLE
2014-01-01,264.25
2014-01-02,257.1
2014-01-03,255.75
2014-01-06,258.7
2014-01-07,255.3
2014-01-08,257.9
2014-01-09,255.1
2014-01-10,249.0
2014-01-13,246.6
2014-01-14,245.9
2014-01-15,251.1
2014-01-16,247.35
2014-01-17,241.9
2014-01-20,243.75
2014-01-21,243.45
2014-01-22,243.85
2014-01-23,243.1
2014-01-24,238.25
2014-01-27,223.6
2014-01-28,222.6
2014-01-29,226.7
2014-01-30,219.2
2014-01-31,219.5
2014-02-03,214.85
2014-02-04,212.35
2014-02-05,227.45
2014-02-06,222.35
2014-02-07,220.75
2014-02-10,220.1
2014-02-11,226.7
2014-02-12,223.4
2014-02-13,219.15
2014-02-14,220.3
2014-02-17,224.05
2014-02-18,221.6
2014-02-19,221.85
2014-02-20,218.55
2014-02-21,221.45
2014-02-24,220.85
2014-02-25,220.65
2014-02-26,227.4
2014-02-28,223.4
2014-03-03,222.5
2014-03-04,224.35
2014-03-05,227.25
2014-03-06,233.85
2014-03-07,233.15
2014-03-10,238.05
2014-03-11,237.95
2014-03-12,231.6
2014-03-13,228.65
2014-03-14,226.65
2014-03-18,230.25
2014-03-19,229.15
2014-03-20,226.9
2014-03-21,230.45
2014-03-22,232.6
2014-03-24,233.9
2014-03-25,236.65
2014-03-26,231.55
2014-03-27,232.75
2014-03-28,236.25
2014-03-31,235.55
2014-04-01,239.85
2014-04-02,243.0
2014-04-03,238.15
2014-04-04,241.95
2014-04-07,239.5
2014-04-09,242.6
2014-04-10,247.65
2014-04-11,248.25
2014-04-15,243.95
2014-04-16,239.35
2014-04-17,240.6
2014-04-21,246.8
2014-04-22,250.6
2014-04-23,247.4
2014-04-25,243.55
2014-04-28,245.4
2014-04-29,243.3
2014-04-30,235.0
2014-05-02,234.65
2014-05-05,233.7
2014-05-06,227.9
2014-05-07,226.5
2014-05-08,223.6
2014-05-09,224.85
2014-05-12,224.15
2014-05-13,228.9
2014-05-14,236.6
2014-05-15,231.8
2014-05-16,232.7
2014-05-19,244.6
2014-05-20,255.25
2014-05-21,251.65
2014-05-22,258.3
2014-05-23,267.45
2014-05-26,250.9
2014-05-27,249.2
2014-05-28,270.7
2014-05-29,262.2
2014-05-30,258.55
2014-06-02,262.95
2014-06-03,267.8
2014-06-04,268.9
2014-06-05,269.5
2014-06-06,273.55
2014-06-09,277.55
2014-06-10,281.75
2014-06-11,273.8
2014-06-12,271.3
2014-06-13,258.35
2014-06-16,256.8
2014-06-17,261.85
2014-06-18,253.05
2014-06-19,261.25
2014-06-20,264.8
2014-06-23,264.1
2014-06-24,267.45
2014-06-25,264.75
2014-06-26,261.65
2014-06-27,261.0
2014-06-30,263.05
2014-07-01,269.35
2014-07-02,274.15
2014-07-03,277.7
2014-07-04,274.8
2014-07-07,273.2
2014-07-08,257.35
2014-07-09,252.05
2014-07-10,260.25
2014-07-11,245.95
2014-07-14,241.8
2014-07-15,247.75
2014-07-16,256.8
2014-07-17,256.35
2014-07-18,255.4
2014-07-21,303.6
2014-07-22,304.45
2014-07-23,291.75
2014-07-24,287.35
2014-07-25,277.8
2014-07-28,292.15
2014-07-30,281.75
2014-07-31,281.25
2014-08-01,272.15
2014-08-04,273.45
2014-08-05,270.7
2014-08-06,271.95
2014-08-07,259.35
2014-08-08,245.6
2014-08-11,250.7
2014-08-12,252.1
2014-08-13,246.95
2014-08-14,249.2
2014-08-18,252.75
2014-08-19,252.8
2014-08-20,267.35
2014-08-21,294.55
2014-08-22,294.5
2014-08-25,284.55
2014-08-26,285.6
2014-08-27,287.85
2014-08-28,282.4
2014-09-01,285.05
2014-09-02,288.55
2014-09-03,288.3
2014-09-04,282.4
2014-09-05,281.5
2014-09-08,291.3
2014-09-09,288.3
2014-09-10,287.3
2014-09-11,291.0
2014-09-12,287.85
2014-09-15,309.25
2014-09-16,287.4
2014-09-17,283.85
2014-09-18,293.2
2014-09-19,290.15
2014-09-22,289.5
2014-09-23,282.5
2014-09-24,273.65
2014-09-25,263.85
2014-09-26,264.2
2014-09-29,267.6
2014-09-30,266.75
2014-10-01,265.3
2014-10-07,262.75
2014-10-08,261.25
2014-10-09,265.65
2014-10-10,259.05
2014-10-13,260.4
2014-10-14,260.35
2014-10-16,253.75
2014-10-17,253.8
2014-10-20,254.6
2014-10-21,252.45
2014-10-22,257.6
2014-10-23,259.15
2014-10-27,258.85
2014-10-28,273.95
2014-10-29,273.6
2014-10-30,268.05
2014-10-31,272.65
2014-11-03,273.05
2014-11-05,275.5
2014-11-07,270.7
2014-11-10,276.95
2014-11-11,276.0
2014-11-12,275.95
2014-11-13,270.6
2014-11-14,266.8
2014-11-17,269.05
2014-11-18,269.0
2014-11-19,277.55
2014-11-20,270.7
2014-11-21,272.1
2014-11-24,278.8
2014-11-25,266.95
2014-11-26,266.65
2014-11-27,268.45
2014-11-28,266.65
2014-12-01,262.7
2014-12-02,268.05
2014-12-03,271.1
2014-12-04,272.65
2014-12-05,268.85
2014-12-08,264.1
2014-12-09,260.35
2014-12-10,263.7
2014-12-11,270.9
2014-12-12,259.0
2014-12-15,260.0
2014-12-16,243.9
2014-12-17,227.3
2014-12-18,233.35
2014-12-19,235.7
2014-12-22,237.75
2014-12-23,233.95
2014-12-24,234.2
2014-12-26,234.0
2014-12-29,234.3
2014-12-30,233.8
2014-12-31,235.35
