Date,MIRZAINT
2014-01-01,30.2
2014-01-02,27.95
2014-01-03,28.1
2014-01-06,28.9
2014-01-07,32.15
2014-01-08,36.0
2014-01-09,34.8
2014-01-10,34.1
2014-01-13,35.5
2014-01-14,35.45
2014-01-15,34.9
2014-01-16,34.4
2014-01-17,32.5
2014-01-20,32.65
2014-01-21,33.85
2014-01-22,33.9
2014-01-23,34.0
2014-01-24,33.2
2014-01-27,30.95
2014-01-28,31.8
2014-01-29,28.65
2014-01-30,26.35
2014-01-31,27.65
2014-02-03,26.75
2014-02-04,27.5
2014-02-05,27.8
2014-02-06,27.9
2014-02-07,28.05
2014-02-10,28.1
2014-02-11,27.6
2014-02-12,27.1
2014-02-13,27.05
2014-02-14,26.0
2014-02-17,26.65
2014-02-18,26.3
2014-02-19,26.75
2014-02-20,26.9
2014-02-21,27.3
2014-02-24,27.05
2014-02-25,26.3
2014-02-26,26.9
2014-02-28,26.35
2014-03-03,26.05
2014-03-04,26.35
2014-03-05,26.25
2014-03-06,27.0
2014-03-07,27.2
2014-03-10,27.0
2014-03-11,28.85
2014-03-12,29.05
2014-03-13,28.15
2014-03-14,27.85
2014-03-18,27.65
2014-03-19,27.95
2014-03-20,27.55
2014-03-21,27.6
2014-03-22,27.55
2014-03-24,27.85
2014-03-25,27.55
2014-03-26,27.45
2014-03-27,27.4
2014-03-28,28.9
2014-03-31,28.05
2014-04-01,27.7
2014-04-02,29.0
2014-04-03,28.35
2014-04-04,28.7
2014-04-07,28.15
2014-04-09,29.1
2014-04-10,29.55
2014-04-11,29.15
2014-04-15,29.9
2014-04-16,30.05
2014-04-17,29.4
2014-04-21,32.15
2014-04-22,31.15
2014-04-23,30.45
2014-04-25,29.45
2014-04-28,28.9
2014-04-29,29.2
2014-04-30,28.25
2014-05-02,28.4
2014-05-05,28.1
2014-05-06,28.0
2014-05-07,27.6
2014-05-08,27.5
2014-05-09,27.65
2014-05-12,27.75
2014-05-13,27.95
2014-05-14,27.8
2014-05-15,27.5
2014-05-16,26.6
2014-05-19,28.35
2014-05-20,31.15
2014-05-21,33.15
2014-05-22,33.5
2014-05-23,33.4
2014-05-26,29.4
2014-05-27,28.85
2014-05-28,31.0
2014-05-29,29.0
2014-05-30,28.15
2014-06-02,29.0
2014-06-03,32.25
2014-06-04,31.5
2014-06-05,31.9
2014-06-06,32.05
2014-06-09,33.15
2014-06-10,32.15
2014-06-11,33.6
2014-06-12,33.4
2014-06-13,31.4
2014-06-16,32.2
2014-06-17,32.05
2014-06-18,31.35
2014-06-19,31.05
2014-06-20,31.1
2014-06-23,30.95
2014-06-24,31.15
2014-06-25,31.85
2014-06-26,33.7
2014-06-27,34.3
2014-06-30,34.8
2014-07-01,34.85
2014-07-02,34.2
2014-07-03,35.65
2014-07-04,37.45
2014-07-07,39.85
2014-07-08,35.35
2014-07-09,34.15
2014-07-10,34.55
2014-07-11,32.5
2014-07-14,32.45
2014-07-15,34.1
2014-07-16,34.9
2014-07-17,35.4
2014-07-18,34.5
2014-07-21,35.25
2014-07-22,34.45
2014-07-23,33.95
2014-07-24,34.35
2014-07-25,33.05
2014-07-28,31.8
2014-07-30,32.05
2014-07-31,31.8
2014-08-01,31.15
2014-08-04,31.1
2014-08-05,32.6
2014-08-06,32.6
2014-08-07,31.85
2014-08-08,31.2
2014-08-11,31.2
2014-08-12,31.75
2014-08-13,31.05
2014-08-14,32.7
2014-08-18,33.65
2014-08-19,33.95
2014-08-20,35.9
2014-08-21,36.0
2014-08-22,34.95
2014-08-25,35.35
2014-08-26,34.5
2014-08-27,37.8
2014-08-28,36.75
2014-09-01,37.15
2014-09-02,36.7
2014-09-03,36.45
2014-09-04,36.1
2014-09-05,37.6
2014-09-08,41.2
2014-09-09,39.75
2014-09-10,39.95
2014-09-11,39.6
2014-09-12,41.95
2014-09-15,44.25
2014-09-16,38.9
2014-09-17,41.4
2014-09-18,43.2
2014-09-19,42.2
2014-09-22,42.85
2014-09-23,40.15
2014-09-24,39.65
2014-09-25,38.2
2014-09-26,39.35
2014-09-29,38.75
2014-09-30,39.65
2014-10-01,40.45
2014-10-07,39.45
2014-10-08,39.4
2014-10-09,42.15
2014-10-10,42.35
2014-10-13,43.15
2014-10-14,42.4
2014-10-16,40.2
2014-10-17,40.0
2014-10-20,40.3
2014-10-21,40.5
2014-10-22,41.15
2014-10-23,41.3
2014-10-27,40.55
2014-10-28,41.8
2014-10-29,41.8
2014-10-30,43.1
2014-10-31,42.8
2014-11-03,45.1
2014-11-05,46.45
2014-11-07,46.35
2014-11-10,43.2
2014-11-11,42.15
2014-11-12,43.25
2014-11-13,42.6
2014-11-14,42.9
2014-11-17,42.0
2014-11-18,41.85
2014-11-19,41.95
2014-11-20,41.4
2014-11-21,41.25
2014-11-24,44.25
2014-11-25,42.2
2014-11-26,42.5
2014-11-27,42.25
2014-11-28,42.15
2014-12-01,42.5
2014-12-02,45.55
2014-12-03,45.15
2014-12-04,44.25
2014-12-05,44.6
2014-12-08,43.35
2014-12-09,42.8
2014-12-10,43.4
2014-12-11,44.65
2014-12-12,43.8
2014-12-15,43.05
2014-12-16,41.15
2014-12-17,40.2
2014-12-18,42.5
2014-12-19,43.2
2014-12-22,43.5
2014-12-23,42.85
2014-12-24,41.85
2014-12-26,42.9
2014-12-29,43.7
2014-12-30,43.1
2014-12-31,43.0
