Date,CYBERTECH
2014-01-01,21.65
2014-01-02,23.55
2014-01-03,23.9
2014-01-06,24.45
2014-01-07,24.85
2014-01-08,24.55
2014-01-09,23.9
2014-01-10,23.55
2014-01-13,23.2
2014-01-14,22.95
2014-01-15,22.4
2014-01-16,22.45
2014-01-17,20.65
2014-01-20,22.7
2014-01-21,24.95
2014-01-22,27.4
2014-01-23,29.25
2014-01-24,27.95
2014-01-27,26.6
2014-01-28,25.7
2014-01-29,26.95
2014-01-30,28.25
2014-01-31,29.65
2014-02-03,28.9
2014-02-04,27.6
2014-02-05,27.5
2014-02-06,27.5
2014-02-07,27.25
2014-02-10,28.6
2014-02-11,30.0
2014-02-12,29.55
2014-02-13,29.3
2014-02-14,28.35
2014-02-17,28.0
2014-02-18,27.85
2014-02-19,28.0
2014-02-20,27.65
2014-02-21,28.85
2014-02-24,29.25
2014-02-25,28.5
2014-02-26,28.55
2014-02-28,28.65
2014-03-03,28.5
2014-03-04,28.65
2014-03-05,28.65
2014-03-06,29.0
2014-03-07,28.5
2014-03-10,27.95
2014-03-11,27.85
2014-03-12,27.6
2014-03-13,27.3
2014-03-14,27.1
2014-03-18,27.0
2014-03-19,27.15
2014-03-20,26.65
2014-03-21,26.35
2014-03-22,26.15
2014-03-24,25.9
2014-03-25,25.25
2014-03-26,24.7
2014-03-27,24.2
2014-03-28,23.95
2014-03-31,23.7
2014-04-01,26.05
2014-04-02,26.85
2014-04-03,25.35
2014-04-04,25.05
2014-04-07,25.05
2014-04-09,25.7
2014-04-10,25.55
2014-04-11,26.0
2014-04-15,25.6
2014-04-16,26.05
2014-04-17,25.5
2014-04-21,25.55
2014-04-22,26.2
2014-04-23,25.85
2014-04-25,26.05
2014-04-28,26.3
2014-04-29,26.2
2014-04-30,25.9
2014-05-02,25.45
2014-05-05,25.75
2014-05-06,25.8
2014-05-07,25.9
2014-05-08,25.9
2014-05-09,25.8
2014-05-12,25.85
2014-05-13,26.1
2014-05-14,26.0
2014-05-15,26.05
2014-05-16,26.2
2014-05-19,26.6
2014-05-20,27.05
2014-05-21,32.45
2014-05-22,34.2
2014-05-23,33.15
2014-05-26,30.05
2014-05-27,31.1
2014-05-28,37.3
2014-05-29,34.35
2014-05-30,31.95
2014-06-02,30.75
2014-06-03,30.85
2014-06-04,32.1
2014-06-05,33.1
2014-06-06,31.95
2014-06-09,31.55
2014-06-10,31.55
2014-06-11,34.1
2014-06-12,34.85
2014-06-13,32.95
2014-06-16,32.9
2014-06-17,33.1
2014-06-18,33.0
2014-06-19,32.8
2014-06-20,32.3
2014-06-23,33.0
2014-06-24,33.05
2014-06-25,32.6
2014-06-26,32.1
2014-06-27,32.1
2014-06-30,32.9
2014-07-01,39.35
2014-07-02,37.35
2014-07-03,38.05
2014-07-04,37.15
2014-07-07,36.5
2014-07-08,35.6
2014-07-09,34.55
2014-07-10,35.2
2014-07-11,34.3
2014-07-14,34.3
2014-07-15,34.45
2014-07-16,36.4
2014-07-17,35.8
2014-07-18,38.7
2014-07-21,37.9
2014-07-22,36.9
2014-07-23,36.1
2014-07-24,36.8
2014-07-25,35.0
2014-07-28,34.7
2014-07-30,34.65
2014-07-31,34.7
2014-08-01,35.9
2014-08-04,36.1
2014-08-05,36.05
2014-08-06,36.2
2014-08-07,37.25
2014-08-08,36.0
2014-08-11,36.15
2014-08-12,36.2
2014-08-13,35.0
2014-08-14,34.75
2014-08-18,37.25
2014-08-19,36.7
2014-08-20,37.0
2014-08-21,38.6
2014-08-22,42.95
2014-08-25,43.3
2014-08-26,48.4
2014-08-27,47.0
2014-08-28,46.55
2014-09-01,44.3
2014-09-02,43.65
2014-09-03,44.2
2014-09-04,42.75
2014-09-05,46.45
2014-09-08,49.4
2014-09-09,51.0
2014-09-10,49.35
2014-09-11,49.1
2014-09-12,48.85
2014-09-15,47.85
2014-09-16,44.4
2014-09-17,44.1
2014-09-18,46.2
2014-09-19,45.7
2014-09-22,46.1
2014-09-23,44.05
2014-09-24,42.95
2014-09-25,39.05
2014-09-26,41.35
2014-09-29,44.3
2014-09-30,44.2
2014-10-01,42.85
2014-10-07,40.35
2014-10-08,43.05
2014-10-09,44.45
2014-10-10,42.35
2014-10-13,42.1
2014-10-14,42.35
2014-10-16,42.75
2014-10-17,41.65
2014-10-20,41.35
2014-10-21,40.6
2014-10-22,41.0
2014-10-23,41.05
2014-10-27,40.55
2014-10-28,41.45
2014-10-29,44.6
2014-10-30,44.4
2014-10-31,45.1
2014-11-03,45.5
2014-11-05,44.3
2014-11-07,52.75
2014-11-10,54.55
2014-11-11,59.85
2014-11-12,58.25
2014-11-13,69.9
2014-11-14,62.95
2014-11-17,59.5
2014-11-18,62.0
2014-11-19,59.1
2014-11-20,58.5
2014-11-21,54.8
2014-11-24,50.7
2014-11-25,49.3
2014-11-26,49.8
2014-11-27,51.25
2014-11-28,49.3
2014-12-01,47.35
2014-12-02,45.2
2014-12-03,47.45
2014-12-04,49.65
2014-12-05,48.25
2014-12-08,45.9
2014-12-09,44.5
2014-12-10,44.7
2014-12-11,46.9
2014-12-12,46.9
2014-12-15,44.9
2014-12-16,42.7
2014-12-17,41.35
2014-12-18,41.95
2014-12-19,41.05
2014-12-22,41.05
2014-12-23,40.2
2014-12-24,40.25
2014-12-26,42.2
2014-12-29,43.2
2014-12-30,41.8
2014-12-31,43.0
