Date,MANDHANA
2014-01-01,232.3
2014-01-02,232.0
2014-01-03,231.95
2014-01-06,232.75
2014-01-07,233.3
2014-01-08,232.6
2014-01-09,232.05
2014-01-10,232.0
2014-01-13,232.0
2014-01-14,231.95
2014-01-15,231.95
2014-01-16,231.95
2014-01-17,232.0
2014-01-20,231.95
2014-01-21,232.25
2014-01-22,232.25
2014-01-23,232.25
2014-01-24,232.0
2014-01-27,232.05
2014-01-28,232.1
2014-01-29,232.45
2014-01-30,232.05
2014-01-31,232.05
2014-02-03,231.95
2014-02-04,231.95
2014-02-05,231.95
2014-02-06,231.8
2014-02-07,232.4
2014-02-10,232.0
2014-02-11,231.95
2014-02-12,232.25
2014-02-13,231.95
2014-02-14,231.6
2014-02-17,231.85
2014-02-18,231.55
2014-02-19,231.9
2014-02-20,231.9
2014-02-21,232.25
2014-02-24,232.3
2014-02-25,231.75
2014-02-26,231.7
2014-02-28,231.7
2014-03-03,231.75
2014-03-04,232.75
2014-03-05,232.0
2014-03-06,231.45
2014-03-07,231.45
2014-03-10,231.2
2014-03-11,232.2
2014-03-12,231.1
2014-03-13,230.7
2014-03-14,231.5
2014-03-18,232.5
2014-03-19,233.0
2014-03-20,233.05
2014-03-21,231.1
2014-03-22,231.3
2014-03-24,231.15
2014-03-25,231.5
2014-03-26,230.05
2014-03-27,231.25
2014-03-28,230.15
2014-03-31,230.1
2014-04-01,230.1
2014-04-02,230.1
2014-04-03,230.1
2014-04-04,230.05
2014-04-07,230.1
2014-04-09,230.15
2014-04-10,231.35
2014-04-11,230.15
2014-04-15,230.1
2014-04-16,230.1
2014-04-17,231.35
2014-04-21,230.1
2014-04-22,230.8
2014-04-23,230.1
2014-04-25,230.3
2014-04-28,230.15
2014-04-29,230.2
2014-04-30,230.35
2014-05-02,230.2
2014-05-05,230.75
2014-05-06,230.2
2014-05-07,230.85
2014-05-08,230.65
2014-05-09,230.15
2014-05-12,233.6
2014-05-13,230.35
2014-05-14,230.1
2014-05-15,230.05
2014-05-16,230.55
2014-05-19,230.05
2014-05-20,230.6
2014-05-21,231.15
2014-05-22,236.0
2014-05-23,244.5
2014-05-26,237.7
2014-05-27,237.3
2014-05-28,236.0
2014-05-29,236.0
2014-05-30,235.0
2014-06-02,236.55
2014-06-03,235.0
2014-06-04,240.7
2014-06-05,242.45
2014-06-06,239.05
2014-06-09,247.7
2014-06-10,241.8
2014-06-11,250.55
2014-06-12,243.2
2014-06-13,237.05
2014-06-16,234.55
2014-06-17,236.35
2014-06-18,234.55
2014-06-19,234.25
2014-06-20,234.05
2014-06-23,234.0
2014-06-24,235.6
2014-06-25,246.95
2014-06-26,236.5
2014-06-27,240.75
2014-06-30,243.1
2014-07-01,244.65
2014-07-02,246.8
2014-07-03,245.45
2014-07-04,245.2
2014-07-07,246.35
2014-07-08,239.1
2014-07-09,238.6
2014-07-10,239.0
2014-07-11,235.45
2014-07-14,236.95
2014-07-15,236.25
2014-07-16,235.45
2014-07-17,236.6
2014-07-18,239.45
2014-07-21,238.45
2014-07-22,236.2
2014-07-23,235.1
2014-07-24,238.7
2014-07-25,234.0
2014-07-28,236.45
2014-07-30,234.1
2014-07-31,236.95
2014-08-01,234.0
2014-08-04,234.3
2014-08-05,236.0
2014-08-06,240.0
2014-08-07,241.55
2014-08-08,240.05
2014-08-11,234.55
2014-08-12,232.2
2014-08-13,234.35
2014-08-14,232.25
2014-08-18,235.9
2014-08-19,235.05
2014-08-20,233.05
2014-08-21,233.3
2014-08-22,235.85
2014-08-25,234.05
2014-08-26,235.4
2014-08-27,232.95
2014-08-28,233.6
2014-09-01,233.4
2014-09-02,234.3
2014-09-03,234.0
2014-09-04,234.5
2014-09-05,233.9
2014-09-08,233.15
2014-09-09,234.65
2014-09-10,233.8
2014-09-11,232.7
2014-09-12,234.95
2014-09-15,235.0
2014-09-16,232.0
2014-09-17,234.3
2014-09-18,232.35
2014-09-19,244.6
2014-09-22,240.4
2014-09-23,240.0
2014-09-24,240.9
2014-09-25,240.8
2014-09-26,240.0
2014-09-29,240.25
2014-09-30,240.9
2014-10-01,240.9
2014-10-07,252.65
2014-10-08,250.0
2014-10-09,250.45
2014-10-10,250.0
2014-10-13,259.75
2014-10-14,251.75
2014-10-16,248.05
2014-10-17,249.55
2014-10-20,253.4
2014-10-21,248.55
2014-10-22,249.95
2014-10-23,252.1
2014-10-27,254.05
2014-10-28,248.95
2014-10-29,250.85
2014-10-30,249.25
2014-10-31,248.5
2014-11-03,248.0
2014-11-05,248.0
2014-11-07,254.25
2014-11-10,249.8
2014-11-11,252.0
2014-11-12,263.35
2014-11-13,296.6
2014-11-14,305.7
2014-11-17,306.2
2014-11-18,300.25
2014-11-19,299.35
2014-11-20,294.2
2014-11-21,299.45
2014-11-24,298.0
2014-11-25,288.0
2014-11-26,287.2
2014-11-27,295.85
2014-11-28,298.25
2014-12-01,290.55
2014-12-02,291.0
2014-12-03,295.7
2014-12-04,290.9
2014-12-05,288.55
2014-12-08,287.95
2014-12-09,285.85
2014-12-10,289.3
2014-12-11,286.75
2014-12-12,284.5
2014-12-15,282.85
2014-12-16,279.55
2014-12-17,277.1
2014-12-18,281.95
2014-12-19,286.7
2014-12-22,286.85
2014-12-23,280.55
2014-12-24,279.7
2014-12-26,279.65
2014-12-29,278.9
2014-12-30,278.3
2014-12-31,288.65
