Date,OCL
2014-01-01,170.15
2014-01-02,175.05
2014-01-03,175.5
2014-01-06,177.35
2014-01-07,177.5
2014-01-08,186.35
2014-01-09,188.15
2014-01-10,187.75
2014-01-13,188.0
2014-01-14,188.0
2014-01-15,188.95
2014-01-16,188.55
2014-01-17,192.95
2014-01-20,187.15
2014-01-21,188.15
2014-01-22,167.5
2014-01-23,164.95
2014-01-24,163.15
2014-01-27,157.6
2014-01-28,155.95
2014-01-29,158.6
2014-01-30,154.1
2014-01-31,156.9
2014-02-03,149.7
2014-02-04,149.95
2014-02-05,150.95
2014-02-06,153.65
2014-02-07,154.95
2014-02-10,153.1
2014-02-11,155.7
2014-02-12,156.25
2014-02-13,154.95
2014-02-14,153.5
2014-02-17,153.0
2014-02-18,153.1
2014-02-19,156.5
2014-02-20,158.15
2014-02-21,161.55
2014-02-24,158.85
2014-02-25,153.2
2014-02-26,153.1
2014-02-28,153.05
2014-03-03,163.6
2014-03-04,160.4
2014-03-05,162.7
2014-03-06,166.55
2014-03-07,166.7
2014-03-10,165.85
2014-03-11,187.85
2014-03-12,177.3
2014-03-13,183.0
2014-03-14,177.3
2014-03-18,178.35
2014-03-19,178.95
2014-03-20,176.4
2014-03-21,176.05
2014-03-22,176.05
2014-03-24,192.4
2014-03-25,180.05
2014-03-26,185.5
2014-03-27,184.55
2014-03-28,184.15
2014-03-31,183.8
2014-04-01,183.85
2014-04-02,183.7
2014-04-03,178.45
2014-04-04,177.4
2014-04-07,183.5
2014-04-09,185.75
2014-04-10,188.6
2014-04-11,186.1
2014-04-15,185.0
2014-04-16,178.65
2014-04-17,183.1
2014-04-21,178.2
2014-04-22,181.9
2014-04-23,184.75
2014-04-25,184.2
2014-04-28,180.05
2014-04-29,177.55
2014-04-30,174.0
2014-05-02,168.45
2014-05-05,166.85
2014-05-06,167.45
2014-05-07,169.0
2014-05-08,165.9
2014-05-09,168.2
2014-05-12,170.85
2014-05-13,181.6
2014-05-14,187.65
2014-05-15,176.8
2014-05-16,182.0
2014-05-19,200.55
2014-05-20,199.85
2014-05-21,203.25
2014-05-22,205.45
2014-05-23,208.7
2014-05-26,201.1
2014-05-27,205.4
2014-05-28,213.9
2014-05-29,226.8
2014-05-30,226.7
2014-06-02,226.45
2014-06-03,233.6
2014-06-04,248.15
2014-06-05,268.15
2014-06-06,273.75
2014-06-09,271.8
2014-06-10,265.05
2014-06-11,271.4
2014-06-12,259.55
2014-06-13,257.05
2014-06-16,250.6
2014-06-17,268.0
2014-06-18,263.15
2014-06-19,259.9
2014-06-20,253.0
2014-06-23,248.6
2014-06-24,269.65
2014-06-25,260.9
2014-06-26,257.85
2014-06-27,259.05
2014-06-30,292.5
2014-07-01,307.95
2014-07-02,304.3
2014-07-03,299.4
2014-07-04,305.6
2014-07-07,313.95
2014-07-08,306.25
2014-07-09,292.4
2014-07-10,295.4
2014-07-11,276.35
2014-07-14,274.75
2014-07-15,275.6
2014-07-16,284.8
2014-07-17,301.6
2014-07-18,299.2
2014-07-21,300.2
2014-07-22,297.6
2014-07-23,297.35
2014-07-24,294.9
2014-07-25,290.35
2014-07-28,282.6
2014-07-30,283.1
2014-07-31,286.6
2014-08-01,296.8
2014-08-04,297.8
2014-08-05,300.15
2014-08-06,298.05
2014-08-07,296.4
2014-08-08,287.95
2014-08-11,295.4
2014-08-12,304.75
2014-08-13,305.75
2014-08-14,309.45
2014-08-18,312.65
2014-08-19,314.25
2014-08-20,308.8
2014-08-21,309.95
2014-08-22,313.5
2014-08-25,310.1
2014-08-26,307.45
2014-08-27,308.85
2014-08-28,303.35
2014-09-01,300.5
2014-09-02,303.7
2014-09-03,317.55
2014-09-04,313.7
2014-09-05,310.45
2014-09-08,311.15
2014-09-09,308.0
2014-09-10,318.75
2014-09-11,332.55
2014-09-12,329.6
2014-09-15,332.35
2014-09-16,312.6
2014-09-17,315.85
2014-09-18,321.35
2014-09-19,327.35
2014-09-22,329.55
2014-09-23,317.1
2014-09-24,319.75
2014-09-25,310.45
2014-09-26,311.3
2014-09-29,310.75
2014-09-30,312.85
2014-10-01,313.25
2014-10-07,324.35
2014-10-08,322.05
2014-10-09,323.55
2014-10-10,321.05
2014-10-13,318.0
2014-10-14,316.5
2014-10-16,309.55
2014-10-17,310.85
2014-10-20,314.5
2014-10-21,308.95
2014-10-22,314.45
2014-10-23,314.45
2014-10-27,310.05
2014-10-28,312.65
2014-10-29,310.4
2014-10-30,308.1
2014-10-31,310.25
2014-11-03,313.6
2014-11-05,315.3
2014-11-07,314.2
2014-11-10,315.95
2014-11-11,310.15
2014-11-12,306.1
2014-11-13,304.75
2014-11-14,302.45
2014-11-17,304.55
2014-11-18,310.1
2014-11-19,307.75
2014-11-20,310.1
2014-11-21,314.0
2014-11-24,314.85
2014-11-25,315.6
2014-11-26,314.1
2014-11-27,309.35
2014-11-28,325.1
2014-12-01,327.55
2014-12-02,325.45
2014-12-03,329.15
2014-12-04,334.25
2014-12-05,329.25
2014-12-08,393.55
2014-12-09,395.6
2014-12-10,474.7
2014-12-11,467.6
2014-12-12,431.45
2014-12-15,421.5
2014-12-16,399.7
2014-12-17,391.35
2014-12-18,415.3
2014-12-19,416.9
2014-12-22,435.9
2014-12-23,446.45
2014-12-24,449.55
2014-12-26,452.75
2014-12-29,443.75
2014-12-30,445.7
2014-12-31,442.5
