Date,GSPL
2014-01-01,60.1
2014-01-02,59.25
2014-01-03,58.5
2014-01-06,58.45
2014-01-07,57.6
2014-01-08,57.9
2014-01-09,57.6
2014-01-10,58.25
2014-01-13,59.9
2014-01-14,59.2
2014-01-15,59.75
2014-01-16,58.45
2014-01-17,57.6
2014-01-20,57.95
2014-01-21,57.7
2014-01-22,57.7
2014-01-23,58.35
2014-01-24,57.7
2014-01-27,56.1
2014-01-28,56.1
2014-01-29,56.05
2014-01-30,55.6
2014-01-31,55.55
2014-02-03,57.85
2014-02-04,57.3
2014-02-05,58.2
2014-02-06,57.6
2014-02-07,57.4
2014-02-10,57.2
2014-02-11,57.1
2014-02-12,55.85
2014-02-13,55.75
2014-02-14,55.4
2014-02-17,55.4
2014-02-18,55.7
2014-02-19,55.5
2014-02-20,54.8
2014-02-21,57.45
2014-02-24,59.95
2014-02-25,57.9
2014-02-26,58.35
2014-02-28,57.95
2014-03-03,58.15
2014-03-04,57.9
2014-03-05,58.3
2014-03-06,59.55
2014-03-07,59.05
2014-03-10,60.1
2014-03-11,61.15
2014-03-12,59.35
2014-03-13,60.5
2014-03-14,61.85
2014-03-18,62.5
2014-03-19,64.55
2014-03-20,66.05
2014-03-21,65.9
2014-03-22,65.15
2014-03-24,66.35
2014-03-25,67.2
2014-03-26,66.45
2014-03-27,65.95
2014-03-28,65.45
2014-03-31,69.3
2014-04-01,67.75
2014-04-02,67.45
2014-04-03,66.95
2014-04-04,66.15
2014-04-07,68.15
2014-04-09,70.5
2014-04-10,69.5
2014-04-11,70.45
2014-04-15,69.2
2014-04-16,72.1
2014-04-17,71.7
2014-04-21,71.7
2014-04-22,71.4
2014-04-23,70.9
2014-04-25,73.4
2014-04-28,73.0
2014-04-29,73.8
2014-04-30,72.8
2014-05-02,73.0
2014-05-05,72.75
2014-05-06,71.05
2014-05-07,70.55
2014-05-08,70.9
2014-05-09,73.3
2014-05-12,72.9
2014-05-13,75.25
2014-05-14,74.3
2014-05-15,72.95
2014-05-16,76.2
2014-05-19,82.65
2014-05-20,80.5
2014-05-21,79.7
2014-05-22,81.0
2014-05-23,79.6
2014-05-26,76.9
2014-05-27,73.2
2014-05-28,74.7
2014-05-29,73.4
2014-05-30,72.85
2014-06-02,75.75
2014-06-03,76.3
2014-06-04,76.35
2014-06-05,78.85
2014-06-06,83.7
2014-06-09,82.35
2014-06-10,82.9
2014-06-11,82.5
2014-06-12,81.95
2014-06-13,79.7
2014-06-16,78.1
2014-06-17,79.0
2014-06-18,78.35
2014-06-19,77.45
2014-06-20,76.15
2014-06-23,76.55
2014-06-24,82.05
2014-06-25,83.5
2014-06-26,87.1
2014-06-27,89.05
2014-06-30,90.35
2014-07-01,97.35
2014-07-02,94.5
2014-07-03,92.6
2014-07-04,94.8
2014-07-07,93.55
2014-07-08,86.0
2014-07-09,84.1
2014-07-10,88.3
2014-07-11,84.95
2014-07-14,87.15
2014-07-15,90.9
2014-07-16,89.65
2014-07-17,92.25
2014-07-18,89.5
2014-07-21,89.5
2014-07-22,88.9
2014-07-23,89.7
2014-07-24,89.45
2014-07-25,88.1
2014-07-28,87.7
2014-07-30,89.3
2014-07-31,88.95
2014-08-01,86.8
2014-08-04,86.95
2014-08-05,86.35
2014-08-06,86.5
2014-08-07,85.65
2014-08-08,85.8
2014-08-11,85.85
2014-08-12,85.4
2014-08-13,84.5
2014-08-14,84.25
2014-08-18,86.25
2014-08-19,92.35
2014-08-20,90.05
2014-08-21,90.15
2014-08-22,88.3
2014-08-25,87.5
2014-08-26,85.35
2014-08-27,85.0
2014-08-28,85.5
2014-09-01,84.1
2014-09-02,84.8
2014-09-03,84.9
2014-09-04,83.65
2014-09-05,86.5
2014-09-08,86.6
2014-09-09,84.6
2014-09-10,91.1
2014-09-11,92.65
2014-09-12,94.05
2014-09-15,94.0
2014-09-16,95.0
2014-09-17,97.65
2014-09-18,97.55
2014-09-19,96.55
2014-09-22,95.75
2014-09-23,94.3
2014-09-24,93.25
2014-09-25,92.5
2014-09-26,93.35
2014-09-29,93.95
2014-09-30,93.65
2014-10-01,92.6
2014-10-07,88.3
2014-10-08,87.9
2014-10-09,89.1
2014-10-10,87.85
2014-10-13,89.0
2014-10-14,88.5
2014-10-16,88.95
2014-10-17,86.5
2014-10-20,90.25
2014-10-21,95.4
2014-10-22,98.1
2014-10-23,97.25
2014-10-27,94.6
2014-10-28,100.4
2014-10-29,97.35
2014-10-30,96.15
2014-10-31,96.95
2014-11-03,97.0
2014-11-05,99.95
2014-11-07,97.5
2014-11-10,100.1
2014-11-11,99.5
2014-11-12,99.1
2014-11-13,97.4
2014-11-14,103.8
2014-11-17,104.05
2014-11-18,101.1
2014-11-19,100.75
2014-11-20,103.6
2014-11-21,104.15
2014-11-24,105.2
2014-11-25,105.45
2014-11-26,107.9
2014-11-27,110.95
2014-11-28,112.5
2014-12-01,111.0
2014-12-02,107.5
2014-12-03,107.5
2014-12-04,109.45
2014-12-05,109.05
2014-12-08,106.2
2014-12-09,102.55
2014-12-10,105.05
2014-12-11,105.7
2014-12-12,106.9
2014-12-15,109.75
2014-12-16,107.45
2014-12-17,109.45
2014-12-18,111.95
2014-12-19,109.85
2014-12-22,115.2
2014-12-23,113.85
2014-12-24,113.8
2014-12-26,112.05
2014-12-29,113.1
2014-12-30,114.65
2014-12-31,114.0
