Date,JYOTISTRUC
2014-01-01,33.55
2014-01-02,30.75
2014-01-03,32.1
2014-01-06,32.45
2014-01-07,32.75
2014-01-08,31.8
2014-01-09,30.65
2014-01-10,30.65
2014-01-13,30.8
2014-01-14,30.85
2014-01-15,30.55
2014-01-16,30.5
2014-01-17,29.35
2014-01-20,28.85
2014-01-21,29.8
2014-01-22,30.15
2014-01-23,30.35
2014-01-24,29.1
2014-01-27,27.95
2014-01-28,28.5
2014-01-29,28.1
2014-01-30,27.55
2014-01-31,28.3
2014-02-03,27.3
2014-02-04,27.05
2014-02-05,27.2
2014-02-06,27.4
2014-02-07,27.6
2014-02-10,27.5
2014-02-11,27.1
2014-02-12,26.8
2014-02-13,26.1
2014-02-14,26.1
2014-02-17,26.0
2014-02-18,27.15
2014-02-19,28.65
2014-02-20,27.55
2014-02-21,28.0
2014-02-24,28.25
2014-02-25,27.75
2014-02-26,27.3
2014-02-28,28.1
2014-03-03,27.9
2014-03-04,28.1
2014-03-05,29.3
2014-03-06,29.95
2014-03-07,30.3
2014-03-10,31.55
2014-03-11,31.35
2014-03-12,30.8
2014-03-13,30.2
2014-03-14,29.9
2014-03-18,29.3
2014-03-19,29.85
2014-03-20,29.05
2014-03-21,29.45
2014-03-22,30.5
2014-03-24,30.25
2014-03-25,29.95
2014-03-26,30.0
2014-03-27,31.3
2014-03-28,31.85
2014-03-31,31.95
2014-04-01,33.3
2014-04-02,33.55
2014-04-03,33.5
2014-04-04,36.25
2014-04-07,37.25
2014-04-09,39.2
2014-04-10,39.0
2014-04-11,38.0
2014-04-15,36.85
2014-04-16,35.6
2014-04-17,36.4
2014-04-21,37.95
2014-04-22,38.9
2014-04-23,38.3
2014-04-25,37.8
2014-04-28,38.6
2014-04-29,37.55
2014-04-30,36.2
2014-05-02,36.95
2014-05-05,36.3
2014-05-06,35.35
2014-05-07,34.8
2014-05-08,35.65
2014-05-09,36.75
2014-05-12,37.45
2014-05-13,39.2
2014-05-14,42.25
2014-05-15,40.95
2014-05-16,47.1
2014-05-19,53.75
2014-05-20,54.25
2014-05-21,59.65
2014-05-22,63.55
2014-05-23,63.7
2014-05-26,59.25
2014-05-27,62.05
2014-05-28,63.15
2014-05-29,62.95
2014-05-30,61.1
2014-06-02,55.0
2014-06-03,53.95
2014-06-04,57.0
2014-06-05,56.8
2014-06-06,55.8
2014-06-09,58.15
2014-06-10,56.9
2014-06-11,53.55
2014-06-12,52.95
2014-06-13,49.8
2014-06-16,49.8
2014-06-17,52.05
2014-06-18,51.35
2014-06-19,50.85
2014-06-20,50.35
2014-06-23,50.45
2014-06-24,55.05
2014-06-25,56.6
2014-06-26,55.5
2014-06-27,59.45
2014-06-30,60.9
2014-07-01,61.85
2014-07-02,64.35
2014-07-03,64.75
2014-07-04,63.9
2014-07-07,67.9
2014-07-08,60.8
2014-07-09,58.8
2014-07-10,60.4
2014-07-11,57.05
2014-07-14,56.85
2014-07-15,57.6
2014-07-16,59.45
2014-07-17,60.05
2014-07-18,59.15
2014-07-21,59.15
2014-07-22,58.65
2014-07-23,57.05
2014-07-24,56.65
2014-07-25,54.75
2014-07-28,52.65
2014-07-30,52.85
2014-07-31,48.9
2014-08-01,45.3
2014-08-04,45.8
2014-08-05,45.95
2014-08-06,44.7
2014-08-07,41.65
2014-08-08,40.05
2014-08-11,42.35
2014-08-12,42.45
2014-08-13,39.9
2014-08-14,40.25
2014-08-18,43.85
2014-08-19,45.85
2014-08-20,46.4
2014-08-21,45.45
2014-08-22,43.0
2014-08-25,43.8
2014-08-26,42.9
2014-08-27,43.7
2014-08-28,42.35
2014-09-01,44.9
2014-09-02,44.8
2014-09-03,43.75
2014-09-04,41.85
2014-09-05,40.3
2014-09-08,42.7
2014-09-09,42.7
2014-09-10,42.95
2014-09-11,46.25
2014-09-12,48.85
2014-09-15,49.85
2014-09-16,44.55
2014-09-17,44.75
2014-09-18,45.65
2014-09-19,44.5
2014-09-22,44.2
2014-09-23,41.5
2014-09-24,41.7
2014-09-25,39.85
2014-09-26,40.25
2014-09-29,41.0
2014-09-30,40.0
2014-10-01,41.15
2014-10-07,40.9
2014-10-08,40.55
2014-10-09,41.6
2014-10-10,40.6
2014-10-13,40.2
2014-10-14,40.0
2014-10-16,38.55
2014-10-17,39.1
2014-10-20,38.55
2014-10-21,38.9
2014-10-22,39.55
2014-10-23,40.6
2014-10-27,39.9
2014-10-28,39.9
2014-10-29,40.65
2014-10-30,44.3
2014-10-31,48.15
2014-11-03,47.95
2014-11-05,46.75
2014-11-07,45.55
2014-11-10,46.4
2014-11-11,41.4
2014-11-12,40.95
2014-11-13,42.35
2014-11-14,41.55
2014-11-17,42.3
2014-11-18,42.3
2014-11-19,41.15
2014-11-20,40.8
2014-11-21,40.55
2014-11-24,40.55
2014-11-25,39.05
2014-11-26,39.7
2014-11-27,41.15
2014-11-28,40.3
2014-12-01,38.8
2014-12-02,40.25
2014-12-03,40.55
2014-12-04,42.0
2014-12-05,42.35
2014-12-08,41.0
2014-12-09,41.35
2014-12-10,42.35
2014-12-11,41.2
2014-12-12,39.85
2014-12-15,39.25
2014-12-16,37.6
2014-12-17,37.4
2014-12-18,39.45
2014-12-19,40.75
2014-12-22,40.4
2014-12-23,40.75
2014-12-24,40.05
2014-12-26,39.9
2014-12-29,39.9
2014-12-30,39.7
2014-12-31,39.7
