Date,TTKPRESTIG
2014-01-01,3485.0
2014-01-02,3426.95
2014-01-03,3409.2
2014-01-06,3416.5
2014-01-07,3460.1
2014-01-08,3570.65
2014-01-09,3477.9
2014-01-10,3425.65
2014-01-13,3446.25
2014-01-14,3470.4
2014-01-15,3481.25
2014-01-16,3434.55
2014-01-17,3490.35
2014-01-20,3414.45
2014-01-21,3417.0
2014-01-22,3384.75
2014-01-23,3463.05
2014-01-24,3397.8
2014-01-27,3344.0
2014-01-28,3305.1
2014-01-29,3310.9
2014-01-30,3262.05
2014-01-31,3283.3
2014-02-03,3277.75
2014-02-04,3204.55
2014-02-05,3183.65
2014-02-06,3118.25
2014-02-07,3094.35
2014-02-10,3098.95
2014-02-11,3080.7
2014-02-12,3074.55
2014-02-13,3016.1
2014-02-14,2990.75
2014-02-17,2987.5
2014-02-18,2969.8
2014-02-19,2929.15
2014-02-20,2925.0
2014-02-21,2925.25
2014-02-24,2892.1
2014-02-25,2898.4
2014-02-26,2891.45
2014-02-28,2884.3
2014-03-03,2871.0
2014-03-04,2865.55
2014-03-05,2887.25
2014-03-06,2910.85
2014-03-07,2899.8
2014-03-10,2882.0
2014-03-11,2896.4
2014-03-12,2892.1
2014-03-13,2855.25
2014-03-14,2785.35
2014-03-18,2718.8
2014-03-19,2757.65
2014-03-20,2912.3
2014-03-21,2909.5
2014-03-22,2859.75
2014-03-24,2846.45
2014-03-25,2872.3
2014-03-26,2964.0
2014-03-27,2976.75
2014-03-28,3051.45
2014-03-31,3043.6
2014-04-01,3091.55
2014-04-02,3061.55
2014-04-03,3080.95
2014-04-04,3087.1
2014-04-07,3077.25
2014-04-09,3096.35
2014-04-10,3072.35
2014-04-11,3077.25
2014-04-15,3074.55
2014-04-16,3059.85
2014-04-17,3097.55
2014-04-21,3082.05
2014-04-22,3067.95
2014-04-23,3080.4
2014-04-25,3037.45
2014-04-28,3015.6
2014-04-29,3040.9
2014-04-30,3037.1
2014-05-02,3002.2
2014-05-05,3040.95
2014-05-06,2998.9
2014-05-07,3003.5
2014-05-08,3040.3
2014-05-09,3122.45
2014-05-12,3103.35
2014-05-13,3169.95
2014-05-14,3156.2
2014-05-15,3070.85
2014-05-16,3182.9
2014-05-19,3421.45
2014-05-20,3460.3
2014-05-21,3476.75
2014-05-22,3549.15
2014-05-23,3566.65
2014-05-26,3413.5
2014-05-27,3434.45
2014-05-28,3401.35
2014-05-29,3403.6
2014-05-30,3261.6
2014-06-02,3253.0
2014-06-03,3298.85
2014-06-04,3301.85
2014-06-05,3399.5
2014-06-06,3457.85
2014-06-09,3636.8
2014-06-10,4107.3
2014-06-11,3755.4
2014-06-12,3801.4
2014-06-13,3653.15
2014-06-16,3677.0
2014-06-17,3707.45
2014-06-18,3706.85
2014-06-19,3658.3
2014-06-20,3600.55
2014-06-23,3618.7
2014-06-24,3668.1
2014-06-25,3649.4
2014-06-26,3576.3
2014-06-27,3568.25
2014-06-30,3524.75
2014-07-01,3601.6
2014-07-02,3774.4
2014-07-03,3849.0
2014-07-04,3846.55
2014-07-07,3784.0
2014-07-08,3635.45
2014-07-09,3580.9
2014-07-10,3565.9
2014-07-11,3492.6
2014-07-14,3417.75
2014-07-15,3495.9
2014-07-16,3499.95
2014-07-17,3850.7
2014-07-18,3900.45
2014-07-21,3938.8
2014-07-22,3948.65
2014-07-23,4031.05
2014-07-24,3989.25
2014-07-25,3977.7
2014-07-28,3935.95
2014-07-30,3948.35
2014-07-31,3888.45
2014-08-01,3838.3
2014-08-04,3833.9
2014-08-05,4005.85
2014-08-06,3901.6
2014-08-07,3898.3
2014-08-08,3778.05
2014-08-11,3816.05
2014-08-12,3846.3
2014-08-13,3749.75
2014-08-14,3872.05
2014-08-18,3922.15
2014-08-19,4116.25
2014-08-20,4200.25
2014-08-21,4308.95
2014-08-22,4402.4
2014-08-25,4550.1
2014-08-26,4641.95
2014-08-27,4696.8
2014-08-28,4680.5
2014-09-01,4605.85
2014-09-02,4582.85
2014-09-03,4580.35
2014-09-04,4514.1
2014-09-05,4470.75
2014-09-08,4363.9
2014-09-09,4421.5
2014-09-10,4394.5
2014-09-11,4462.75
2014-09-12,4459.1
2014-09-15,4442.8
2014-09-16,4353.55
2014-09-17,4494.75
2014-09-18,4476.4
2014-09-19,4446.6
2014-09-22,4398.0
