Date,TEXINFRA
2014-01-01,26.5
2014-01-02,25.95
2014-01-03,25.3
2014-01-06,25.35
2014-01-07,25.2
2014-01-08,25.1
2014-01-09,24.75
2014-01-10,24.5
2014-01-13,24.7
2014-01-14,24.25
2014-01-15,24.3
2014-01-16,24.25
2014-01-17,23.6
2014-01-20,23.7
2014-01-21,23.5
2014-01-22,23.8
2014-01-23,23.55
2014-01-24,23.55
2014-01-27,22.95
2014-01-28,22.6
2014-01-29,22.7
2014-01-30,21.75
2014-01-31,21.85
2014-02-03,21.75
2014-02-04,21.9
2014-02-05,21.8
2014-02-06,21.75
2014-02-07,21.6
2014-02-10,21.8
2014-02-11,22.1
2014-02-12,22.3
2014-02-13,22.05
2014-02-14,22.15
2014-02-17,21.7
2014-02-18,21.6
2014-02-19,21.9
2014-02-20,22.05
2014-02-21,22.05
2014-02-24,22.05
2014-02-25,22.55
2014-02-26,23.05
2014-02-28,23.3
2014-03-03,23.05
2014-03-04,23.3
2014-03-05,23.55
2014-03-06,23.5
2014-03-07,23.5
2014-03-10,23.5
2014-03-11,23.6
2014-03-12,23.5
2014-03-13,24.05
2014-03-14,24.9
2014-03-18,25.25
2014-03-19,25.2
2014-03-20,25.5
2014-03-21,25.5
2014-03-22,25.5
2014-03-24,25.5
2014-03-25,26.2
2014-03-26,26.15
2014-03-27,25.95
2014-03-28,25.55
2014-03-31,25.75
2014-04-01,25.5
2014-04-02,26.0
2014-04-03,25.55
2014-04-04,27.0
2014-04-07,27.15
2014-04-09,27.9
2014-04-10,29.85
2014-04-11,29.8
2014-04-15,29.0
2014-04-16,30.05
2014-04-17,30.0
2014-04-21,31.15
2014-04-22,30.95
2014-04-23,31.5
2014-04-25,30.4
2014-04-28,30.1
2014-04-29,30.05
2014-04-30,28.9
2014-05-02,28.9
2014-05-05,28.75
2014-05-06,29.25
2014-05-07,29.15
2014-05-08,29.8
2014-05-09,30.0
2014-05-12,29.85
2014-05-13,29.2
2014-05-14,29.1
2014-05-15,28.45
2014-05-16,30.45
2014-05-19,36.5
2014-05-20,36.5
2014-05-21,37.3
2014-05-22,38.65
2014-05-23,37.9
2014-05-26,35.3
2014-05-27,33.25
2014-05-28,34.25
2014-05-29,34.45
2014-05-30,36.65
2014-06-02,36.7
2014-06-03,36.9
2014-06-04,36.4
2014-06-05,37.55
2014-06-06,39.05
2014-06-09,43.25
2014-06-10,43.2
2014-06-11,40.4
2014-06-12,39.4
2014-06-13,37.8
2014-06-16,37.25
2014-06-17,39.25
2014-06-18,39.6
2014-06-19,40.2
2014-06-20,38.5
2014-06-23,39.75
2014-06-24,39.65
2014-06-25,39.2
2014-06-26,38.4
2014-06-27,37.85
2014-06-30,40.2
2014-07-01,44.05
2014-07-02,47.35
2014-07-03,45.75
2014-07-04,47.0
2014-07-07,49.35
2014-07-08,41.15
2014-07-09,40.75
2014-07-10,41.95
2014-07-11,39.05
2014-07-14,38.35
2014-07-15,39.1
2014-07-16,41.2
2014-07-17,40.55
2014-07-18,44.45
2014-07-21,43.5
2014-07-22,41.2
2014-07-23,41.1
2014-07-24,40.8
2014-07-25,38.65
2014-07-28,37.45
2014-07-30,38.35
2014-07-31,37.75
2014-08-01,39.4
2014-08-04,39.8
2014-08-05,39.75
2014-08-06,41.2
2014-08-07,40.75
2014-08-08,39.15
2014-08-11,38.8
2014-08-12,39.1
2014-08-13,37.95
2014-08-14,38.35
2014-08-18,38.6
2014-08-19,40.1
2014-08-20,40.65
2014-08-21,39.7
2014-08-22,39.5
2014-08-25,39.1
2014-08-26,38.1
2014-08-27,37.65
2014-08-28,38.8
2014-09-01,39.4
2014-09-02,39.45
2014-09-03,39.1
2014-09-04,40.25
2014-09-05,39.95
2014-09-08,41.05
2014-09-09,40.1
2014-09-10,41.1
2014-09-11,42.75
2014-09-12,43.0
2014-09-15,44.7
2014-09-16,41.85
2014-09-17,42.35
2014-09-18,46.3
2014-09-19,45.4
2014-09-22,45.65
2014-09-23,43.8
2014-09-24,43.15
2014-09-25,41.55
2014-09-26,42.55
2014-09-29,42.75
2014-09-30,43.55
2014-10-01,42.75
2014-10-07,41.35
2014-10-08,41.5
2014-10-09,42.2
2014-10-10,40.8
2014-10-13,40.9
2014-10-14,41.2
2014-10-16,39.15
2014-10-17,39.7
2014-10-20,40.15
2014-10-21,40.6
2014-10-22,41.35
2014-10-23,42.05
2014-10-27,42.25
2014-10-28,42.45
2014-10-29,41.8
2014-10-30,41.15
2014-10-31,41.4
2014-11-03,43.35
2014-11-05,42.85
2014-11-07,42.4
2014-11-10,43.75
2014-11-11,45.65
2014-11-12,44.95
2014-11-13,47.95
2014-11-14,47.45
2014-11-17,47.8
2014-11-18,47.3
2014-11-19,46.5
2014-11-20,46.15
2014-11-21,47.35
2014-11-24,46.0
2014-11-25,43.5
2014-11-26,44.75
2014-11-27,47.4
2014-11-28,46.7
2014-12-01,45.2
2014-12-02,45.8
2014-12-03,52.6
2014-12-04,51.65
2014-12-05,50.95
2014-12-08,49.85
2014-12-09,50.25
2014-12-10,51.7
2014-12-11,50.1
2014-12-12,49.1
2014-12-15,48.25
2014-12-16,44.55
2014-12-17,44.4
2014-12-18,46.6
2014-12-19,47.2
2014-12-22,46.1
2014-12-23,46.45
2014-12-24,46.55
2014-12-26,46.05
2014-12-29,46.1
2014-12-30,46.1
2014-12-31,46.15
