Date,ABBOTINDIA
2014-01-01,1670.55
2014-01-02,1649.65
2014-01-03,1645.4
2014-01-06,1680.1
2014-01-07,1689.85
2014-01-08,1668.2
2014-01-09,1673.85
2014-01-10,1696.45
2014-01-13,1674.7
2014-01-14,1685.15
2014-01-15,1676.8
2014-01-16,1699.85
2014-01-17,1677.4
2014-01-20,1703.5
2014-01-21,1671.3
2014-01-22,1665.2
2014-01-23,1652.35
2014-01-24,1666.0
2014-01-27,1668.35
2014-01-28,1665.85
2014-01-29,1629.4
2014-01-30,1650.6
2014-01-31,1641.85
2014-02-03,1643.8
2014-02-04,1672.95
2014-02-05,1675.85
2014-02-06,1651.85
2014-02-07,1670.0
2014-02-10,1642.55
2014-02-11,1639.15
2014-02-12,1660.85
2014-02-13,1649.2
2014-02-14,1634.3
2014-02-17,1642.0
2014-02-18,1629.25
2014-02-19,1623.2
2014-02-20,1629.95
2014-02-21,1635.6
2014-02-24,1659.2
2014-02-25,1669.5
2014-02-26,1693.95
2014-02-28,1724.5
2014-03-03,1720.55
2014-03-04,1726.4
2014-03-05,1732.6
2014-03-06,1705.25
2014-03-07,1660.05
2014-03-10,1675.85
2014-03-11,1662.6
2014-03-12,1677.05
2014-03-13,1691.0
2014-03-14,1664.05
2014-03-18,1655.6
2014-03-19,1675.1
2014-03-20,1681.75
2014-03-21,1704.05
2014-03-22,1721.7
2014-03-24,1704.1
2014-03-25,1685.35
2014-03-26,1721.35
2014-03-27,1710.45
2014-03-28,1714.65
2014-03-31,1755.25
2014-04-01,1787.65
2014-04-02,1847.4
2014-04-03,1835.25
2014-04-04,1822.35
2014-04-07,1806.5
2014-04-09,1789.4
2014-04-10,1806.15
2014-04-11,1799.95
2014-04-15,1773.95
2014-04-16,1782.25
2014-04-17,1773.7
2014-04-21,1774.3
2014-04-22,1761.2
2014-04-23,1759.35
2014-04-25,1740.5
2014-04-28,1777.45
2014-04-29,1805.5
2014-04-30,1822.65
2014-05-02,1799.0
2014-05-05,1786.35
2014-05-06,1762.8
2014-05-07,1775.7
2014-05-08,1748.85
2014-05-09,1754.65
2014-05-12,1729.3
2014-05-13,1721.95
2014-05-14,1759.65
2014-05-15,1761.25
2014-05-16,1761.05
2014-05-19,1750.25
2014-05-20,1754.1
2014-05-21,1774.4
2014-05-22,1788.15
2014-05-23,1809.1
2014-05-26,1756.55
2014-05-27,1768.3
2014-05-28,1768.05
2014-05-29,1759.5
2014-05-30,1735.85
2014-06-02,1745.9
2014-06-03,1750.95
2014-06-04,1747.75
2014-06-05,1744.75
2014-06-06,1772.7
2014-06-09,1778.0
2014-06-10,1771.45
2014-06-11,1785.4
2014-06-12,1803.4
2014-06-13,1780.75
2014-06-16,1772.65
2014-06-17,1810.0
2014-06-18,1785.05
2014-06-19,1832.25
2014-06-20,2008.35
2014-06-23,1987.45
2014-06-24,2041.25
2014-06-25,2118.15
2014-06-26,2126.45
2014-06-27,2150.35
2014-06-30,2172.0
2014-07-01,2206.15
2014-07-02,2198.4
2014-07-03,2184.95
2014-07-04,2166.1
2014-07-07,2222.7
2014-07-08,2204.2
2014-07-09,2184.3
2014-07-10,2131.3
2014-07-11,2090.85
2014-07-14,2108.35
2014-07-15,2182.35
2014-07-16,2176.95
2014-07-17,2136.25
2014-07-18,2113.4
2014-07-21,2134.4
2014-07-22,2121.4
2014-07-23,2095.6
2014-07-24,2108.35
2014-07-25,2087.8
2014-07-28,2050.3
2014-07-30,2084.7
2014-07-31,2100.45
2014-08-01,2077.1
2014-08-04,2059.9
2014-08-05,2059.15
2014-08-06,2097.0
2014-08-07,2068.9
2014-08-08,2072.2
2014-08-11,2071.65
2014-08-12,2085.35
2014-08-13,2180.1
2014-08-14,2330.6
2014-08-18,2380.4
2014-08-19,2374.7
2014-08-20,2485.45
2014-08-21,2460.45
2014-08-22,2535.5
2014-08-25,2614.6
2014-08-26,2606.1
2014-08-27,2603.1
2014-08-28,2586.05
2014-09-01,2586.6
2014-09-02,2601.15
2014-09-03,2605.55
2014-09-04,2603.9
2014-09-05,2738.0
2014-09-08,2827.65
2014-09-09,2805.1
2014-09-10,2855.7
2014-09-11,3354.5
2014-09-12,3339.45
2014-09-15,3256.3
2014-09-16,3144.55
2014-09-17,3111.9
2014-09-18,3108.7
2014-09-19,3104.0
2014-09-22,3207.8
2014-09-23,3251.8
2014-09-24,3213.4
2014-09-25,3106.8
2014-09-26,3094.1
2014-09-29,3119.35
2014-09-30,3172.0
2014-10-01,3263.9
2014-10-07,3198.05
2014-10-08,3196.0
2014-10-09,3229.25
2014-10-10,3175.4
2014-10-13,3092.05
2014-10-14,3059.0
2014-10-16,3025.05
2014-10-17,3089.35
2014-10-20,3077.35
2014-10-21,3114.2
2014-10-22,3054.25
2014-10-23,3104.45
2014-10-27,3090.25
2014-10-28,3137.65
2014-10-29,3103.75
2014-10-30,3088.45
2014-10-31,3098.75
2014-11-03,3162.2
2014-11-05,3178.85
2014-11-07,3362.3
2014-11-10,3280.85
2014-11-11,3401.1
2014-11-12,3355.9
2014-11-13,3341.5
2014-11-14,3234.35
2014-11-17,3295.7
2014-11-18,3293.95
2014-11-19,3338.6
2014-11-20,3390.6
2014-11-21,3387.95
2014-11-24,3405.7
2014-11-25,3404.85
2014-11-26,3374.0
2014-11-27,3547.85
2014-11-28,3522.25
2014-12-01,3497.9
2014-12-02,3581.75
2014-12-03,3632.05
2014-12-04,3644.3
2014-12-05,3668.3
2014-12-08,3584.7
2014-12-09,3508.65
2014-12-10,3514.75
2014-12-11,3521.55
2014-12-12,3490.55
