Date,CRISIL
2014-01-01,1181.4
2014-01-02,1140.1
2014-01-03,1121.2
2014-01-06,1116.95
2014-01-07,1106.6
2014-01-08,1107.25
2014-01-09,1112.5
2014-01-10,1108.45
2014-01-13,1102.65
2014-01-14,1096.4
2014-01-15,1136.8
2014-01-16,1114.05
2014-01-17,1099.1
2014-01-20,1116.95
2014-01-21,1098.45
2014-01-22,1100.35
2014-01-23,1102.8
2014-01-24,1103.7
2014-01-27,1101.7
2014-01-28,1100.25
2014-01-29,1103.35
2014-01-30,1100.8
2014-01-31,1105.4
2014-02-03,1102.55
2014-02-04,1090.35
2014-02-05,1081.25
2014-02-06,1075.4
2014-02-07,1083.9
2014-02-10,1089.95
2014-02-11,1115.15
2014-02-12,1096.05
2014-02-13,1119.85
2014-02-14,1112.55
2014-02-17,1114.5
2014-02-18,1094.6
2014-02-19,1092.6
2014-02-20,1087.5
2014-02-21,1092.4
2014-02-24,1088.0
2014-02-25,1096.95
2014-02-26,1087.35
2014-02-28,1122.75
2014-03-03,1148.1
2014-03-04,1152.5
2014-03-05,1171.5
2014-03-06,1176.9
2014-03-07,1188.4
2014-03-10,1199.75
2014-03-11,1172.3
2014-03-12,1173.5
2014-03-13,1171.0
2014-03-14,1171.15
2014-03-18,1176.0
2014-03-19,1171.65
2014-03-20,1170.5
2014-03-21,1172.05
2014-03-22,1166.9
2014-03-24,1171.05
2014-03-25,1196.1
2014-03-26,1193.65
2014-03-27,1180.65
2014-03-28,1202.05
2014-03-31,1229.95
2014-04-01,1209.6
2014-04-02,1221.2
2014-04-03,1228.85
2014-04-04,1220.2
2014-04-07,1211.45
2014-04-09,1210.5
2014-04-10,1231.1
2014-04-11,1220.5
2014-04-15,1216.4
2014-04-16,1217.2
2014-04-17,1246.3
2014-04-21,1242.55
2014-04-22,1239.45
2014-04-23,1218.85
2014-04-25,1249.1
2014-04-28,1277.25
2014-04-29,1302.55
2014-04-30,1298.3
2014-05-02,1281.2
2014-05-05,1282.05
2014-05-06,1269.15
2014-05-07,1279.35
2014-05-08,1263.4
2014-05-09,1277.0
2014-05-12,1304.75
2014-05-13,1328.3
2014-05-14,1341.65
2014-05-15,1352.9
2014-05-16,1341.1
2014-05-19,1372.35
2014-05-20,1373.6
2014-05-21,1364.85
2014-05-22,1374.1
2014-05-23,1387.85
2014-05-26,1394.25
2014-05-27,1359.3
2014-05-28,1383.2
2014-05-29,1408.0
2014-05-30,1406.85
2014-06-02,1422.25
2014-06-03,1415.2
2014-06-04,1390.65
2014-06-05,1422.65
2014-06-06,1397.0
2014-06-09,1399.05
2014-06-10,1406.7
2014-06-11,1424.3
2014-06-12,1562.45
2014-06-13,1577.25
2014-06-16,1585.55
2014-06-17,1649.35
2014-06-18,1760.1
2014-06-19,1697.75
2014-06-20,1709.35
2014-06-23,1756.75
2014-06-24,1775.35
2014-06-25,1811.35
2014-06-26,1813.1
2014-06-27,1792.25
2014-06-30,1791.7
2014-07-01,1754.8
2014-07-02,1743.8
2014-07-03,1816.35
2014-07-04,1909.7
2014-07-07,1998.8
2014-07-08,1951.05
2014-07-09,1911.35
2014-07-10,1917.75
2014-07-11,1936.55
2014-07-14,1839.35
2014-07-15,1762.05
2014-07-16,1843.8
2014-07-17,1966.75
2014-07-18,1989.2
2014-07-21,1920.9
2014-07-22,1906.5
2014-07-23,1887.5
2014-07-24,1858.4
2014-07-25,1881.5
2014-07-28,1821.3
2014-07-30,1773.55
2014-07-31,1764.05
2014-08-01,1775.45
2014-08-04,1791.9
2014-08-05,1858.45
2014-08-06,1915.0
2014-08-07,1922.55
2014-08-08,1943.0
2014-08-11,1911.0
2014-08-12,1928.95
2014-08-13,1887.35
2014-08-14,1901.65
2014-08-18,1838.75
2014-08-19,1876.0
2014-08-20,1875.8
2014-08-21,1893.15
2014-08-22,1855.05
2014-08-25,1841.55
2014-08-26,1874.5
2014-08-27,1887.75
2014-08-28,1895.25
2014-09-01,1900.15
2014-09-02,1860.3
2014-09-03,1960.65
2014-09-04,1968.45
2014-09-05,1945.75
2014-09-08,1982.95
2014-09-09,1957.9
2014-09-10,1964.1
