Date,SWANENERGY
2014-01-01,133.0
2014-01-02,128.25
2014-01-03,129.3
2014-01-06,128.25
2014-01-07,129.4
2014-01-08,130.25
2014-01-09,129.65
2014-01-10,129.4
2014-01-13,129.45
2014-01-14,129.1
2014-01-15,129.95
2014-01-16,129.05
2014-01-17,129.5
2014-01-20,128.6
2014-01-21,129.3
2014-01-22,129.25
2014-01-23,129.4
2014-01-24,129.4
2014-01-27,128.05
2014-01-28,130.0
2014-01-29,129.6
2014-01-30,128.65
2014-01-31,129.1
2014-02-03,68.5
2014-02-04,68.6
2014-02-05,64.7
2014-02-06,64.15
2014-02-07,64.75
2014-02-10,64.85
2014-02-11,63.8
2014-02-12,64.0
2014-02-13,63.4
2014-02-14,63.3
2014-02-17,62.95
2014-02-18,62.75
2014-02-19,66.2
2014-02-20,64.35
2014-02-21,63.0
2014-02-24,62.9
2014-02-25,62.75
2014-02-26,62.3
2014-02-28,63.0
2014-03-03,62.25
2014-03-04,61.95
2014-03-05,62.05
2014-03-06,62.45
2014-03-07,62.1
2014-03-10,62.1
2014-03-11,62.2
2014-03-12,62.5
2014-03-13,62.15
2014-03-14,62.05
2014-03-18,62.35
2014-03-19,62.25
2014-03-20,62.25
2014-03-21,62.15
2014-03-22,63.65
2014-03-24,63.5
2014-03-25,63.8
2014-03-26,62.85
2014-03-27,63.05
2014-03-28,62.65
2014-03-31,62.5
2014-04-01,62.3
2014-04-02,62.1
2014-04-03,62.35
2014-04-04,62.05
2014-04-07,62.35
2014-04-09,64.55
2014-04-10,63.45
2014-04-11,63.45
2014-04-15,63.2
2014-04-16,62.25
2014-04-17,62.85
2014-04-21,62.45
2014-04-22,62.85
2014-04-23,62.1
2014-04-25,62.4
2014-04-28,62.05
2014-04-29,62.05
2014-04-30,62.2
2014-05-02,61.65
2014-05-05,61.2
2014-05-06,61.15
2014-05-07,61.35
2014-05-08,61.25
2014-05-09,63.35
2014-05-12,62.7
2014-05-13,61.15
2014-05-14,64.5
2014-05-15,63.05
2014-05-16,63.0
2014-05-19,63.15
2014-05-20,63.4
2014-05-21,64.0
2014-05-22,65.6
2014-05-23,64.95
2014-05-26,64.4
2014-05-27,62.75
2014-05-28,62.75
2014-05-29,62.5
2014-05-30,61.5
2014-06-02,61.3
2014-06-03,61.3
2014-06-04,62.15
2014-06-05,61.5
2014-06-06,61.3
2014-06-09,61.85
2014-06-10,61.35
2014-06-11,61.4
2014-06-12,61.75
2014-06-13,61.1
2014-06-16,61.1
2014-06-17,61.05
2014-06-18,61.15
2014-06-19,61.1
2014-06-20,61.1
2014-06-23,61.05
2014-06-24,61.1
2014-06-25,61.1
2014-06-26,61.05
2014-06-27,61.05
2014-06-30,61.2
2014-07-01,61.05
2014-07-02,61.15
2014-07-03,61.25
2014-07-04,66.75
2014-07-07,69.8
2014-07-08,65.25
2014-07-09,64.9
2014-07-10,65.7
2014-07-11,63.35
2014-07-14,62.8
2014-07-15,62.3
2014-07-16,63.15
2014-07-17,62.25
2014-07-18,62.1
2014-07-21,61.1
2014-07-22,61.0
2014-07-23,61.1
2014-07-24,61.0
2014-07-25,61.05
2014-07-28,61.4
2014-07-30,60.9
2014-07-31,60.0
2014-08-01,59.65
2014-08-04,60.0
2014-08-05,59.85
2014-08-06,59.7
2014-08-07,59.65
2014-08-08,59.6
2014-08-11,59.75
2014-08-12,60.35
2014-08-13,60.55
2014-08-14,60.0
2014-08-18,59.7
2014-08-19,60.25
2014-08-20,60.5
2014-08-21,59.9
2014-08-22,59.55
2014-08-25,59.55
2014-08-26,59.7
2014-08-27,59.1
2014-08-28,59.55
2014-09-01,59.1
2014-09-02,59.0
2014-09-03,59.6
2014-09-04,59.55
2014-09-05,59.6
2014-09-08,59.3
2014-09-09,59.95
2014-09-10,59.5
2014-09-11,59.5
2014-09-12,59.6
2014-09-15,60.05
2014-09-16,60.15
2014-09-17,60.05
2014-09-18,60.2
2014-09-19,59.6
2014-09-22,59.55
2014-09-23,59.45
2014-09-24,59.5
2014-09-25,59.45
2014-09-26,59.5
2014-09-29,59.1
2014-09-30,59.0
2014-10-01,59.25
2014-10-07,59.05
2014-10-08,59.0
2014-10-09,58.1
2014-10-10,57.4
2014-10-13,57.0
2014-10-14,56.95
2014-10-16,55.85
2014-10-17,56.1
2014-10-20,55.05
2014-10-21,55.35
2014-10-22,55.15
2014-10-23,56.95
2014-10-27,55.75
2014-10-28,55.25
2014-10-29,55.3
2014-10-30,55.65
2014-10-31,55.2
2014-11-03,55.4
2014-11-05,55.4
2014-11-07,55.05
2014-11-10,55.25
2014-11-11,55.05
2014-11-12,55.3
2014-11-13,55.05
2014-11-14,55.35
2014-11-17,55.2
2014-11-18,55.15
2014-11-19,55.0
2014-11-20,55.05
2014-11-21,55.05
2014-11-24,55.05
2014-11-25,55.15
2014-11-26,55.8
2014-11-27,55.15
2014-11-28,55.05
2014-12-01,55.1
2014-12-02,55.3
2014-12-03,55.15
2014-12-04,55.25
2014-12-05,55.05
2014-12-08,55.25
2014-12-09,55.25
2014-12-10,55.35
2014-12-11,55.3
2014-12-12,55.3
2014-12-15,55.0
2014-12-16,54.2
2014-12-17,54.85
2014-12-18,55.55
2014-12-19,55.35
2014-12-22,55.05
2014-12-23,54.85
2014-12-24,54.55
2014-12-26,55.25
2014-12-29,55.15
2014-12-30,55.05
2014-12-31,55.1
