Date,HUBTOWN
2014-01-01,122.25
2014-01-02,120.05
2014-01-03,120.65
2014-01-06,119.75
2014-01-07,120.05
2014-01-08,121.2
2014-01-09,120.9
2014-01-10,117.35
2014-01-13,115.9
2014-01-14,118.15
2014-01-15,117.15
2014-01-16,116.75
2014-01-17,115.35
2014-01-20,115.65
2014-01-21,116.0
2014-01-22,116.2
2014-01-23,116.1
2014-01-24,114.35
2014-01-27,111.95
2014-01-28,112.55
2014-01-29,113.3
2014-01-30,110.65
2014-01-31,111.75
2014-02-03,110.4
2014-02-04,110.0
2014-02-05,108.9
2014-02-06,109.05
2014-02-07,111.3
2014-02-10,110.6
2014-02-11,109.85
2014-02-12,108.75
2014-02-13,108.8
2014-02-14,108.7
2014-02-17,108.05
2014-02-18,107.75
2014-02-19,110.85
2014-02-20,110.0
2014-02-21,108.85
2014-02-24,108.3
2014-02-25,109.3
2014-02-26,108.7
2014-02-28,107.9
2014-03-03,107.15
2014-03-04,108.55
2014-03-05,107.25
2014-03-06,106.65
2014-03-07,106.85
2014-03-10,106.8
2014-03-11,106.25
2014-03-12,104.9
2014-03-13,104.1
2014-03-14,101.95
2014-03-18,103.35
2014-03-19,101.9
2014-03-20,101.8
2014-03-21,100.85
2014-03-22,101.0
2014-03-24,100.9
2014-03-25,101.9
2014-03-26,115.45
2014-03-27,109.95
2014-03-28,113.05
2014-03-31,115.1
2014-04-01,112.9
2014-04-02,117.15
2014-04-03,120.45
2014-04-04,123.35
2014-04-07,126.0
2014-04-09,129.9
2014-04-10,139.5
2014-04-11,142.35
2014-04-15,139.1
2014-04-16,138.1
2014-04-17,139.5
2014-04-21,140.55
2014-04-22,140.55
2014-04-23,140.7
2014-04-25,139.3
2014-04-28,140.7
2014-04-29,145.0
2014-04-30,142.75
2014-05-02,139.85
2014-05-05,141.4
2014-05-06,140.85
2014-05-07,139.05
2014-05-08,138.1
2014-05-09,139.9
2014-05-12,143.05
2014-05-13,138.7
2014-05-14,138.1
2014-05-15,138.15
2014-05-16,144.0
2014-05-19,152.15
2014-05-20,169.5
2014-05-21,170.15
2014-05-22,187.25
2014-05-23,194.9
2014-05-26,188.15
2014-05-27,178.45
2014-05-28,179.75
2014-05-29,179.6
2014-05-30,178.1
2014-06-02,181.15
2014-06-03,176.95
2014-06-04,181.25
2014-06-05,172.4
2014-06-06,171.8
2014-06-09,177.3
2014-06-10,172.0
2014-06-11,165.5
2014-06-12,156.9
2014-06-13,149.6
2014-06-16,146.95
2014-06-17,156.5
2014-06-18,179.05
2014-06-19,166.3
2014-06-20,164.9
2014-06-23,161.9
2014-06-24,165.15
2014-06-25,170.95
2014-06-26,171.1
2014-06-27,174.9
2014-06-30,176.3
2014-07-01,173.05
2014-07-02,175.8
2014-07-03,175.1
2014-07-04,176.4
2014-07-07,173.05
2014-07-08,168.25
2014-07-09,161.05
2014-07-10,160.8
2014-07-11,155.0
2014-07-14,140.55
2014-07-15,140.45
2014-07-16,144.45
2014-07-17,143.7
2014-07-18,147.85
2014-07-21,148.0
2014-07-22,143.4
2014-07-23,144.7
2014-07-24,145.45
2014-07-25,137.0
2014-07-28,131.25
2014-07-30,129.95
2014-07-31,128.25
2014-08-01,129.1
2014-08-04,123.65
2014-08-05,119.75
2014-08-06,118.75
2014-08-07,117.2
2014-08-08,114.6
2014-08-11,116.75
2014-08-12,117.05
2014-08-13,112.9
2014-08-14,113.0
2014-08-18,116.0
2014-08-19,116.45
2014-08-20,115.85
2014-08-21,121.8
2014-08-22,118.0
2014-08-25,115.8
2014-08-26,112.85
2014-08-27,112.15
2014-08-28,112.5
2014-09-01,113.15
2014-09-02,117.25
2014-09-03,116.15
2014-09-04,112.25
2014-09-05,110.5
2014-09-08,112.5
2014-09-09,110.5
2014-09-10,102.75
2014-09-11,99.8
2014-09-12,99.75
2014-09-15,119.45
2014-09-16,119.2
2014-09-17,118.95
2014-09-18,121.35
2014-09-19,131.15
2014-09-22,129.65
2014-09-23,122.05
2014-09-24,119.95
2014-09-25,112.95
2014-09-26,114.15
2014-09-29,114.2
2014-09-30,113.8
2014-10-01,113.1
2014-10-07,111.95
2014-10-08,110.4
2014-10-09,116.35
2014-10-10,114.5
2014-10-13,111.35
2014-10-14,108.0
2014-10-16,115.0
2014-10-17,111.2
2014-10-20,109.8
2014-10-21,108.55
2014-10-22,111.25
2014-10-23,112.9
2014-10-27,110.75
2014-10-28,109.6
2014-10-29,110.25
2014-10-30,113.1
2014-10-31,112.25
2014-11-03,120.7
2014-11-05,119.7
2014-11-07,116.95
2014-11-10,116.6
2014-11-11,114.1
2014-11-12,114.3
2014-11-13,113.65
2014-11-14,120.1
2014-11-17,126.4
2014-11-18,122.7
2014-11-19,124.45
2014-11-20,123.3
2014-11-21,124.3
2014-11-24,122.15
2014-11-25,118.0
2014-11-26,118.6
2014-11-27,125.2
2014-11-28,121.75
2014-12-01,119.7
2014-12-02,117.25
2014-12-03,119.0
2014-12-04,119.5
2014-12-05,118.65
2014-12-08,117.0
2014-12-09,113.45
2014-12-10,115.25
2014-12-11,113.8
2014-12-12,109.25
2014-12-15,106.75
2014-12-16,104.9
2014-12-17,102.15
2014-12-18,106.85
2014-12-19,107.95
2014-12-22,104.35
2014-12-23,104.9
2014-12-24,102.95
2014-12-26,102.55
2014-12-29,105.35
2014-12-30,105.25
2014-12-31,109.1
