Date,EXCELINDUS
2014-01-01,74.05
2014-01-02,75.0
2014-01-03,73.5
2014-01-06,72.0
2014-01-07,72.25
2014-01-08,75.0
2014-01-09,74.0
2014-01-10,73.0
2014-01-13,69.2
2014-01-14,68.35
2014-01-15,69.0
2014-01-16,67.5
2014-01-17,67.45
2014-01-20,66.8
2014-01-21,69.55
2014-01-22,69.0
2014-01-23,70.25
2014-01-24,67.1
2014-01-27,66.0
2014-01-28,67.45
2014-01-29,65.2
2014-01-30,65.0
2014-01-31,65.6
2014-02-03,65.25
2014-02-04,66.0
2014-02-05,66.05
2014-02-06,66.3
2014-02-07,66.1
2014-02-10,67.15
2014-02-11,73.85
2014-02-12,76.1
2014-02-13,72.8
2014-02-14,68.7
2014-02-17,65.0
2014-02-18,63.45
2014-02-19,63.9
2014-02-20,64.65
2014-02-21,64.95
2014-02-24,64.75
2014-02-25,64.6
2014-02-26,65.7
2014-02-28,70.65
2014-03-03,73.2
2014-03-04,69.05
2014-03-05,71.05
2014-03-06,69.95
2014-03-07,68.35
2014-03-10,67.0
2014-03-11,67.4
2014-03-12,67.15
2014-03-13,66.6
2014-03-14,66.9
2014-03-18,66.1
2014-03-19,67.05
2014-03-20,66.8
2014-03-21,68.2
2014-03-22,67.25
2014-03-24,67.9
2014-03-25,68.1
2014-03-26,68.3
2014-03-27,68.3
2014-03-28,67.85
2014-03-31,69.1
2014-04-01,68.5
2014-04-02,69.0
2014-04-03,68.35
2014-04-04,71.05
2014-04-07,69.4
2014-04-09,75.0
2014-04-10,74.1
2014-04-11,77.6
2014-04-15,77.0
2014-04-16,72.25
2014-04-17,73.55
2014-04-21,74.0
2014-04-22,74.0
2014-04-23,72.6
2014-04-25,72.5
2014-04-28,81.65
2014-04-29,79.95
2014-04-30,74.45
2014-05-02,74.05
2014-05-05,74.45
2014-05-06,75.0
2014-05-07,72.65
2014-05-08,71.3
2014-05-09,71.85
2014-05-12,73.2
2014-05-13,73.7
2014-05-14,74.0
2014-05-15,74.35
2014-05-16,75.9
2014-05-19,80.5
2014-05-20,83.55
2014-05-21,85.3
2014-05-22,85.2
2014-05-23,88.15
2014-05-26,99.95
2014-05-27,99.15
2014-05-28,107.0
2014-05-29,113.0
2014-05-30,108.4
2014-06-02,114.5
2014-06-03,114.3
2014-06-04,119.65
2014-06-05,120.6
2014-06-06,119.0
2014-06-09,117.0
2014-06-10,116.45
2014-06-11,118.4
2014-06-12,115.05
2014-06-13,107.8
2014-06-16,106.8
2014-06-17,115.4
2014-06-18,114.65
2014-06-19,117.2
2014-06-20,127.85
2014-06-23,140.6
2014-06-24,147.6
2014-06-25,154.95
2014-06-26,162.65
2014-06-27,170.75
2014-06-30,179.25
2014-07-01,178.1
2014-07-02,187.0
2014-07-03,196.35
2014-07-04,206.15
2014-07-07,216.45
2014-07-08,205.65
2014-07-09,195.4
2014-07-10,186.7
2014-07-11,187.75
2014-07-14,178.65
2014-07-15,179.45
2014-07-16,187.4
2014-07-17,183.95
2014-07-18,180.45
2014-07-21,189.45
2014-07-22,198.3
2014-07-23,208.2
2014-07-24,197.8
2014-07-25,189.15
2014-07-28,189.45
2014-07-30,189.55
2014-07-31,191.2
2014-08-01,186.05
2014-08-04,183.35
2014-08-05,188.8
2014-08-06,203.35
2014-08-07,195.6
2014-08-08,191.75
2014-08-11,210.9
2014-08-12,231.95
2014-08-13,225.75
2014-08-14,241.75
2014-08-18,250.45
2014-08-19,246.0
2014-08-20,245.85
2014-08-21,258.1
2014-08-22,262.55
2014-08-25,272.05
2014-08-26,261.85
2014-08-27,258.7
2014-08-28,264.15
2014-09-01,267.25
2014-09-02,280.6
2014-09-03,279.6
2014-09-04,292.3
2014-09-05,321.15
2014-09-08,317.35
2014-09-09,306.15
2014-09-10,300.9
2014-09-11,306.5
2014-09-12,308.6
2014-09-15,302.55
2014-09-16,278.85
2014-09-17,288.1
2014-09-18,294.15
2014-09-19,313.45
2014-09-22,341.4
2014-09-23,323.3
2014-09-24,319.95
2014-09-25,294.1
2014-09-26,293.75
2014-09-29,313.4
2014-09-30,295.9
2014-10-01,301.0
2014-10-07,301.2
2014-10-08,291.25
2014-10-09,294.6
2014-10-10,291.45
2014-10-13,285.35
2014-10-14,287.35
2014-10-16,265.2
2014-10-17,272.25
2014-10-20,270.8
2014-10-21,274.7
2014-10-22,286.65
2014-10-23,290.3
2014-10-27,288.1
2014-10-28,287.15
2014-10-29,297.75
2014-10-30,298.9
2014-10-31,320.3
2014-11-03,384.35
2014-11-05,401.85
2014-11-07,403.95
2014-11-10,388.15
2014-11-11,379.5
2014-11-12,381.4
2014-11-13,378.4
2014-11-14,383.3
2014-11-17,385.2
2014-11-18,382.05
2014-11-19,383.4
2014-11-20,380.1
2014-11-21,377.15
2014-11-24,402.05
2014-11-25,392.15
2014-11-26,394.25
2014-11-27,407.2
2014-11-28,396.9
2014-12-01,386.45
2014-12-02,385.85
2014-12-03,394.3
2014-12-04,389.95
2014-12-05,385.1
2014-12-08,381.55
2014-12-09,373.0
2014-12-10,367.5
2014-12-11,360.7
2014-12-12,348.15
2014-12-15,343.3
2014-12-16,310.7
2014-12-17,312.1
2014-12-18,344.9
2014-12-19,360.65
2014-12-22,358.5
2014-12-23,343.5
2014-12-24,362.0
2014-12-26,349.2
2014-12-29,345.9
2014-12-30,344.0
2014-12-31,345.65
