Date,ALOKTEXT
2014-01-01,8.65
2014-01-02,8.15
2014-01-03,8.25
2014-01-06,8.55
2014-01-07,8.55
2014-01-08,8.4
2014-01-09,8.45
2014-01-10,8.3
2014-01-13,8.25
2014-01-14,8.35
2014-01-15,8.2
2014-01-16,8.15
2014-01-17,8.05
2014-01-20,7.95
2014-01-21,8.0
2014-01-22,8.05
2014-01-23,7.95
2014-01-24,7.7
2014-01-27,7.3
2014-01-28,7.1
2014-01-29,6.9
2014-01-30,6.85
2014-01-31,7.0
2014-02-03,6.75
2014-02-04,6.75
2014-02-05,6.8
2014-02-06,6.7
2014-02-07,6.8
2014-02-10,7.0
2014-02-11,6.95
2014-02-12,6.8
2014-02-13,6.55
2014-02-14,6.6
2014-02-17,6.55
2014-02-18,6.5
2014-02-19,6.5
2014-02-20,6.5
2014-02-21,6.5
2014-02-24,6.6
2014-02-25,6.5
2014-02-26,6.55
2014-02-28,6.4
2014-03-03,6.4
2014-03-04,6.45
2014-03-05,6.45
2014-03-06,6.9
2014-03-07,6.95
2014-03-10,6.95
2014-03-11,6.9
2014-03-12,6.65
2014-03-13,6.55
2014-03-14,6.65
2014-03-18,6.6
2014-03-19,6.55
2014-03-20,6.2
2014-03-21,6.05
2014-03-22,6.0
2014-03-24,6.2
2014-03-25,6.0
2014-03-26,5.9
2014-03-27,6.0
2014-03-28,6.3
2014-03-31,6.5
2014-04-01,6.7
2014-04-02,7.6
2014-04-03,7.6
2014-04-04,7.8
2014-04-07,7.9
2014-04-09,8.2
2014-04-10,7.75
2014-04-11,7.7
2014-04-15,7.65
2014-04-16,7.45
2014-04-17,7.6
2014-04-21,7.95
2014-04-22,7.75
2014-04-23,7.7
2014-04-25,7.45
2014-04-28,7.5
2014-04-29,7.45
2014-04-30,7.0
2014-05-02,7.1
2014-05-05,7.0
2014-05-06,6.9
2014-05-07,6.8
2014-05-08,6.9
2014-05-09,7.25
2014-05-12,7.4
2014-05-13,7.6
2014-05-14,7.75
2014-05-15,7.6
2014-05-16,7.5
2014-05-19,8.4
2014-05-20,8.95
2014-05-21,10.2
2014-05-22,10.4
2014-05-23,10.4
2014-05-26,10.4
2014-05-27,10.1
2014-05-28,10.2
2014-05-29,10.45
2014-05-30,9.75
2014-06-02,10.3
2014-06-03,10.35
2014-06-04,11.1
2014-06-05,12.3
2014-06-06,13.7
2014-06-09,15.05
2014-06-10,15.95
2014-06-11,15.05
2014-06-12,14.7
2014-06-13,13.55
2014-06-16,14.8
2014-06-17,15.1
2014-06-18,14.35
2014-06-19,14.15
2014-06-20,13.7
2014-06-23,14.35
2014-06-24,14.45
2014-06-25,14.2
2014-06-26,13.9
2014-06-27,13.9
2014-06-30,14.25
2014-07-01,14.7
2014-07-02,14.6
2014-07-03,14.4
2014-07-04,14.15
2014-07-07,14.55
2014-07-08,13.2
2014-07-09,12.95
2014-07-10,13.2
2014-07-11,12.05
2014-07-14,12.25
2014-07-15,12.5
2014-07-16,12.6
2014-07-17,13.15
2014-07-18,13.25
2014-07-21,13.95
2014-07-22,13.8
2014-07-23,13.55
2014-07-24,13.2
2014-07-25,12.8
2014-07-28,12.4
2014-07-30,12.4
2014-07-31,12.3
2014-08-01,12.0
2014-08-04,11.55
2014-08-05,11.9
2014-08-06,11.6
2014-08-07,11.5
2014-08-08,10.8
2014-08-11,10.7
2014-08-12,10.6
2014-08-13,10.2
2014-08-14,10.95
2014-08-18,12.3
2014-08-19,12.2
2014-08-20,11.7
2014-08-21,11.8
2014-08-22,11.6
2014-08-25,11.8
2014-08-26,12.45
2014-08-27,13.1
2014-08-28,12.7
2014-09-01,12.85
2014-09-02,12.85
2014-09-03,12.5
2014-09-04,12.4
2014-09-05,12.15
2014-09-08,12.3
2014-09-09,12.95
2014-09-10,13.05
2014-09-11,13.05
2014-09-12,12.75
2014-09-15,13.65
2014-09-16,12.6
2014-09-17,12.85
2014-09-18,13.15
2014-09-19,12.75
2014-09-22,12.65
2014-09-23,12.1
2014-09-24,11.7
2014-09-25,10.95
2014-09-26,11.0
2014-09-29,12.45
2014-09-30,11.8
2014-10-01,12.35
2014-10-07,12.85
2014-10-08,12.7
2014-10-09,12.8
2014-10-10,12.35
2014-10-13,12.35
2014-10-14,12.05
2014-10-16,11.45
2014-10-17,11.6
2014-10-20,11.6
2014-10-21,11.7
2014-10-22,11.9
2014-10-23,12.0
2014-10-27,11.7
2014-10-28,11.85
2014-10-29,11.9
2014-10-30,11.8
2014-10-31,12.5
2014-11-03,12.45
2014-11-05,12.3
2014-11-07,11.95
2014-11-10,11.85
2014-11-11,11.9
2014-11-12,11.9
2014-11-13,11.6
2014-11-14,11.3
2014-11-17,11.4
2014-11-18,11.3
2014-11-19,11.15
2014-11-20,11.75
2014-11-21,11.3
2014-11-24,11.15
2014-11-25,10.6
2014-11-26,10.75
2014-11-27,10.5
2014-11-28,10.5
2014-12-01,10.15
2014-12-02,10.25
2014-12-03,10.85
2014-12-04,12.15
2014-12-05,11.65
2014-12-08,11.15
2014-12-09,10.95
2014-12-10,11.05
2014-12-11,11.25
2014-12-12,10.85
2014-12-15,10.65
2014-12-16,10.2
2014-12-17,9.95
2014-12-18,10.35
2014-12-19,10.35
2014-12-22,10.2
2014-12-23,9.9
2014-12-24,9.95
2014-12-26,10.05
2014-12-29,10.1
2014-12-30,10.05
2014-12-31,10.05
