Date,ALCHEM
2014-01-01,47.95
2014-01-02,46.55
2014-01-03,46.0
2014-01-06,46.95
2014-01-07,46.95
2014-01-08,46.9
2014-01-09,47.0
2014-01-10,46.05
2014-01-13,46.3
2014-01-14,45.6
2014-01-15,45.5
2014-01-16,45.1
2014-01-17,44.8
2014-01-20,45.4
2014-01-21,45.65
2014-01-22,44.45
2014-01-23,44.35
2014-01-24,44.85
2014-01-27,42.6
2014-01-28,42.9
2014-01-29,43.85
2014-01-30,41.95
2014-01-31,43.7
2014-02-03,43.3
2014-02-04,41.25
2014-02-05,42.45
2014-02-06,41.4
2014-02-07,42.0
2014-02-10,41.2
2014-02-11,42.05
2014-02-12,40.8
2014-02-13,39.05
2014-02-14,40.65
2014-02-17,39.65
2014-02-18,39.75
2014-02-19,38.8
2014-02-20,38.8
2014-02-21,39.35
2014-02-24,41.65
2014-02-25,43.2
2014-02-26,41.7
2014-02-28,41.2
2014-03-03,39.85
2014-03-04,40.6
2014-03-05,40.0
2014-03-06,41.3
2014-03-07,41.8
2014-03-10,41.3
2014-03-11,40.2
2014-03-12,40.55
2014-03-13,40.95
2014-03-14,41.4
2014-03-18,40.05
2014-03-19,40.25
2014-03-20,39.85
2014-03-21,39.95
2014-03-22,40.6
2014-03-24,40.0
2014-03-25,39.9
2014-03-26,39.2
2014-03-27,41.1
2014-03-28,41.05
2014-03-31,40.05
2014-04-01,40.5
2014-04-02,41.2
2014-04-03,39.95
2014-04-04,39.95
2014-04-07,40.2
2014-04-09,41.85
2014-04-10,45.1
2014-04-11,44.05
2014-04-15,42.95
2014-04-16,41.9
2014-04-17,42.45
2014-04-21,43.6
2014-04-22,42.55
2014-04-23,42.85
2014-04-25,42.5
2014-04-28,42.75
2014-04-29,45.1
2014-04-30,54.1
2014-05-02,63.75
2014-05-05,65.85
2014-05-06,62.3
2014-05-07,57.05
2014-05-08,54.05
2014-05-09,56.3
2014-05-12,54.4
2014-05-13,53.1
2014-05-14,52.95
2014-05-15,52.5
2014-05-16,51.6
2014-05-19,56.4
2014-05-20,61.3
2014-05-21,63.75
2014-05-22,63.35
2014-05-23,65.55
2014-05-26,62.3
2014-05-27,59.2
2014-05-28,59.05
2014-05-29,59.1
2014-05-30,56.15
2014-06-02,53.35
2014-06-03,52.9
2014-06-04,55.1
2014-06-05,57.85
2014-06-06,58.55
2014-06-09,59.45
2014-06-10,59.85
2014-06-11,58.45
2014-06-12,58.8
2014-06-13,56.55
2014-06-16,55.55
2014-06-17,56.6
2014-06-18,57.65
2014-06-19,57.95
2014-06-20,57.2
2014-06-23,57.6
2014-06-24,58.05
2014-06-25,58.05
2014-06-26,57.7
2014-06-27,58.5
2014-06-30,58.9
2014-07-01,59.15
2014-07-02,58.8
2014-07-03,57.2
2014-07-04,56.3
2014-07-07,57.05
2014-07-08,54.9
2014-07-09,52.95
2014-07-10,53.8
2014-07-11,51.95
2014-07-14,52.4
2014-07-15,52.7
2014-07-16,52.8
2014-07-17,57.0
2014-07-18,55.4
2014-07-21,56.35
2014-07-22,55.05
2014-07-23,55.4
2014-07-24,54.75
2014-07-25,53.75
2014-07-28,54.4
2014-07-30,52.65
2014-07-31,52.6
2014-08-01,52.5
2014-08-04,53.45
2014-08-05,52.9
2014-08-06,53.65
2014-08-07,52.55
2014-08-08,51.85
2014-08-11,52.5
2014-08-12,52.6
2014-08-13,52.55
2014-08-14,45.6
2014-08-18,43.1
2014-08-19,45.5
2014-08-20,44.85
2014-08-21,43.5
2014-08-22,45.35
2014-08-25,45.8
2014-08-26,42.85
2014-08-27,43.15
2014-08-28,42.65
2014-09-01,42.7
2014-09-02,43.4
2014-09-03,45.6
2014-09-04,44.3
2014-09-05,44.85
2014-09-08,45.15
2014-09-09,45.0
2014-09-10,46.0
2014-09-11,46.95
2014-09-12,48.2
2014-09-15,49.7
2014-09-16,55.7
2014-09-17,56.5
2014-09-18,55.55
2014-09-19,56.1
2014-09-22,56.2
2014-09-23,53.7
2014-09-24,51.8
2014-09-25,48.85
2014-09-26,47.25
2014-09-29,47.7
2014-09-30,47.95
2014-10-01,47.55
2014-10-07,45.05
2014-10-08,45.45
2014-10-09,45.4
2014-10-10,45.2
2014-10-13,43.95
2014-10-14,44.0
2014-10-16,42.9
2014-10-17,42.95
2014-10-20,42.75
2014-10-21,42.3
2014-10-22,43.3
2014-10-23,42.45
2014-10-27,41.9
2014-10-28,42.95
2014-10-29,42.5
2014-10-30,42.35
2014-10-31,42.7
2014-11-03,42.7
2014-11-05,42.1
2014-11-07,41.6
2014-11-10,40.75
2014-11-11,41.25
2014-11-12,40.8
2014-11-13,40.55
2014-11-14,39.2
2014-11-17,37.45
2014-11-18,39.55
2014-11-19,39.85
2014-11-20,39.5
2014-11-21,38.25
2014-11-24,38.5
2014-11-25,37.35
2014-11-26,37.1
2014-11-27,37.15
2014-11-28,36.25
2014-12-01,34.35
2014-12-02,34.75
2014-12-03,34.55
2014-12-04,34.75
2014-12-05,33.9
2014-12-08,35.15
2014-12-09,33.9
2014-12-10,33.85
2014-12-11,33.95
2014-12-12,33.45
2014-12-15,33.15
2014-12-16,31.2
2014-12-17,30.2
2014-12-18,31.5
2014-12-19,31.7
2014-12-22,31.7
2014-12-23,31.25
2014-12-24,31.8
2014-12-26,31.4
2014-12-29,31.6
2014-12-30,31.7
2014-12-31,33.25
