Date,RAINBOWPAP
2014-01-01,75.15
2014-01-02,75.45
2014-01-03,75.0
2014-01-06,75.8
2014-01-07,74.7
2014-01-08,77.15
2014-01-09,76.45
2014-01-10,76.2
2014-01-13,75.5
2014-01-14,76.0
2014-01-15,75.65
2014-01-16,76.15
2014-01-17,75.9
2014-01-20,75.2
2014-01-21,75.15
2014-01-22,76.05
2014-01-23,75.75
2014-01-24,76.1
2014-01-27,75.9
2014-01-28,75.9
2014-01-29,75.95
2014-01-30,75.9
2014-01-31,76.0
2014-02-03,74.9
2014-02-04,75.0
2014-02-05,74.8
2014-02-06,74.85
2014-02-07,75.0
2014-02-10,74.75
2014-02-11,75.1
2014-02-12,74.8
2014-02-13,75.0
2014-02-14,75.0
2014-02-17,74.5
2014-02-18,74.9
2014-02-19,74.9
2014-02-20,74.9
2014-02-21,74.95
2014-02-24,74.95
2014-02-25,74.9
2014-02-26,74.9
2014-02-28,74.85
2014-03-03,75.0
2014-03-04,74.5
2014-03-05,74.9
2014-03-06,74.95
2014-03-07,74.55
2014-03-10,74.85
2014-03-11,74.45
2014-03-12,74.9
2014-03-13,74.9
2014-03-14,74.65
2014-03-18,74.75
2014-03-19,74.65
2014-03-20,74.8
2014-03-21,74.7
2014-03-22,74.75
2014-03-24,74.45
2014-03-25,74.65
2014-03-26,73.45
2014-03-27,72.5
2014-03-28,74.6
2014-03-31,74.75
2014-04-01,74.85
2014-04-02,74.5
2014-04-03,74.2
2014-04-04,74.0
2014-04-07,74.0
2014-04-09,73.9
2014-04-10,73.9
2014-04-11,73.25
2014-04-15,74.25
2014-04-16,73.95
2014-04-17,74.25
2014-04-21,74.25
2014-04-22,72.5
2014-04-23,72.55
2014-04-25,72.45
2014-04-28,71.85
2014-04-29,71.9
2014-04-30,71.25
2014-05-02,71.75
2014-05-05,70.9
2014-05-06,70.75
2014-05-07,71.45
2014-05-08,71.5
2014-05-09,71.5
2014-05-12,71.0
2014-05-13,73.95
2014-05-14,73.95
2014-05-15,73.55
2014-05-16,76.4
2014-05-19,78.35
2014-05-20,82.3
2014-05-21,80.85
2014-05-22,82.4
2014-05-23,83.3
2014-05-26,81.55
2014-05-27,80.1
2014-05-28,80.75
2014-05-29,80.0
2014-05-30,79.55
2014-06-02,82.35
2014-06-03,82.05
2014-06-04,81.8
2014-06-05,82.35
2014-06-06,81.9
2014-06-09,81.05
2014-06-10,79.8
2014-06-11,82.85
2014-06-12,84.4
2014-06-13,81.7
2014-06-16,82.55
2014-06-17,83.4
2014-06-18,83.0
2014-06-19,83.35
2014-06-20,83.65
2014-06-23,83.45
2014-06-24,83.85
2014-06-25,82.95
2014-06-26,82.65
2014-06-27,82.95
2014-06-30,83.0
2014-07-01,84.75
2014-07-02,87.55
2014-07-03,88.3
2014-07-04,89.05
2014-07-07,89.8
2014-07-08,87.35
2014-07-09,86.0
2014-07-10,86.85
2014-07-11,85.05
2014-07-14,85.4
2014-07-15,85.5
2014-07-16,85.15
2014-07-17,85.3
2014-07-18,84.55
2014-07-21,84.0
2014-07-22,85.05
2014-07-23,84.0
2014-07-24,84.0
2014-07-25,82.25
2014-07-28,78.25
2014-07-30,77.5
2014-07-31,75.8
2014-08-01,74.8
2014-08-04,76.8
2014-08-05,79.0
2014-08-06,81.45
2014-08-07,80.7
2014-08-08,79.2
2014-08-11,79.1
2014-08-12,79.9
2014-08-13,78.55
2014-08-14,81.4
2014-08-18,80.5
2014-08-19,80.05
2014-08-20,80.7
2014-08-21,80.45
2014-08-22,80.0
2014-08-25,80.5
2014-08-26,80.5
2014-08-27,79.35
2014-08-28,80.2
2014-09-01,80.2
2014-09-02,79.95
2014-09-03,80.0
2014-09-04,79.95
2014-09-05,79.8
2014-09-08,81.1
2014-09-09,80.95
2014-09-10,80.2
2014-09-11,80.35
2014-09-12,79.6
2014-09-15,80.35
2014-09-16,79.1
2014-09-17,79.6
2014-09-18,83.55
2014-09-19,83.25
2014-09-22,82.45
2014-09-23,82.45
2014-09-24,81.65
2014-09-25,81.6
2014-09-26,80.9
2014-09-29,80.75
2014-09-30,80.35
2014-10-01,81.0
2014-10-07,80.0
2014-10-08,80.3
2014-10-09,80.5
2014-10-10,80.2
2014-10-13,79.2
2014-10-14,78.5
2014-10-16,79.15
2014-10-17,78.6
2014-10-20,78.3
2014-10-21,78.3
2014-10-22,79.05
2014-10-23,79.15
2014-10-27,79.4
2014-10-28,78.65
2014-10-29,78.85
2014-10-30,79.0
2014-10-31,78.85
2014-11-03,78.85
2014-11-05,77.2
2014-11-07,78.45
2014-11-10,77.45
2014-11-11,77.25
2014-11-12,77.2
2014-11-13,77.35
2014-11-14,76.9
2014-11-17,76.8
2014-11-18,76.25
2014-11-19,75.55
2014-11-20,75.9
2014-11-21,75.5
2014-11-24,74.7
2014-11-25,74.5
2014-11-26,74.2
2014-11-27,74.45
2014-11-28,74.05
2014-12-01,74.45
2014-12-02,74.5
2014-12-03,74.5
2014-12-04,73.85
2014-12-05,73.95
2014-12-08,74.0
2014-12-09,73.0
2014-12-10,73.4
2014-12-11,71.75
2014-12-12,70.0
2014-12-15,69.4
2014-12-16,69.3
2014-12-17,69.45
2014-12-18,69.45
2014-12-19,69.75
2014-12-22,69.55
2014-12-23,69.7
2014-12-24,69.4
2014-12-26,68.45
2014-12-29,68.25
2014-12-30,68.85
2014-12-31,69.5
