Date,BANARISUG
2014-01-01,759.95
2014-01-02,725.0
2014-01-03,738.0
2014-01-06,762.0
2014-01-07,742.0
2014-01-08,768.5
2014-01-09,740.0
2014-01-13,725.45
2014-01-14,748.05
2014-01-15,741.95
2014-01-16,727.1
2014-01-17,725.0
2014-01-20,741.15
2014-01-21,725.0
2014-01-22,725.0
2014-01-23,726.55
2014-01-24,729.4
2014-01-27,715.0
2014-01-28,715.0
2014-01-29,715.0
2014-01-30,715.0
2014-01-31,725.0
2014-02-03,715.0
2014-02-04,720.0
2014-02-05,715.0
2014-02-06,720.0
2014-02-07,720.0
2014-02-10,715.0
2014-02-11,715.1
2014-02-12,715.0
2014-02-14,715.0
2014-02-17,715.0
2014-02-18,715.05
2014-02-19,729.45
2014-02-20,721.45
2014-02-21,731.85
2014-02-24,725.0
2014-02-26,761.25
2014-02-28,757.7
2014-03-03,795.55
2014-03-04,830.0
2014-03-05,839.65
2014-03-06,863.4
2014-03-07,840.0
2014-03-10,815.95
2014-03-11,799.9
2014-03-12,813.25
2014-03-13,829.85
2014-03-14,841.05
2014-03-18,832.95
2014-03-19,850.0
2014-03-20,834.05
2014-03-21,833.0
2014-03-22,870.0
2014-03-24,832.15
2014-03-25,835.0
2014-03-26,812.75
2014-03-27,819.75
2014-03-28,817.8
2014-03-31,817.25
2014-04-01,829.7
2014-04-02,866.8
2014-04-03,897.4
2014-04-04,952.05
2014-04-07,963.85
2014-04-09,931.65
2014-04-10,902.25
2014-04-11,913.15
2014-04-15,900.0
2014-04-16,913.3
2014-04-17,933.45
2014-04-21,921.95
2014-04-22,920.2
2014-04-23,932.8
2014-04-25,924.8
2014-04-28,944.95
2014-04-29,925.0
2014-04-30,910.0
2014-05-02,935.0
2014-05-05,920.5
2014-05-06,940.55
2014-05-07,922.2
2014-05-08,938.85
2014-05-09,926.75
2014-05-12,925.0
2014-05-13,918.8
2014-05-14,950.0
2014-05-15,917.45
2014-05-16,890.4
2014-05-19,961.5
2014-05-20,975.85
2014-05-21,981.85
2014-05-22,1071.25
2014-05-23,1083.1
2014-05-26,1050.65
2014-05-27,997.9
2014-05-28,1000.05
2014-05-29,961.55
2014-05-30,1010.0
2014-06-02,994.2
2014-06-03,1038.0
2014-06-04,1030.05
2014-06-05,1028.15
2014-06-06,1146.0
2014-06-09,1099.2
2014-06-10,1081.0
2014-06-11,1116.3
2014-06-12,1068.15
2014-06-13,1032.15
2014-06-16,999.95
2014-06-17,1034.8
2014-06-18,1019.55
2014-06-19,1036.45
2014-06-20,1048.75
2014-06-23,1119.1
2014-06-24,1124.5
2014-06-25,1122.3
2014-06-26,1090.0
2014-06-27,1071.75
2014-06-30,1045.0
2014-07-01,1077.1
2014-07-02,1074.3
2014-07-03,1050.0
2014-07-04,1058.9
2014-07-07,1047.85
2014-07-08,1050.55
2014-07-09,1027.0
2014-07-10,1053.25
2014-07-11,992.15
2014-07-14,1008.95
2014-07-15,996.0
2014-07-16,998.95
2014-07-17,999.0
2014-07-18,993.2
2014-07-21,978.55
2014-07-22,993.0
2014-07-23,973.8
2014-07-24,989.75
2014-07-25,971.3
2014-07-28,957.2
2014-07-30,908.5
2014-07-31,911.2
2014-08-01,955.7
2014-08-04,953.25
2014-08-05,975.0
2014-08-06,977.85
2014-08-07,975.0
2014-08-08,976.85
2014-08-11,976.0
2014-08-12,996.8
2014-08-13,980.1
2014-08-14,976.15
2014-08-18,1025.65
2014-08-19,1067.45
2014-08-20,1078.65
2014-08-21,1076.5
2014-08-22,1120.65
2014-08-25,1100.0
2014-08-26,1100.0
2014-08-27,1101.8
2014-08-28,1107.9
2014-09-01,1171.1
2014-09-02,1186.2
2014-09-03,1174.1
2014-09-04,1252.45
2014-09-05,1231.0
2014-09-08,1440.45
2014-09-09,1401.5
2014-09-10,1418.0
2014-09-11,1418.9
2014-09-12,1448.55
2014-09-15,1376.6
2014-09-16,1287.75
2014-09-17,1268.7
2014-09-18,1286.5
2014-09-19,1279.05
2014-09-22,1258.45
2014-09-23,1245.9
2014-09-24,1223.2
2014-09-25,1206.0
2014-09-26,1224.35
2014-09-29,1207.0
2014-09-30,1215.15
2014-10-01,1225.5
2014-10-07,1210.0
2014-10-08,1200.7
2014-10-09,1218.4
2014-10-10,1194.25
2014-10-13,1201.05
2014-10-14,1194.1
2014-10-16,1191.4
2014-10-17,1182.2
2014-10-20,1196.95
2014-10-21,1255.55
2014-10-22,1274.2
2014-10-23,1260.0
2014-10-27,1259.0
2014-10-28,1293.2
2014-10-29,1278.75
2014-10-30,1253.35
2014-10-31,1265.45
2014-11-03,1299.75
2014-11-05,1284.65
2014-11-07,1279.5
2014-11-10,1271.0
2014-11-11,1333.55
2014-11-12,1307.35
2014-11-13,1418.55
2014-11-14,1372.9
2014-11-17,1337.75
2014-11-18,1365.45
2014-11-19,1349.45
2014-11-20,1333.6
2014-11-21,1309.1
2014-11-24,1301.05
2014-11-25,1262.55
2014-11-26,1295.0
2014-11-27,1249.05
2014-11-28,1248.05
2014-12-01,1236.45
2014-12-02,1223.4
2014-12-03,1232.0
2014-12-04,1256.65
2014-12-05,1225.4
2014-12-08,1226.45
2014-12-09,1222.9
2014-12-10,1212.7
2014-12-11,1225.5
2014-12-12,1184.4
2014-12-15,1157.1
2014-12-16,1101.8
2014-12-17,1180.95
2014-12-18,1159.0
2014-12-19,1193.6
2014-12-22,1132.8
2014-12-23,1103.0
2014-12-24,1149.2
2014-12-26,1141.0
2014-12-29,1152.75
2014-12-30,1147.95
2014-12-31,1121.85
