Date,SHARONBIO
2014-01-01,392.8
2014-01-02,384.4
2014-01-03,373.15
2014-01-06,407.9
2014-01-07,434.8
2014-01-08,450.2
2014-01-09,441.05
2014-01-10,429.75
2014-01-13,443.1
2014-01-14,431.0
2014-01-15,416.2
2014-01-16,418.8
2014-01-17,392.0
2014-01-20,388.65
2014-01-21,376.15
2014-01-22,379.95
2014-01-23,378.15
2014-01-24,375.85
2014-01-27,359.6
2014-01-28,350.1
2014-01-29,337.35
2014-01-30,321.1
2014-01-31,357.95
2014-02-03,355.25
2014-02-04,359.45
2014-02-05,367.95
2014-02-06,369.0
2014-02-07,370.1
2014-02-10,382.05
2014-02-11,384.5
2014-02-12,385.1
2014-02-13,405.25
2014-02-14,409.4
2014-02-17,422.85
2014-02-18,417.1
2014-02-19,411.85
2014-02-20,49.4
2014-02-21,50.35
2014-02-24,52.1
2014-02-25,51.15
2014-02-26,50.0
2014-02-28,48.1
2014-03-03,50.25
2014-03-04,49.15
2014-03-05,47.95
2014-03-06,46.4
2014-03-07,45.1
2014-03-10,41.6
2014-03-11,41.0
2014-03-12,44.75
2014-03-13,44.55
2014-03-14,45.35
2014-03-18,44.6
2014-03-19,43.9
2014-03-20,42.6
2014-03-21,42.9
2014-03-22,42.85
2014-03-24,42.2
2014-03-25,41.65
2014-03-26,40.2
2014-03-27,42.15
2014-03-28,43.15
2014-03-31,42.0
2014-04-01,42.05
2014-04-02,41.9
2014-04-03,42.55
2014-04-04,42.9
2014-04-07,44.75
2014-04-09,46.2
2014-04-10,45.8
2014-04-11,45.35
2014-04-15,45.45
2014-04-16,44.8
2014-04-17,45.1
2014-04-21,48.2
2014-04-22,47.9
2014-04-23,47.7
2014-04-25,46.4
2014-04-28,46.5
2014-04-29,47.05
2014-04-30,44.95
2014-05-02,46.0
2014-05-05,44.9
2014-05-06,43.15
2014-05-07,43.15
2014-05-08,43.05
2014-05-09,43.7
2014-05-12,43.45
2014-05-13,44.1
2014-05-14,45.25
2014-05-15,45.4
2014-05-16,44.85
2014-05-19,44.7
2014-05-20,44.25
2014-05-21,45.35
2014-05-22,44.9
2014-05-23,46.05
2014-05-26,44.9
2014-05-27,44.65
2014-05-28,45.6
2014-05-29,45.5
2014-05-30,45.4
2014-06-02,45.8
2014-06-03,44.25
2014-06-04,45.15
2014-06-05,44.7
2014-06-06,44.65
2014-06-09,45.3
2014-06-10,47.05
2014-06-11,45.65
2014-06-12,45.55
2014-06-13,45.2
2014-06-16,44.1
2014-06-17,44.4
2014-06-18,44.1
2014-06-19,44.2
2014-06-20,46.0
2014-06-23,46.05
2014-06-24,46.45
2014-06-25,46.45
2014-06-26,45.95
2014-06-27,45.2
2014-06-30,47.95
2014-07-01,47.55
2014-07-02,49.5
2014-07-03,54.1
2014-07-04,60.8
2014-07-07,69.45
2014-07-08,63.15
2014-07-09,60.1
2014-07-10,61.45
2014-07-11,58.75
2014-07-14,59.3
2014-07-15,59.65
2014-07-16,61.35
2014-07-17,60.85
2014-07-18,60.75
2014-07-21,63.6
2014-07-22,67.9
2014-07-23,65.95
2014-07-24,65.7
2014-07-25,69.85
2014-07-28,68.75
2014-07-30,75.55
2014-07-31,75.8
2014-08-01,75.85
2014-08-04,79.5
2014-08-05,81.9
2014-08-06,80.75
2014-08-07,80.5
2014-08-08,77.7
2014-08-11,76.95
2014-08-12,80.65
2014-08-13,77.05
2014-08-14,77.75
2014-08-18,78.95
2014-08-19,77.05
2014-08-20,76.25
2014-08-21,76.05
2014-08-22,73.8
2014-08-25,72.55
2014-08-26,70.8
2014-08-27,71.75
2014-08-28,70.9
2014-09-01,72.7
2014-09-02,75.9
2014-09-03,76.9
2014-09-04,76.05
2014-09-05,80.1
2014-09-08,85.2
2014-09-09,84.5
2014-09-10,84.55
2014-09-11,86.9
2014-09-12,85.4
2014-09-15,86.95
2014-09-16,79.6
2014-09-17,79.1
2014-09-18,81.5
2014-09-19,78.9
2014-09-22,79.65
2014-09-23,77.75
2014-09-24,77.45
2014-09-25,69.65
2014-09-26,69.9
2014-09-29,70.05
2014-09-30,69.25
2014-10-01,69.2
2014-10-07,68.05
2014-10-08,66.3
2014-10-09,68.05
2014-10-10,70.85
2014-10-13,68.5
2014-10-14,67.6
2014-10-16,65.85
2014-10-17,65.25
2014-10-20,65.15
2014-10-21,63.6
2014-10-22,62.8
2014-10-23,63.45
2014-10-27,63.65
2014-10-28,63.1
2014-10-29,62.1
2014-10-30,61.95
2014-10-31,64.05
2014-11-03,62.5
2014-11-05,67.15
2014-11-07,63.85
2014-11-10,64.0
2014-11-11,64.2
2014-11-12,66.0
2014-11-13,65.15
2014-11-14,63.75
2014-11-17,62.45
2014-11-18,60.15
2014-11-19,58.95
2014-11-20,56.6
2014-11-21,56.45
2014-11-24,59.6
2014-11-25,57.25
2014-11-26,56.7
2014-11-27,57.1
2014-11-28,56.65
2014-12-01,54.8
2014-12-02,51.65
2014-12-03,52.2
2014-12-04,52.1
2014-12-05,52.25
2014-12-08,50.65
2014-12-09,51.35
2014-12-10,50.95
2014-12-11,49.9
2014-12-12,49.0
2014-12-15,39.2
2014-12-16,42.3
2014-12-17,39.8
2014-12-18,43.05
2014-12-19,39.25
2014-12-22,36.0
2014-12-23,33.7
2014-12-24,28.2
2014-12-26,25.4
2014-12-29,27.9
2014-12-30,30.65
2014-12-31,33.7
