Date,CANFINHOME
2014-01-01,170.7
2014-01-02,171.5
2014-01-03,173.0
2014-01-06,173.65
2014-01-07,172.5
2014-01-08,171.1
2014-01-09,170.0
2014-01-10,170.0
2014-01-13,170.2
2014-01-14,170.0
2014-01-15,171.65
2014-01-16,169.1
2014-01-17,165.05
2014-01-20,166.55
2014-01-21,167.2
2014-01-22,170.3
2014-01-23,169.25
2014-01-24,168.4
2014-01-27,162.0
2014-01-28,162.75
2014-01-29,165.4
2014-01-30,161.15
2014-01-31,163.85
2014-02-03,168.7
2014-02-04,174.95
2014-02-05,175.35
2014-02-06,174.95
2014-02-07,174.35
2014-02-10,175.15
2014-02-11,176.3
2014-02-12,174.8
2014-02-13,177.5
2014-02-14,178.3
2014-02-17,175.95
2014-02-18,175.95
2014-02-19,174.05
2014-02-20,174.05
2014-02-21,174.4
2014-02-24,174.05
2014-02-25,173.7
2014-02-26,173.75
2014-02-28,173.2
2014-03-03,173.5
2014-03-04,190.55
2014-03-05,192.25
2014-03-06,189.1
2014-03-07,183.1
2014-03-10,183.95
2014-03-11,183.85
2014-03-12,182.8
2014-03-13,183.85
2014-03-14,185.8
2014-03-18,188.75
2014-03-19,189.2
2014-03-20,188.2
2014-03-21,187.05
2014-03-22,185.7
2014-03-24,185.25
2014-03-25,187.35
2014-03-26,183.85
2014-03-27,189.05
2014-03-28,188.85
2014-03-31,190.7
2014-04-01,192.1
2014-04-02,195.75
2014-04-03,201.1
2014-04-04,204.55
2014-04-07,205.45
2014-04-09,220.85
2014-04-10,226.0
2014-04-11,232.7
2014-04-15,237.95
2014-04-16,237.4
2014-04-17,235.8
2014-04-21,247.25
2014-04-22,246.65
2014-04-23,254.05
2014-04-25,249.05
2014-04-28,246.2
2014-04-29,246.4
2014-04-30,238.75
2014-05-02,238.2
2014-05-05,239.7
2014-05-06,237.2
2014-05-07,236.1
2014-05-08,233.55
2014-05-09,234.85
2014-05-12,238.7
2014-05-13,236.5
2014-05-14,241.6
2014-05-15,235.75
2014-05-16,238.5
2014-05-19,259.1
2014-05-20,272.25
2014-05-21,264.05
2014-05-22,306.05
2014-05-23,340.55
2014-05-26,337.45
2014-05-27,328.05
2014-05-28,334.15
2014-05-29,335.9
2014-05-30,346.05
2014-06-02,355.4
2014-06-03,352.85
2014-06-04,366.6
2014-06-05,363.35
2014-06-06,364.95
2014-06-09,360.5
2014-06-10,354.0
2014-06-11,352.25
2014-06-12,351.85
2014-06-13,335.8
2014-06-16,334.9
2014-06-17,342.7
2014-06-18,341.45
2014-06-19,342.15
2014-06-20,342.1
2014-06-23,346.5
2014-06-24,360.3
2014-06-25,376.75
2014-06-26,371.15
2014-06-27,408.25
2014-06-30,404.2
2014-07-01,411.3
2014-07-02,422.8
2014-07-03,416.05
2014-07-04,422.35
2014-07-07,476.6
2014-07-08,434.05
2014-07-09,426.15
2014-07-10,437.65
2014-07-11,423.35
2014-07-14,425.0
2014-07-15,432.0
2014-07-16,453.25
2014-07-17,452.1
2014-07-18,447.8
2014-07-21,455.9
2014-07-22,454.0
2014-07-23,439.55
2014-07-24,453.0
2014-07-25,409.4
2014-07-28,396.8
2014-07-30,390.65
2014-07-31,396.5
2014-08-01,385.05
2014-08-04,384.4
2014-08-05,396.3
2014-08-06,396.05
2014-08-07,396.15
2014-08-08,385.3
2014-08-11,375.05
2014-08-12,368.65
2014-08-13,375.9
2014-08-14,374.6
2014-08-18,379.7
2014-08-19,378.05
2014-08-20,380.3
2014-08-21,387.05
2014-08-22,378.25
2014-08-25,383.95
2014-08-26,380.4
2014-08-27,376.9
2014-08-28,381.4
2014-09-01,385.55
2014-09-02,421.3
2014-09-03,413.1
2014-09-04,413.3
2014-09-05,424.45
2014-09-08,426.5
2014-09-09,460.15
2014-09-10,456.8
2014-09-11,466.3
2014-09-12,462.2
2014-09-15,464.7
2014-09-16,434.25
2014-09-17,420.25
2014-09-18,441.2
2014-09-19,436.6
2014-09-22,430.5
2014-09-23,421.9
2014-09-24,434.75
2014-09-25,425.5
2014-09-26,428.25
2014-09-29,429.6
2014-09-30,426.4
2014-10-01,450.35
2014-10-07,438.8
2014-10-08,450.9
2014-10-09,459.45
2014-10-10,446.25
2014-10-13,461.15
2014-10-14,466.8
2014-10-16,478.0
2014-10-17,486.2
2014-10-20,491.5
2014-10-21,487.5
2014-10-22,490.0
2014-10-23,496.6
2014-10-27,492.25
2014-10-28,487.95
2014-10-29,483.35
2014-10-30,484.45
2014-10-31,480.4
2014-11-03,480.15
2014-11-05,487.65
2014-11-07,515.25
2014-11-10,515.65
2014-11-11,517.8
2014-11-12,510.65
2014-11-13,494.95
2014-11-14,493.25
2014-11-17,504.25
2014-11-18,507.45
2014-11-19,496.85
2014-11-20,494.65
2014-11-21,495.25
2014-11-24,499.7
2014-11-25,485.65
2014-11-26,488.85
2014-11-27,490.35
2014-11-28,496.0
2014-12-01,492.05
2014-12-02,491.5
2014-12-03,499.9
2014-12-04,489.65
2014-12-05,483.85
2014-12-08,489.75
2014-12-09,490.2
2014-12-10,494.7
2014-12-11,495.7
2014-12-12,493.55
2014-12-15,497.35
2014-12-16,489.75
2014-12-17,477.0
2014-12-18,490.65
2014-12-19,491.95
2014-12-22,495.65
2014-12-23,506.15
2014-12-24,498.95
2014-12-26,498.8
2014-12-29,497.5
2014-12-30,497.0
2014-12-31,499.85
