Date,AMTEKAUTO
2014-01-01,74.9
2014-01-02,73.05
2014-01-03,72.5
2014-01-06,72.1
2014-01-07,72.55
2014-01-08,72.95
2014-01-09,72.2
2014-01-10,70.8
2014-01-13,70.65
2014-01-14,70.3
2014-01-15,70.1
2014-01-16,70.3
2014-01-17,68.6
2014-01-20,69.25
2014-01-21,71.1
2014-01-22,69.45
2014-01-23,67.25
2014-01-24,66.35
2014-01-27,66.0
2014-01-28,66.2
2014-01-29,66.65
2014-01-30,64.7
2014-01-31,64.75
2014-02-03,64.1
2014-02-04,62.85
2014-02-05,64.55
2014-02-06,65.05
2014-02-07,67.4
2014-02-10,67.95
2014-02-11,69.35
2014-02-12,69.3
2014-02-13,68.4
2014-02-14,81.0
2014-02-17,88.95
2014-02-18,92.85
2014-02-19,90.7
2014-02-20,88.9
2014-02-21,91.9
2014-02-24,89.2
2014-02-25,90.95
2014-02-26,99.45
2014-02-28,100.2
2014-03-03,99.0
2014-03-04,101.75
2014-03-05,102.1
2014-03-06,104.55
2014-03-07,106.35
2014-03-10,108.1
2014-03-11,108.75
2014-03-12,108.1
2014-03-13,106.9
2014-03-14,115.6
2014-03-18,138.7
2014-03-19,137.15
2014-03-20,138.4
2014-03-21,139.9
2014-03-22,140.1
2014-03-24,152.1
2014-03-25,153.7
2014-03-26,138.7
2014-03-27,149.75
2014-03-28,154.4
2014-03-31,159.1
2014-04-01,158.9
2014-04-02,154.0
2014-04-03,157.0
2014-04-04,154.45
2014-04-07,171.4
2014-04-09,172.0
2014-04-10,174.85
2014-04-11,174.6
2014-04-15,174.4
2014-04-16,172.45
2014-04-17,173.45
2014-04-21,177.15
2014-04-22,177.0
2014-04-23,181.1
2014-04-25,176.55
2014-04-28,178.5
2014-04-29,179.85
2014-04-30,173.75
2014-05-02,184.85
2014-05-05,181.4
2014-05-06,184.4
2014-05-07,184.05
2014-05-08,184.75
2014-05-09,181.0
2014-05-12,180.75
2014-05-13,180.15
2014-05-14,182.65
2014-05-15,181.65
2014-05-16,179.35
2014-05-19,178.6
2014-05-20,181.3
2014-05-21,182.85
2014-05-22,188.0
2014-05-23,198.1
2014-05-26,197.05
2014-05-27,199.8
2014-05-28,198.75
2014-05-29,198.55
2014-05-30,194.3
2014-06-02,192.75
2014-06-03,201.4
2014-06-04,210.0
2014-06-05,222.1
2014-06-06,264.45
2014-06-09,265.4
2014-06-10,260.05
2014-06-11,252.8
2014-06-12,254.35
2014-06-13,248.45
2014-06-16,252.0
2014-06-17,248.75
2014-06-18,240.95
2014-06-19,243.5
2014-06-20,237.8
2014-06-23,243.65
2014-06-24,248.6
2014-06-25,245.55
2014-06-26,245.45
2014-06-27,244.6
2014-06-30,245.9
2014-07-01,251.85
2014-07-02,249.2
2014-07-03,251.35
2014-07-04,243.05
2014-07-07,238.5
2014-07-08,227.85
2014-07-09,219.05
2014-07-10,236.9
2014-07-11,243.3
2014-07-14,243.0
2014-07-15,243.55
2014-07-16,243.45
2014-07-17,243.8
2014-07-18,243.4
2014-07-21,243.2
2014-07-22,243.65
2014-07-23,242.85
2014-07-24,241.3
2014-07-25,242.4
2014-07-28,252.95
2014-07-30,252.4
2014-07-31,258.6
2014-08-01,256.95
2014-08-04,264.75
2014-08-05,262.75
2014-08-06,247.3
2014-08-07,241.9
2014-08-08,233.35
2014-08-11,235.15
2014-08-12,246.3
2014-08-13,228.25
2014-08-14,239.45
2014-08-18,243.7
2014-08-19,249.45
2014-08-20,241.95
2014-08-21,231.65
2014-08-22,236.8
2014-08-25,237.0
2014-08-26,239.5
2014-08-27,239.1
2014-08-28,235.0
2014-09-01,235.8
2014-09-02,235.95
2014-09-03,240.3
2014-09-04,238.95
2014-09-05,240.75
2014-09-08,238.8
2014-09-09,237.1
2014-09-10,238.2
2014-09-11,241.65
2014-09-12,255.15
2014-09-15,258.1
2014-09-16,246.4
2014-09-17,233.85
2014-09-18,244.35
2014-09-19,243.6
2014-09-22,237.15
2014-09-23,232.0
2014-09-24,215.75
2014-09-25,197.3
2014-09-26,194.35
2014-09-29,198.2
2014-09-30,201.65
2014-10-01,199.25
2014-10-07,196.2
2014-10-08,192.7
2014-10-09,199.25
2014-10-10,190.7
2014-10-13,181.45
2014-10-14,181.75
2014-10-16,169.8
2014-10-17,162.45
2014-10-20,159.45
2014-10-21,156.55
2014-10-22,165.05
2014-10-23,169.35
2014-10-27,168.55
2014-10-28,165.6
2014-10-29,166.35
2014-10-30,165.25
2014-10-31,165.05
2014-11-03,170.05
2014-11-05,171.85
2014-11-07,165.85
2014-11-10,163.9
2014-11-11,192.5
2014-11-12,199.3
2014-11-13,216.7
2014-11-14,207.3
2014-11-17,208.05
2014-11-18,207.8
2014-11-19,204.1
2014-11-20,208.2
2014-11-21,206.75
2014-11-24,207.8
2014-11-25,195.7
2014-11-26,198.9
2014-11-27,208.4
2014-11-28,214.05
2014-12-01,209.4
2014-12-02,213.6
2014-12-03,214.9
2014-12-04,213.05
2014-12-05,210.55
2014-12-08,202.95
2014-12-09,209.95
2014-12-10,211.3
2014-12-11,205.7
2014-12-12,202.4
2014-12-15,195.85
2014-12-16,180.15
2014-12-17,169.75
2014-12-18,179.35
2014-12-19,176.95
2014-12-22,177.6
2014-12-23,174.5
2014-12-24,169.15
2014-12-26,167.65
2014-12-29,169.35
2014-12-30,166.55
2014-12-31,179.9
