Date,PHOENIXLTD
2014-01-01,228.4
2014-01-02,230.0
2014-01-03,230.0
2014-01-06,229.75
2014-01-07,230.15
2014-01-08,228.05
2014-01-09,225.55
2014-01-10,224.0
2014-01-13,218.7
2014-01-14,213.85
2014-01-15,214.7
2014-01-16,215.15
2014-01-17,215.0
2014-01-20,210.3
2014-01-21,211.9
2014-01-22,211.3
2014-01-23,212.1
2014-01-24,211.3
2014-01-27,203.5
2014-01-28,204.95
2014-01-29,201.3
2014-01-30,200.5
2014-01-31,203.0
2014-02-03,206.4
2014-02-04,218.95
2014-02-05,219.65
2014-02-06,212.65
2014-02-07,215.1
2014-02-10,214.25
2014-02-11,211.55
2014-02-12,214.0
2014-02-13,213.4
2014-02-14,211.15
2014-02-17,211.9
2014-02-18,217.95
2014-02-19,220.75
2014-02-20,219.0
2014-02-21,216.95
2014-02-24,214.3
2014-02-25,220.1
2014-02-26,226.2
2014-02-28,228.55
2014-03-03,230.85
2014-03-04,231.6
2014-03-05,232.4
2014-03-06,231.0
2014-03-07,235.05
2014-03-10,236.2
2014-03-11,235.05
2014-03-12,232.65
2014-03-13,233.15
2014-03-14,230.95
2014-03-18,232.9
2014-03-19,232.2
2014-03-20,234.65
2014-03-21,236.0
2014-03-22,234.35
2014-03-24,234.9
2014-03-25,233.85
2014-03-26,234.0
2014-03-27,237.15
2014-03-28,245.3
2014-03-31,248.6
2014-04-01,248.6
2014-04-02,247.45
2014-04-03,245.35
2014-04-04,243.4
2014-04-07,240.05
2014-04-09,243.2
2014-04-10,246.15
2014-04-11,246.5
2014-04-15,247.95
2014-04-16,248.35
2014-04-17,270.75
2014-04-21,269.3
2014-04-22,269.3
2014-04-23,249.2
2014-04-25,246.95
2014-04-28,249.5
2014-04-29,250.0
2014-04-30,248.3
2014-05-02,242.3
2014-05-05,248.05
2014-05-06,251.0
2014-05-07,246.4
2014-05-08,247.8
2014-05-09,247.9
2014-05-12,239.05
2014-05-13,241.0
2014-05-14,238.1
2014-05-15,239.35
2014-05-16,250.1
2014-05-19,261.7
2014-05-20,273.35
2014-05-21,274.9
2014-05-22,275.25
2014-05-23,277.3
2014-05-26,263.75
2014-05-27,267.05
2014-05-28,277.6
2014-05-29,274.8
2014-05-30,277.85
2014-06-02,274.6
2014-06-03,274.15
2014-06-04,275.1
2014-06-05,281.75
2014-06-06,296.1
2014-06-09,300.15
2014-06-10,299.95
2014-06-11,299.6
2014-06-12,288.95
2014-06-13,299.3
2014-06-16,293.95
2014-06-17,292.1
2014-06-18,290.1
2014-06-19,289.6
2014-06-20,303.95
2014-06-23,307.1
2014-06-24,303.65
2014-06-25,324.15
2014-06-26,320.6
2014-06-27,322.75
2014-06-30,321.2
2014-07-01,330.6
2014-07-02,332.35
2014-07-03,332.2
2014-07-04,344.65
2014-07-07,363.45
2014-07-08,343.1
2014-07-09,337.35
2014-07-10,346.4
2014-07-11,338.55
2014-07-14,333.6
2014-07-15,340.1
2014-07-16,344.6
2014-07-17,349.0
2014-07-18,363.55
2014-07-21,376.95
2014-07-22,376.4
2014-07-23,376.65
2014-07-24,376.75
2014-07-25,373.0
2014-07-28,359.95
2014-07-30,350.05
2014-07-31,352.8
2014-08-01,346.45
2014-08-04,353.05
2014-08-05,358.45
2014-08-06,357.7
2014-08-07,344.75
2014-08-08,333.85
2014-08-11,330.35
2014-08-12,329.7
2014-08-13,319.15
2014-08-14,335.15
2014-08-18,334.45
2014-08-19,334.95
2014-08-20,337.95
2014-08-21,335.5
2014-08-22,334.6
2014-08-25,334.0
2014-08-26,325.75
2014-08-27,326.25
2014-08-28,321.9
2014-09-01,322.2
2014-09-02,320.25
2014-09-03,336.65
2014-09-04,359.2
2014-09-05,366.45
2014-09-08,360.65
2014-09-09,364.75
2014-09-10,365.1
2014-09-11,360.3
2014-09-12,358.35
2014-09-15,362.65
2014-09-16,361.0
2014-09-17,356.6
2014-09-18,379.9
2014-09-19,372.05
2014-09-22,380.25
2014-09-23,363.6
2014-09-24,354.8
2014-09-25,337.0
2014-09-26,326.3
2014-09-29,342.4
2014-09-30,338.75
2014-10-01,334.75
2014-10-07,338.95
2014-10-08,338.75
2014-10-09,350.8
2014-10-10,362.55
2014-10-13,363.55
2014-10-14,360.65
2014-10-16,360.5
2014-10-17,361.1
2014-10-20,370.9
2014-10-21,379.05
2014-10-22,381.7
2014-10-23,375.55
2014-10-27,374.8
2014-10-28,374.3
2014-10-29,378.45
2014-10-30,384.65
2014-10-31,381.25
2014-11-03,380.1
2014-11-05,377.0
2014-11-07,386.4
2014-11-10,385.15
2014-11-11,385.95
2014-11-12,382.45
2014-11-13,375.65
2014-11-14,369.35
2014-11-17,388.75
2014-11-18,379.25
2014-11-19,377.5
2014-11-20,375.0
2014-11-21,372.55
2014-11-24,382.15
2014-11-25,379.95
2014-11-26,383.4
2014-11-27,378.55
2014-11-28,379.25
2014-12-01,373.7
2014-12-02,375.3
2014-12-03,381.55
2014-12-04,388.5
2014-12-05,392.85
2014-12-08,382.0
2014-12-09,379.0
2014-12-10,371.05
2014-12-11,361.65
2014-12-12,359.65
2014-12-15,353.2
2014-12-16,351.35
2014-12-17,350.05
2014-12-18,349.75
2014-12-19,361.25
2014-12-22,355.55
2014-12-23,351.65
2014-12-24,356.85
2014-12-26,354.85
2014-12-29,356.75
2014-12-30,366.3
2014-12-31,373.55
