Date,INDIAGLYCO
2014-01-01,104.4
2014-01-02,103.95
2014-01-03,103.85
2014-01-06,105.65
2014-01-07,106.4
2014-01-08,105.75
2014-01-09,103.35
2014-01-10,101.55
2014-01-13,98.2
2014-01-14,98.3
2014-01-15,99.55
2014-01-16,96.9
2014-01-17,95.4
2014-01-20,96.2
2014-01-21,96.55
2014-01-22,95.85
2014-01-23,96.3
2014-01-24,94.55
2014-01-27,90.6
2014-01-28,97.85
2014-01-29,91.65
2014-01-30,89.65
2014-01-31,90.95
2014-02-03,89.35
2014-02-04,88.5
2014-02-05,89.5
2014-02-06,90.75
2014-02-07,90.6
2014-02-10,92.3
2014-02-11,93.9
2014-02-12,94.05
2014-02-13,88.8
2014-02-14,88.15
2014-02-17,85.6
2014-02-18,86.2
2014-02-19,87.5
2014-02-20,85.7
2014-02-21,85.85
2014-02-24,84.95
2014-02-25,84.7
2014-02-26,85.25
2014-02-28,85.6
2014-03-03,84.65
2014-03-04,85.35
2014-03-05,85.7
2014-03-06,86.4
2014-03-07,93.4
2014-03-10,90.85
2014-03-11,90.35
2014-03-12,90.1
2014-03-13,91.05
2014-03-14,90.25
2014-03-18,89.4
2014-03-19,89.45
2014-03-20,88.6
2014-03-21,90.1
2014-03-22,90.0
2014-03-24,93.45
2014-03-25,91.75
2014-03-26,90.95
2014-03-27,91.15
2014-03-28,91.65
2014-03-31,94.25
2014-04-01,94.35
2014-04-02,94.8
2014-04-03,94.15
2014-04-04,96.9
2014-04-07,95.55
2014-04-09,100.3
2014-04-10,106.75
2014-04-11,105.2
2014-04-15,101.5
2014-04-16,101.1
2014-04-17,101.7
2014-04-21,104.1
2014-04-22,108.15
2014-04-23,107.0
2014-04-25,104.55
2014-04-28,104.65
2014-04-29,113.0
2014-04-30,106.4
2014-05-02,107.8
2014-05-05,104.15
2014-05-06,103.6
2014-05-07,101.95
2014-05-08,99.85
2014-05-09,101.45
2014-05-12,101.05
2014-05-13,101.75
2014-05-14,106.5
2014-05-15,102.8
2014-05-16,104.5
2014-05-19,112.95
2014-05-20,113.65
2014-05-21,117.05
2014-05-22,120.95
2014-05-23,114.35
2014-05-26,111.3
2014-05-27,110.5
2014-05-28,110.4
2014-05-29,108.5
2014-05-30,107.9
2014-06-02,111.35
2014-06-03,115.75
2014-06-04,118.5
2014-06-05,118.1
2014-06-06,118.4
2014-06-09,118.6
2014-06-10,130.9
2014-06-11,131.1
2014-06-12,132.3
2014-06-13,125.8
2014-06-16,122.9
2014-06-17,128.1
2014-06-18,130.45
2014-06-19,128.7
2014-06-20,127.2
2014-06-23,127.1
2014-06-24,136.85
2014-06-25,135.9
2014-06-26,133.25
2014-06-27,132.6
2014-06-30,136.35
2014-07-01,138.6
2014-07-02,138.55
2014-07-03,141.75
2014-07-04,139.15
2014-07-07,137.9
2014-07-08,127.45
2014-07-09,123.3
2014-07-10,124.2
2014-07-11,116.5
2014-07-14,117.45
2014-07-15,119.1
2014-07-16,128.6
2014-07-17,130.2
2014-07-18,127.05
2014-07-21,128.35
2014-07-22,131.8
2014-07-23,131.7
2014-07-24,132.5
2014-07-25,128.3
2014-07-28,124.7
2014-07-30,127.65
2014-07-31,124.6
2014-08-01,122.1
2014-08-04,124.55
2014-08-05,124.5
2014-08-06,125.15
2014-08-07,122.55
2014-08-08,119.9
2014-08-11,120.0
2014-08-12,120.8
2014-08-13,114.25
2014-08-14,114.3
2014-08-18,119.1
2014-08-19,121.0
2014-08-20,122.65
2014-08-21,124.45
2014-08-22,125.9
2014-08-25,122.55
2014-08-26,120.4
2014-08-27,120.25
2014-08-28,117.6
2014-09-01,118.9
2014-09-02,119.75
2014-09-03,121.55
2014-09-04,119.05
2014-09-05,121.55
2014-09-08,133.15
2014-09-09,150.3
2014-09-10,144.15
2014-09-11,143.2
2014-09-12,142.8
2014-09-15,141.6
2014-09-16,129.9
2014-09-17,128.45
2014-09-18,136.95
2014-09-19,132.75
2014-09-22,133.45
2014-09-23,127.65
2014-09-24,126.6
2014-09-25,119.6
2014-09-26,119.55
2014-09-29,127.7
2014-09-30,126.6
2014-10-01,124.25
2014-10-07,125.2
2014-10-08,124.1
2014-10-09,125.4
2014-10-10,122.7
2014-10-13,122.15
2014-10-14,120.95
2014-10-16,117.35
2014-10-17,114.3
2014-10-20,115.1
2014-10-21,118.2
2014-10-22,118.9
2014-10-23,119.35
2014-10-27,120.7
2014-10-28,124.6
2014-10-29,122.45
2014-10-30,121.75
2014-10-31,130.0
2014-11-03,135.05
2014-11-05,131.45
2014-11-07,131.35
2014-11-10,124.0
2014-11-11,122.0
2014-11-12,121.75
2014-11-13,119.35
2014-11-14,118.9
2014-11-17,120.1
2014-11-18,121.6
2014-11-19,123.55
2014-11-20,121.5
2014-11-21,123.3
2014-11-24,121.0
2014-11-25,116.4
2014-11-26,116.7
2014-11-27,118.3
2014-11-28,117.15
2014-12-01,114.8
2014-12-02,115.45
2014-12-03,117.4
2014-12-04,118.0
2014-12-05,115.7
2014-12-08,114.2
2014-12-09,111.75
2014-12-10,111.25
2014-12-11,114.2
2014-12-12,110.8
2014-12-15,107.45
2014-12-16,100.1
2014-12-17,97.25
2014-12-18,101.35
2014-12-19,103.65
2014-12-22,101.6
2014-12-23,100.25
2014-12-24,100.1
2014-12-26,98.85
2014-12-29,99.95
2014-12-30,99.6
2014-12-31,101.4
