Date,JPASSOCIAT
2014-01-01,55.5
2014-01-02,53.1
2014-01-03,52.4
2014-01-06,51.7
2014-01-07,50.6
2014-01-08,50.95
2014-01-09,48.85
2014-01-10,48.0
2014-01-13,47.65
2014-01-14,47.55
2014-01-15,48.2
2014-01-16,47.6
2014-01-17,47.25
2014-01-20,47.35
2014-01-21,48.5
2014-01-22,48.6
2014-01-23,48.95
2014-01-24,46.7
2014-01-27,40.15
2014-01-28,40.95
2014-01-29,40.95
2014-01-30,39.65
2014-01-31,40.25
2014-02-03,38.65
2014-02-04,39.0
2014-02-05,38.9
2014-02-06,37.85
2014-02-07,40.25
2014-02-10,39.3
2014-02-11,39.9
2014-02-12,39.35
2014-02-13,38.95
2014-02-14,39.1
2014-02-17,38.75
2014-02-18,39.7
2014-02-19,39.3
2014-02-20,41.25
2014-02-21,41.85
2014-02-24,41.9
2014-02-25,40.95
2014-02-26,40.5
2014-02-28,41.9
2014-03-03,40.5
2014-03-04,40.1
2014-03-05,40.05
2014-03-06,43.6
2014-03-07,47.9
2014-03-10,49.85
2014-03-11,48.7
2014-03-12,48.35
2014-03-13,46.65
2014-03-14,48.3
2014-03-18,47.95
2014-03-19,48.5
2014-03-20,47.1
2014-03-21,48.6
2014-03-22,48.4
2014-03-24,49.05
2014-03-25,48.95
2014-03-26,48.0
2014-03-27,49.35
2014-03-28,52.4
2014-03-31,53.7
2014-04-01,53.15
2014-04-02,53.9
2014-04-03,52.15
2014-04-04,52.8
2014-04-07,55.55
2014-04-09,56.1
2014-04-10,59.5
2014-04-11,59.4
2014-04-15,58.25
2014-04-16,54.55
2014-04-17,57.4
2014-04-21,58.5
2014-04-22,57.55
2014-04-23,56.65
2014-04-25,55.35
2014-04-28,58.05
2014-04-29,57.3
2014-04-30,53.85
2014-05-02,54.15
2014-05-05,54.1
2014-05-06,53.6
2014-05-07,53.65
2014-05-08,52.75
2014-05-09,55.85
2014-05-12,59.5
2014-05-13,64.1
2014-05-14,64.0
2014-05-15,63.9
2014-05-16,68.3
2014-05-19,78.65
2014-05-20,77.45
2014-05-21,76.8
2014-05-22,74.85
2014-05-23,78.15
2014-05-26,75.6
2014-05-27,72.95
2014-05-28,72.65
2014-05-29,72.9
2014-05-30,73.05
2014-06-02,77.25
2014-06-03,77.8
2014-06-04,82.0
2014-06-05,83.25
2014-06-06,83.6
2014-06-09,85.7
2014-06-10,88.25
2014-06-11,83.45
2014-06-12,81.2
2014-06-13,74.6
2014-06-16,77.7
2014-06-17,78.65
2014-06-18,74.95
2014-06-19,72.75
2014-06-20,71.1
2014-06-23,70.85
2014-06-24,72.95
2014-06-25,73.75
2014-06-26,72.85
2014-06-27,74.9
2014-06-30,77.2
2014-07-01,76.55
2014-07-02,75.5
2014-07-03,72.0
2014-07-04,73.0
2014-07-07,73.3
2014-07-08,66.05
2014-07-09,65.55
2014-07-10,64.95
2014-07-11,61.8
2014-07-14,63.15
2014-07-15,64.4
2014-07-16,67.35
2014-07-17,68.3
2014-07-18,67.85
2014-07-21,66.8
2014-07-22,66.55
2014-07-23,65.95
2014-07-24,62.0
2014-07-25,59.2
2014-07-28,61.05
2014-07-30,60.0
2014-07-31,58.45
2014-08-01,59.5
2014-08-04,61.9
2014-08-05,62.75
2014-08-06,60.55
2014-08-07,60.35
2014-08-08,58.25
2014-08-11,58.55
2014-08-12,58.95
2014-08-13,53.6
2014-08-14,54.2
2014-08-18,55.25
2014-08-19,55.65
2014-08-20,55.45
2014-08-21,54.0
2014-08-22,51.8
2014-08-25,51.8
2014-08-26,49.25
2014-08-27,48.5
2014-08-28,46.5
2014-09-01,48.15
2014-09-02,47.15
2014-09-03,45.7
2014-09-04,37.65
2014-09-05,33.85
2014-09-08,35.25
2014-09-09,35.95
2014-09-10,36.05
2014-09-11,36.6
2014-09-12,35.55
2014-09-15,35.25
2014-09-16,34.3
2014-09-17,34.2
2014-09-18,35.25
2014-09-19,33.55
2014-09-22,35.5
2014-09-23,34.6
2014-09-24,31.85
2014-09-25,25.8
2014-09-26,27.1
2014-09-29,26.2
2014-09-30,26.45
2014-10-01,26.8
2014-10-07,27.4
2014-10-08,28.15
2014-10-09,30.0
2014-10-10,29.8
2014-10-13,30.25
2014-10-14,30.1
2014-10-16,28.8
2014-10-17,29.75
2014-10-20,29.95
2014-10-21,30.1
2014-10-22,30.05
2014-10-23,30.1
2014-10-27,29.2
2014-10-28,29.95
2014-10-29,30.15
2014-10-30,30.3
2014-10-31,31.15
2014-11-03,32.9
2014-11-05,32.85
2014-11-07,33.05
2014-11-10,32.9
2014-11-11,33.65
2014-11-12,33.1
2014-11-13,32.0
2014-11-14,34.5
2014-11-17,33.6
2014-11-18,34.55
2014-11-19,33.5
2014-11-20,31.8
2014-11-21,31.45
2014-11-24,31.3
2014-11-25,29.1
2014-11-26,29.65
2014-11-27,29.15
2014-11-28,28.85
2014-12-01,29.5
2014-12-02,29.7
2014-12-03,29.8
2014-12-04,29.0
2014-12-05,28.95
2014-12-08,28.45
2014-12-09,27.65
2014-12-10,28.0
2014-12-11,27.15
2014-12-12,26.15
2014-12-15,25.2
2014-12-16,23.6
2014-12-17,24.65
2014-12-18,24.85
2014-12-19,23.7
2014-12-22,24.1
2014-12-23,23.45
2014-12-24,25.55
2014-12-26,26.0
2014-12-29,26.0
2014-12-30,24.85
2014-12-31,25.1
