Symbol,Rm-Rf %,SMB %,Adj-r_sq,const,high-low
RIIL,0.0,,0.2038,0.9136,0.2515
UTTAMSTL,0.0,,0.1627,0.1601,0.5326
ENERGYDEV,0.0074,,0.0296,0.3581,0.0776
AXISBANK,0.0,,0.1331,0.833,0.6321
IVP,0.0004,,0.095,0.6225,0.0225
HERITGFOOD,0.104,,0.004,0.8968,0.9462
AEGISCHEM,0.0015,,0.0724,0.1135,0.0619
BAJAJCORP,0.0001,,0.0567,0.4876,0.7251
TEAMLEASE,0.232,,0.006,0.0056,0.3735
DUCON,0.0124,,0.0313,0.5285,0.4053
BSLNIFTY,0.0,,0.0825,0.9198,0.0313
GOCLCORP,0.0002,,0.059,0.1639,0.8526
ICICISENSX,0.0,,0.16,0.3603,0.3122
N100,0.0003,,0.0457,0.2319,0.0935
UTISENSETF,0.0,,0.1405,0.0758,0.4652
KIRLOSBROS,0.0,,0.0719,0.178,0.1586
SANGHVIFOR,0.0057,,0.0384,0.7621,0.4013
TVVISION,0.4958,,0.0009,0.0,0.1392
INVENTURE,0.0008,,0.0489,0.5672,0.7189
MRPL,0.0,,0.2285,0.7341,0.765
GOLDSHARE,0.0843,,0.0117,0.1162,0.5182
BOSCHLTD,0.0,,0.1271,0.332,0.132
PFC,0.0,,0.2562,0.2005,0.8335
SHARDACROP,0.0,,0.0927,0.6137,0.4561
KSL,0.0,,0.2015,0.8746,0.6421
NESCO,0.4503,,-0.0049,0.5143,0.8609
VENKEYS,0.0,,0.0926,0.0078,0.1723
SILINV,0.0038,,0.0317,0.0475,0.6326
SPIC,0.0,,0.1655,0.2143,0.0768
AMDIND,0.3662,,0.028,0.4543,0.0202
MPHASIS,0.0175,,0.0149,0.269,0.4125
VIPIND,0.0,,0.1357,0.0478,0.9072
HDIL,0.0,,0.2323,0.3656,0.3927
VIVIMEDLAB,0.0,,0.0929,0.7925,0.7168
MONNETISPA,0.0,,0.082,0.7961,0.7958
MAGNUM,0.0107,,0.0252,0.0587,0.7815
SHREERAMA,0.007,,0.03,0.7332,0.6147
PVP,0.0002,,0.0538,0.5951,0.5887
GTLINFRA,0.0,,0.0756,0.6949,0.3943
PRICOLLTD,0.0,,0.1059,0.7861,0.6718
PKTEA,0.0068,,0.0224,0.1233,0.1921
PROVOGE,0.0,,0.0689,0.3944,0.158
8KMILES,0.0177,,0.0236,0.6799,0.6091
JAICORPLTD,0.0,,0.1741,0.395,0.2177
MCX,0.0,,0.1581,0.0332,0.2814
TITAN,0.0,,0.1374,0.0782,0.6384
ZICOM,0.0049,,0.0349,0.2819,0.6113
MUNJALSHOW,0.0,,0.1061,0.4112,0.4278
WSTCSTPAPR,0.0,,0.1509,0.1887,0.3308
IBULHSGFIN,0.0,,0.1642,0.2011,0.4029
EQUITAS,0.0,,0.2695,0.1933,0.7011
DEEPAKFERT,0.0,,0.1539,0.229,0.206
OMMETALS,0.0,,0.0931,0.7813,0.3695
FILATEX,0.0026,,0.0433,0.0685,0.4775
BIL,0.0,,0.115,0.6861,0.828
UJAAS,0.0,,0.1016,0.0602,0.8992
GAMMNINFRA,0.0017,,0.0605,0.7327,0.1555
ECEIND,0.1133,,0.0046,0.1671,0.8863
SURANASOL,0.0,,0.0758,0.472,0.8369
DEN,0.0,,0.0639,0.3698,0.1099
NDGL,0.0019,,0.0348,0.0121,0.0552
NBVENTURES,0.0,,0.1429,0.9118,0.66
TATAELXSI,0.0266,,0.0369,0.4489,0.1257
KAKATCEM,0.0,,0.1807,0.9147,0.3599
PERSISTENT,0.1248,,0.0016,0.4114,0.6905
KAYA,0.0013,,0.0455,0.5089,0.6453
HIRECT,0.0,,0.0802,0.5174,0.9139
LICHSGFIN,0.0,,0.259,0.3545,0.669
MASTEK,0.0,,0.1292,0.3312,0.1091
HEXAWARE,0.0002,,0.0481,0.1904,0.2317
RPPINFRA,0.0005,,0.0476,0.8345,0.986
SASKEN,0.0001,,0.0602,0.1914,0.5117
PTL,0.675,,-0.0084,0.8569,0.616
VHL,0.0156,,0.0157,0.0504,0.355
ORIENTBANK,0.0,,0.2736,0.3896,0.1291
UJJIVAN,0.0,,0.2565,0.4081,0.2427
PAGEIND,0.0,,0.0975,0.0951,0.8715
NAHARINDUS,0.0,,0.1725,0.3623,0.9977
ASIANTILES,0.0,,0.2165,0.014,0.0218
HERCULES,0.0,,0.0907,0.7278,0.4568
PURVA,0.0,,0.1914,0.0676,0.4959
DHANUKA,0.0008,,0.041,0.7584,0.7806
SKFINDIA,0.0007,,0.0469,0.0723,0.8885
SAREGAMA,0.0,,0.1045,0.0686,0.5471
KAMDHENU,0.0,,0.1542,0.0567,0.1991
TATACOFFEE,0.0,,0.1925,0.7337,0.7495
NELCAST,0.0,,0.1361,0.4415,0.5966
NATCOPHARM,0.0,,0.0674,0.3592,0.2039
TIMKEN,0.0002,,0.0471,0.3191,0.1559
WHIRLPOOL,0.0,,0.142,0.1303,0.5912
GOODLUCK,0.0,,0.1053,0.6773,0.8755
NBCC,0.0022,,0.0415,0.7783,0.623
SYNGENE,0.0,,0.062,0.6187,0.4646
DRREDDY,0.0001,,0.0529,0.2646,0.2609
SETFGOLD,0.0249,,0.0211,0.1312,0.5823
BAJAJFINSV,0.0,,0.2755,0.338,0.0062
TATASTEEL,0.0,,0.3111,0.2356,0.1276
JVLAGRO,0.0,,0.0751,0.5559,0.0659
ALPHAGEO,0.0,,0.0888,0.7101,0.1023
MAANALU,0.0077,,0.0267,0.4045,0.8784
INDNIPPON,0.0035,,0.0455,0.1904,0.3164
VINYLINDIA,0.004,,0.0672,0.3923,0.0416
CGPOWER,0.0,,0.2476,0.8224,0.9261
TIL,0.0,,0.1582,0.1077,0.6338
ROSSELLIND,0.0004,,0.0581,0.8304,0.7851
