Adj-r_sq,Rm-Rf %,Symbol,const
0.2027,0.0,RIIL,0.8472
0.1648,0.0,UTTAMSTL,0.1455
0.0194,0.0257,ENERGYDEV,0.3181
0.1358,0.0,AXISBANK,0.8598
0.0792,0.0,IVP,0.5121
0.0081,0.0845,HERITGFOOD,0.9002
0.0629,0.0,AEGISCHEM,0.0865
0.0601,0.0001,BAJAJCORP,0.5019
0.0069,0.1015,TEAMLEASE,0.0045
0.0325,0.0026,DUCON,0.5677
0.0676,0.0,BSLNIFTY,0.9555
0.0627,0.0,GOCLCORP,0.1579
0.1599,0.0,ICICISENSX,0.3786
0.0385,0.0011,N100,0.2836
0.1425,0.0,UTISENSETF,0.0845
0.0681,0.0,KIRLOSBROS,0.2131
0.0396,0.001,SANGHVIFOR,0.8086
-0.004,0.8852,TVVISION,0.0
0.0523,0.0002,INVENTURE,0.5834
0.2313,0.0,MRPL,0.7495
0.0141,0.0346,GOLDSHARE,0.1261
0.1226,0.0,BOSCHLTD,0.3896
0.2591,0.0,PFC,0.1932
0.0943,0.0,SHARDACROP,0.5747
0.204,0.0,KSL,0.8473
-0.0009,0.3771,NESCO,0.5207
0.0894,0.0,VENKEYS,0.0103
0.0353,0.0034,SILINV,0.0513
0.1582,0.0,SPIC,0.2665
0.0103,0.0607,AMDIND,0.3615
0.0162,0.0254,MPHASIS,0.2941
0.1392,0.0,VIPIND,0.0458
0.2332,0.0,HDIL,0.332
0.0961,0.0,VIVIMEDLAB,0.7712
0.0855,0.0,MONNETISPA,0.8098
0.0289,0.0043,MAGNUM,0.055
0.0335,0.0049,SHREERAMA,0.7397
0.0568,0.0002,PVP,0.625
0.0766,0.0,GTLINFRA,0.7406
0.1094,0.0,PRICOLLTD,0.8053
0.0196,0.0165,PKTEA,0.1445
0.065,0.0,PROVOGE,0.4619
0.0266,0.0059,8KMILES,0.6514
0.1723,0.0,JAICORPLTD,0.4461
0.1575,0.0,MCX,0.0397
0.1402,0.0,TITAN,0.0715
0.0378,0.0012,ZICOM,0.2967
0.1074,0.0,MUNJALSHOW,0.3775
0.1511,0.0,WSTCSTPAPR,0.1649
0.1652,0.0,IBULHSGFIN,0.1791
0.272,0.0,EQUITAS,0.182
0.1518,0.0,DEEPAKFERT,0.2659
0.0938,0.0,OMMETALS,0.7307
0.0452,0.0005,FILATEX,0.0601
0.1184,0.0,BIL,0.6964
0.1052,0.0,UJAAS,0.0578
0.0566,0.0001,GAMMNINFRA,0.812
0.0087,0.0785,ECEIND,0.1618
0.0799,0.0,SURANASOL,0.457
0.0578,0.0001,DEN,0.4356
0.0237,0.0099,NDGL,0.0178
0.1457,0.0,NBVENTURES,0.937
0.0315,0.003,TATAELXSI,0.5187
0.1812,0.0,KAKATCEM,0.9678
0.0051,0.1345,PERSISTENT,0.426
0.0486,0.0003,KAYA,0.4858
0.0844,0.0,HIRECT,0.5219
0.2614,0.0,LICHSGFIN,0.3688
0.1236,0.0,MASTEK,0.393
0.0464,0.0004,HEXAWARE,0.2207
0.0515,0.0002,RPPINFRA,0.8347
0.0624,0.0,SASKEN,0.2064
