Symbol,Rm-Rf %,SMB %,HML %,Adj-r_sq,const,WML %
RIIL,0.0,0.0,0.0,0.6006,0.4786,0.023
UTTAMSTL,0.0,0.006,0.0762,0.2257,0.1859,0.046
AXISBANK,0.0,0.7529,0.0061,0.4493,0.352,0.7337
AEGISCHEM,0.0,0.0,0.0,0.2925,0.2898,0.389
BAJAJCORP,0.0,0.5218,0.9322,0.1569,0.5417,0.2811
N100,0.0825,0.0472,0.2492,0.0026,0.0139,0.5486
KIRLOSBROS,0.001,0.0014,0.0408,0.0466,0.4317,0.4671
MRPL,0.0,0.0563,0.2154,0.2119,0.967,0.0441
GOLDSHARE,0.0118,0.8308,0.2674,0.0284,0.7467,0.1903
BOSCHLTD,0.0002,0.1295,0.7146,0.0453,0.2456,0.4656
PFC,0.0,0.6338,0.7679,0.4328,0.5567,0.0444
KSL,0.0,0.1076,0.0143,0.317,0.2828,0.0022
NESCO,0.0084,0.026,0.0108,0.0495,0.3043,0.6575
VENKEYS,0.0018,0.0077,0.0106,0.0837,0.431,0.6051
MPHASIS,0.0041,0.2607,0.7518,0.0375,0.2813,0.7723
VIPIND,0.0,0.0112,0.0195,0.3055,0.616,0.0169
HDIL,0.0,0.0246,0.0,0.5686,0.7204,0.0157
VIVIMEDLAB,0.0006,0.0069,0.2037,0.0893,0.8545,0.1452
MONNETISPA,0.0001,0.03,0.5833,0.1753,0.9572,0.0008
PROVOGE,0.0001,0.0131,0.0,0.2545,0.6996,0.2536
USHERAGRO,0.0037,0.072,0.3734,0.0199,0.5296,0.2208
JAICORPLTD,0.0,0.0,0.0,0.5229,0.1488,0.7098
MCX,0.0701,0.3623,0.3091,0.0514,0.2482,0.1153
MANDHANA,0.3646,0.7044,0.0181,0.033,0.5029,0.5748
TITAN,0.0,0.3438,0.1727,0.1979,0.8773,0.1813
ZICOM,0.0008,0.2242,0.873,0.0597,0.7783,0.5622
MUNJALSHOW,0.0003,0.0003,0.0006,0.0808,0.3961,0.226
WSTCSTPAPR,0.0,0.0,0.0,0.241,0.3735,0.7936
DEEPAKFERT,0.0001,0.0035,0.0034,0.11,0.9452,0.8273
UJAAS,0.0,0.0182,0.2858,0.0789,0.8487,0.7787
GAMMNINFRA,0.0,0.0049,0.2037,0.1107,0.6276,0.548
GALLANTT,0.1695,0.1278,0.1948,0.0093,0.7981,0.6419
DEN,0.0,0.4107,0.2908,0.1174,0.971,0.2232
NBVENTURES,0.0006,0.0037,0.0782,0.072,0.4864,0.5632
TATAELXSI,0.0,0.0001,0.0175,0.1188,0.0191,0.3826
JINDCOT,0.0011,0.0175,0.0386,0.0831,0.1939,0.4996
PERSISTENT,0.0025,0.1646,0.9985,0.0289,0.0037,0.8654
HIRECT,0.0,0.0058,0.0101,0.146,0.9597,0.5747
LICHSGFIN,0.0,0.7396,0.1222,0.5374,0.7351,0.0504
MASTEK,0.0,0.0009,0.0148,0.1203,0.2179,0.9807
HEXAWARE,0.0071,0.2081,0.0114,0.0681,0.1112,0.4226
RPPINFRA,0.027,0.0583,0.3436,0.0334,0.2051,0.3074
GOENKA,0.0341,0.8677,0.5271,0.041,0.0404,0.8788
SASKEN,0.0747,0.9941,0.7036,0.0189,0.0641,0.4602
LITL,0.0,0.0002,0.0,0.333,0.8055,0.0498
ORIENTBANK,0.0,0.0434,0.3996,0.5087,0.9036,0.0001
PAGEIND,0.0021,0.0022,0.1534,0.0317,0.0275,0.1294
HERCULES,0.0,0.0,0.0041,0.202,0.4214,0.6558
PURVA,0.0,0.0009,0.2791,0.2449,0.4841,0.5527
DHANUKA,0.0,0.0152,0.5791,0.1614,0.0051,0.4239
SKFINDIA,0.0001,0.0348,0.4328,0.0634,0.3315,0.7779
SAREGAMA,0.0,0.0004,0.0006,0.1988,0.4362,0.8673
TATACOFFEE,0.0,0.0131,0.1387,0.1937,0.8935,0.8378
NELCAST,0.0147,0.0071,0.0134,0.0475,0.7192,0.9228
NATCOPHARM,0.0108,0.8304,0.4267,0.0352,0.0687,0.1611
TIMKEN,0.0128,0.0392,0.0106,0.0508,0.826,0.773
WHIRLPOOL,0.0,0.1178,0.8245,0.2001,0.9792,0.2569
NBCC,0.0,0.0014,0.0,0.3557,0.5694,0.756
AMTEKAUTO,0.0,0.0,0.0,0.2643,0.7997,0.1967
DRREDDY,0.0,0.1128,0.3561,0.1735,0.0553,0.439
SETFGOLD,0.0085,0.7542,0.1549,0.0267,0.9842,0.3331
BAJAJFINSV,0.0,0.1332,0.4973,0.1617,0.9487,0.6321
TATASTEEL,0.0,0.0023,0.2652,0.524,0.2355,0.0
JVLAGRO,0.6233,0.2185,0.0756,0.0089,0.9225,0.5761
CGPOWER,0.0,0.6544,0.583,0.3353,0.2971,0.1031
TIL,0.0,0.0,0.0001,0.251,0.6192,0.3107
NAVNETEDUL,0.0,0.0056,0.0047,0.1559,0.6949,0.6548
SPECIALITY,0.0,0.049,0.0431,0.1372,0.9039,0.5472
KCPSUGIND,0.0001,0.0111,0.0292,0.1492,0.9793,0.0771
ROHLTD,0.0,0.0001,0.032,0.1749,0.7902,0.4942
DAAWAT,0.0051,0.1143,0.0176,0.0964,0.2083,0.4466
GMBREW,0.0069,0.0067,0.0005,0.114,0.2088,0.3825
EMMBI,0.2229,0.9497,0.1203,0.0206,0.6967,0.1335
JPINFRATEC,0.0,0.0147,0.0209,0.368,0.5809,0.0068
TATAINVEST,0.0,0.0035,0.1369,0.1703,0.6913,0.1086
LAXMIMACH,0.0002,0.2088,0.009,0.192,0.0913,0.1431
JBFIND,0.0002,0.2904,0.8412,0.1271,0.7545,0.054
KOPRAN,0.0,0.0026,0.0026,0.2215,0.3216,0.0247
IOC,0.0,0.9816,0.1732,0.287,0.9969,0.2455
IVRCLINFRA,0.0,0.0006,0.0,0.4758,0.3194,0.0223
PRAKASH,0.0,0.0037,0.0,0.3368,0.5812,0.1208
MINDTREE,0.0068,0.2736,0.8448,0.0227,0.0004,0.9656
SCHNEIDER,0.0,0.0016,0.0277,0.1499,0.6642,0.6877
RSSOFTWARE,0.0,0.0007,0.1059,0.1566,0.2142,0.0672
DCM,0.0056,0.2673,0.124,0.068,0.7263,0.6628
RELAXO,0.5159,0.4507,0.1606,-0.0009,0.7444,0.9589
SANGAMIND,0.0,0.0007,0.0249,0.1223,0.8241,0.7384
LIBERTSHOE,0.0,0.0,0.0001,0.2649,0.0206,0.7625
RCF,0.0,0.0089,0.002,0.3887,0.8257,0.0015
ICICIBANK,0.0,0.6661,0.0269,0.5232,0.35,0.569
INDUSINDBK,0.0,0.6368,0.3441,0.4447,0.3455,0.4366
MANALIPETC,0.0,0.0002,0.0136,0.2277,0.8475,0.0755
VSTIND,0.0003,0.0313,0.7698,0.057,0.6089,0.5974
SUZLON,0.0,0.0028,0.0001,0.2065,0.909,0.9213
CRISIL,0.0773,0.4417,0.1834,0.0109,0.4365,0.3913
SHARONBIO,0.7928,0.7631,0.5144,-0.0107,0.5999,0.4167
ADANIPORTS,0.0,0.0112,0.0118,0.1613,0.2646,0.864
SONATSOFTW,0.0001,0.0322,0.0056,0.1006,0.0626,0.3444
JSWHL,0.0,0.0069,0.0011,0.4011,0.2143,0.0004
ASHIANA,0.054,0.2636,0.4288,0.0044,0.8947,0.6916
POLYPLEX,0.0,0.0556,0.11,0.2216,0.9635,0.0017
ITI,0.0,0.0079,0.0007,0.2471,0.7687,0.0677
GODREJPROP,0.0004,0.649,0.7854,0.061,0.0857,0.5811
TVSSRICHAK,0.0001,0.0019,0.1123,0.0815,0.3193,0.6483
JBCHEPHARM,0.0,0.0017,0.0001,0.1869,0.0625,0.9134
DLINKINDIA,0.0,0.0081,0.1552,0.154,0.3401,0.2562
ACC,0.0,0.6304,0.1739,0.3579,0.6446,0.2421
NAVINFLUOR,0.0,0.0,0.049,0.1989,0.329,0.0477
TRENT,0.0005,0.4816,0.4535,0.0601,0.7702,0.2039
MERCK,0.0013,0.1608,0.6717,0.0308,0.9954,0.3424
ELECTCAST,0.0,0.0,0.0208,0.3317,0.9458,0.0004
DPSCLTD,0.0171,0.7136,0.2158,0.0584,0.7979,0.8612
TVTODAY,0.0015,0.1522,0.0023,0.2007,0.1614,0.0417
STRTECH,0.0,0.0,0.0001,0.3651,0.3894,0.0046
NITINSPIN,0.0,0.0061,0.0828,0.0948,0.0498,0.7186
THERMAX,0.0,0.0039,0.0343,0.1216,0.1791,0.0558
STAR,0.4039,0.9567,0.5191,-0.0022,0.518,0.3102
FEDERALBNK,0.0106,0.1908,0.259,0.0773,0.3181,0.6506
