Symbol,Rm-Rf %,SMB %,Adj-r_sq,const,high-low
RIIL,0.0,,0.4451,0.5876,0.4144
WILLAMAGOR,0.0,,0.1472,0.6008,0.4406
UTTAMSTL,0.0,,0.2674,0.8803,0.7051
ENERGYDEV,0.0113,,0.0495,0.1133,0.4248
ALMONDZ,0.0385,,0.0613,0.7275,0.0842
CIMMCO,0.0,,0.2344,0.8291,0.2169
AXISBANK,0.0,,0.3475,0.6565,0.921
IVP,0.0,,0.1445,0.6762,0.64
HERITGFOOD,0.0,,0.1956,0.0916,0.3064
AEGISCHEM,0.0,,0.1953,0.358,0.9561
BAJAJCORP,0.0009,,0.0756,0.7613,0.5076
TEAMLEASE,0.0,,0.1319,0.5706,0.8842
DUCON,0.0194,,0.0312,0.0362,0.7983
BSLNIFTY,0.9327,,-0.0082,0.7283,0.6865
GOCLCORP,0.0,,0.1954,0.0626,0.7686
N100,0.0655,,0.0239,0.3151,0.5301
UTISENSETF,0.0,,0.3592,0.3248,0.3041
RMCL,0.0076,,0.0462,0.6769,0.6296
KIRLOSBROS,0.0,,0.2381,0.826,0.0741
SANGHVIFOR,0.0,,0.14,0.7063,0.9655
INVENTURE,0.0001,,0.0576,0.5487,0.179
MRPL,0.0,,0.1526,0.2185,0.7276
GOLDSHARE,0.0266,,0.0376,0.1403,0.4551
BOSCHLTD,0.0,,0.2557,0.4169,0.7855
PFC,0.0,,0.1384,0.7686,0.4655
SHARDACROP,0.0,,0.1414,0.0497,0.1289
KSL,0.0,,0.2935,0.1287,0.4427
NESCO,0.0,,0.2556,0.3808,0.7992
VENKEYS,0.0,,0.139,0.3526,0.4438
SILINV,0.0,,0.1034,0.5138,0.914
SPIC,0.0,,0.3818,0.6998,0.6092
AMDIND,0.0,,0.1732,0.7604,0.5566
MPHASIS,0.0109,,0.0541,0.4576,0.3397
VIPIND,0.0,,0.3196,0.3836,0.6492
HDIL,0.0,,0.493,0.8268,0.531
VIVIMEDLAB,0.0082,,0.0299,0.4868,0.7486
MONNETISPA,0.0,,0.2222,0.6834,0.5214
MAGNUM,0.2593,,-0.0032,0.6447,0.5746
PVP,0.0,,0.1431,0.6559,0.4723
GTLINFRA,0.007,,0.0746,0.303,0.1509
PKTEA,0.0013,,0.0445,0.4923,0.4777
PROVOGE,0.0001,,0.1033,0.5975,0.5042
8KMILES,0.0001,,0.1251,0.346,0.2039
USHERAGRO,0.0001,,0.0891,0.0817,0.8677
JAICORPLTD,0.0,,0.3452,0.8133,0.3616
MCX,0.0,,0.1555,0.1853,0.1581
TITAN,0.0,,0.2708,0.8827,0.5471
ZICOM,0.0,,0.1731,0.0954,0.3528
MUNJALSHOW,0.0,,0.3439,0.8934,0.7109
WSTCSTPAPR,0.0,,0.2444,0.0792,0.9773
IBULHSGFIN,0.0,,0.3942,0.9418,0.0419
DEEPAKFERT,0.0,,0.1142,0.325,0.6726
OMMETALS,0.0,,0.2834,0.8343,0.2602
FILATEX,0.0,,0.1471,0.2358,0.9215
BIL,0.0,,0.1672,0.8444,0.828
UJAAS,0.0002,,0.1049,0.1642,0.3084
GAMMNINFRA,0.0,,0.2284,0.1959,0.0614
ECEIND,0.4191,,0.0231,0.33,0.0957
GALLANTT,0.0,,0.2029,0.5095,0.6293
SURANASOL,0.0008,,0.0648,0.7691,0.8364
DEN,0.0001,,0.0903,0.4393,0.7667
NBVENTURES,0.0,,0.1164,0.9574,0.5732
TATAELXSI,0.0,,0.4167,0.2048,0.0298
JINDCOT,0.0,,0.1709,0.4162,0.2225
KAKATCEM,0.0,,0.2118,0.2024,0.1967
PERSISTENT,0.002,,0.077,0.8816,0.3051
KAYA,0.0,,0.1518,0.2921,0.3991
HIRECT,0.0,,0.1661,0.8605,0.0466
LICHSGFIN,0.0,,0.5282,0.3783,0.0545
MASTEK,0.0,,0.1888,0.9381,0.3957
HEXAWARE,0.0,,0.2981,0.8391,0.5257
RPPINFRA,0.0,,0.2034,0.0387,0.9651
SASKEN,0.0,,0.1391,0.5749,0.2738
PTL,0.0,,0.2357,0.1864,0.4333
LITL,0.0,,0.1663,0.2403,0.7196
VHL,0.0001,,0.0946,0.1006,0.9511
ORIENTBANK,0.0,,0.4665,0.7037,0.7329
PAGEIND,0.0,,0.2362,0.7035,0.0779
NAHARINDUS,0.0,,0.1209,0.2041,0.7669
ASIANTILES,0.0,,0.3623,0.3902,0.0683
HERCULES,0.0,,0.3017,0.639,0.57
PURVA,0.0,,0.2347,0.483,0.6755
DHANUKA,0.0,,0.1485,0.1298,0.1309
SKFINDIA,0.0003,,0.1102,0.6113,0.1939
SAREGAMA,0.0,,0.2834,0.5549,0.2752
KAMDHENU,0.0,,0.2805,0.1852,0.4245
TATACOFFEE,0.0,,0.2572,0.4068,0.9851
NELCAST,0.0,,0.2707,0.6041,0.9633
NATCOPHARM,0.0,,0.1193,0.6839,0.6865
TIMKEN,0.0,,0.2125,0.504,0.1565
WHIRLPOOL,0.0001,,0.121,0.1725,0.2258
GOODLUCK,0.0,,0.2588,0.994,0.3928
NBCC,0.005,,0.0266,0.5728,0.3139
ARSSINFRA,0.0,,0.2569,0.5031,0.003
ZENITHBIR,0.9364,,0.0249,0.7913,0.0228
AMTEKAUTO,0.0,,0.2805,0.6449,0.7408
SYNGENE,0.0,,0.1878,0.1886,0.9627
DRREDDY,0.0,,0.1133,0.7387,0.8413
BURNPUR,0.0001,,0.0777,0.6147,0.9299
SETFGOLD,0.0017,,0.0478,0.1719,0.812
BAJAJFINSV,0.0,,0.2095,0.1011,0.1952
TATASTEEL,0.0,,0.4151,0.068,0.7197
JVLAGRO,0.0,,0.2079,0.4869,0.51
ALPHAGEO,0.0002,,0.1518,0.2862,0.0217
MAANALU,0.0001,,0.0587,0.1448,0.1822
INDNIPPON,0.0,,0.1858,0.2868,0.024
VINYLINDIA,0.0,,0.2457,0.9231,0.4408
CGPOWER,0.0003,,0.0787,0.5761,0.7271
TIL,0.0,,0.1884,0.339,0.153
ROSSELLIND,0.0,,0.3108,0.479,0.659
SKIPPER,0.0,,0.4109,0.8029,0.8266
MANGTIMBER,0.3549,,0.0193,0.328,0.1574
TRF,0.0,,0.2474,0.1869,0.1645
NAVNETEDUL,0.0,,0.1456,0.3327,0.2627
SPECIALITY,0.0,,0.2122,0.1052,0.1297
KCPSUGIND,0.0,,0.1939,0.533,0.7421
ROHLTD,0.0,,0.1557,0.7219,0.4169
DAAWAT,0.0,,0.2132,0.5255,0.2091
SPYL,0.0168,,0.0356,0.9757,0.6855
GMBREW,0.0,,0.0881,0.6254,0.1224
EMMBI,0.0,,0.1525,0.3055,0.8014
JPINFRATEC,0.0,,0.1101,0.5179,0.6412
TATAINVEST,0.0,,0.2279,0.6005,0.5872
SUBEX,0.0,,0.2507,0.8066,0.064
CEREBRAINT,0.0,,0.1276,0.5755,0.8402
SAKUMA,0.0,,0.2031,0.8284,0.7539
LAXMIMACH,0.0,,0.1958,0.5843,0.7186
GUJGASLTD,0.0,,0.1715,0.7472,0.2821
JBFIND,0.0,,0.2185,0.8994,0.8061
KOPRAN,0.0,,0.2858,0.7285,0.6607
BVCL,0.0141,,0.0346,0.4822,0.7834
IOC,0.0148,,0.0401,0.9964,0.5786
IVRCLINFRA,0.0,,0.2222,0.2239,0.4324
KRIDHANINF,0.0,,0.1806,0.0873,0.94
PRAKASH,0.0,,0.3126,0.3469,0.4588
CGCL,0.0802,,0.0211,0.8548,0.5437
MINDTREE,0.2982,,0.0195,0.2751,0.1873
SCHNEIDER,0.0,,0.3177,0.7571,0.5997
GRPLTD,0.0204,,0.0487,0.1982,0.3713
VIMTALABS,0.0,,0.2527,0.7153,0.0333
RSSOFTWARE,0.0,,0.1677,0.8236,0.0584
TVSELECT,0.0,,0.217,0.4173,0.737
DCM,0.0,,0.2352,0.4892,0.0674
RELAXO,0.0001,,0.0717,0.7967,0.4257
ABFRL,0.0,,0.1546,0.3384,0.4002
SANGAMIND,0.0,,0.291,0.7574,0.0854
LIBERTSHOE,0.0,,0.3175,0.6401,0.668
JAYBARMARU,0.0,,0.2212,0.1378,0.232
RCF,0.0,,0.2728,0.8698,0.4151
ICICIBANK,0.0,,0.407,0.6871,0.1291
INDUSINDBK,0.0,,0.4199,0.2245,0.1234
CPSEETF,0.0,,0.6167,0.0413,0.6198
ORBTEXP,0.0001,,0.0736,0.6714,0.644
MANALIPETC,0.0,,0.2345,0.5333,0.8689
CENTURYPLY,0.0,,0.3294,0.793,0.0242
VSTIND,0.0064,,0.0628,0.1259,0.3052
SUZLON,0.0,,0.2694,0.4316,0.9665
CRISIL,0.0041,,0.0439,0.3736,0.9498
RANEENGINE,0.0002,,0.063,0.4216,0.5263
LINCPEN,0.0,,0.2074,0.5785,0.923
SHARONBIO,0.0012,,0.0562,0.2309,0.9925
ADANIPORTS,0.0,,0.3349,0.6202,0.1839
EXCEL,0.0007,,0.1288,0.6534,0.0351
SONATSOFTW,0.0,,0.2097,0.4771,0.7519
GOLDIAM,0.0,,0.1441,0.4882,0.5063
SUJANAUNI,0.0,,0.0968,0.7997,0.2245
JSWHL,0.0,,0.0845,0.1536,0.3046
ASHIANA,0.0,,0.1723,0.8641,0.2317
POLYPLEX,0.0,,0.2943,0.1069,0.9911
ITI,0.0,,0.1223,0.2985,0.5658
VIDHIING,0.0001,,0.0896,0.7197,0.8748
GODREJPROP,0.0,,0.2773,0.9242,0.0963
TVSSRICHAK,0.0,,0.2047,0.5104,0.1135
JBCHEPHARM,0.0,,0.1795,0.2706,0.819
RELCNX100,0.0,,0.1809,0.6748,0.9783
MUKANDLTD,0.0,,0.2706,0.3183,0.2981
VIJSHAN,0.0007,,0.1121,0.8779,0.1011
DLINKINDIA,0.0,,0.1186,0.7233,0.8753
ACC,0.0,,0.3996,0.7569,0.704
NAVINFLUOR,0.0,,0.1431,0.3453,0.244
TRENT,0.0007,,0.0554,0.4619,0.7656
ORICONENT,0.0,,0.3462,0.9223,0.6229
FOSECOIND,0.0,,0.162,0.8914,0.686
KELLTONTEC,0.0004,,0.0679,0.4208,0.8032
MERCK,0.0,,0.1152,0.1788,0.9332
ELECTCAST,0.0,,0.3493,0.6233,0.6322
ORIENTREF,0.0,,0.1706,0.2605,0.3581
DPSCLTD,0.0,,0.1059,0.0181,0.7596
TIIL,0.0,,0.2429,0.1371,0.0059
TECHNOFAB,0.001,,0.0773,0.6973,0.4422
SETFNIF50,0.0,,0.3713,0.4542,0.9947
AHLWEST,0.0839,,0.0247,0.1197,0.4297
SMPL,0.0,,0.1094,0.7466,0.7776
TVTODAY,0.0,,0.2154,0.7057,0.6518
STRTECH,0.0,,0.2846,0.6916,0.7443
NITINSPIN,0.0,,0.3015,0.9333,0.038
THERMAX,0.0,,0.1509,0.7442,0.8452
STAR,0.0,,0.2869,0.7541,0.0147
FEDERALBNK,0.0,,0.3456,0.3078,0.3972
METALFORGE,0.0,,0.2445,0.9845,0.7803
PAISALO,0.0108,,0.0309,0.8029,0.9289
TFCILTD,0.0,,0.3875,0.9922,0.4392
SELAN,0.0,,0.2341,0.8962,0.106
NLCINDIA,0.0,,0.1594,0.912,0.3466
PARSVNATH,0.0,,0.2053,0.2704,0.0432
DTIL,0.0,,0.22,0.8972,0.9717
TATASPONGE,0.0,,0.3106,0.4352,0.7073
PEARLPOLY,0.0001,,0.0764,0.5168,0.6409
ITC,0.0001,,0.0731,0.7203,0.6366
NATIONALUM,0.0,,0.2052,0.0909,0.021
WABAG,0.0003,,0.1406,0.3183,0.034
GVKPIL,0.0,,0.1424,0.5747,0.4247
IBVENTURES,0.0,,0.1742,0.9711,0.5184
SETFNN50,0.0,,0.2611,0.403,0.3701
ALANKIT,0.0,,0.0944,0.789,0.9401
ADHUNIK,0.0,,0.1738,0.2535,0.7099
RKDL,0.0001,,0.0867,0.6293,0.9487
FACT,0.0,,0.2316,0.7986,0.5032
PGEL,0.0,,0.113,0.8096,0.9778
ALKYLAMINE,0.0,,0.1152,0.8434,0.8105
ASTRAMICRO,0.0,,0.3202,0.6761,0.7374
RUSHIL,0.0014,,0.0623,0.1533,0.7328
RICOAUTO,0.0,,0.3087,0.4549,0.2992
POWERGRID,0.0,,0.2313,0.084,0.6487
CASTROLIND,0.0,,0.2001,0.8027,0.873
MAGMA,0.0,,0.2725,0.5361,0.1867
KSK,0.0,,0.1026,0.0331,0.8247
SHOPERSTOP,0.0,,0.173,0.3224,0.5397
ABB,0.002,,0.0888,0.9342,0.1678
MTNL,0.0,,0.2899,0.8801,0.8242
INDIACEM,0.0,,0.5637,0.2952,0.2858
OPTOCIRCUI,0.0,,0.1223,0.6991,0.8425
VRLLOG,0.0,,0.1055,0.4389,0.1546
ALLSEC,0.0,,0.1295,0.0486,0.6739
DEEPIND,0.0,,0.2761,0.151,0.5029
HOTELEELA,0.0,,0.2835,0.3338,0.5035
RSWM,0.0,,0.2487,0.3205,0.5275
ADANIENT,0.0,,0.4262,0.9715,0.8293
MAWANASUG,0.001,,0.0677,0.0901,0.6846
UGARSUGAR,0.0402,,0.0206,0.215,0.8565
CYBERTECH,0.0,,0.188,0.3226,0.2994
GANESHHOUC,0.0007,,0.1246,0.3276,0.0452
OMAXAUTO,0.0,,0.2155,0.9283,0.9374
JISLJALEQS,0.0,,0.3603,0.3073,0.1059
ANGIND,0.0,,0.205,0.0561,0.3765
RTNINFRA,0.0034,,0.0681,0.8359,0.3504
SUMMITSEC,0.0,,0.2533,0.3973,0.0119
ASIANHOTNR,0.0014,,0.0538,0.7789,0.9843
SALSTEEL,0.0002,,0.0822,0.5907,0.8118
SEPOWER,0.3112,,-0.0035,0.1133,0.3576
INDIANCARD,0.0,,0.212,0.8221,0.8637
TDPOWERSYS,0.0,,0.191,0.1654,0.1169
EICHERMOT,0.0,,0.3088,0.2327,0.0027
DEEPAKNTR,0.0,,0.2038,0.3448,0.0535
SIYSIL,0.0,,0.22,0.6309,0.5303
BATAINDIA,0.0,,0.3267,0.8587,0.7524
RAMCOSYS,0.0,,0.1297,0.0658,0.9741
HEXATRADEX,0.0,,0.1825,0.8236,0.4094
CIGNITITEC,0.0,,0.1409,0.9013,0.3394
SITINET,0.0,,0.079,0.5221,0.5067
