Symbol,Rm-Rf %,SMB %,HML %,WML %,ent,Adj-r_sq,const,high-low
RIIL,0.0,0.0001,0.0,0.0521,,0.3751,0.5298,0.4004
WILLAMAGOR,0.0001,0.0264,0.0118,0.5723,,0.2157,0.4944,0.6046
UTTAMSTL,0.0,0.0017,0.0669,0.8397,,0.2455,0.3025,0.051
ALMONDZ,0.0278,0.1914,0.4443,0.1288,,0.0315,0.7379,0.1973
CIMMCO,0.0,0.0,0.0102,0.5107,,0.2662,0.8387,0.0584
AXISBANK,0.0,0.0002,0.3664,0.0,,0.4671,0.6809,0.8644
HERITGFOOD,0.1621,0.0234,0.0149,0.5911,,0.1682,0.3022,0.0042
AEGISCHEM,0.1282,0.28,0.2666,0.1039,,0.0318,0.8763,0.8959
BAJAJCORP,0.0,0.2275,0.1021,0.0544,,0.1733,0.9486,0.0613
GOCLCORP,0.002,0.0,0.2577,0.3765,,0.1447,0.4589,0.9429
N100,0.1253,0.4023,0.1016,0.8166,,0.0027,0.441,0.7773
NAKODA,0.5517,0.5736,0.5138,0.846,,-0.0137,0.8924,0.5954
RMCL,0.0,0.0,0.115,0.917,,0.2495,0.2682,0.8627
KIRLOSBROS,0.059,0.0112,0.0137,0.4769,,0.1363,0.4213,0.1673
SANGHVIFOR,0.0001,0.0023,0.0061,0.8319,,0.1876,0.484,0.2981
INVENTURE,0.0745,0.644,0.8235,0.2394,,0.0305,0.5508,0.5078
MRPL,0.0,0.1551,0.2045,0.2854,,0.2208,0.1733,0.9863
GOLDSHARE,0.203,0.8741,0.9385,0.2332,,-0.0064,0.8792,0.385
BOSCHLTD,0.0,0.6242,0.0084,0.0004,,0.4293,0.903,0.0342
PFC,0.0,0.0055,0.0933,0.5537,,0.3706,0.8992,0.4156
SHARDACROP,0.0,0.0187,0.2511,0.8745,,0.3022,0.9209,0.9048
KSL,0.0,0.0079,0.0067,0.8699,,0.2434,0.7271,0.6146
NESCO,0.0,0.4118,0.3257,0.7345,,0.1564,0.9352,0.3031
VENKEYS,0.0018,0.0827,0.1674,0.9459,,0.0984,0.9625,0.7734
SPIC,0.0,0.0,0.0138,0.1647,,0.3149,0.9761,0.2819
AMDIND,0.0091,0.0109,0.074,0.0292,,0.1094,0.3406,0.7992
MPHASIS,0.1063,0.3782,0.8088,0.3298,,0.0217,0.2977,0.3635
VIPIND,0.0,0.0099,0.7836,0.8576,,0.2034,0.856,0.3681
HDIL,0.0,0.011,0.0,0.5566,,0.5594,0.0154,0.6675
VIVIMEDLAB,0.0001,0.0131,0.0028,0.6421,,0.1969,0.4345,0.5603
MONNETISPA,0.0,0.0173,0.1596,0.2775,,0.2059,0.3175,0.6708
PVP,0.5841,0.0095,0.0001,0.0627,,0.1824,0.9217,0.0167
GTLINFRA,0.0017,0.0,0.0022,0.4755,,0.1785,0.8526,0.2969
