Adj-r_sq,Rm-Rf %,SMB %,Symbol,const,high-low
0.4863,0.0,,RIIL,0.7462,0.0043
0.1943,0.0,,UTTAMSTL,0.4035,0.0179
0.4291,0.0,,AXISBANK,0.528,0.4457
0.202,0.0,,AEGISCHEM,0.4863,0.0039
0.1776,0.0,,BAJAJCORP,0.7845,0.0101
-0.005,0.4823,,N100,0.0067,0.6832
0.0471,0.0617,,KIRLOSBROS,0.5578,0.0034
0.1948,0.0,,MRPL,0.6627,0.0301
0.0235,0.0089,,GOLDSHARE,0.6895,0.166
0.0365,0.0011,,BOSCHLTD,0.371,0.2529
0.4282,0.0,,PFC,0.7787,0.2425
0.2742,0.0,,KSL,0.4891,0.0024
0.0249,0.0049,,NESCO,0.4212,0.9269
0.0469,0.0005,,VENKEYS,0.6688,0.4273
0.0445,0.0013,,MPHASIS,0.3439,0.2233
0.2623,0.0,,VIPIND,0.9501,0.0319
0.4708,0.0,,HDIL,0.7021,0.0017
0.1301,0.0015,,VIVIMEDLAB,0.5555,0.0
0.1255,0.0,,MONNETISPA,0.5038,0.0221
0.1604,0.0,,PROVOGE,0.6565,0.0525
0.0274,0.0573,,USHERAGRO,0.4953,0.0473
0.4073,0.0,,JAICORPLTD,0.2952,0.0006
0.0375,0.0008,,MCX,0.1562,0.4797
0.0173,0.0434,,MANDHANA,0.6603,0.2428
0.1976,0.0,,TITAN,0.9802,0.0372
0.0626,0.0001,,ZICOM,0.9137,0.3072
0.0306,0.0043,,MUNJALSHOW,0.4732,0.4372
0.1642,0.0,,WSTCSTPAPR,0.2786,0.1559
0.0906,0.0,,DEEPAKFERT,0.913,0.0232
0.0661,0.0,,UJAAS,0.6603,0.6021
0.0874,0.0,,GAMMNINFRA,0.2978,0.1334
0.0021,0.141,,GALLANTT,0.6714,0.7245
0.1186,0.0,,DEN,0.9462,0.5725
0.0387,0.0014,,NBVENTURES,0.7889,0.4666
0.0808,0.0001,,TATAELXSI,0.0473,0.038
0.0554,0.0001,,JINDCOT,0.1156,0.6677
0.0242,0.0054,,PERSISTENT,0.0075,0.9272
0.1193,0.0,,HIRECT,0.8163,0.0737
0.529,0.0,,LICHSGFIN,0.9654,0.8258
0.0964,0.0,,MASTEK,0.3398,0.0355
0.0604,0.0003,,HEXAWARE,0.0753,0.1175
0.0259,0.0342,,RPPINFRA,0.3798,0.0965
0.0509,0.0001,,GOENKA,0.0412,0.2261
0.025,0.0044,,SASKEN,0.0728,0.865
0.2553,0.0,,LITL,0.5451,0.0011
0.4551,0.0,,ORIENTBANK,0.8822,0.1004
0.0012,0.1684,,PAGEIND,0.0469,0.4117
0.1374,0.0,,HERCULES,0.7742,0.6998
0.2127,0.0,,PURVA,0.8247,0.1912
0.1386,0.0,,DHANUKA,0.0183,0.5697
0.0578,0.0,,SKFINDIA,0.4473,0.3106
0.1632,0.0,,SAREGAMA,0.607,0.0121
0.1897,0.0,,TATACOFFEE,0.3571,0.9208
0.0208,0.0313,,NELCAST,0.9072,0.2093
0.0445,0.0005,,NATCOPHARM,0.0423,0.1188
0.0364,0.008,,TIMKEN,0.987,0.1055
0.1926,0.0,,WHIRLPOOL,0.905,0.5314
0.3129,0.0,,NBCC,0.7246,0.0027
0.2122,0.0,,AMTEKAUTO,0.8639,0.0109
0.1661,0.0,,DRREDDY,0.0287,0.6154
0.0131,0.0323,,SETFGOLD,0.9105,0.2587
0.1669,0.0,,BAJAJFINSV,0.8949,0.1024
0.4228,0.0,,TATASTEEL,0.4441,0.3705
-0.003,0.409,,JVLAGRO,0.8364,0.5371
0.336,0.0,,CGPOWER,0.3382,0.0423
0.1299,0.0,,TIL,0.8329,0.048
0.1263,0.0,,NAVNETEDUL,0.8422,0.4473
0.129,0.0,,SPECIALITY,0.7375,0.0536
0.1037,0.0,,KCPSUGIND,0.6547,0.1751
0.1134,0.0,,ROHLTD,0.6866,0.8555
0.0717,0.0,,DAAWAT,0.2838,0.2769
0.0629,0.0004,,GMBREW,0.2794,0.0676
0.0084,0.0479,,EMMBI,0.8932,0.9461
0.3214,0.0,,JPINFRATEC,0.2588,0.033
0.1232,0.0,,TATAINVEST,0.8455,0.8131
0.1517,0.0,,LAXMIMACH,0.1299,0.3608
0.1115,0.0,,JBFIND,0.4825,0.5093
0.1683,0.0,,KOPRAN,0.5909,0.0041
0.2935,0.0,,IOC,0.9861,0.0083
0.3849,0.0,,IVRCLINFRA,0.2784,0.0
0.2696,0.0,,PRAKASH,0.7679,0.0186
0.0222,0.0062,,MINDTREE,0.0007,0.6545
0.1139,0.0,,SCHNEIDER,0.9436,0.6151
0.1075,0.0,,RSSOFTWARE,0.5841,0.0298
0.0614,0.0,,DCM,0.7811,0.9712
-0.0029,0.264,,RELAXO,0.7272,0.9857
0.0989,0.0,,SANGAMIND,0.8775,0.0164
0.1457,0.0,,LIBERTSHOE,0.1439,0.0862
0.3196,0.0,,RCF,0.5004,0.017
0.5137,0.0,,ICICIBANK,0.4906,0.6794
0.4453,0.0,,INDUSINDBK,0.4374,0.6491
0.1583,0.0,,MANALIPETC,0.7073,0.2796
0.032,0.0016,,VSTIND,0.9822,0.5298
0.1814,0.0,,SUZLON,0.8511,0.0018
0.0118,0.032,,CRISIL,0.3653,0.8231
-0.005,0.4071,,SHARONBIO,0.656,0.6951
0.1841,0.0,,ADANIPORTS,0.3097,0.0001
0.0794,0.0,,SONATSOFTW,0.0573,0.5898
0.3266,0.0,,JSWHL,0.5117,0.0021
0.0138,0.0818,,ASHIANA,0.8687,0.2043
0.1627,0.0,,POLYPLEX,0.6495,0.1738
0.1824,0.0,,ITI,0.9622,0.1065
0.0646,0.0,,GODREJPROP,0.0704,0.601
0.0568,0.0007,,TVSSRICHAK,0.5029,0.0865
0.14,0.0,,JBCHEPHARM,0.088,0.0398
0.1247,0.0,,DLINKINDIA,0.6083,0.3297
0.3558,0.0,,ACC,0.6842,0.0979
0.1157,0.0,,NAVINFLUOR,0.8028,0.2271
0.0653,0.0001,,TRENT,0.6424,0.3518
0.0267,0.0042,,MERCK,0.859,0.8317
0.235,0.0,,ELECTCAST,0.4703,0.0094
0.0875,0.0002,,DPSCLTD,0.6733,0.0056
0.1686,0.0,,TVTODAY,0.214,0.0011
0.25,0.0,,STRTECH,0.9454,0.0146
0.0931,0.0001,,NITINSPIN,0.0868,0.0087
0.0931,0.0,,THERMAX,0.2318,0.677
0.0178,0.0749,,STAR,0.3841,0.0401
0.0885,0.0,,FEDERALBNK,0.3126,0.0838
0.1523,0.0,,METALFORGE,0.9315,0.0074
0.0391,0.0007,,PAISALO,0.0309,0.3478
0.0869,0.0,,TFCILTD,0.7318,0.03
0.1563,0.0,,SELAN,0.5515,0.0054
0.224,0.0,,NLCINDIA,0.9905,0.0
0.0739,0.0,,PARSVNATH,0.3442,0.7315
0.0689,0.0008,,TATASPONGE,0.5868,0.0163
0.3385,0.0,,ITC,0.2034,0.0012
0.1667,0.0,,NATIONALUM,0.7905,0.6164
0.1155,0.0,,WABAG,0.5616,0.2521
0.3,0.0,,GVKPIL,0.9661,0.0
0.1976,0.0,,IBVENTURES,0.0607,0.0026
0.015,0.1691,,RKDL,0.1416,0.0839
0.1126,0.0,,FACT,0.8637,0.2233
0.0514,0.0016,,ASTRAMICRO,0.131,0.0766
0.0296,0.0032,,RUSHIL,0.0374,0.7081
0.1178,0.0,,RICOAUTO,0.3516,0.0465
0.1832,0.0,,POWERGRID,0.8695,0.6386
0.0889,0.0,,MAGMA,0.9884,0.2939
0.0826,0.0,,KSK,0.4125,0.3968
0.0981,0.0,,SHOPERSTOP,0.7319,0.1659
0.2394,0.0,,ABB,0.5218,0.5441
0.1371,0.0,,MTNL,0.5559,0.0768
0.217,0.0,,INDIACEM,0.6112,0.2256
0.1958,0.0,,OPTOCIRCUI,0.3874,0.016
0.077,0.0,,DEEPIND,0.6324,0.0887
0.1168,0.0,,HOTELEELA,0.3535,0.6342
0.1171,0.0,,RSWM,0.1474,0.1234
0.3582,0.0,,ADANIENT,0.5164,0.013
0.041,0.0019,,UGARSUGAR,0.9388,0.2496
0.1736,0.0,,GANESHHOUC,0.9549,0.0323
0.0336,0.0032,,OMAXAUTO,0.6485,0.3926
0.3439,0.0,,JISLJALEQS,0.4989,0.3424
0.0099,0.1796,,TDPOWERSYS,0.5488,0.1602
0.0806,0.0,,EICHERMOT,0.0206,0.1077
0.0836,0.0,,SIYSIL,0.8763,0.6261
0.2042,0.0,,BATAINDIA,0.2095,0.8471
0.1623,0.0,,HEXATRADEX,0.8266,0.0074
0.2792,0.0,,SITINET,0.919,0.6508
0.0587,0.0001,,EMAMILTD,0.9569,0.7057
0.0436,0.0008,,FDC,0.0714,0.4199
0.1328,0.0,,CUMMINSIND,0.7309,0.0281
0.0521,0.0013,,NITINFIRE,0.7389,0.0826
0.0669,0.0,,MONSANTO,0.154,0.6879
0.2029,0.0,,JSL,0.3825,0.02
0.0153,0.0164,,AKSHOPTFBR,0.9718,0.809
0.4839,0.0,,RAYMOND,0.615,0.0086
0.3695,0.0,,CORPBANK,0.085,0.2158
0.1849,0.0,,OBEROIRLTY,0.9325,0.9594
0.0515,0.0001,,BALKRISIND,0.3669,0.8919
0.1224,0.0,,SSWL,0.984,0.0115
0.1677,0.0,,NAHARSPING,0.074,0.292
0.1775,0.0,,IL&FSENGG,0.9213,0.0
0.0832,0.0,,NECLIFE,0.6817,0.2192
0.1417,0.0001,,GENESYS,0.7818,0.0
0.0989,0.0,,LEEL,0.4262,0.9266
0.2563,0.0,,BEML,0.7854,0.0918
0.2526,0.0,,AMBUJACEM,0.7822,0.4093
0.1639,0.0,,SHREECEM,0.7352,0.0129
0.0026,0.2268,,TULSI,0.7297,0.372
0.0756,0.0008,,ALKALI,0.6837,0.0067
0.0115,0.0347,,NAUKRI,0.1675,0.3549
-0.0004,0.2008,,BSLGOLDETF,0.8498,0.4816
0.0172,0.0613,,SOLARINDS,0.7611,0.1723
