,Adj-r_sq,F-statistics,HML %,P(F-value),Rm-Rf %,SMB %,Symbol,WML %,const,high-low
0,0.448,200.6587,0.0,0.0,0.0,0.0,RIIL,0.0,0.6881,0.0463
1,0.1192,27.9556,0.0124,0.0,0.0,0.0,WILLAMAGOR,0.3103,0.2116,0.704
2,0.2503,83.1233,0.0,0.0,0.0,0.0,UTTAMSTL,0.4224,0.3505,0.0049
3,0.074,18.4333,0.0016,0.0,0.0022,0.0,ENERGYDEV,0.0366,0.4983,0.8581
4,0.1158,25.2565,0.002,0.0,0.0,0.0,CIMMCO,0.703,0.3241,0.1759
5,0.1756,53.3876,0.9218,0.0,0.0,0.0395,AXISBANK,0.9524,0.971,0.9024
6,0.1052,25.3092,0.0039,0.0,0.0,0.0,IVP,0.345,0.1522,0.223
7,0.0874,23.7532,0.0653,0.0,0.0,0.0003,HERITGFOOD,0.2516,0.2906,0.8379
8,0.0949,26.7856,0.0053,0.0,0.0,0.0,AEGISCHEM,0.8747,0.1645,0.6906
9,0.1031,29.2667,0.288,0.0,0.0,0.0139,BAJAJCORP,0.6173,0.2185,0.3573
10,0.0049,1.7658,0.255,0.1175,0.5051,0.0125,DUCON,0.4979,0.0055,0.721
11,0.0077,2.6854,0.4018,0.0202,0.0277,0.0073,BSLNIFTY,0.7725,0.1446,0.2104
12,0.1517,31.4753,0.1373,0.0,0.0,0.0,GOCLCORP,0.2086,0.2918,0.9936
13,0.0114,3.8426,0.6547,0.0019,0.0051,0.0147,N100,0.2583,0.0029,0.9184
14,0.2165,28.6294,0.2165,0.0,0.0,0.7939,UTISENSETF,0.0375,0.0747,0.5162
15,0.0085,2.4612,0.7506,0.0317,0.0201,0.5174,RMCL,0.2001,0.2536,0.4949
16,0.1353,39.4922,0.0148,0.0,0.0,0.0,KIRLOSBROS,0.5198,0.2943,0.937
17,0.0699,17.2684,0.0,0.0,0.0039,0.0,SANGHVIFOR,0.7885,0.6264,0.347
18,0.055,13.8701,0.012,0.0,0.0,0.0432,INVENTURE,0.9643,0.6364,0.9611
19,0.2174,69.3523,0.0001,0.0,0.0,0.0,MRPL,0.1462,0.3056,0.3402
20,0.0203,6.104,0.3142,0.0,0.0001,0.6427,GOLDSHARE,0.8216,0.2207,0.2636
21,0.2042,64.1087,0.3759,0.0,0.0,0.0102,BOSCHLTD,0.0485,0.2876,0.0
22,0.3084,110.6736,0.0014,0.0,0.0,0.0379,PFC,0.0086,0.9396,0.748
23,0.1967,40.2803,0.3838,0.0,0.0,0.0,SHARDACROP,0.0833,0.2459,0.4603
