Symbol,Rm-Rf %,SMB %,HML %,Adj-r_sq,const,WML %
RIIL,0.0,0.0001,0.0,0.3759,0.5611,0.0465
WILLAMAGOR,0.0,0.0172,0.0118,0.2181,0.4748,0.5904
UTTAMSTL,0.0,0.0056,0.0674,0.2367,0.2548,0.7602
ALMONDZ,0.0731,0.3037,0.4415,0.0287,0.7819,0.1498
CIMMCO,0.0,0.0,0.0104,0.2582,0.9253,0.5791
AXISBANK,0.0,0.0002,0.3651,0.4693,0.6725,0.0
HERITGFOOD,0.0008,0.0036,0.0169,0.1429,0.2372,0.7051
AEGISCHEM,0.0871,0.2802,0.2654,0.0358,0.8699,0.1042
BAJAJCORP,0.0,0.1004,0.1024,0.1646,0.8633,0.0439
GOCLCORP,0.0002,0.0,0.2568,0.1482,0.4597,0.3728
N100,0.0479,0.3563,0.1007,0.0065,0.4297,0.8277
NAKODA,0.7099,0.6461,0.5118,-0.0107,0.8678,0.8678
RMCL,0.0,0.0,0.1144,0.2525,0.2708,0.9094
KIRLOSBROS,0.0023,0.0038,0.0141,0.133,0.4689,0.5238
SANGHVIFOR,0.0001,0.0037,0.006,0.1873,0.5217,0.8753
INVENTURE,0.0124,0.7441,0.8253,0.0327,0.5245,0.2245
MRPL,0.0,0.1455,0.2036,0.224,0.172,0.2833
GOLDSHARE,0.3365,0.9752,0.9411,-0.0054,0.8395,0.2508
BOSCHLTD,0.0,0.3334,0.0091,0.421,0.9994,0.0003
PFC,0.0,0.0025,0.0924,0.3715,0.9363,0.5823
SHARDACROP,0.0,0.0147,0.2503,0.305,0.9261,0.8691
KSL,0.0,0.009,0.0066,0.2457,0.7482,0.8908
NESCO,0.0,0.285,0.3237,0.1561,0.8879,0.7759
VENKEYS,0.0005,0.0859,0.1663,0.1018,0.9757,0.958
SPIC,0.0,0.0,0.0137,0.3144,0.9266,0.1476
AMDIND,0.0036,0.0106,0.0733,0.1128,0.3463,0.0277
MPHASIS,0.0141,0.2693,0.806,0.0224,0.2731,0.3535
VIPIND,0.0,0.0144,0.7808,0.204,0.8151,0.8952
HDIL,0.0,0.0069,0.0,0.5609,0.0161,0.5709
VIVIMEDLAB,0.0,0.0156,0.0028,0.199,0.4531,0.6191
MONNETISPA,0.0,0.0112,0.1594,0.2085,0.3279,0.2861
PVP,0.0353,0.0017,0.0001,0.1662,0.8141,0.0854
GTLINFRA,0.0023,0.0,0.0022,0.1782,0.8999,0.4414
PROVOGE,0.0003,0.0068,0.0037,0.1825,0.6394,0.0779
8KMILES,0.0,0.0525,0.7411,0.1372,0.0364,0.8783
USHERAGRO,0.0,0.026,0.0099,0.2355,0.9408,0.9294
JAICORPLTD,0.0,0.0,0.0,0.4995,0.9279,0.0451
MCX,0.0,0.1471,0.9386,0.2509,0.8575,0.2987
MANDHANA,0.0,0.0217,0.4248,0.1251,0.9292,0.8794
TITAN,0.0002,0.7365,0.4553,0.0973,0.9447,0.133
ZICOM,0.0,0.0,0.079,0.3564,0.2774,0.5329
MUNJALSHOW,0.0,0.0001,0.1073,0.309,0.9353,0.8376
WSTCSTPAPR,0.0,0.0011,0.0034,0.2505,0.339,0.2384
IBULHSGFIN,0.0,0.2348,0.436,0.255,0.0463,0.0538
DEEPAKFERT,0.0004,0.1924,0.2591,0.0929,0.4736,0.7338
OMMETALS,0.0,0.0,0.0014,0.2555,0.4701,0.7814
FILATEX,0.1606,0.4324,0.1698,0.0245,0.2732,0.741
BIL,0.0,0.0071,0.1227,0.1743,0.2133,0.0314
UJAAS,0.0,0.0001,0.0047,0.2657,0.918,0.402
GAMMNINFRA,0.0,0.0722,0.018,0.2256,0.118,0.7549
ECEIND,0.0,0.2589,0.2415,0.1194,0.5956,0.2841
GALLANTT,0.3679,0.255,0.1454,0.0137,0.2564,0.79
SURANASOL,0.0816,0.0832,0.6868,0.0173,0.1055,0.7286
DEN,0.0,0.0097,0.7618,0.1935,0.9753,0.0118
NBVENTURES,0.0021,0.0001,0.2249,0.1136,0.6256,0.1424
TATAELXSI,0.0,0.0036,0.1624,0.2973,0.0209,0.038
JINDCOT,0.0028,0.0033,0.0003,0.1798,0.8349,0.3889
KAKATCEM,0.0002,0.0,0.0074,0.1976,0.4001,0.1624
PERSISTENT,0.0099,0.3137,0.8896,0.0251,0.2566,0.9437
HIRECT,0.0052,0.0217,0.0285,0.1081,0.9725,0.3806
LICHSGFIN,0.0,0.0687,0.9423,0.4534,0.1156,0.2134
HEXAWARE,0.0,0.8522,0.9546,0.2706,0.3568,0.0546
RPPINFRA,0.0,0.0018,0.3963,0.2055,0.9054,0.2613
SASKEN,0.2514,0.064,0.032,0.0583,0.3186,0.0547
PTL,0.0502,0.0,0.0125,0.13,0.1597,0.1492
LITL,0.0012,0.3734,0.0001,0.1967,0.4314,0.7335
ORIENTBANK,0.0,0.0034,0.0003,0.4713,0.4243,0.7316
PAGEIND,0.0,0.6267,0.6146,0.1834,0.3234,0.5042
NAHARINDUS,0.0002,0.0017,0.0076,0.1779,0.7624,0.3367
ASIANTILES,0.0,0.0003,0.4485,0.2285,0.7955,0.6656
HERCULES,0.0,0.0,0.0408,0.2859,0.7151,0.1091
PURVA,0.0,0.2033,0.0295,0.2592,0.9827,0.0087
DHANUKA,0.0,0.1947,0.4121,0.2144,0.9349,0.6884
SKFINDIA,0.0,0.4749,0.7506,0.1015,0.9095,0.447
SAREGAMA,0.0003,0.0001,0.0164,0.176,0.2172,0.3288
KAMDHENU,0.0003,0.0122,0.0879,0.124,0.8002,0.8675
TATACOFFEE,0.2649,0.0038,0.2554,0.044,0.138,0.2973
NELCAST,0.0,0.0002,0.4043,0.2188,0.1885,0.1197
NATCOPHARM,0.0018,0.7889,0.6126,0.0603,0.6675,0.013
TIMKEN,0.0,0.0496,0.1169,0.3541,0.891,0.016
WHIRLPOOL,0.0,0.7576,0.9404,0.1831,0.6465,0.3166
GOODLUCK,0.0,0.0002,0.2318,0.2956,0.296,0.0304
NBCC,0.0,0.0002,0.0007,0.3648,0.6668,0.128
ARSSINFRA,0.0001,0.0007,0.0,0.2624,0.4836,0.5759
ZENITHBIR,0.9536,0.4238,0.0774,0.0052,0.6265,0.8149
AMTEKAUTO,0.0462,0.1767,0.0,0.1738,0.8193,0.233
DRREDDY,0.0,0.2864,0.8672,0.1427,0.8819,0.7759
BURNPUR,0.0003,0.0001,0.0136,0.1825,0.8671,0.0248
SETFGOLD,0.1378,0.5276,0.9794,-0.0019,0.8949,0.9585
BAJAJFINSV,0.0,0.1342,0.8728,0.2313,0.1214,0.1469
TATASTEEL,0.0,0.2561,0.7126,0.4759,0.9458,0.0
JVLAGRO,0.0,0.0,0.0085,0.2616,0.8748,0.1375
ALPHAGEO,0.0,0.0161,0.0055,0.2183,0.7516,0.4091
