Symbol,Rm-Rf %,Adj-r_sq,const
RIIL,0.0,0.4064,0.5908
UTTAMSTL,0.0,0.2745,0.3002
AXISBANK,0.0001,0.0584,0.6003
HERITGFOOD,0.0,0.1145,0.2925
AEGISCHEM,0.0,0.1241,0.1025
BAJAJCORP,0.0003,0.049,0.1413
N100,0.2263,0.0019,0.3022
NAKODA,0.0181,0.0189,0.0024
KIRLOSBROS,0.0,0.1307,0.5104
MRPL,0.0,0.2006,0.7228
GOLDSHARE,0.002,0.0351,0.3578
BOSCHLTD,0.0,0.0965,0.0154
PFC,0.0,0.4461,0.7453
NESCO,0.0,0.0762,0.0366
VENKEYS,0.0,0.1116,0.435
SPIC,0.0,0.1445,0.5026
MPHASIS,0.0,0.087,0.5221
VIPIND,0.0,0.1731,0.4461
HDIL,0.0,0.4226,0.4901
VIVIMEDLAB,0.0001,0.0584,0.1875
MONNETISPA,0.0,0.2114,0.0464
PVP,0.0,0.0674,0.8663
USHERAGRO,0.0,0.1679,0.9396
JAICORPLTD,0.0,0.3949,0.286
MCX,0.0,0.0724,0.3498
MANDHANA,0.0049,0.0283,0.3082
TITAN,0.0,0.124,0.1574
MUNJALSHOW,0.0,0.1823,0.0334
IBULHSGFIN,0.0,0.1239,0.1769
DEEPAKFERT,0.0,0.1174,0.5475
OMMETALS,0.0,0.1402,0.6959
BIL,0.0001,0.0586,0.0241
GALLANTT,0.0165,0.0195,0.53
DEN,0.0,0.076,0.5809
NBVENTURES,0.0,0.1241,0.9432
TATAELXSI,0.0,0.0891,0.5251
JINDCOT,0.0,0.1039,0.6529
PERSISTENT,0.1348,0.0051,0.0917
LICHSGFIN,0.0,0.4575,0.1466
MASTEK,0.0008,0.042,0.1014
HEXAWARE,0.0,0.1443,0.5008
RPPINFRA,0.0387,0.0135,0.1259
SASKEN,0.0002,0.0511,0.7997
ORIENTBANK,0.0,0.444,0.8957
PAGEIND,0.6319,-0.0032,0.0032
NAHARINDUS,0.0,0.0839,0.8747
HERCULES,0.0,0.1568,0.5069
PURVA,0.0,0.2178,0.6083
DHANUKA,0.0,0.0913,0.0432
SKFINDIA,0.0,0.0816,0.0303
KAMDHENU,0.0,0.1086,0.3149
TATACOFFEE,0.0,0.2106,0.4854
TIMKEN,0.0,0.1996,0.0515
NBCC,0.0,0.1759,0.0148
AMTEKAUTO,0.0,0.119,0.2187
DRREDDY,0.8218,-0.0039,0.1467
SETFGOLD,0.0027,0.0328,0.7537
BAJAJFINSV,0.0,0.1042,0.0665
TATASTEEL,0.0,0.3625,0.221
JVLAGRO,0.0,0.0854,0.2707
INDNIPPON,0.0,0.1325,0.1183
CGPOWER,0.0,0.3797,0.9479
NAVNETEDUL,0.0,0.0812,0.1022
SPECIALITY,0.0,0.0748,0.4717
KCPSUGIND,0.0,0.1513,0.6304
DAAWAT,0.0,0.1207,0.8416
SPYL,0.0028,0.0326,0.7969
GMBREW,0.0,0.1204,0.5485
EMMBI,0.0,0.1227,0.6874
JPINFRATEC,0.0,0.3604,0.2327
TATAINVEST,0.0,0.2348,0.4497
LAXMIMACH,0.0,0.1258,0.3592
JBFIND,0.0,0.1387,0.0541
KOPRAN,0.0,0.093,0.1927
IOC,0.0,0.2942,0.4907
PRAKASH,0.0,0.1486,0.902
MINDTREE,0.7286,-0.0036,0.801
VIMTALABS,0.0,0.0768,0.8401
RSSOFTWARE,0.0,0.0837,0.1435
DCM,0.0,0.0764,0.663
RELAXO,0.0085,0.0244,0.0124
ABFRL,0.0001,0.0547,0.5421
SANGAMIND,0.0,0.1544,0.2594
LIBERTSHOE,0.0,0.217,0.6887
RCF,0.0,0.2918,0.4791
ICICIBANK,0.0017,0.0361,0.5084
INDUSINDBK,0.0,0.2924,0.0359
ORBTEXP,0.0174,0.0192,0.0155
MANALIPETC,0.0,0.2745,0.5309
CENTURYPLY,0.0,0.1812,0.0069
VSTIND,0.0559,0.011,0.5842
CRISIL,0.0068,0.0259,0.1037
SHARONBIO,0.0009,0.0412,0.1971
ADANIPORTS,0.0,0.3792,0.275
JSWHL,0.0,0.2597,0.5859
ASHIANA,0.0001,0.0621,0.0227
POLYPLEX,0.0,0.2201,0.9045
ITI,0.0,0.1846,0.6607
GODREJPROP,0.0,0.3293,0.6364
JBCHEPHARM,0.0,0.0864,0.4246
VIJSHAN,0.0,0.1497,0.3561
ACC,0.0,0.3665,0.8579
TRENT,0.0,0.1163,0.6713
FOSECOIND,0.0002,0.0531,0.0248
MERCK,0.0,0.0844,0.3454
ELECTCAST,0.0,0.207,0.8288
DPSCLTD,0.0005,0.0446,0.8981
TECHNOFAB,0.0001,0.0594,0.2792
AHLWEST,0.0,0.0774,0.8927
TVTODAY,0.0,0.0845,0.3678
NITINSPIN,0.0,0.1638,0.5674
THERMAX,0.0,0.0705,0.2512
STAR,0.0,0.1141,0.0384
FEDERALBNK,0.0,0.4738,0.4316
METALFORGE,0.0,0.1817,0.1014
PAISALO,0.1082,0.0066,0.4152
SELAN,0.0,0.1291,0.9813
NLCINDIA,0.0,0.3046,0.9426
PARSVNATH,0.0,0.3349,0.0171
TATASPONGE,0.0001,0.0603,0.2278
ITC,0.0459,0.0124,0.3873
NATIONALUM,0.0,0.2588,0.8554
IBVENTURES,0.0,0.3053,0.579
ADHUNIK,0.0,0.2613,0.0366
RKDL,0.0015,0.0372,0.6102
FACT,0.0,0.1279,0.6767
PGEL,0.0061,0.0268,0.1016
ASTRAMICRO,0.0,0.18,0.4519
POWERGRID,0.0,0.2471,0.3167
MAGMA,0.0,0.2246,0.7561
SHOPERSTOP,0.0,0.1418,0.8692
ABB,0.0,0.181,0.1933
MTNL,0.0,0.1952,0.5636
INDIACEM,0.0,0.4006,0.7423
OPTOCIRCUI,0.0,0.0668,0.7553
DEEPIND,0.0,0.2445,0.9275
RSWM,0.0,0.2182,0.6197
ADANIENT,0.0,0.2455,0.4473
CYBERTECH,0.0027,0.0326,0.3038
GANESHHOUC,0.0,0.1895,0.8743
JISLJALEQS,0.0,0.4165,0.2235
ASIANHOTNR,0.0001,0.0559,0.7202
TDPOWERSYS,0.0,0.0995,0.1998
EICHERMOT,0.0,0.063,0.0017
DEEPAKNTR,0.0384,0.0137,0.9662
BATAINDIA,0.0,0.2589,0.8866
EMAMILTD,0.0309,0.0151,0.0576
FDC,0.0001,0.0589,0.5977
CUMMINSIND,0.0,0.1478,0.0718
NITINFIRE,0.0,0.1415,0.0334
MONSANTO,0.0033,0.0311,0.0373
GARDENSILK,0.0,0.207,0.294
CINELINE,0.0092,0.0238,0.4708
JSL,0.0,0.2627,0.5839
RAYMOND,0.0,0.2813,0.4339
AMBIKCO,0.0,0.1016,0.2251
CORPBANK,0.0,0.3679,0.9857
OBEROIRLTY,0.0,0.1754,0.9636
BALKRISIND,0.0,0.0809,0.1793
LGBBROSLTD,0.0021,0.0344,0.1294
SSWL,0.0,0.0782,0.1585
NECLIFE,0.0,0.1627,0.4904
GENESYS,0.0002,0.0516,0.4182
JAYSREETEA,0.0,0.2488,0.3682
AMBUJACEM,0.0,0.3588,0.972
SHREECEM,0.0,0.1089,0.001
NAUKRI,0.0001,0.0562,0.1343
TATAMETALI,0.0,0.1521,0.1841
BSLGOLDETF,0.061,0.0105,0.8161
PNB,0.04,0.0133,0.6695
BFINVEST,0.0,0.1682,0.2989
FEDDERELEC,0.0,0.1709,0.4277
PREMIER,0.0,0.1839,0.4428
CADILAHC,0.037,0.0138,0.0132
TECHM,0.0031,0.0317,0.112
MAHINDCIE,0.0,0.0932,0.0337
KEI,0.0,0.1397,0.0644
COMPUSOFT,0.0,0.1099,0.8199
KEC,0.0,0.2587,0.4803
MUNJALAU,0.0,0.192,0.0469
VARDHACRLC,0.0,0.15,0.2706
BAJAJELEC,0.0,0.1129,0.7194
INDRAMEDCO,0.0,0.1151,0.4633
ZEEL,0.0,0.0674,0.3038
BLUESTARCO,0.0,0.2253,0.0974
HCLTECH,0.1575,0.0042,0.2847
DLF,0.0,0.2577,0.2754
SICAGEN,0.0,0.1094,0.7701
JINDALSAW,0.0,0.2869,0.6945
KIRLOSIND,0.0018,0.0364,0.1255
APARINDS,0.0,0.1615,0.1641
NTPC,0.0,0.2851,0.5457
ESSELPACK,0.0,0.2321,0.1515
SIEMENS,0.0,0.4925,0.8301
SPARC,0.0,0.1057,0.9059
KIRLOSENG,0.0,0.123,0.2207
KABRAEXTRU,0.0,0.1857,0.271
BANARISUG,0.0,0.0725,0.4893
ASSAMCO,0.0,0.2318,0.4113
TEXMOPIPES,0.0,0.1186,0.4524
AVTNPL,0.0,0.1254,0.4058
MRF,0.0,0.2036,0.0494
GUJALKALI,0.0,0.1778,0.8426
GOLDBEES,0.0012,0.0388,0.7682
SOBHA,0.0,0.0968,0.4485
VIDEOIND,0.0,0.2439,0.3328
RAMCOCEM,0.0,0.146,0.1414
TRITURBINE,0.0,0.1586,0.249
GREAVESCOT,0.0,0.1567,0.0971
LUPIN,0.0013,0.0381,0.0322
EROSMEDIA,0.0,0.195,0.1973
GALLISPAT,0.0,0.0758,0.0631
JPPOWER,0.0,0.3681,0.0641
TIDEWATER,0.0,0.1188,0.0118
AARTIIND,0.0,0.1201,0.048
SANWARIA,0.0,0.0952,0.4924
QGOLDHALF,0.0008,0.042,0.8437
JPASSOCIAT,0.0,0.3516,0.0129
HBLPOWER,0.0,0.0998,0.2315
20MICRONS,0.0,0.0878,0.7477
NDTV,0.0,0.0832,0.6556
UNITECH,0.0,0.4013,0.352
SUTLEJTEX,0.0,0.1688,0.2553
AMARAJABAT,0.0001,0.0584,0.0124
SBIN,0.0004,0.0476,0.4837
PANACEABIO,0.0123,0.0217,0.4385
IDEA,0.0,0.1493,0.5026
TREEHOUSE,0.0,0.0903,0.116
KAJARIACER,0.0,0.0937,0.0277
SWARAJENG,0.0,0.0959,0.3009
DREDGECORP,0.0,0.3051,0.9699
KRBL,0.0006,0.0437,0.0188
HMT,0.0,0.1359,0.6381
SHANTIGEAR,0.0,0.1464,0.1939
JKLAKSHMI,0.0,0.1861,0.0031
OIL,0.0,0.3303,0.9364
FCONSUMER,0.0021,0.0347,0.1788
BHARATFORG,0.0,0.1969,0.0047
CELESTIAL,0.0,0.0658,0.0604
IGL,0.0,0.1696,0.163
IDFC,0.0,0.407,0.8455
JMFINANCIL,0.0,0.2809,0.7763
ZODIACLOTH,0.0,0.0688,0.2207
PETRONET,0.0,0.1431,0.172
CYIENT,0.1153,0.0062,0.1784
PNBGILTS,0.0,0.1839,0.2267
ZEEMEDIA,0.0,0.2389,0.9868
MUTHOOTFIN,0.0,0.0643,0.2267
BAJFINANCE,0.0,0.1038,0.024
IBREALEST,0.0,0.3692,0.2604
VOLTAMP,0.0,0.1105,0.2951
KOTHARIPET,0.0,0.0787,0.625
RATNAMANI,0.0,0.0888,0.0016
FIEMIND,0.0083,0.0245,0.0002
BALAJITELE,0.0,0.21,0.7474
KOHINOOR,0.0,0.1815,0.4921
ELGIEQUIP,0.0,0.0673,0.1984
DABUR,0.0003,0.0501,0.182
ASHOKLEY,0.0,0.3371,0.0497
SRTRANSFIN,0.0,0.3247,0.492
SUNDRMFAST,0.0001,0.0575,0.0023
KOTARISUG,0.0012,0.0391,0.8645
IVC,0.0,0.1281,0.5939
SYMPHONY,0.0,0.0713,0.0026
NFL,0.0,0.2308,0.8043
UNITEDBNK,0.0,0.2223,0.9784
AGCNET,0.0,0.0703,0.8942
MUKTAARTS,0.0,0.0738,0.7119
CENTURYTEX,0.0,0.4756,0.6474
ASTRAL,0.0027,0.0326,0.6421
IGARASHI,0.0,0.1279,0.0868
RPOWER,0.0,0.5822,0.013
HINDCOPPER,0.0,0.464,0.1749
PENINLAND,0.0,0.3883,0.0939
JAGRAN,0.0,0.0922,0.1656
MTEDUCARE,0.0,0.0995,0.6121
WOCKPHARMA,0.0,0.0688,0.1667
APOLLOHOSP,0.0,0.0847,0.7027
AJANTPHARM,0.008,0.0248,0.0129
GILLETTE,0.0001,0.0564,0.0411
CLNINDIA,0.0001,0.059,0.2854
PAPERPROD,0.0018,0.0359,0.0292
MCDOWELL-N,0.0013,0.0384,0.819
VOLTAS,0.0,0.3529,0.3681
HIMATSEIDE,0.0002,0.0517,0.3366
SWELECTES,0.0,0.1119,0.159
KWALITY,0.0,0.1105,0.7403
BALLARPUR,0.0,0.2708,0.7044
JKIL,0.0006,0.044,0.0168
POLYMED,0.218,0.0022,0.0083
AMRUTANJAN,0.0,0.1281,0.0661
RSYSTEMS,0.2275,0.0019,0.9747
JYOTISTRUC,0.0,0.3386,0.5826
RCOM,0.0,0.3909,0.0045
GODREJCP,0.0,0.1054,0.9075
GSFC,0.0,0.1227,0.2868
IL&FSTRANS,0.0,0.2994,0.9052
PPAP,0.0,0.1093,0.0925
APOLLOTYRE,0.0,0.2158,0.1602
VAIBHAVGBL,0.0061,0.0268,0.886
SUNTV,0.0,0.1206,0.7292
PRAJIND,0.0,0.2233,0.979
INDIANHUME,0.0,0.1898,0.0917
RENUKA,0.0,0.1482,0.2937
GLENMARK,0.2993,0.0003,0.1329
WHEELS,0.0,0.098,0.9641
JKTYRE,0.0192,0.0185,0.7111
WIPRO,0.0064,0.0265,0.8983
CHAMBLFERT,0.0,0.2648,0.6829
SIMPLEX,0.0025,0.0335,0.0223
BASF,0.0,0.1205,0.1079
KKCL,0.0069,0.0259,0.0829
INDOCO,0.0134,0.0211,0.1
GNFC,0.0,0.2222,0.7056
TARAJEWELS,0.0,0.0819,0.7612
NCC,0.0,0.1593,0.3716
LINDEINDIA,0.0,0.112,0.4527
ABBOTINDIA,0.0196,0.0183,0.0078
ZUARI,0.0,0.1031,0.3495
DATAMATICS,0.0,0.137,0.4681
TALBROAUTO,0.0,0.0966,0.133
NAHARCAP,0.0,0.1272,0.3984
BANKBEES,0.0,0.5578,0.0367
ICRA,0.0013,0.0381,0.0542
ANKITMETAL,0.0,0.1221,0.0864
HINDPETRO,0.0,0.2881,0.1117
FINPIPE,0.0,0.0822,0.3275
NEULANDLAB,0.0,0.0747,0.5481
BALMLAWRIE,0.0,0.2269,0.2026
J&KBANK,0.0082,0.0246,0.2576
IFBIND,0.0,0.1126,0.0062
MERCATOR,0.0,0.2004,0.9099
JINDALPOLY,0.0,0.2471,0.5834
PSUBNKBEES,0.0,0.3051,0.3455
GIPCL,0.0,0.3368,0.9029
ZYDUSWELL,0.0838,0.0083,0.2068
PTC,0.0,0.5072,0.8315
UPL,0.0,0.1724,0.3267
TI,0.0,0.1419,0.0207
PGHH,0.0007,0.0422,0.009
JUSTDIAL,0.0004,0.0472,0.8995
TATACHEM,0.0,0.3773,0.3422
REPRO,0.0,0.0738,0.311
GRINDWELL,0.0,0.1386,0.022
KARURVYSYA,0.0,0.3094,0.1358
DIVISLAB,0.0,0.0707,0.1634
CUB,0.0,0.163,0.0542
