Adj-r_sq,HML %,Rm-Rf %,SMB %,Symbol,const
0.4362,0.0,0.0,0.0,RIIL,0.8971
0.1198,0.0086,0.0,0.0,WILLAMAGOR,0.2674
0.2456,0.0,0.0,0.0,UTTAMSTL,0.2288
0.072,0.0002,0.0009,0.0,ENERGYDEV,0.5855
0.1157,0.0027,0.0,0.0,CIMMCO,0.2738
0.1769,0.9073,0.0,0.0368,AXISBANK,0.9598
0.1046,0.0075,0.0,0.0,IVP,0.1082
0.0878,0.0342,0.0,0.0005,HERITGFOOD,0.3405
0.0962,0.0052,0.0,0.0,AEGISCHEM,0.1498
0.1036,0.2241,0.0,0.005,BAJAJCORP,0.1784
0.0066,0.2195,0.6125,0.0175,DUCON,0.0072
0.0078,0.3413,0.0664,0.0136,BSLNIFTY,0.1732
0.1521,0.167,0.0,0.0,GOCLCORP,0.2268
0.012,0.8116,0.0022,0.0066,N100,0.002
0.2117,0.42,0.0,0.398,UTISENSETF,0.1081
0.0086,0.8526,0.007,0.6852,RMCL,0.309
0.1364,0.009,0.0,0.0,KIRLOSBROS,0.3207
0.0707,0.0,0.0003,0.0,SANGHVIFOR,0.5499
0.0567,0.0109,0.0,0.0369,INVENTURE,0.6339
0.2164,0.0,0.0,0.0,MRPL,0.4036
0.0209,0.3055,0.0,0.7567,GOLDSHARE,0.241
0.1871,0.737,0.0,0.0001,BOSCHLTD,0.1226
0.3052,0.0002,0.0,0.0067,PFC,0.8605
0.1953,0.2847,0.0,0.0001,SHARDACROP,0.3243
0.2782,0.0,0.0,0.0,KSL,0.05
0.0408,0.41,0.0,0.0034,NESCO,0.6188
0.1342,0.0001,0.0,0.0,VENKEYS,0.0873
0.0757,0.0776,0.0,0.0,SILINV,0.0949
0.2661,0.0,0.0,0.0,SPIC,0.5935
0.082,0.0006,0.0,0.0,AMDIND,0.2404
0.0502,0.3027,0.0,0.0424,MPHASIS,0.1584
0.2267,0.0024,0.0,0.0,VIPIND,0.1021
0.4842,0.0,0.0,0.1035,HDIL,0.6284
0.0872,0.0089,0.0,0.0,VIVIMEDLAB,0.7753
0.0164,0.1475,0.0477,0.0027,MAGNUM,0.1918
0.0426,0.0439,0.0029,0.0,SHREERAMA,0.1019
0.1365,0.0,0.0,0.0,PVP,0.9604
0.1712,0.0,0.0,0.0,PROVOGE,0.8155
0.1074,0.2938,0.0,0.0,8KMILES,0.1353
0.1307,0.0001,0.0,0.0,USHERAGRO,0.134
0.4194,0.0,0.0,0.0,JAICORPLTD,0.5484
0.1156,0.3356,0.0,0.0,MCX,0.6711
0.1627,0.0024,0.0,0.5916,TITAN,0.0774
0.158,0.0024,0.0,0.0,ZICOM,0.214
0.2755,0.0,0.0,0.0,MUNJALSHOW,0.0761
0.238,0.0,0.0,0.0,WSTCSTPAPR,0.3353
0.2312,0.1121,0.0,0.312,IBULHSGFIN,0.0245
0.1384,0.0001,0.0,0.0,DEEPAKFERT,0.0875
0.1039,0.0,0.0,0.0,OMMETALS,0.3653
0.0744,0.0114,0.0,0.0,FILATEX,0.0518
0.1163,0.2446,0.0,0.0,BIL,0.183
0.1612,0.0,0.0,0.0,UJAAS,0.7976
0.1904,0.0,0.0,0.0,GAMMNINFRA,0.166
0.0476,0.0971,0.0,0.0,ECEIND,0.1726
0.0911,0.0003,0.0,0.0,GALLANTT,0.5452
0.0366,0.0023,0.029,0.0,SURANASOL,0.7699
0.1228,0.0039,0.0,0.0,DEN,0.6593
0.0148,0.2099,0.0004,0.829,CRMFGETF,0.5993
0.1325,0.0,0.0,0.0,NBVENTURES,0.9477
0.1724,0.0889,0.0,0.0,TATAELXSI,0.1502
0.2041,0.0012,0.0,0.0,KAKATCEM,0.3129
0.0316,0.3921,0.0,0.0212,PERSISTENT,0.3806
0.128,0.0356,0.0,0.0,KAYA,0.5496
0.1405,0.0,0.0,0.0,HIRECT,0.3028
0.4678,0.0979,0.0,0.0681,LICHSGFIN,0.2106
0.1196,0.0032,0.0,0.0,MASTEK,0.2872
0.164,0.0426,0.0,0.0,HEXAWARE,0.0503
0.1032,0.0065,0.0,0.0,RPPINFRA,0.0613
0.0764,0.014,0.0,0.0,SASKEN,0.0297
0.068,0.0012,0.0,0.0,PTL,0.2383
0.0427,0.4806,0.0,0.0002,VHL,0.0188
0.523,0.0,0.0,0.0,ORIENTBANK,0.3439
0.0903,0.5595,0.0,0.0002,PAGEIND,0.0014
0.1795,0.0,0.0,0.0,NAHARINDUS,0.3679
0.1643,0.0,0.0,0.0,ASIANTILES,0.0481
0.2364,0.0,0.0,0.0,HERCULES,0.8694
0.2307,0.0006,0.0,0.0,PURVA,0.5999
0.1474,0.0794,0.0,0.0,DHANUKA,0.0139
0.0872,0.5679,0.0,0.0112,SKFINDIA,0.0123
0.1901,0.0,0.0,0.0,SAREGAMA,0.0609
0.1869,0.0,0.0,0.0,KAMDHENU,0.0785
0.1087,0.0338,0.0,0.0,TATACOFFEE,0.3009
0.2003,0.0,0.0,0.0,NELCAST,0.2386
0.0504,0.8587,0.0,0.0095,NATCOPHARM,0.1445
0.161,0.0426,0.0,0.0,TIMKEN,0.0468
0.1565,0.8559,0.0,0.0002,WHIRLPOOL,0.0073
0.2578,0.0016,0.0,0.0,GOODLUCK,0.8635
0.1364,0.0005,0.0,0.0,NBCC,0.3917
0.1803,0.0669,0.0,0.0002,SYNGENE,0.2545
0.0848,0.0484,0.0,0.735,DRREDDY,0.3366
0.0252,0.3765,0.0,0.3299,SETFGOLD,0.1865
0.2026,0.2478,0.0,0.0,BAJAJFINSV,0.0035
0.4262,0.0,0.0,0.0,TATASTEEL,0.2735
0.1494,0.0,0.0,0.0,JVLAGRO,0.6956
0.0375,0.5343,0.0,0.11,ALPHAGEO,0.1056
0.0396,0.0708,0.0,0.2807,MAANALU,0.0946
0.1123,0.0027,0.0,0.0,INDNIPPON,0.0296
0.0649,0.4798,0.0,0.0,VINYLINDIA,0.0373
0.2033,0.1082,0.0,0.0339,CGPOWER,0.8373
0.2392,0.0,0.0,0.0,TIL,0.3474
0.1292,0.0214,0.0,0.0,ROSSELLIND,0.4353
0.3159,0.0056,0.0,0.0,SKIPPER,0.8826
0.0425,0.1539,0.0008,0.0,MANGTIMBER,0.3797
0.1481,0.0,0.0,0.0,TRF,0.5275
0.1343,0.0045,0.0,0.0,NAVNETEDUL,0.1098
0.1179,0.0002,0.0,0.0,SPECIALITY,0.9334
0.2166,0.0,0.0,0.0,KCPSUGIND,0.8438
0.1541,0.0002,0.0,0.0,ROHLTD,0.2426
0.0809,0.0007,0.0,0.0016,DAAWAT,0.1788
