Symbol,Rm-Rf %,SMB %,Adj-r_sq,const,high-low
RIIL,0.0,,0.4082,0.7015,0.1883
UTTAMSTL,0.0,,0.2744,0.3601,0.3212
AXISBANK,0.0011,,0.0558,0.5569,0.5569
HERITGFOOD,0.0,,0.1109,0.2915,0.921
AEGISCHEM,0.0,,0.1444,0.1785,0.0101
BAJAJCORP,0.0012,,0.045,0.1432,0.958
N100,0.2734,,-0.0022,0.3041,0.9659
NAKODA,0.1172,,0.0208,0.0016,0.2281
KIRLOSBROS,0.0,,0.1342,0.4141,0.1605
MRPL,0.0,,0.2113,0.9071,0.0394
GOLDSHARE,0.0366,,0.0403,0.2753,0.1285
BOSCHLTD,0.0003,,0.1094,0.029,0.0352
PFC,0.0,,0.4488,0.6221,0.142
NESCO,0.0001,,0.0728,0.0415,0.7599
VENKEYS,0.0,,0.1085,0.4657,0.6981
SPIC,0.0,,0.141,0.5105,0.9546
MPHASIS,0.0001,,0.0857,0.467,0.424
VIPIND,0.0,,0.1698,0.4661,0.8179
HDIL,0.0,,0.4202,0.4866,0.9198
VIVIMEDLAB,0.0005,,0.0545,0.1942,0.9427
MONNETISPA,0.0,,0.209,0.0417,0.5934
PVP,0.0014,,0.0706,0.9902,0.1785
USHERAGRO,0.0,,0.1701,0.8237,0.2013
JAICORPLTD,0.0,,0.3953,0.2364,0.2804
MCX,0.0003,,0.0697,0.3873,0.5842
MANDHANA,0.0062,,0.0254,0.2842,0.5997
TITAN,0.0,,0.1256,0.2045,0.2322
MUNJALSHOW,0.0,,0.1833,0.0471,0.2568
IBULHSGFIN,0.0,,0.1285,0.1292,0.1328
DEEPAKFERT,0.0,,0.1144,0.5839,0.6716
OMMETALS,0.0,,0.1408,0.6084,0.2791
BIL,0.0056,,0.0664,0.0401,0.0838
GALLANTT,0.0347,,0.0155,0.5372,0.9615
DEN,0.0,,0.0738,0.6354,0.5226
NBVENTURES,0.0,,0.1229,0.9813,0.4135
TATAELXSI,0.0005,,0.1002,0.6844,0.0477
JINDCOT,0.0,,0.1005,0.6309,0.7636
PERSISTENT,0.6555,,0.017,0.1443,0.0492
LICHSGFIN,0.0,,0.463,0.0966,0.0639
MASTEK,0.0047,,0.0386,0.1139,0.7027
HEXAWARE,0.0,,0.1459,0.595,0.2316
RPPINFRA,0.0249,,0.0127,0.1049,0.3735
SASKEN,0.0002,,0.0522,0.7029,0.2621
ORIENTBANK,0.0,,0.4445,0.9957,0.2789
