Symbol,Rm-Rf %,SMB %,HML %,WML %,Adj-r_sq,const
RIIL,0.0,0.0,0.0,0.0,0.4467,0.7709
WILLAMAGOR,0.0,0.0,0.0123,0.2853,0.12,0.2177
UTTAMSTL,0.0,0.0,0.0,0.1951,0.246,0.2765
ENERGYDEV,0.0006,0.0,0.0016,0.0369,0.0749,0.4927
CIMMCO,0.0,0.0,0.0024,0.598,0.115,0.299
AXISBANK,0.0,0.0389,0.9213,0.9349,0.1762,0.9655
IVP,0.0,0.0,0.0044,0.2694,0.1048,0.1326
HERITGFOOD,0.0,0.0002,0.0653,0.2297,0.0881,0.2945
AEGISCHEM,0.0,0.0,0.0053,0.8192,0.0955,0.1571
BAJAJCORP,0.0,0.0085,0.2857,0.5057,0.1032,0.1994
DUCON,0.569,0.0134,0.2487,0.4735,0.006,0.0058
BSLNIFTY,0.064,0.0116,0.4061,0.5883,0.0072,0.1611
GOCLCORP,0.0,0.0,0.1369,0.208,0.1527,0.2911
N100,0.0025,0.0142,0.6541,0.2585,0.0122,0.0029
UTISENSETF,0.0,0.7597,0.223,0.0319,0.2174,0.0755
RMCL,0.0039,0.4628,0.7473,0.2235,0.0091,0.2389
KIRLOSBROS,0.0,0.0,0.0148,0.5048,0.136,0.2954
SANGHVIFOR,0.0003,0.0,0.0,0.6864,0.07,0.5966
INVENTURE,0.0,0.0416,0.012,0.9698,0.0559,0.6379
MRPL,0.0,0.0,0.0001,0.1013,0.2175,0.3304
GOLDSHARE,0.0,0.7664,0.3112,0.971,0.0201,0.2442
BOSCHLTD,0.0,0.0011,0.3934,0.0058,0.1914,0.1916
PFC,0.0,0.0315,0.0014,0.0065,0.3089,0.9536
SHARDACROP,0.0,0.0,0.397,0.0892,0.1972,0.2349
KSL,0.0,0.0,0.0,0.1651,0.2788,0.0388
NESCO,0.0,0.005,0.3829,0.7364,0.0401,0.6407
VENKEYS,0.0,0.0,0.0,0.2127,0.1346,0.1103
SILINV,0.0,0.0,0.0907,0.8533,0.0747,0.0934
SPIC,0.0,0.0,0.0,0.341,0.266,0.5447
AMDIND,0.0,0.0,0.0009,0.8234,0.0812,0.2348
MPHASIS,0.0,0.0472,0.3151,0.9706,0.0494,0.161
VIPIND,0.0,0.0,0.0056,0.2456,0.2269,0.0839
HDIL,0.0,0.0125,0.0,0.0,0.4928,0.9316
VIVIMEDLAB,0.0,0.0,0.015,0.4677,0.0868,0.8243
MAGNUM,0.047,0.0029,0.1714,0.8623,0.0154,0.1894
SHREERAMA,0.0029,0.0,0.0871,0.2527,0.043,0.08
PVP,0.0,0.0,0.0,0.7978,0.1358,0.9769
PROVOGE,0.0,0.0,0.0,0.0,0.1827,0.8793
8KMILES,0.0,0.0,0.3239,0.8282,0.1065,0.1333
USHERAGRO,0.0,0.0,0.0001,0.4487,0.1304,0.1201
JAICORPLTD,0.0,0.0,0.0,0.0216,0.4214,0.4259
MCX,0.0,0.0,0.4172,0.4787,0.1152,0.7172
TITAN,0.0,0.8378,0.0078,0.0906,0.1639,0.1061
ZICOM,0.0,0.0,0.0022,0.6772,0.1574,0.2021
MUNJALSHOW,0.0,0.0,0.0,0.0005,0.2822,0.1402
WSTCSTPAPR,0.0,0.0,0.0,0.7787,0.2374,0.3262
IBULHSGFIN,0.0,0.2665,0.1483,0.5842,0.2307,0.0238
DEEPAKFERT,0.0,0.0,0.0,0.0449,0.1405,0.1253
OMMETALS,0.0,0.0,0.0,0.8272,0.1031,0.3768
FILATEX,0.0,0.0,0.0108,0.7035,0.0737,0.0572
BIL,0.0,0.0,0.2741,0.8098,0.1156,0.1782
UJAAS,0.0,0.0,0.0,0.5915,0.1607,0.7624
GAMMNINFRA,0.0,0.0,0.0,0.1613,0.191,0.2049
ECEIND,0.0,0.0,0.1217,0.6542,0.047,0.1636
GALLANTT,0.0,0.0,0.0004,0.9965,0.0903,0.547
SURANASOL,0.0296,0.0,0.0029,0.9769,0.0357,0.7743
DEN,0.0,0.0,0.0083,0.312,0.1228,0.7244
CRMFGETF,0.0003,0.7585,0.1796,0.4959,0.014,0.6755
NBVENTURES,0.0,0.0,0.0,0.8055,0.1318,0.9647
TATAELXSI,0.0,0.0,0.0269,0.0045,0.1772,0.2325
KAKATCEM,0.0,0.0,0.001,0.5597,0.2036,0.3334
PERSISTENT,0.0,0.0428,0.546,0.211,0.0321,0.4434
KAYA,0.0,0.0,0.0589,0.3549,0.1278,0.6027
HIRECT,0.0,0.0,0.0,0.5891,0.14,0.324
LICHSGFIN,0.0,0.1557,0.0457,0.0498,0.4691,0.1565
MASTEK,0.0,0.0,0.0029,0.6299,0.1191,0.3083
HEXAWARE,0.0,0.0001,0.0233,0.1433,0.1648,0.0678
RPPINFRA,0.0,0.0,0.0097,0.6396,0.1026,0.057
SASKEN,0.0,0.0,0.0055,0.057,0.0783,0.0449
PTL,0.0,0.0,0.0035,0.1469,0.069,0.1928
VHL,0.0,0.0004,0.3333,0.1749,0.0435,0.0253
ORIENTBANK,0.0,0.0,0.0,0.0006,0.5272,0.5141
PAGEIND,0.0,0.002,0.9783,0.0015,0.097,0.0034
NAHARINDUS,0.0,0.0,0.0,0.8499,0.1788,0.3614
ASIANTILES,0.0,0.0,0.0,0.7255,0.1636,0.0456
HERCULES,0.0,0.0,0.0002,0.005,0.2407,0.9389
PURVA,0.0,0.0,0.004,0.0055,0.2349,0.4457
DHANUKA,0.0,0.0,0.1173,0.4081,0.1472,0.0117
SKFINDIA,0.0,0.0112,0.6087,0.7966,0.0865,0.0119
SAREGAMA,0.0,0.0,0.0,0.3625,0.19,0.0756
KAMDHENU,0.0,0.0,0.0,0.0247,0.1896,0.1216
TATACOFFEE,0.0,0.0,0.0235,0.3371,0.1086,0.2658
NELCAST,0.0,0.0,0.0,0.9859,0.1997,0.2414
NATCOPHARM,0.0,0.0466,0.4064,0.0011,0.058,0.2474
TIMKEN,0.0,0.0,0.0138,0.0134,0.1644,0.0763
WHIRLPOOL,0.0,0.0003,0.8838,0.8632,0.1558,0.0079
GOODLUCK,0.0,0.0,0.0042,0.0725,0.26,0.723
NBCC,0.0,0.0,0.0004,0.5753,0.1359,0.4208
SYNGENE,0.0,0.0001,0.1161,0.2534,0.1807,0.2138
DRREDDY,0.0,0.8825,0.0793,0.3328,0.0848,0.3819
SETFGOLD,0.0,0.2635,0.3035,0.3958,0.025,0.2138
BAJAJFINSV,0.0,0.0,0.4516,0.0428,0.2047,0.0062
TATASTEEL,0.0,0.0006,0.0,0.0,0.4356,0.1346
JVLAGRO,0.0,0.0,0.0,0.3815,0.1493,0.6417
ALPHAGEO,0.0,0.0655,0.6129,0.245,0.0379,0.0791
MAANALU,0.0001,0.4508,0.0396,0.1226,0.0409,0.1069
INDNIPPON,0.0,0.0,0.0013,0.158,0.113,0.0404
VINYLINDIA,0.0,0.0,0.3051,0.0122,0.0693,0.0745
CGPOWER,0.0,0.0224,0.1682,0.2916,0.2034,0.768
TIL,0.0,0.0,0.0,0.0298,0.2416,0.265
ROSSELLIND,0.0,0.0,0.0137,0.2854,0.1293,0.4845
SKIPPER,0.0,0.0,0.0027,0.1586,0.317,0.997
MANGTIMBER,0.0004,0.0,0.3087,0.1001,0.0441,0.3284
TRF,0.0,0.0,0.0001,0.0004,0.1568,0.3147
NAVNETEDUL,0.0,0.0,0.0115,0.1671,0.1349,0.0869
SPECIALITY,0.0,0.0,0.0007,0.2006,0.1184,0.8524
KCPSUGIND,0.0,0.0,0.0,0.9927,0.2159,0.8438
ROHLTD,0.0,0.0,0.0008,0.0903,0.1555,0.1889
DAAWAT,0.0,0.0014,0.0013,0.6043,0.0804,0.1665
GMBREW,0.0,0.0,0.0062,0.1627,0.0964,0.0509
EMMBI,0.0,0.0,0.0,0.0786,0.1339,0.0123
TATAINVEST,0.0,0.0,0.0013,0.6923,0.2496,0.2683
SUBEX,0.0,0.0,0.0,0.1198,0.2179,0.8575
SAKUMA,0.0,0.0,0.0512,0.057,0.0937,0.027
LAXMIMACH,0.0,0.007,0.0,0.4797,0.1694,0.0464
GUJGASLTD,0.0,0.0004,0.3269,0.7077,0.123,0.2399
KOPRAN,0.0,0.0,0.0,0.0995,0.2809,0.3416
IOC,0.0,0.1558,0.1999,0.4049,0.1531,0.3791
IVRCLINFRA,0.0,0.0,0.0,0.0,0.3573,0.1284
PRAKASH,0.0,0.0,0.0,0.5945,0.2972,0.2918
CGCL,0.0,0.0,0.0696,0.7584,0.0643,0.6169
MINDTREE,0.0,0.033,0.4458,0.1433,0.0262,0.6897
SCHNEIDER,0.0,0.0,0.0,0.6696,0.2471,0.7432
GRPLTD,0.0,0.3063,0.6094,0.8253,0.0432,0.9006
VIMTALABS,0.0,0.0,0.0,0.0102,0.161,0.0929
RSSOFTWARE,0.0,0.0,0.0006,0.0794,0.1555,0.552
DCM,0.0,0.0,0.0,0.2287,0.168,0.7507
RELAXO,0.0003,0.0584,0.0151,0.2875,0.0277,0.4489
ABFRL,0.0,0.0017,0.3591,0.828,0.1136,0.9174
SANGAMIND,0.0,0.0,0.0,0.5024,0.192,0.2433
LIBERTSHOE,0.0,0.0,0.0001,0.4753,0.2762,0.3727
JAYBARMARU,0.0,0.0,0.0006,0.6409,0.1503,0.0611
RCF,0.0,0.0,0.0,0.0037,0.3208,0.4856
ORIENTLTD,0.2825,0.7078,0.1272,0.5188,0.0066,0.2602
ICICIBANK,0.0,0.0001,0.5119,0.8969,0.1911,0.7845
INDUSINDBK,0.0,0.0,0.0,0.2918,0.374,0.0024
CPSEETF,0.0,0.0,0.1463,0.0,0.6359,0.0346
ORBTEXP,0.0,0.001,0.1064,0.1222,0.0674,0.6776
MANALIPETC,0.0,0.0,0.0,0.843,0.2815,0.3074
CENTURYPLY,0.0,0.0,0.0,0.4312,0.1808,0.1078
VSTIND,0.0,0.0988,0.3089,0.8952,0.0511,0.1893
SUZLON,0.0,0.0,0.0,0.0,0.2564,0.8653
CRISIL,0.0,0.128,0.8452,0.383,0.0611,0.1641
RANEENGINE,0.2237,0.0008,0.026,0.564,0.0188,0.1293
LINCPEN,0.0,0.0,0.0001,0.3233,0.172,0.2165
ADANIPORTS,0.0,0.816,0.1557,0.5109,0.2862,0.1302
EXCEL,0.0,0.0,0.1371,0.3042,0.0851,0.1503
SONATSOFTW,0.0,0.0,0.0118,0.0719,0.1193,0.0091
GOLDIAM,0.0,0.0,0.0007,0.5004,0.0978,0.2229
JSWHL,0.0,0.0166,0.0014,0.0,0.2395,0.0304
ASHIANA,0.0,0.0001,0.0057,0.2101,0.079,0.6215
POLYPLEX,0.0,0.0,0.0,0.0207,0.2872,0.207
ITI,0.0,0.0,0.0,0.0275,0.1869,0.092
GODREJPROP,0.0,0.0,0.379,0.3522,0.1778,0.8733
TVSSRICHAK,0.0,0.0,0.0195,0.3215,0.1299,0.0029
JBCHEPHARM,0.0,0.0,0.0,0.489,0.1733,0.1109
RELCNX100,0.0,0.0712,0.4082,0.0423,0.0593,0.1492
MUKANDLTD,0.0,0.0,0.0,0.6798,0.1867,0.19
VIJSHAN,0.0,0.0,0.0,0.6925,0.1379,0.6548
ACC,0.0,0.1319,0.0253,0.077,0.3344,0.6381
NAVINFLUOR,0.0,0.0,0.1392,0.3129,0.0695,0.1042
TRENT,0.0,0.4302,0.0498,0.0009,0.0745,0.8896
ORICONENT,0.0,0.0,0.0841,0.0892,0.324,0.7323
FOSECOIND,0.0,0.0,0.0,0.7135,0.1294,0.0483
MERCK,0.0,0.0,0.0003,0.0529,0.1575,0.3217
ELECTCAST,0.0,0.0,0.0,0.0101,0.2938,0.7305
ORIENTREF,0.0,0.0,0.1722,0.8378,0.1062,0.0496
DPSCLTD,0.0,0.0008,0.0059,0.6012,0.0785,0.3538
TIIL,0.0,0.0,0.0,0.0588,0.1445,0.0752
TECHNOFAB,0.0,0.0,0.0005,0.0038,0.0896,0.2171
SETFNIF50,0.0,0.146,0.0,0.0268,0.3983,0.1756
TVTODAY,0.0,0.0001,0.0002,0.7727,0.1419,0.0822
STRTECH,0.0,0.0,0.0,0.0002,0.3034,0.0117
NITINSPIN,0.0,0.0,0.0,0.5946,0.2001,0.0236
THERMAX,0.0,0.0,0.9221,0.8952,0.1358,0.1783
STAR,0.0,0.0,0.0345,0.4002,0.1344,0.9064
FEDERALBNK,0.0,0.3412,0.4253,0.5275,0.1597,0.6617
METALFORGE,0.0,0.0,0.0,0.3107,0.2005,0.2889
PAISALO,0.0,0.0006,0.1735,0.3234,0.0371,0.807
TFCILTD,0.0,0.0,0.0,0.0899,0.2987,0.1447
SELAN,0.0,0.0,0.0,0.0862,0.1802,0.9822
NLCINDIA,0.0,0.0,0.0,0.0,0.2289,0.3853
