Symbol,Rm-Rf %,Adj-r_sq,const
RIIL,0.0,0.4458,0.606
WILLAMAGOR,0.0,0.1486,0.6172
UTTAMSTL,0.0,0.2699,0.8701
ENERGYDEV,0.0002,0.0509,0.1069
ALMONDZ,0.0002,0.0535,0.679
CIMMCO,0.0,0.2327,0.8613
AXISBANK,0.0,0.3501,0.658
IVP,0.0,0.1472,0.6642
HERITGFOOD,0.0,0.1954,0.0981
AEGISCHEM,0.0,0.1985,0.3577
BAJAJCORP,0.0,0.0777,0.7778
TEAMLEASE,0.0,0.1359,0.5713
DUCON,0.0026,0.0352,0.0343
BSLNIFTY,0.8573,-0.0044,0.7428
GOCLCORP,0.0,0.1984,0.0633
N100,0.0062,0.0263,0.3043
UTISENSETF,0.0,0.359,0.3475
RMCL,0.0003,0.0492,0.6646
KIRLOSBROS,0.0,0.2312,0.7808
SANGHVIFOR,0.0,0.1436,0.7045
INVENTURE,0.0001,0.0545,0.5794
MRPL,0.0,0.1557,0.2132
GOLDSHARE,0.001,0.0394,0.1464
BOSCHLTD,0.0,0.2585,0.4106
PFC,0.0,0.14,0.7869
SHARDACROP,0.0,0.1368,0.0446
KSL,0.0,0.2947,0.1347
NESCO,0.0,0.2584,0.3842
VENKEYS,0.0,0.1404,0.3652
SILINV,0.0,0.1073,0.5158
SPIC,0.0,0.3836,0.7119
AMDIND,0.0,0.1754,0.7749
MPHASIS,0.0001,0.0544,0.4383
VIPIND,0.0,0.3218,0.3909
HDIL,0.0,0.4943,0.8428
VIVIMEDLAB,0.0023,0.0335,0.4791
MONNETISPA,0.0,0.224,0.6672
MAGNUM,0.3253,-0.0001,0.6545
PVP,0.0,0.1448,0.6728
GTLINFRA,0.0,0.0705,0.282
PKTEA,0.0005,0.0465,0.5195
PROVOGE,0.0,0.1053,0.6124
8KMILES,0.0,0.1228,0.3684
USHERAGRO,0.0,0.0928,0.0819
JAICORPLTD,0.0,0.3457,0.7897
MCX,0.0,0.152,0.1709
TITAN,0.0,0.2727,0.8983
ZICOM,0.0,0.1736,0.0892
MUNJALSHOW,0.0,0.3462,0.903
WSTCSTPAPR,0.0,0.2474,0.0785
IBULHSGFIN,0.0,0.3863,0.996
DEEPAKFERT,0.0,0.1172,0.3171
OMMETALS,0.0,0.2825,0.8637
FILATEX,0.0,0.1506,0.234
BIL,0.0,0.1704,0.8497
UJAAS,0.0,0.1047,0.154
GAMMNINFRA,0.0,0.2204,0.2203
ECEIND,0.0269,0.0159,0.3047
GALLANTT,0.0,0.2054,0.5189
SURANASOL,0.0,0.0684,0.7633
DEN,0.0,0.0937,0.444
NBVENTURES,0.0,0.1189,0.9424
TATAELXSI,0.0,0.4077,0.2351
JINDCOT,0.0,0.1693,0.3935
KAKATCEM,0.0,0.2096,0.188
PERSISTENT,0.0,0.0768,0.8547
KAYA,0.0,0.1528,0.279
HIRECT,0.0,0.1559,0.8097
LICHSGFIN,0.0,0.5229,0.347
MASTEK,0.0,0.1897,0.9156
HEXAWARE,0.0,0.2999,0.8554
RPPINFRA,0.0,0.2067,0.0383
SASKEN,0.0,0.1384,0.5999
PTL,0.0,0.2369,0.1773
LITL,0.0,0.1692,0.244
VHL,0.0,0.0987,0.0997
ORIENTBANK,0.0,0.4684,0.6946
PAGEIND,0.0,0.2295,0.6616
NAHARINDUS,0.0,0.1242,0.1995
ASIANTILES,0.0,0.3561,0.3596
HERCULES,0.0,0.3036,0.652
PURVA,0.0,0.2373,0.4733
DHANUKA,0.0,0.144,0.1184
SKFINDIA,0.0,0.1076,0.5816
SAREGAMA,0.0,0.2829,0.5308
KAMDHENU,0.0,0.2815,0.1935
TATACOFFEE,0.0,0.2603,0.4059
NELCAST,0.0,0.2737,0.6021
NATCOPHARM,0.0,0.1223,0.6931
TIMKEN,0.0,0.2092,0.4751
WHIRLPOOL,0.0,0.1193,0.1604
GOODLUCK,0.0,0.2596,0.9713
NBCC,0.006,0.0266,0.55
ARSSINFRA,0.0,0.2325,0.449
ZENITHBIR,0.0995,0.0073,0.6663
AMTEKAUTO,0.0,0.2832,0.652
SYNGENE,0.0,0.1912,0.1879
DRREDDY,0.0,0.1167,0.7431
BURNPUR,0.0,0.0814,0.6158
SETFGOLD,0.0002,0.0514,0.1683
BAJAJFINSV,0.0,0.2073,0.0927
TATASTEEL,0.0,0.4172,0.0691
JVLAGRO,0.0,0.2101,0.5172
ALPHAGEO,0.0,0.1367,0.257
MAANALU,0.0001,0.0556,0.1539
INDNIPPON,0.0,0.1719,0.326
VINYLINDIA,0.0,0.247,0.9027
CGPOWER,0.0,0.082,0.5832
TIL,0.0,0.1849,0.3643
ROSSELLIND,0.0,0.3131,0.469
SKIPPER,0.0,0.4132,0.8081
MANGTIMBER,0.0296,0.0152,0.3061
TRF,0.0,0.2445,0.2034
NAVNETEDUL,0.0,0.1446,0.3145
SPECIALITY,0.0,0.208,0.1172
KCPSUGIND,0.0,0.1969,0.5248
ROHLTD,0.0,0.1569,0.7014
DAAWAT,0.0,0.2113,0.5533
SPYL,0.0011,0.039,0.9678
GMBREW,0.0,0.0828,0.5903
EMMBI,0.0,0.1557,0.3004
JPINFRATEC,0.0,0.1129,0.5271
TATAINVEST,0.0,0.2302,0.6124
SUBEX,0.0,0.2431,0.8554
CEREBRAINT,0.0,0.1311,0.5791
SAKUMA,0.0,0.206,0.8199
LAXMIMACH,0.0,0.1986,0.5752
GUJGASLTD,0.0,0.171,0.7744
JBFIND,0.0,0.2215,0.8926
KOPRAN,0.0,0.2882,0.7389
BVCL,0.0012,0.0382,0.4755
IOC,0.0006,0.0429,0.9816
IVRCLINFRA,0.0,0.2234,0.2333
KRIDHANINF,0.0,0.184,0.0869
PRAKASH,0.0,0.3139,0.3338
CGCL,0.0091,0.0236,0.8705
MINDTREE,0.0246,0.0165,0.2953
SCHNEIDER,0.0,0.3198,0.7434
