Symbol,Rm-Rf %,Adj-r_sq,const
RIIL,0.0,0.4728,0.7621
UTTAMSTL,0.0,0.1794,0.4396
AXISBANK,0.0,0.4317,0.4764
AEGISCHEM,0.0,0.1776,0.5487
BAJAJCORP,0.0,0.1597,0.6952
N100,0.4123,-0.0013,0.0081
KIRLOSBROS,0.0206,0.0175,0.6054
MRPL,0.0,0.1828,0.6255
GOLDSHARE,0.0154,0.0196,0.671
BOSCHLTD,0.0015,0.036,0.3276
PFC,0.0,0.4275,0.8028
KSL,0.0,0.2506,0.5287
NESCO,0.0034,0.0303,0.3515
VENKEYS,0.0002,0.0497,0.6169
MPHASIS,0.0006,0.0424,0.3673
VIPIND,0.0,0.2513,0.997
HDIL,0.0,0.4519,0.6505
VIVIMEDLAB,0.0002,0.0519,0.49
MONNETISPA,0.0,0.1098,0.4566
PROVOGE,0.0,0.1511,0.6233
USHERAGRO,0.0261,0.0159,0.4756
JAICORPLTD,0.0,0.3828,0.3203
MCX,0.001,0.0391,0.1569
MANDHANA,0.0265,0.0158,0.6375
TITAN,0.0,0.1869,0.9639
ZICOM,0.0,0.0612,0.9776
MUNJALSHOW,0.0027,0.0318,0.498
WSTCSTPAPR,0.0,0.1585,0.2386
DEEPAKFERT,0.0,0.0758,0.8882
UJAAS,0.0,0.068,0.645
GAMMNINFRA,0.0,0.0844,0.3612
GALLANTT,0.126,0.0054,0.6471
DEN,0.0,0.1213,0.9505
NBVENTURES,0.0007,0.0413,0.7669
TATAELXSI,0.0,0.0693,0.0503
JINDCOT,0.0001,0.0584,0.1104
PERSISTENT,0.004,0.0291,0.0061
HIRECT,0.0,0.1121,0.7998
LICHSGFIN,0.0,0.5296,0.9388
MASTEK,0.0,0.0836,0.3774
HEXAWARE,0.0001,0.0543,0.0883
RPPINFRA,0.0147,0.0199,0.356
GOENKA,0.0002,0.0493,0.0466
SASKEN,0.0045,0.0283,0.0769
LITL,0.0,0.226,0.5061
ORIENTBANK,0.0,0.4517,0.8525
PAGEIND,0.2072,0.0024,0.0455
HERCULES,0.0,0.1411,0.7608
PURVA,0.0,0.2099,0.8658
DHANUKA,0.0,0.1415,0.0179
SKFINDIA,0.0001,0.0564,0.4643
SAREGAMA,0.0,0.1453,0.6519
TATACOFFEE,0.0,0.1796,0.6563
NELCAST,0.0171,0.0188,0.9109
NATCOPHARM,0.0011,0.0384,0.0406
TIMKEN,0.0028,0.0317,0.8966
WHIRLPOOL,0.0,0.196,0.9375
NBCC,0.0,0.2919,0.7114
