Adj-r_sq,HML %,Rm-Rf %,SMB %,Symbol,WML %,const,ent
0.5305,0.0,0.0,0.0002,RIIL,,0.6722,
0.2053,0.0007,0.0009,0.0009,WILLAMAGOR,,0.6565,
0.3554,0.0,0.0,0.0052,UTTAMSTL,,0.955,
0.0724,0.746,0.0019,0.01,ENERGYDEV,,0.0972,
0.074,0.065,0.0498,0.0474,ALMONDZ,,0.6427,
0.2795,0.7226,0.0,0.0,CIMMCO,,0.9072,
0.3904,0.0437,0.0,0.001,AXISBANK,,0.6599,
0.235,0.1431,0.0,0.0,IVP,,0.5777,
0.2247,0.1108,0.0,0.0032,HERITGFOOD,,0.081,
0.2215,0.3486,0.0,0.0012,AEGISCHEM,,0.3203,
0.1202,0.3872,0.0,0.0123,BAJAJCORP,,0.7919,
0.1393,0.3088,0.0,0.0444,TEAMLEASE,,0.5516,
0.0642,0.0053,0.4612,0.1557,DUCON,,0.0237,
-0.0109,0.6457,0.9386,0.4851,BSLNIFTY,,0.7301,
0.2793,0.688,0.0,0.0,GOCLCORP,,0.0413,
0.0382,0.8503,0.0432,0.0112,N100,,0.2831,
0.377,0.1129,0.0,0.9654,UTISENSETF,,0.3554,
0.0717,0.4386,0.0149,0.0028,RMCL,,0.6229,
0.2563,0.3092,0.0,0.0031,KIRLOSBROS,,0.736,
0.1901,0.2281,0.0,0.0005,SANGHVIFOR,,0.7469,
0.0535,0.717,0.0043,0.2819,INVENTURE,,0.5666,
0.1578,0.2679,0.0,0.1915,MRPL,,0.2006,
0.0395,0.3066,0.0346,0.412,GOLDSHARE,,0.1476,
0.2926,0.0003,0.0,0.1331,BOSCHLTD,,0.4407,
0.157,0.0102,0.0003,0.9756,PFC,,0.8133,
0.1619,0.9017,0.0,0.005,SHARDACROP,,0.0385,
0.3284,0.0014,0.0,0.0178,KSL,,0.107,
0.27,0.4173,0.0,0.0081,NESCO,,0.3539,
0.2172,0.0002,0.0023,0.0001,VENKEYS,,0.2906,
0.1926,0.1296,0.0,0.0,SILINV,,0.4483,
0.435,0.0141,0.0,0.0,SPIC,,0.7729,
0.2367,0.1439,0.0,0.0,AMDIND,,0.7058,
0.0623,0.0672,0.0,0.2677,MPHASIS,,0.4423,
0.3479,0.1706,0.0,0.0179,VIPIND,,0.3585,
0.5937,0.0,0.0,0.0004,HDIL,,0.9455,
0.0227,0.8731,0.0196,0.318,VIVIMEDLAB,,0.49,
0.3329,0.0,0.0001,0.0001,MONNETISPA,,0.7407,
-0.0076,0.1819,0.9155,0.6821,MAGNUM,,0.6338,
0.2266,0.0008,0.0009,0.0002,PVP,,0.7336,
0.1447,0.0132,0.0381,0.0,GTLINFRA,,0.226,
0.0451,0.8842,0.0075,0.2629,PKTEA,,0.4903,
0.1618,0.0164,0.003,0.0001,PROVOGE,,0.6623,
0.1175,0.533,0.0,0.6154,8KMILES,,0.3783,
0.1323,0.1857,0.0011,0.0236,USHERAGRO,,0.0881,
0.4387,0.0,0.0,0.0001,JAICORPLTD,,0.6715,
0.1695,0.4956,0.0,0.0212,MCX,,0.1557,
0.2746,0.0746,0.0,0.522,TITAN,,0.9115,
0.1952,0.1538,0.0,0.0058,ZICOM,,0.0957,
0.4119,0.0171,0.0,0.0,MUNJALSHOW,,0.8194,
0.3229,0.0122,0.0,0.0,WSTCSTPAPR,,0.0542,
0.3875,0.9692,0.0,0.9493,IBULHSGFIN,,0.9971,
0.1468,0.1191,0.0002,0.0018,DEEPAKFERT,,0.2782,
0.3412,0.0459,0.0,0.0,OMMETALS,,0.9313,
0.2315,0.013,0.0001,0.0,FILATEX,,0.1622,
0.2184,0.427,0.0,0.0,BIL,,0.791,
0.189,0.0032,0.0074,0.0,UJAAS,,0.1082,
0.3359,0.0,0.0,0.0,GAMMNINFRA,,0.2356,
0.0607,0.8307,0.121,0.0002,ECEIND,,0.2697,
0.2939,0.0027,0.0,0.0,GALLANTT,,0.424,
0.1582,0.0009,0.1194,0.0,SURANASOL,,0.6683,
0.1596,0.004,0.0151,0.0007,DEN,,0.4823,
0.1348,0.0073,0.0017,0.7204,NBVENTURES,,0.9767,
0.4547,0.1998,0.0,0.0,TATAELXSI,,0.2486,
