Symbol,Rm-Rf %,SMB %,Adj-r_sq,const,high-low
RIIL,0.0,,0.2965,0.441,0.7511
WILLAMAGOR,0.0,,0.193,0.3965,0.394
UTTAMSTL,0.0,,0.2181,0.5552,0.189
ALMONDZ,0.0088,,0.023,0.4473,0.4113
CIMMCO,0.0,,0.1985,0.3436,0.3986
AXISBANK,0.0,,0.4141,0.7249,0.8136
HERITGFOOD,0.0071,,0.1451,0.2198,0.0011
AEGISCHEM,0.036,,0.0231,0.8364,0.7922
BAJAJCORP,0.0006,,0.1443,0.4939,0.012
GOCLCORP,0.0013,,0.0842,0.9304,0.2579
N100,0.5598,,-0.0015,0.3027,0.5617
NAKODA,0.3276,,-0.0041,0.962,0.673
RMCL,0.0,,0.2003,0.6834,0.2572
KIRLOSBROS,0.0013,,0.1074,0.5509,0.0693
SANGHVIFOR,0.0,,0.1476,0.263,0.6796
INVENTURE,0.0237,,0.0366,0.4986,0.491
MRPL,0.0,,0.2174,0.1556,0.8821
GOLDSHARE,0.1886,,-0.001,0.9572,0.4747
BOSCHLTD,0.0,,0.3927,0.7705,0.0131
PFC,0.0,,0.3455,0.661,0.1182
SHARDACROP,0.0,,0.2922,0.7671,0.4986
KSL,0.0,,0.2133,0.4896,0.9825
NESCO,0.0,,0.1599,0.7918,0.1946
VENKEYS,0.0,,0.0935,0.767,0.9399
SPIC,0.0,,0.2333,0.5461,0.9767
AMDIND,0.0002,,0.0754,0.3136,0.9717
MPHASIS,0.0998,,0.0277,0.2649,0.2846
VIPIND,0.0,,0.189,0.7475,0.8006
HDIL,0.0,,0.3685,0.2389,0.1792
VIVIMEDLAB,0.0,,0.1628,0.3268,0.8489
MONNETISPA,0.0,,0.1915,0.4192,0.4026
PVP,0.008,,0.1127,0.96,0.0101
GTLINFRA,0.0,,0.102,0.4824,0.8528
PROVOGE,0.0,,0.1373,0.5148,0.3642
8KMILES,0.0,,0.1322,0.0144,0.3809
USHERAGRO,0.0,,0.2121,0.6697,0.4488
JAICORPLTD,0.0,,0.3713,0.5722,0.9296
MCX,0.0,,0.2482,0.5966,0.2183
MANDHANA,0.0,,0.1112,0.5917,0.901
TITAN,0.0,,0.0939,0.8697,0.8805
ZICOM,0.0,,0.3089,0.6114,0.0578
MUNJALSHOW,0.0,,0.2626,0.5198,0.693
WSTCSTPAPR,0.0,,0.2064,0.1749,0.2921
IBULHSGFIN,0.0,,0.2455,0.0322,0.8788
DEEPAKFERT,0.0,,0.096,0.3131,0.234
OMMETALS,0.0,,0.1779,0.1523,0.9816
FILATEX,0.0765,,0.0254,0.3004,0.4331
BIL,0.0,,0.1468,0.2181,0.1986
UJAAS,0.0,,0.2047,0.4146,0.8673
GAMMNINFRA,0.0,,0.2195,0.12,0.0505
ECEIND,0.0,,0.1187,0.4,0.2411
GALLANTT,0.0249,,0.0133,0.1754,0.3482
SURANASOL,0.0701,,0.0131,0.1714,0.9376
DEN,0.0,,0.1721,0.9533,0.1307
NBVENTURES,0.0316,,0.0825,0.8146,0.021
TATAELXSI,0.0,,0.2778,0.0044,0.0056
JINDCOT,0.0,,0.1212,0.7169,0.4266
KAKATCEM,0.0,,0.1258,0.1994,0.6845
PERSISTENT,0.11,,0.0367,0.2767,0.1413
HIRECT,0.0018,,0.0851,0.7249,0.1964
LICHSGFIN,0.0,,0.4505,0.1961,0.3546
HEXAWARE,0.0,,0.2672,0.269,0.3779
RPPINFRA,0.0,,0.1785,0.7611,0.9118
SASKEN,0.325,,0.0401,0.1937,0.0322
PTL,0.6218,,0.1192,0.1296,0.0
LITL,0.0,,0.1505,0.5136,0.7662
ORIENTBANK,0.0,,0.4173,0.1262,0.1099
PAGEIND,0.0,,0.19,0.4646,0.3345
NAHARINDUS,0.0,,0.1422,0.656,0.1151
ASIANTILES,0.0,,0.1933,0.3704,0.2055
HERCULES,0.0,,0.2317,0.9856,0.0703
PURVA,0.0,,0.2319,0.6496,0.1252
DHANUKA,0.0,,0.2121,0.6878,0.7535
SKFINDIA,0.0007,,0.1161,0.9424,0.0655
SAREGAMA,0.0,,0.1193,0.032,0.1743
KAMDHENU,0.0,,0.1031,0.7931,0.4736
TATACOFFEE,0.1913,,0.0064,0.4072,0.7276
NELCAST,0.0,,0.1773,0.0746,0.8428
NATCOPHARM,0.0563,,0.0454,0.9116,0.147
TIMKEN,0.0,,0.3324,0.5326,0.0921
WHIRLPOOL,0.0,,0.1877,0.63,0.5183
GOODLUCK,0.0,,0.255,0.126,0.2859
NBCC,0.0,,0.321,0.3697,0.0101
ARSSINFRA,0.0,,0.1939,0.2491,0.1401
ZENITHBIR,0.3748,,-0.0008,0.6467,0.7647
AMTEKAUTO,0.0,,0.1195,0.6743,0.0431
DRREDDY,0.0001,,0.1638,0.8595,0.0169
BURNPUR,0.0,,0.117,0.689,0.6135
SETFGOLD,0.2089,,0.005,0.97,0.7609
BAJAJFINSV,0.0,,0.2236,0.0478,0.2472
TATASTEEL,0.0,,0.4067,0.5039,0.7181
JVLAGRO,0.0,,0.1523,0.4843,0.636
ALPHAGEO,0.0,,0.2124,0.2749,0.0032
INDNIPPON,0.0001,,0.1339,0.8822,0.1022
VINYLINDIA,0.0,,0.1761,0.716,0.6838
CGPOWER,0.0,,0.3863,0.3671,0.6071
TIL,0.0,,0.2356,0.2881,0.2361
ROSSELLIND,0.0,,0.1684,0.2252,0.0556
MANGTIMBER,0.1793,,0.0049,0.2593,0.8912
TRF,0.0,,0.1719,0.4354,0.7431
NAVNETEDUL,0.0,,0.124,0.8709,0.8542
SPECIALITY,0.0439,,0.1057,0.418,0.0026
KCPSUGIND,0.0001,,0.0691,0.4711,0.6875
ROHLTD,0.0018,,0.062,0.115,0.618
DAAWAT,0.0005,,0.0987,0.04,0.2245
GMBREW,0.087,,0.039,0.0003,0.1512
EMMBI,0.0031,,0.0783,0.0036,0.1993
JPINFRATEC,0.0,,0.2552,0.4078,0.0906
TATAINVEST,0.0,,0.28,0.6891,0.7019
SUBEX,0.0,,0.1422,0.5566,0.3714
CEREBRAINT,0.0069,,0.0326,0.0977,0.8317
SAKUMA,0.0019,,0.0822,0.0167,0.2252
LAXMIMACH,0.0,,0.1558,0.6504,0.2031
JBFIND,0.0,,0.1847,0.7832,0.2901
KOPRAN,0.0,,0.2449,0.262,0.1309
BVCL,0.0001,,0.1025,0.2987,0.4841
IOC,0.0,,0.2182,0.1024,0.4024
IVRCLINFRA,0.0,,0.2175,0.4628,0.4971
PRAKASH,0.0,,0.2942,0.3936,0.0838
CGCL,0.0001,,0.1127,0.7904,0.3422
MINDTREE,0.0,,0.1579,0.5084,0.0599
SCHNEIDER,0.0,,0.3246,0.5689,0.0101
VIMTALABS,0.0,,0.1477,0.2942,0.2902
RSSOFTWARE,0.0,,0.0928,0.2856,0.7925
TVSELECT,0.0015,,0.0482,0.0365,0.8209
DCM,0.0,,0.127,0.6144,0.8587
RELAXO,0.1586,,0.0402,0.8459,0.0756
ABFRL,0.0,,0.1325,0.0394,0.07
SANGAMIND,0.0,,0.1912,0.0044,0.0583
LIBERTSHOE,0.0,,0.3815,0.9298,0.6913
JAYBARMARU,0.0,,0.1698,0.7484,0.5342
RCF,0.0,,0.1779,0.8231,0.8762
ICICIBANK,0.0,,0.5134,0.6918,0.4908
INDUSINDBK,0.0,,0.417,0.0776,0.4859
CPSEETF,0.0,,0.6963,0.8358,0.0029
ORBTEXP,0.0,,0.1803,0.5318,0.9318
MANALIPETC,0.0,,0.2247,0.1244,0.0308
CENTURYPLY,0.0,,0.2896,0.4009,0.7002
VSTIND,0.0004,,0.0943,0.9211,0.2988
SUZLON,0.0,,0.2232,0.2663,0.0783
CRISIL,0.0,,0.1909,0.559,0.4891
SHARONBIO,0.0759,,0.0386,0.9966,0.1757
ADANIPORTS,0.0,,0.3535,0.9776,0.9004
EXCEL,0.0,,0.0902,0.1731,0.2171
SONATSOFTW,0.0002,,0.1046,0.2667,0.2441
GOLDIAM,0.008,,0.0673,0.1619,0.1955
SUJANAUNI,0.01,,0.0407,0.8125,0.669
JSWHL,0.0,,0.163,0.5489,0.8991
ASHIANA,0.0003,,0.1231,0.9697,0.0829
POLYPLEX,0.0,,0.2658,0.426,0.0176
ITI,0.0,,0.1775,0.4593,0.7908
GODREJPROP,0.0,,0.2386,0.1462,0.6814
TVSSRICHAK,0.0,,0.183,0.1039,0.4639
JBCHEPHARM,0.0,,0.2276,0.2517,0.0617
MUKANDLTD,0.0,,0.1607,0.5024,0.6552
VIJSHAN,0.0,,0.1006,0.5283,0.5149
DLINKINDIA,0.0,,0.2029,0.5378,0.5476
ACC,0.0,,0.279,0.5601,0.7015
NAVINFLUOR,0.0,,0.1566,0.0084,0.0422
TRENT,0.0,,0.1693,0.2909,0.4322
FOSECOIND,0.0,,0.1321,0.408,0.2832
MERCK,0.0,,0.2868,0.85,0.0032
ELECTCAST,0.0,,0.1774,0.3268,0.4546
ORIENTREF,0.0001,,0.0852,0.7674,0.9621
DPSCLTD,0.0001,,0.0934,0.739,0.7727
TIIL,0.0,,0.1752,0.161,0.6122
TECHNOFAB,0.0026,,0.045,0.2871,0.9297
AHLWEST,0.0581,,0.0074,0.4979,0.439
SMPL,0.0003,,0.0979,0.8002,0.3245
TVTODAY,0.0,,0.2223,0.1477,0.1876
STRTECH,0.0,,0.3194,0.0835,0.667
NITINSPIN,0.0028,,0.1507,0.0461,0.0019
THERMAX,0.0,,0.1803,0.9565,0.4818
STAR,0.0,,0.3441,0.1415,0.3438
FEDERALBNK,0.0,,0.1243,0.2953,0.9491
METALFORGE,0.0,,0.1195,0.1382,0.158
PAISALO,0.0034,,0.0507,0.558,0.745
TFCILTD,0.0,,0.3137,0.9597,0.6181
SELAN,0.0,,0.1319,0.4342,0.7318
NLCINDIA,0.0,,0.2274,0.5036,0.899
PARSVNATH,0.0004,,0.0552,0.1706,0.5686
TATASPONGE,0.0,,0.3517,0.8028,0.0896
ITC,0.0,,0.1726,0.7941,0.2267
NATIONALUM,0.0001,,0.0681,0.6442,0.6797
WABAG,0.0,,0.1199,0.6017,0.8159
GVKPIL,0.0,,0.1554,0.9637,0.1466
IBVENTURES,0.0,,0.2586,0.4192,0.843
ADHUNIK,0.0,,0.1268,0.993,0.7248
RKDL,0.0172,,0.0236,0.246,0.8461
FACT,0.0,,0.1585,0.8913,0.6438
PGEL,0.0458,,0.0601,0.2486,0.0675
ALKYLAMINE,0.0,,0.1642,0.5573,0.5448
ASTRAMICRO,0.0,,0.1186,0.4196,0.9696
RUSHIL,0.0093,,0.0634,0.0171,0.208
RICOAUTO,0.0,,0.2518,0.5416,0.4046
POWERGRID,0.0,,0.2262,0.3157,0.1506
CASTROLIND,0.0,,0.1994,0.9995,0.541
MAGMA,0.0,,0.1767,0.9546,0.1566
KSK,0.0004,,0.0713,0.9098,0.8149
SHOPERSTOP,0.0,,0.1931,0.8972,0.6693
ABB,0.0,,0.2314,0.9503,0.4377
MTNL,0.0,,0.1845,0.7226,0.1095
INDIACEM,0.0,,0.4419,0.3397,0.1351
OPTOCIRCUI,0.0,,0.1786,0.2057,0.041
ALLSEC,0.0052,,0.0282,0.0009,0.4491
DEEPIND,0.0,,0.1659,0.026,0.8334
HOTELEELA,0.0,,0.2099,0.5603,0.9175
RSWM,0.0,,0.2735,0.0506,0.2546
ADANIENT,0.0,,0.1498,0.5315,0.5575
MAWANASUG,0.0148,,0.0279,0.1929,0.9864
CYBERTECH,0.0,,0.1539,0.3502,0.8096
GANESHHOUC,0.0,,0.2035,0.3876,0.6538
OMAXAUTO,0.0,,0.135,0.2768,0.3436
JISLJALEQS,0.0,,0.4075,0.4933,0.6296
ANGIND,0.0,,0.2484,0.2898,0.3077
RTNINFRA,0.0113,,0.0771,0.6308,0.0786
SUMMITSEC,0.0,,0.1524,0.2491,0.5597
ASIANHOTNR,0.0001,,0.0649,0.4685,0.4016
SALSTEEL,0.0093,,0.0364,0.4001,0.8657
INDIANCARD,0.0003,,0.0899,0.0358,0.5048
