Symbol,Rm-Rf %,Adj-r_sq,const
RIIL,0.0,0.2991,0.4588
WILLAMAGOR,0.0,0.1939,0.3439
UTTAMSTL,0.0,0.2157,0.4585
ALMONDZ,0.0085,0.0243,0.498
CIMMCO,0.0,0.1995,0.3907
AXISBANK,0.0,0.4164,0.7429
HERITGFOOD,0.0,0.1102,0.115
AEGISCHEM,0.0057,0.0269,0.8118
BAJAJCORP,0.0,0.1255,0.3352
GOCLCORP,0.0,0.0832,0.829
N100,0.2564,0.0012,0.2695
NAKODA,0.3659,-0.0007,0.9236
RMCL,0.0,0.1993,0.778
KIRLOSBROS,0.0,0.0989,0.6949
SANGHVIFOR,0.0,0.1505,0.2794
INVENTURE,0.0011,0.0387,0.4474
MRPL,0.0,0.2205,0.1475
GOLDSHARE,0.268,0.0009,0.9785
BOSCHLTD,0.0,0.3797,0.5688
PFC,0.0,0.3416,0.5375
SHARDACROP,0.0,0.2937,0.7076
KSL,0.0,0.2166,0.4844
NESCO,0.0,0.1575,0.6803
VENKEYS,0.0,0.0972,0.7586
SPIC,0.0,0.2364,0.5449
AMDIND,0.0,0.0792,0.3076
MPHASIS,0.0055,0.0271,0.2141
VIPIND,0.0,0.1921,0.7672
HDIL,0.0,0.3664,0.3022
VIVIMEDLAB,0.0,0.1661,0.3334
MONNETISPA,0.0,0.1925,0.4723
PVP,0.0,0.092,0.7342
GTLINFRA,0.0,0.1056,0.4919
PROVOGE,0.0,0.1379,0.5802
8KMILES,0.0,0.133,0.0105
USHERAGRO,0.0,0.2134,0.731
JAICORPLTD,0.0,0.3738,0.5621
MCX,0.0,0.2466,0.502
MANDHANA,0.0,0.1147,0.5789
TITAN,0.0,0.0976,0.8552
ZICOM,0.0,0.3015,0.7685
MUNJALSHOW,0.0,0.2651,0.488
WSTCSTPAPR,0.0,0.2061,0.2127
IBULHSGFIN,0.0,0.2485,0.0321
DEEPAKFERT,0.0,0.0944,0.3789
OMMETALS,0.0,0.1812,0.1481
FILATEX,0.006,0.0269,0.2589
BIL,0.0,0.1445,0.1668
UJAAS,0.0,0.2078,0.4
GAMMNINFRA,0.0,0.2103,0.1815
ECEIND,0.0,0.1173,0.4753
GALLANTT,0.0364,0.0137,0.2083
SURANASOL,0.0223,0.0171,0.1706
DEN,0.0,0.1677,0.9106
NBVENTURES,0.0,0.0661,0.9789
TATAELXSI,0.0,0.2577,0.0017
JINDCOT,0.0,0.1225,0.7832
KAKATCEM,0.0,0.1288,0.1804
PERSISTENT,0.0027,0.0321,0.3544
HIRECT,0.0,0.0826,0.6171
LICHSGFIN,0.0,0.4508,0.1598
HEXAWARE,0.0,0.2679,0.2253
RPPINFRA,0.0,0.1818,0.7496
SASKEN,0.0066,0.0258,0.1239
PTL,0.0003,0.0493,0.0504
LITL,0.0,0.1537,0.532
ORIENTBANK,0.0,0.4136,0.0866
PAGEIND,0.0,0.1902,0.398
NAHARINDUS,0.0,0.137,0.5319
ASIANTILES,0.0,0.1913,0.2968
HERCULES,0.0,0.2245,0.8238
PURVA,0.0,0.2277,0.7775
DHANUKA,0.0,0.215,0.7117
SKFINDIA,0.0,0.1073,0.8919
SAREGAMA,0.0,0.1162,0.0452
KAMDHENU,0.0,0.1049,0.8548
TATACOFFEE,0.0631,0.01,0.4259
NELCAST,0.0,0.1805,0.0688
NATCOPHARM,0.0008,0.0411,0.958
