Symbol,Rm-Rf %,SMB %,HML %,Adj-r_sq,const,WML %
RIIL,0.0,0.8825,0.0,0.5122,0.9985,0.025
UTTAMSTL,0.0,0.3662,0.0313,0.3057,0.2962,0.2433
AXISBANK,0.0394,0.5619,0.2681,0.0517,0.7477,0.575
HERITGFOOD,0.0001,0.0992,0.9367,0.1261,0.4343,0.1738
AEGISCHEM,0.0002,0.0405,0.4025,0.1549,0.1831,0.5832
BAJAJCORP,0.0003,0.0512,0.3563,0.0822,0.3519,0.0317
N100,0.1476,0.2122,0.6006,0.0048,0.4924,0.2898
NAKODA,0.0812,0.2519,0.7172,0.0252,0.0018,0.0592
KIRLOSBROS,0.0,0.4505,0.7143,0.1362,0.5848,0.0391
MRPL,0.0017,0.9319,0.0006,0.2692,0.9922,0.1368
GOLDSHARE,0.0189,0.4529,0.6023,0.0374,0.3131,0.0632
BOSCHLTD,0.0067,0.1704,0.1492,0.1251,0.0224,0.6565
PFC,0.0,0.0002,0.0092,0.4846,0.1889,0.2155
NESCO,0.0113,0.9028,0.2767,0.0723,0.0343,0.4607
VENKEYS,0.0,0.0024,0.9577,0.1584,0.1708,0.5202
SPIC,0.0025,0.0187,0.003,0.2543,0.6137,0.5208
MPHASIS,0.0,0.0281,0.0996,0.1108,0.2178,0.1834
VIPIND,0.0,0.1442,0.4811,0.1853,0.5988,0.7448
HDIL,0.0,0.0808,0.0,0.5286,0.8452,0.292
VIVIMEDLAB,0.1386,0.5348,0.0423,0.0855,0.1723,0.9944
MONNETISPA,0.0002,0.2364,0.0018,0.2821,0.0508,0.7939
PVP,0.0436,0.3345,0.0226,0.1368,0.9313,0.0034
USHERAGRO,0.0001,0.3048,0.0348,0.2076,0.8971,0.1486
JAICORPLTD,0.0,0.0471,0.0,0.5094,0.2633,0.8159
MCX,0.0,0.0033,0.1225,0.0954,0.8045,0.7294
MANDHANA,0.191,0.5759,0.2589,0.0322,0.3304,0.681
TITAN,0.0,0.0712,0.0864,0.1308,0.3795,0.7272
MUNJALSHOW,0.0004,0.0545,0.0001,0.324,0.0317,0.0025
IBULHSGFIN,0.3344,0.2173,0.0,0.2341,0.0347,0.0119
DEEPAKFERT,0.0,0.0206,0.7698,0.1544,0.8876,0.1653
OMMETALS,0.0046,0.8917,0.0114,0.1692,0.569,0.4927
BIL,0.0136,0.0686,0.571,0.0795,0.0503,0.4652
GALLANTT,0.13,0.015,0.8398,0.0598,0.7979,0.074
DEN,0.03,0.9808,0.1397,0.0792,0.6855,0.9166
NBVENTURES,0.0009,0.0044,0.1172,0.2056,0.7821,0.2881
TATAELXSI,0.0,0.0,0.0557,0.1721,0.7053,0.1117
JINDCOT,0.0008,0.0668,0.2617,0.1417,0.4653,0.2214
PERSISTENT,0.3219,0.7088,0.5338,0.0232,0.1213,0.0164
LICHSGFIN,0.0,0.0004,0.0003,0.4942,0.0137,0.5302
MASTEK,0.0031,0.0032,0.6909,0.0814,0.3046,0.6825
