Adj-r_sq,Rm-Rf %,Symbol,const
0.3594,0.0,RIIL,0.8989
0.0972,0.0,WILLAMAGOR,0.211
0.2166,0.0,UTTAMSTL,0.3512
0.0217,0.0,ENERGYDEV,0.33
0.0701,0.0,CIMMCO,0.15
0.1753,0.0,AXISBANK,0.9424
0.0756,0.0,IVP,0.0536
0.0775,0.0,HERITGFOOD,0.2394
0.0775,0.0,AEGISCHEM,0.0942
0.0974,0.0,BAJAJCORP,0.1273
0.0013,0.1588,DUCON,0.0051
0.0037,0.025,BSLNIFTY,0.1461
0.1125,0.0,GOCLCORP,0.0889
0.0076,0.0012,N100,0.0012
0.2132,0.0,UTISENSETF,0.1149
0.0106,0.0015,RMCL,0.2926
0.1039,0.0,KIRLOSBROS,0.1812
0.0278,0.0,SANGHVIFOR,0.4766
0.0505,0.0,INVENTURE,0.5704
0.1928,0.0,MRPL,0.2831
0.0217,0.0,GOLDSHARE,0.2377
0.1785,0.0,BOSCHLTD,0.0779
0.2924,0.0,PFC,0.7038
0.1807,0.0,SHARDACROP,0.2098
0.2391,0.0,KSL,0.0365
0.0355,0.0,NESCO,0.5087
0.0917,0.0,VENKEYS,0.041
0.0371,0.0,SILINV,0.0584
0.2029,0.0,SPIC,0.2929
0.047,0.0,AMDIND,0.1452
0.0472,0.0,MPHASIS,0.1226
0.2113,0.0,VIPIND,0.0644
0.4013,0.0,HDIL,0.6027
0.0672,0.0,VIVIMEDLAB,0.9837
0.0075,0.004,MAGNUM,0.1076
0.0144,0.0015,SHREERAMA,0.0673
0.0801,0.0,PVP,0.6172
0.1219,0.0,PROVOGE,0.9628
0.0868,0.0,8KMILES,0.0518
0.096,0.0,USHERAGRO,0.2305
0.324,0.0,JAICORPLTD,0.35
0.1036,0.0,MCX,0.8566
0.1571,0.0,TITAN,0.0669
0.1188,0.0,ZICOM,0.4297
0.1845,0.0,MUNJALSHOW,0.0259
0.1847,0.0,WSTCSTPAPR,0.1679
0.2301,0.0,IBULHSGFIN,0.0201
0.1056,0.0,DEEPAKFERT,0.0462
0.0698,0.0,OMMETALS,0.2457
0.0465,0.0,FILATEX,0.0282
0.0983,0.0,BIL,0.098
0.116,0.0,UJAAS,0.88
0.1349,0.0,GAMMNINFRA,0.3083
0.0282,0.0,ECEIND,0.112
0.0535,0.0,GALLANTT,0.3928
0.015,0.0,SURANASOL,0.5781
0.1077,0.0,DEN,0.8215
0.0151,0.0006,CRMFGETF,0.6378
0.0897,0.0,NBVENTURES,0.7768
0.1373,0.0,TATAELXSI,0.0692
0.1457,0.0,KAKATCEM,0.1283
0.0279,0.0,PERSISTENT,0.3058
0.1028,0.0,KAYA,0.7368
0.103,0.0,HIRECT,0.2152
0.4664,0.0,LICHSGFIN,0.2443
0.0875,0.0,MASTEK,0.1652
0.1518,0.0,HEXAWARE,0.0299
0.0803,0.0,RPPINFRA,0.0328
0.0554,0.0,SASKEN,0.0152
0.0465,0.0,PTL,0.1654
0.0309,0.0,VHL,0.009
0.414,0.0,ORIENTBANK,0.1703
0.0804,0.0,PAGEIND,0.0006
0.0954,0.0,NAHARINDUS,0.1871
0.0943,0.0,ASIANTILES,0.0173
0.1821,0.0,HERCULES,0.7626
0.2064,0.0,PURVA,0.4156
0.1268,0.0,DHANUKA,0.0062
0.0838,0.0,SKFINDIA,0.0081
0.1411,0.0,SAREGAMA,0.0254
0.1461,0.0,KAMDHENU,0.0433
0.0783,0.0,TATACOFFEE,0.5063
0.1301,0.0,NELCAST,0.0905
0.0466,0.0,NATCOPHARM,0.1059
0.1412,0.0,TIMKEN,0.0238
0.1478,0.0,WHIRLPOOL,0.0039
0.2244,0.0,GOODLUCK,0.5769
0.1189,0.0,NBCC,0.2901
0.1627,0.0,SYNGENE,0.1799
0.0832,0.0,DRREDDY,0.3144
0.0252,0.0,SETFGOLD,0.2096
0.1858,0.0,BAJAJFINSV,0.0014
0.3955,0.0,TATASTEEL,0.4596
0.0782,0.0,JVLAGRO,0.408
0.037,0.0,ALPHAGEO,0.0966
0.0375,0.0,MAANALU,0.0884
0.0872,0.0,INDNIPPON,0.0147
0.0442,0.0,VINYLINDIA,0.0231
0.2005,0.0,CGPOWER,0.7553
0.163,0.0,TIL,0.188
0.0924,0.0,ROSSELLIND,0.2144
0.2591,0.0,SKIPPER,0.4334
0.0157,0.0,MANGTIMBER,0.2319
0.1106,0.0,TRF,0.4375
0.0985,0.0,NAVNETEDUL,0.052
0.0954,0.0,SPECIALITY,0.7464
0.1327,0.0,KCPSUGIND,0.5152
0.1061,0.0,ROHLTD,0.1242
0.0682,0.0,DAAWAT,0.1381
0.0636,0.0,GMBREW,0.0165
0.0801,0.0,EMMBI,0.003
0.2078,0.0,TATAINVEST,0.1389
0.1176,0.0,SUBEX,0.9384
0.0648,0.0,SAKUMA,0.0075
0.1564,0.0,LAXMIMACH,0.0301
0.1071,0.0,GUJGASLTD,0.1806
0.1805,0.0,KOPRAN,0.1983
0.1524,0.0,IOC,0.3869
0.2475,0.0,IVRCLINFRA,0.0978
0.2211,0.0,PRAKASH,0.1746
0.0473,0.0,CGCL,0.4012
0.0206,0.0,MINDTREE,0.4935
0.2007,0.0,SCHNEIDER,0.5078
0.0458,0.0,GRPLTD,0.8531
0.1043,0.0,VIMTALABS,0.0245
0.1088,0.0,RSSOFTWARE,0.9906
0.1245,0.0,DCM,0.4441
0.0224,0.0,RELAXO,0.3423
0.1065,0.0,ABFRL,0.8274
0.142,0.0,SANGAMIND,0.1059
0.2221,0.0,LIBERTSHOE,0.208
0.1061,0.0,JAYBARMARU,0.0224
0.2435,0.0,RCF,0.42
0.0066,0.0188,ORIENTLTD,0.3181
0.1814,0.0,ICICIBANK,0.5954
0.3558,0.0,INDUSINDBK,0.0072
0.6105,0.0,CPSEETF,0.2739
0.0534,0.0,ORBTEXP,0.3859
0.1983,0.0,MANALIPETC,0.1363
0.1449,0.0,CENTURYPLY,0.0477
0.0499,0.0,VSTIND,0.1486
0.198,0.0,SUZLON,0.9464
0.0605,0.0,CRISIL,0.1151
0.0062,0.0082,RANEENGINE,0.0779
0.131,0.0,LINCPEN,0.1289
0.2866,0.0,ADANIPORTS,0.1197
0.0559,0.0,EXCEL,0.0677
0.0932,0.0,SONATSOFTW,0.0021
0.0629,0.0,GOLDIAM,0.1451
0.1944,0.0,JSWHL,0.1324
0.0639,0.0,ASHIANA,0.4158
0.2203,0.0,POLYPLEX,0.1571
0.1342,0.0,ITI,0.0748
0.1671,0.0,GODREJPROP,0.7514
0.0991,0.0,TVSSRICHAK,0.0007
0.1367,0.0,JBCHEPHARM,0.0487
0.0554,0.0,RELCNX100,0.1589
0.141,0.0,MUKANDLTD,0.1029
0.1012,0.0,VIJSHAN,0.4517
0.3302,0.0,ACC,0.5586
0.0536,0.0,NAVINFLUOR,0.0716
0.0658,0.0,TRENT,0.8286
0.2926,0.0,ORICONENT,0.854
0.0739,0.0,FOSECOIND,0.0211
0.1028,0.0,MERCK,0.1133
0.2113,0.0,ELECTCAST,0.5447
0.0843,0.0,ORIENTREF,0.0248
0.0676,0.0,DPSCLTD,0.2981
0.0864,0.0,TIIL,0.0173
0.0452,0.0,TECHNOFAB,0.2179
0.3796,0.0,SETFNIF50,0.3144
