Symbol,Rm-Rf %,SMB %,HML %,WML %,high-low,Adj-r_sq,const
RIIL,0.0,0.9894,0.0,0.0429,0.24,0.513,0.9181
UTTAMSTL,0.0,0.2825,0.0338,0.1601,0.1243,0.3097,0.3618
AXISBANK,0.0915,0.523,0.2632,0.6446,0.5768,0.049,0.7129
HERITGFOOD,0.0003,0.0988,0.9396,0.1881,0.888,0.1225,0.4298
AEGISCHEM,0.0108,0.0738,0.3667,0.3493,0.0176,0.1713,0.2562
BAJAJCORP,0.0002,0.0422,0.3461,0.0241,0.3958,0.0811,0.3175
N100,0.1282,0.1962,0.5932,0.2619,0.6265,0.0016,0.4687
NAKODA,0.2861,0.3277,0.7426,0.036,0.1531,0.0295,0.0012
KIRLOSBROS,0.0,0.3786,0.6936,0.0641,0.2512,0.1374,0.5201
MRPL,0.0002,0.7503,0.0007,0.2522,0.0413,0.2789,0.8681
GOLDSHARE,0.1385,0.5882,0.6317,0.0325,0.0677,0.0469,0.2433
BOSCHLTD,0.0765,0.2517,0.134,0.4444,0.0484,0.1358,0.0339
PFC,0.0,0.0002,0.0098,0.2653,0.513,0.4833,0.1728
NESCO,0.0226,0.8906,0.2763,0.4824,0.8843,0.0685,0.0365
VENKEYS,0.0,0.0017,0.9359,0.4124,0.2574,0.1594,0.2045
SPIC,0.0025,0.0162,0.0032,0.462,0.5281,0.2524,0.5779
MPHASIS,0.0,0.031,0.1013,0.2008,0.8515,0.1071,0.2145
VIPIND,0.0,0.1434,0.4841,0.7319,0.8919,0.1819,0.5929
HDIL,0.0,0.0748,0.0,0.2667,0.6547,0.527,0.8762
VIVIMEDLAB,0.1586,0.5295,0.0431,0.9792,0.9067,0.0817,0.1716
MONNETISPA,0.0007,0.2538,0.0018,0.7605,0.7711,0.2793,0.0492
PVP,0.0989,0.371,0.0221,0.0052,0.579,0.1343,0.9696
USHERAGRO,0.0012,0.3517,0.0334,0.194,0.4406,0.2062,0.8454
JAICORPLTD,0.0,0.0576,0.0,0.9005,0.5228,0.5082,0.2429
MCX,0.0001,0.0038,0.1241,0.7182,0.9012,0.0916,0.8138
MANDHANA,0.1331,0.5202,0.2674,0.5951,0.4394,0.0306,0.3006
TITAN,0.0,0.0903,0.0905,0.84,0.3843,0.1299,0.4234
MUNJALSHOW,0.0013,0.0587,0.0001,0.0031,0.891,0.3212,0.0336
IBULHSGFIN,0.1972,0.2677,0.0,0.0206,0.2989,0.2344,0.0284
DEEPAKFERT,0.0001,0.0198,0.7759,0.157,0.7622,0.1511,0.8678
OMMETALS,0.0017,0.7719,0.0124,0.3639,0.166,0.1725,0.4912
BIL,0.0913,0.1016,0.5444,0.327,0.1153,0.0853,0.0684
GALLANTT,0.1566,0.0156,0.8412,0.0801,0.9555,0.0558,0.7954
DEN,0.0235,0.9183,0.1448,0.992,0.4885,0.0772,0.7311
NBVENTURES,0.0041,0.0056,0.1151,0.2597,0.6206,0.2031,0.7508
TATAELXSI,0.0,0.0,0.059,0.1609,0.3019,0.1724,0.6416
JINDCOT,0.0013,0.0636,0.2662,0.2083,0.7397,0.1385,0.4854
PERSISTENT,0.7166,0.8351,0.5104,0.0323,0.1501,0.0276,0.1544
LICHSGFIN,0.0,0.0007,0.0003,0.6798,0.2045,0.4955,0.0103
