Symbol,Rm-Rf %,SMB %,HML %,WML %,high-low,Adj-r_sq,const
RIIL,0.0,0.0001,0.0,0.022,0.6886,0.5992,0.4797
UTTAMSTL,0.0,0.0204,0.1807,0.0532,0.3459,0.2254,0.1856
AXISBANK,0.0,0.7298,0.0088,0.7417,0.8807,0.4471,0.3529
AEGISCHEM,0.0,0.0,0.0,0.3721,0.5853,0.2905,0.2902
BAJAJCORP,0.0,0.0974,0.2174,0.1922,0.001,0.1904,0.5363
N100,0.0819,0.0527,0.2539,0.5577,0.8571,-0.0013,0.0141
KIRLOSBROS,0.0032,0.0159,0.2256,0.3892,0.0371,0.0597,0.4269
MRPL,0.0,0.1368,0.4244,0.0518,0.2935,0.2122,0.968
GOLDSHARE,0.0094,0.9807,0.4304,0.2073,0.4685,0.0265,0.7476
BOSCHLTD,0.0001,0.069,0.9382,0.5134,0.2256,0.0472,0.2457
PFC,0.0,0.8309,0.5886,0.0502,0.4459,0.4319,0.5564
KSL,0.0,0.2763,0.0694,0.0029,0.155,0.3199,0.281
NESCO,0.0054,0.0137,0.0055,0.7097,0.259,0.0506,0.3047
VENKEYS,0.0015,0.0061,0.0085,0.5761,0.4846,0.0818,0.432
MPHASIS,0.0072,0.4359,0.9805,0.8173,0.3549,0.037,0.2809
VIPIND,0.0,0.023,0.0412,0.0186,0.6666,0.3032,0.6162
HDIL,0.0,0.048,0.0,0.0174,0.6166,0.5673,0.7213
VIVIMEDLAB,0.0041,0.1517,0.8983,0.2101,0.0001,0.1398,0.8543
MONNETISPA,0.0003,0.0832,0.8847,0.0011,0.2867,0.1758,0.9583
PROVOGE,0.0001,0.0138,0.0,0.2463,0.7232,0.2519,0.6998
USHERAGRO,0.0095,0.2544,0.8459,0.179,0.0637,0.0297,0.5291
JAICORPLTD,0.0,0.0,0.0,0.7237,0.784,0.5211,0.1495
MCX,0.0379,0.1543,0.1156,0.0912,0.0756,0.0598,0.2452
MANDHANA,0.4152,0.8384,0.0408,0.5551,0.6185,0.03,0.504
TITAN,0.0,0.6108,0.3966,0.2084,0.2109,0.1998,0.8759
ZICOM,0.0014,0.3436,0.9365,0.5916,0.5084,0.0575,0.7779
MUNJALSHOW,0.0002,0.0003,0.0005,0.2464,0.4371,0.0793,0.397
WSTCSTPAPR,0.0,0.0,0.0,0.751,0.3667,0.2405,0.3731
DEEPAKFERT,0.0001,0.013,0.0152,0.782,0.3436,0.1096,0.9442
UJAAS,0.0,0.0076,0.1404,0.8447,0.1729,0.0821,0.847
GAMMNINFRA,0.0,0.0119,0.311,0.5709,0.6076,0.108,0.6286
GALLANTT,0.151,0.1085,0.1637,0.6202,0.6057,0.0063,0.7979
DEN,0.0,0.5138,0.3962,0.2154,0.684,0.1143,0.9715
NBVENTURES,0.0006,0.0035,0.066,0.5417,0.5843,0.0693,0.4874
TATAELXSI,0.0,0.0004,0.0558,0.3531,0.3561,0.1183,0.0191
JINDCOT,0.0008,0.0109,0.0238,0.4642,0.35,0.0826,0.1936
PERSISTENT,0.0027,0.177,0.9726,0.871,0.9171,0.025,0.0037
HIRECT,0.0,0.0122,0.0223,0.5918,0.7139,0.143,0.9594
LICHSGFIN,0.0,0.8038,0.1283,0.0529,0.8311,0.5355,0.7354
MASTEK,0.0,0.0037,0.0441,0.9794,0.4237,0.119,0.2178
HEXAWARE,0.0112,0.3386,0.0346,0.397,0.4457,0.0665,0.1113
RPPINFRA,0.0406,0.1259,0.5558,0.3348,0.3882,0.0324,0.205
GOENKA,0.0198,0.758,0.2666,0.9525,0.1366,0.0458,0.0397
SASKEN,0.0725,0.9425,0.7883,0.4524,0.8003,0.0151,0.0647
LITL,0.0,0.0011,0.0001,0.0571,0.3822,0.3323,0.8065
ORIENTBANK,0.0,0.0282,0.6313,0.0001,0.3712,0.5083,0.9045
PAGEIND,0.001,0.0006,0.0565,0.1563,0.1025,0.0384,0.0271
HERCULES,0.0,0.0,0.0012,0.5872,0.121,0.2066,0.4213
PURVA,0.0,0.0021,0.3559,0.5652,0.7943,0.242,0.4848
DHANUKA,0.0,0.0172,0.544,0.4166,0.8005,0.1582,0.0052
SKFINDIA,0.0,0.0106,0.1776,0.8628,0.0789,0.0714,0.3306
SAREGAMA,0.0,0.0017,0.0032,0.9083,0.4101,0.1978,0.4359
TATACOFFEE,0.0,0.007,0.077,0.7849,0.2718,0.1944,0.8923
NELCAST,0.0158,0.0102,0.0196,0.9203,0.9544,0.0436,0.7198
NATCOPHARM,0.0053,0.4658,0.1839,0.1937,0.0939,0.0424,0.068
TIMKEN,0.0178,0.0735,0.0269,0.7482,0.5898,0.048,0.8257
WHIRLPOOL,0.0,0.198,0.9908,0.2422,0.5273,0.1981,0.9786
NBCC,0.0,0.0066,0.0001,0.8073,0.2879,0.356,0.5684
AMTEKAUTO,0.0,0.0,0.0001,0.1838,0.4977,0.2626,0.7992
DRREDDY,0.0,0.11,0.3324,0.4296,0.7613,0.1704,0.0557
