Symbol,Rm-Rf %,SMB %,HML %,Adj-r_sq,const
RIIL,0.0,0.0002,0.0,0.5301,0.6722
WILLAMAGOR,0.0009,0.0009,0.0007,0.2103,0.6565
UTTAMSTL,0.0,0.0052,0.0,0.3596,0.955
ENERGYDEV,0.0019,0.01,0.746,0.0703,0.0972
ALMONDZ,0.0498,0.0474,0.065,0.0716,0.6427
CIMMCO,0.0,0.0,0.7226,0.2832,0.9072
AXISBANK,0.0,0.001,0.0437,0.3872,0.6599
IVP,0.0,0.0,0.1431,0.2413,0.5777
HERITGFOOD,0.0,0.0032,0.1108,0.2226,0.081
AEGISCHEM,0.0,0.0012,0.3486,0.2274,0.3203
BAJAJCORP,0.0,0.0123,0.3872,0.0986,0.7919
TEAMLEASE,0.0,0.0444,0.3088,0.1458,0.5516
DUCON,0.4612,0.1557,0.0053,0.068,0.0237
BSLNIFTY,0.9386,0.4851,0.6457,-0.0099,0.7301
GOCLCORP,0.0,0.0,0.688,0.2823,0.0413
N100,0.0432,0.0112,0.8503,0.0441,0.2831
UTISENSETF,0.0,0.9654,0.1129,0.3606,0.3554
RMCL,0.0149,0.0028,0.4386,0.0771,0.6229
KIRLOSBROS,0.0,0.0031,0.3092,0.2538,0.736
SANGHVIFOR,0.0,0.0005,0.2281,0.1814,0.7469
INVENTURE,0.0043,0.2819,0.717,0.0515,0.5666
MRPL,0.0,0.1915,0.2679,0.158,0.2006
GOLDSHARE,0.0346,0.412,0.3066,0.039,0.1476
BOSCHLTD,0.0,0.1331,0.0003,0.2946,0.4407
PFC,0.0003,0.9756,0.0102,0.1566,0.8133
SHARDACROP,0.0,0.005,0.9017,0.1582,0.0385
KSL,0.0,0.0178,0.0014,0.3296,0.107
NESCO,0.0,0.0081,0.4173,0.2745,0.3539
VENKEYS,0.0023,0.0001,0.0002,0.2198,0.2906
SILINV,0.0,0.0,0.1296,0.1885,0.4483
SPIC,0.0,0.0,0.0141,0.4381,0.7729
AMDIND,0.0,0.0,0.1439,0.2341,0.7058
MPHASIS,0.0,0.2677,0.0672,0.0663,0.4423
VIPIND,0.0,0.0179,0.1706,0.3354,0.3585
HDIL,0.0,0.0004,0.0,0.5924,0.9455
VIVIMEDLAB,0.0196,0.318,0.8731,0.0295,0.49
MONNETISPA,0.0001,0.0001,0.0,0.3331,0.7407
MAGNUM,0.9155,0.6821,0.1819,-0.0008,0.6338
PVP,0.0009,0.0002,0.0008,0.2147,0.7336
GTLINFRA,0.0381,0.0,0.0132,0.1408,0.226
PKTEA,0.0075,0.2629,0.8842,0.0435,0.4903
PROVOGE,0.003,0.0001,0.0164,0.1653,0.6623
8KMILES,0.0,0.6154,0.533,0.1177,0.3783
USHERAGRO,0.0011,0.0236,0.1857,0.1088,0.0881
JAICORPLTD,0.0,0.0001,0.0,0.4412,0.6715
MCX,0.0,0.0212,0.4956,0.1643,0.1557
TITAN,0.0,0.522,0.0746,0.2783,0.9115
ZICOM,0.0,0.0058,0.1538,0.1968,0.0957
MUNJALSHOW,0.0,0.0,0.0171,0.4078,0.8194
WSTCSTPAPR,0.0,0.0,0.0122,0.3066,0.0542
IBULHSGFIN,0.0,0.9493,0.9692,0.3812,0.9971
DEEPAKFERT,0.0002,0.0018,0.1191,0.1504,0.2782
OMMETALS,0.0,0.0,0.0459,0.3452,0.9313
FILATEX,0.0001,0.0,0.013,0.233,0.1622
BIL,0.0,0.0,0.427,0.2231,0.791
UJAAS,0.0074,0.0,0.0032,0.1927,0.1082
GAMMNINFRA,0.0,0.0,0.0,0.3218,0.2356
ECEIND,0.121,0.0002,0.8307,0.0616,0.2697
GALLANTT,0.0,0.0,0.0027,0.2969,0.424
SURANASOL,0.1194,0.0,0.0009,0.1639,0.6683
DEN,0.0151,0.0007,0.004,0.1503,0.4823
NBVENTURES,0.0017,0.7204,0.0073,0.1377,0.9767
TATAELXSI,0.0,0.0,0.1998,0.4516,0.2486
JINDCOT,0.0,0.0006,0.1337,0.2065,0.3466
KAKATCEM,0.0,0.0,0.9051,0.2585,0.1564
PERSISTENT,0.0,0.2835,0.0389,0.0916,0.8656
KAYA,0.0,0.0001,0.0457,0.2058,0.3003
HIRECT,0.0,0.0002,0.5706,0.1954,0.7603
LICHSGFIN,0.0,0.8093,0.4369,0.5202,0.3559
MASTEK,0.0,0.0227,0.1305,0.2057,0.8731
HEXAWARE,0.0,0.536,0.2266,0.299,0.8758
RPPINFRA,0.0,0.0009,0.4794,0.2391,0.0317
SASKEN,0.0025,0.0275,0.0003,0.188,0.5334
PTL,0.0,0.0126,0.004,0.271,0.1456
LITL,0.0105,0.0,0.0,0.3263,0.2563
VHL,0.0,0.1682,0.4803,0.1017,0.1078
ORIENTBANK,0.0,0.0024,0.0,0.6953,0.7073
PAGEIND,0.0,0.0128,0.112,0.2533,0.6489
NAHARINDUS,0.0044,0.0,0.0006,0.2171,0.1419
ASIANTILES,0.0,0.0,0.0042,0.4552,0.2613
HERCULES,0.0,0.0022,0.1078,0.3292,0.6932
PURVA,0.0,0.0001,0.042,0.2833,0.5104
DHANUKA,0.0,0.0096,0.0811,0.168,0.1003
SKFINDIA,0.0,0.3474,0.8973,0.1037,0.5752
SAREGAMA,0.0,0.0002,0.4428,0.3182,0.5617
KAMDHENU,0.0,0.0492,0.1144,0.2926,0.174
TATACOFFEE,0.0,0.0,0.0426,0.3396,0.3266
NELCAST,0.0,0.0,0.1073,0.3398,0.6484
NATCOPHARM,0.0027,0.3082,0.0023,0.1503,0.6461
TIMKEN,0.0,0.0019,0.796,0.2338,0.4405
WHIRLPOOL,0.0,0.163,0.1266,0.1293,0.1591
GOODLUCK,0.0,0.0035,0.038,0.2884,0.9737
NBCC,0.0693,0.045,0.5615,0.0353,0.5722
ARSSINFRA,0.0,0.0,0.0026,0.3001,0.371
ZENITHBIR,0.2711,0.0016,0.897,0.0409,0.6479
AMTEKAUTO,0.0,0.0018,0.0002,0.337,0.7096
SYNGENE,0.0,0.0294,0.029,0.2129,0.163
