Adj-r_sq,Rm-Rf %,SMB %,Symbol,const,high-low
0.4711,0.0,,RIIL,0.7462,0.0043
0.179,0.0,,UTTAMSTL,0.4035,0.0179
0.4301,0.0,,AXISBANK,0.528,0.4457
0.1777,0.0,,AEGISCHEM,0.4863,0.0039
0.1586,0.0,,BAJAJCORP,0.7845,0.0101
-0.0016,0.4823,,N100,0.0067,0.6832
0.0173,0.0617,,KIRLOSBROS,0.5578,0.0034
0.1826,0.0,,MRPL,0.6627,0.0301
0.0198,0.0089,,GOLDSHARE,0.6895,0.166
0.0353,0.0011,,BOSCHLTD,0.371,0.2529
0.4274,0.0,,PFC,0.7787,0.2425
0.2495,0.0,,KSL,0.4891,0.0024
0.0289,0.0049,,NESCO,0.4212,0.9269
0.0484,0.0005,,VENKEYS,0.6688,0.4273
0.0426,0.0013,,MPHASIS,0.3439,0.2233
0.2514,0.0,,VIPIND,0.9501,0.0319
0.4513,0.0,,HDIL,0.7021,0.0017
0.0517,0.0015,,VIVIMEDLAB,0.5555,0.0
0.1102,0.0,,MONNETISPA,0.5038,0.0221
0.1509,0.0,,PROVOGE,0.6565,0.0525
0.0157,0.0573,,USHERAGRO,0.4953,0.0473
0.381,0.0,,JAICORPLTD,0.2952,0.0006
0.0394,0.0008,,MCX,0.1562,0.4797
0.0158,0.0434,,MANDHANA,0.6603,0.2428
0.1866,0.0,,TITAN,0.9802,0.0372
0.0624,0.0001,,ZICOM,0.9137,0.3072
0.0321,0.0043,,MUNJALSHOW,0.4732,0.4372
0.1607,0.0,,WSTCSTPAPR,0.2786,0.1559
0.0751,0.0,,DEEPAKFERT,0.913,0.0232
0.0688,0.0,,UJAAS,0.6603,0.6021
0.0827,0.0,,GAMMNINFRA,0.2978,0.1334
0.0056,0.141,,GALLANTT,0.6714,0.7245
0.121,0.0,,DEN,0.9462,0.5725
0.0406,0.0014,,NBVENTURES,0.7889,0.4666
0.0683,0.0001,,TATAELXSI,0.0473,0.038
0.0585,0.0001,,JINDCOT,0.1156,0.6677
0.0281,0.0054,,PERSISTENT,0.0075,0.9272
0.1114,0.0,,HIRECT,0.8163,0.0737
0.5308,0.0,,LICHSGFIN,0.9654,0.8258
0.0837,0.0,,MASTEK,0.3398,0.0355
0.0548,0.0003,,HEXAWARE,0.0753,0.1175
0.0188,0.0342,,RPPINFRA,0.3798,0.0965
0.049,0.0001,,GOENKA,0.0412,0.2261
0.0288,0.0044,,SASKEN,0.0728,0.865
0.2253,0.0,,LITL,0.5451,0.0011
0.4513,0.0,,ORIENTBANK,0.8822,0.1004
0.0025,0.1684,,PAGEIND,0.0469,0.4117
0.1404,0.0,,HERCULES,0.7742,0.6998
0.2104,0.0,,PURVA,0.8247,0.1912
0.1409,0.0,,DHANUKA,0.0183,0.5697
0.0577,0.0,,SKFINDIA,0.4473,0.3106
0.1449,0.0,,SAREGAMA,0.607,0.0121
0.1929,0.0,,TATACOFFEE,0.3571,0.9208
0.0185,0.0313,,NELCAST,0.9072,0.2093
0.0389,0.0005,,NATCOPHARM,0.0423,0.1188
0.03,0.008,,TIMKEN,0.987,0.1055
0.1946,0.0,,WHIRLPOOL,0.905,0.5314
0.2902,0.0,,NBCC,0.7246,0.0027
0.1944,0.0,,AMTEKAUTO,0.8639,0.0109
0.1686,0.0,,DRREDDY,0.0287,0.6154
0.012,0.0323,,SETFGOLD,0.9105,0.2587
0.1612,0.0,,BAJAJFINSV,0.8949,0.1024
0.4233,0.0,,TATASTEEL,0.4441,0.3705
-0.0005,0.409,,JVLAGRO,0.8364,0.5371
0.3275,0.0,,CGPOWER,0.3382,0.0423
0.1195,0.0,,TIL,0.8329,0.048
0.1278,0.0,,NAVNETEDUL,0.8422,0.4473
0.1193,0.0,,SPECIALITY,0.7375,0.0536
0.1006,0.0,,KCPSUGIND,0.6547,0.1751
0.1168,0.0,,ROHLTD,0.6866,0.8555
0.071,0.0,,DAAWAT,0.2838,0.2769
0.0539,0.0004,,GMBREW,0.2794,0.0676
0.0124,0.0479,,EMMBI,0.8932,0.9461
0.3115,0.0,,JPINFRATEC,0.2588,0.033
0.1265,0.0,,TATAINVEST,0.8455,0.8131
0.1522,0.0,,LAXMIMACH,0.1299,0.3608
0.1135,0.0,,JBFIND,0.4825,0.5093
0.1434,0.0,,KOPRAN,0.5909,0.0041
0.2761,0.0,,IOC,0.9861,0.0083
0.3384,0.0,,IVRCLINFRA,0.2784,0.0
0.2559,0.0,,PRAKASH,0.7679,0.0186
0.0254,0.0062,,MINDTREE,0.0007,0.6545
0.1166,0.0,,SCHNEIDER,0.9436,0.6151
0.0938,0.0,,RSSOFTWARE,0.5841,0.0298
0.0652,0.0,,DCM,0.7811,0.9712
0.0012,0.264,,RELAXO,0.7272,0.9857
0.0812,0.0,,SANGAMIND,0.8775,0.0164
0.1389,0.0,,LIBERTSHOE,0.1439,0.0862
0.3064,0.0,,RCF,0.5004,0.017
0.5153,0.0,,ICICIBANK,0.4906,0.6794
0.4471,0.0,,INDUSINDBK,0.4374,0.6491
0.1577,0.0,,MANALIPETC,0.7073,0.2796
0.0344,0.0016,,VSTIND,0.9822,0.5298
0.1519,0.0,,SUZLON,0.8511,0.0018
0.0156,0.032,,CRISIL,0.3653,0.8231
-0.0016,0.4071,,SHARONBIO,0.656,0.6951
0.1363,0.0,,ADANIPORTS,0.3097,0.0001
0.082,0.0,,SONATSOFTW,0.0573,0.5898
0.3031,0.0,,JSWHL,0.5117,0.0021
0.0113,0.0818,,ASHIANA,0.8687,0.2043
0.1598,0.0,,POLYPLEX,0.6495,0.1738
0.177,0.0,,ITI,0.9622,0.1065
0.0674,0.0,,GODREJPROP,0.0704,0.601
0.0493,0.0007,,TVSSRICHAK,0.5029,0.0865
0.1286,0.0,,JBCHEPHARM,0.088,0.0398
0.1248,0.0,,DLINKINDIA,0.6083,0.3297
0.3512,0.0,,ACC,0.6842,0.0979
0.114,0.0,,NAVINFLUOR,0.8028,0.2271
0.0658,0.0001,,TRENT,0.6424,0.3518
0.0305,0.0042,,MERCK,0.859,0.8317
0.2169,0.0,,ELECTCAST,0.4703,0.0094
