Symbol,Rm-Rf %,SMB %,HML %,Adj-r_sq,const,WML %
RIIL,0.0008,0.0,0.0002,0.2781,0.5617,0.3479
UTTAMSTL,0.0002,0.0746,0.2998,0.1774,0.0656,0.0582
ENERGYDEV,0.1785,0.1812,0.5758,0.0146,0.3228,0.6074
AXISBANK,0.0,0.0761,0.7709,0.1527,0.5753,0.1536
IVP,0.0984,0.0155,0.0059,0.1024,0.5955,0.7232
HERITGFOOD,0.1687,0.6299,0.9347,-0.0023,0.8863,0.6945
AEGISCHEM,0.0041,0.0747,0.9743,0.0683,0.1306,0.8055
BAJAJCORP,0.0062,0.5115,0.9068,0.0505,0.5593,0.863
TEAMLEASE,0.716,0.0021,0.2867,0.0353,0.0104,0.5981
DUCON,0.1191,0.0049,0.1777,0.0541,0.5283,0.5104
BSLNIFTY,0.0282,0.3023,0.6381,0.0713,0.7236,0.1084
GOCLCORP,0.0062,0.3463,0.8616,0.0554,0.2019,0.7847
ICICISENSX,0.0,0.1444,0.525,0.1876,0.1672,0.0078
N100,0.0097,0.3276,0.5765,0.0473,0.1865,0.05
UTISENSETF,0.0,0.0772,0.5512,0.1719,0.0289,0.0128
KIRLOSBROS,0.0504,0.0,0.0277,0.1281,0.2834,0.7225
SANGHVIFOR,0.1466,0.0,0.3568,0.11,0.4444,0.1743
TVVISION,0.6903,0.2025,0.881,0.0008,0.0,0.1418
INVENTURE,0.1038,0.2587,0.1146,0.0682,0.6168,0.4533
MRPL,0.0,0.0003,0.0881,0.2771,0.3681,0.024
GOLDSHARE,0.0232,0.3507,0.2428,0.0083,0.1519,0.7496
BOSCHLTD,0.0,0.0145,0.1778,0.1402,0.3566,0.2087
PFC,0.0,0.2987,0.0002,0.3208,0.2222,0.3766
SHARDACROP,0.01,0.0,0.0418,0.1609,0.4001,0.9075
KSL,0.0003,0.0811,0.0085,0.2242,0.8992,0.0597
NESCO,0.5435,0.3865,0.8811,-0.0095,0.5162,0.7813
VENKEYS,0.0149,0.0004,0.1696,0.1298,0.0289,0.2466
SILINV,0.3641,0.0006,0.1822,0.0847,0.0918,0.2488
SPIC,0.0064,0.0,0.0003,0.2553,0.4704,0.3605
AMDIND,0.6091,0.1101,0.4946,0.0166,0.5584,0.1667
MPHASIS,0.0259,0.7162,0.7014,0.0126,0.2051,0.1606
VIPIND,0.0005,0.0416,0.3666,0.153,0.1089,0.1
HDIL,0.0,0.0,0.0069,0.2939,0.2846,0.268
VIVIMEDLAB,0.0223,0.0005,0.0862,0.1368,0.4623,0.1355
MONNETISPA,0.0339,0.0,0.0087,0.182,0.9612,0.8432
MAGNUM,0.0363,0.3751,0.7657,0.0237,0.0795,0.7557
