Symbol,Rm-Rf %,SMB %,HML %,WML %,ent,Adj-r_sq,const,high-low
RIIL,0.0005,0.0,0.0002,0.2866,,0.2779,0.596,0.3323
UTTAMSTL,0.0001,0.0818,0.3311,0.0464,,0.1764,0.0726,0.3999
ENERGYDEV,0.09,0.2045,0.6534,0.8177,,0.0232,0.3303,0.0972
AXISBANK,0.0,0.0753,0.7844,0.1679,,0.1493,0.5689,0.8245
IVP,0.3728,0.0102,0.003,0.9894,,0.1235,0.6864,0.0095
HERITGFOOD,0.1855,0.6314,0.9343,0.6993,,-0.0064,0.8862,0.9898
AEGISCHEM,0.0233,0.0605,0.9169,0.9859,,0.0777,0.1546,0.0635
BAJAJCORP,0.0063,0.5241,0.9288,0.8235,,0.0471,0.5479,0.71
TEAMLEASE,0.9287,0.0018,0.2579,0.6975,,0.0349,0.012,0.3459
DUCON,0.2321,0.0042,0.1539,0.419,,0.055,0.4924,0.2682
BSLNIFTY,0.0056,0.3823,0.7617,0.0466,,0.0914,0.8236,0.0151
GOCLCORP,0.0098,0.3439,0.853,0.8047,,0.0516,0.2063,0.8723
ICICISENSX,0.0,0.1378,0.4876,0.0107,,0.1853,0.1654,0.5125
N100,0.0044,0.3594,0.6451,0.0788,,0.0503,0.1649,0.1852
UTISENSETF,0.0,0.0761,0.5372,0.0163,,0.1682,0.0283,0.7571
KIRLOSBROS,0.0274,0.0,0.0348,0.8536,,0.1296,0.2575,0.2358
SANGHVIFOR,0.2353,0.0,0.3303,0.2158,,0.1085,0.4228,0.4496
TVVISION,0.9247,0.1737,0.9821,0.0884,,0.0091,0.0,0.0832
INVENTURE,0.1479,0.2685,0.1093,0.495,,0.065,0.6029,0.6762
MRPL,0.0,0.0003,0.088,0.0268,,0.2741,0.3665,0.9043
GOLDSHARE,0.0432,0.3663,0.2624,0.691,,0.0056,0.1448,0.5611
BOSCHLTD,0.0,0.017,0.2084,0.281,,0.1417,0.326,0.2331
PFC,0.0,0.3013,0.0002,0.3859,,0.318,0.2229,0.9635
SHARDACROP,0.0088,0.0,0.0469,0.9704,,0.1585,0.4173,0.5818
KSL,0.0008,0.0783,0.008,0.0721,,0.2217,0.8813,0.6514
NESCO,0.6049,0.3818,0.8679,0.7582,,-0.0135,0.5098,0.8117
VENKEYS,0.0061,0.0005,0.2055,0.1751,,0.134,0.0238,0.143
SILINV,0.2961,0.0006,0.1972,0.2226,,0.0821,0.0847,0.5167
SPIC,0.0021,0.0,0.0005,0.2524,,0.2609,0.4185,0.0942
AMDIND,0.9075,0.0867,0.3958,0.2853,,0.0323,0.6339,0.0273
MPHASIS,0.0207,0.6942,0.668,0.1944,,0.0102,0.1949,0.5222
VIPIND,0.0008,0.0426,0.3711,0.1024,,0.1495,0.1094,0.9547
HDIL,0.0,0.0,0.0079,0.3011,,0.2915,0.296,0.6659
VIVIMEDLAB,0.0207,0.0006,0.0937,0.1242,,0.1339,0.4774,0.6592
MONNETISPA,0.0428,0.0,0.0089,0.8412,,0.1786,0.9599,0.9721
MAGNUM,0.0505,0.3716,0.7777,0.7797,,0.0198,0.0822,0.8443
SHREERAMA,0.0549,0.0003,0.2787,0.7052,,0.0825,0.9105,0.5024
PVP,0.0864,0.0002,0.0192,0.5025,,0.1048,0.8302,0.9104
GTLINFRA,0.1281,0.0047,0.0032,0.531,,0.1069,0.8519,0.5196
PRICOLLTD,0.0006,0.0197,0.7146,0.6742,,0.1202,0.8999,0.7053
PKTEA,0.031,0.0601,0.5161,0.0214,,0.0467,0.0803,0.3867
PROVOGE,0.0027,0.0023,0.463,0.4564,,0.0978,0.3995,0.2146
8KMILES,0.0794,0.0036,0.7695,0.4206,,0.0532,0.7577,0.5034
JAICORPLTD,0.0105,0.0,0.0,0.0934,,0.2831,0.7286,0.2659
MCX,0.0,0.118,0.2215,0.3385,,0.1805,0.0146,0.4296
TITAN,0.0,0.9395,0.0068,0.279,,0.1618,0.0699,0.7212
ZICOM,0.1662,0.0009,0.0889,0.2216,,0.0731,0.2687,0.3765
MUNJALSHOW,0.0146,0.0058,0.042,0.7281,,0.1266,0.4664,0.2901
WSTCSTPAPR,0.0,0.0311,0.1668,0.337,,0.1827,0.2157,0.3257
IBULHSGFIN,0.0,0.3712,0.199,0.0035,,0.2079,0.4603,0.815
EQUITAS,0.0,0.0001,0.0129,0.5407,,0.309,0.1015,0.8198
DEEPAKFERT,0.0004,0.0284,0.0825,0.202,,0.1666,0.3693,0.2007
