Symbol,Rm-Rf %,SMB %,HML %,high-low,Adj-r_sq,const
RIIL,0.0,0.0,0.0,0.0056,0.4393,0.9497
WILLAMAGOR,0.0,0.0,0.0088,0.6129,0.1192,0.2548
UTTAMSTL,0.0,0.0,0.0,0.0027,0.2505,0.3189
ENERGYDEV,0.0022,0.0,0.0003,0.8994,0.0712,0.5816
CIMMCO,0.0,0.0,0.0022,0.1608,0.1166,0.3052
AXISBANK,0.0,0.0378,0.9115,0.8928,0.1762,0.9673
IVP,0.0,0.0,0.0059,0.178,0.1053,0.1306
HERITGFOOD,0.0,0.0004,0.0353,0.6811,0.0872,0.3285
AEGISCHEM,0.0,0.0,0.005,0.6663,0.0956,0.1596
BAJAJCORP,0.0,0.0101,0.2396,0.3076,0.1036,0.2034
DUCON,0.5225,0.0159,0.2281,0.6702,0.0056,0.0066
BSLNIFTY,0.0265,0.0075,0.3631,0.1822,0.0085,0.1492
GOCLCORP,0.0,0.0,0.167,0.9601,0.1511,0.2287
N100,0.0058,0.008,0.8091,0.9278,0.0112,0.0021
UTISENSETF,0.0,0.4434,0.3989,0.4071,0.2112,0.1053
RMCL,0.0297,0.7523,0.8605,0.5811,0.0078,0.3276
KIRLOSBROS,0.0,0.0,0.0093,0.8485,0.1357,0.3156
SANGHVIFOR,0.0038,0.0,0.0,0.3231,0.0707,0.5952
INVENTURE,0.0,0.0394,0.011,0.9662,0.0559,0.6328
MRPL,0.0,0.0,0.0,0.2235,0.2167,0.3588
GOLDSHARE,0.0001,0.6124,0.3261,0.273,0.0211,0.2129
BOSCHLTD,0.0,0.0035,0.5977,0.0,0.2023,0.225
PFC,0.0,0.0117,0.0002,0.4373,0.305,0.9033
SHARDACROP,0.0,0.0001,0.2736,0.5116,0.1947,0.3386
KSL,0.0,0.0,0.0,0.0937,0.2793,0.0391
NESCO,0.0,0.0067,0.391,0.3676,0.0406,0.6644
VENKEYS,0.0,0.0,0.0001,0.1691,0.1348,0.0717
SILINV,0.0,0.0,0.0971,0.0814,0.0778,0.0719
SPIC,0.0,0.0,0.0,0.0546,0.2678,0.5116
AMDIND,0.0,0.0,0.0005,0.3003,0.082,0.2668
MPHASIS,0.0,0.0489,0.3057,0.8925,0.0494,0.1623
VIPIND,0.0,0.0,0.003,0.0594,0.2283,0.0779
HDIL,0.0,0.0448,0.0,0.0285,0.4858,0.7401
VIVIMEDLAB,0.0,0.0,0.0106,0.1196,0.0882,0.8595
MAGNUM,0.1155,0.0038,0.138,0.636,0.0156,0.1996
SHREERAMA,0.0009,0.0,0.0674,0.1428,0.0443,0.0875
PVP,0.0,0.0,0.0,0.3761,0.1363,0.994
PROVOGE,0.0,0.0,0.0,0.0326,0.1737,0.9175
8KMILES,0.0,0.0,0.2672,0.2106,0.1079,0.1566
USHERAGRO,0.0,0.0,0.0001,0.7168,0.13,0.1292
JAICORPLTD,0.0,0.0,0.0,0.0183,0.4216,0.4452
MCX,0.0,0.0001,0.3063,0.1154,0.1166,0.594
TITAN,0.0,0.6407,0.0026,0.7428,0.162,0.0821
ZICOM,0.0,0.0,0.0023,0.6029,0.1575,0.203
MUNJALSHOW,0.0,0.0,0.0,0.1789,0.276,0.0935
WSTCSTPAPR,0.0,0.0,0.0,0.1336,0.2388,0.2905
IBULHSGFIN,0.0,0.2979,0.1151,0.7908,0.2305,0.024
DEEPAKFERT,0.0,0.0,0.0001,0.1686,0.1391,0.0717
OMMETALS,0.0,0.0,0.0,0.4598,0.1035,0.3954
FILATEX,0.0,0.0,0.0093,0.2816,0.0746,0.0592
BIL,0.0,0.0,0.235,0.3963,0.116,0.2025
UJAAS,0.0,0.0,0.0,0.8237,0.1605,0.788
GAMMNINFRA,0.0,0.0,0.0,0.0031,0.1955,0.1153
ECEIND,0.0,0.0,0.0885,0.2631,0.0478,0.1947
GALLANTT,0.0,0.0,0.0003,0.3123,0.0911,0.4874
SURANASOL,0.0155,0.0,0.0027,0.2955,0.0367,0.7181
DEN,0.0,0.0,0.0043,0.4781,0.1225,0.6961
CRMFGETF,0.0019,0.9004,0.2109,0.646,0.0137,0.5797
NBVENTURES,0.0,0.0,0.0,0.3039,0.1325,0.8913
TATAELXSI,0.0,0.0,0.0652,0.0004,0.1802,0.2318
KAKATCEM,0.0,0.0,0.001,0.1584,0.2047,0.3565
PERSISTENT,0.0,0.0606,0.4385,0.033,0.0344,0.4665
KAYA,0.0,0.0,0.0395,0.5593,0.127,0.5535
HIRECT,0.0,0.0,0.0,0.4319,0.1402,0.3315
LICHSGFIN,0.0,0.0865,0.095,0.6708,0.4675,0.2013
MASTEK,0.0,0.0,0.0037,0.3525,0.1195,0.2609
HEXAWARE,0.0,0.0001,0.0395,0.3901,0.1639,0.0583
RPPINFRA,0.0,0.0,0.0068,0.7093,0.1025,0.0585
SASKEN,0.0,0.0,0.0148,0.6701,0.0757,0.028
PTL,0.0,0.0,0.001,0.1504,0.0689,0.2819
VHL,0.0001,0.0003,0.4628,0.5271,0.0421,0.021
ORIENTBANK,0.0,0.0,0.0,0.211,0.5232,0.391
PAGEIND,0.0,0.0022,0.65,0.0006,0.0983,0.003
NAHARINDUS,0.0,0.0,0.0,0.2437,0.1797,0.4119
ASIANTILES,0.0,0.0,0.0,0.1817,0.1648,0.0582
HERCULES,0.0,0.0,0.0,0.6369,0.2359,0.844
PURVA,0.0,0.0,0.0006,0.459,0.2304,0.5656
DHANUKA,0.0,0.0,0.0741,0.3825,0.1473,0.0166
SKFINDIA,0.0,0.0406,0.5058,0.0147,0.0908,0.0196
SAREGAMA,0.0,0.0,0.0,0.0886,0.1914,0.0468
KAMDHENU,0.0,0.0,0.0,0.313,0.1869,0.0672
TATACOFFEE,0.0,0.0,0.0379,0.2306,0.109,0.3426
NELCAST,0.0,0.0,0.0,0.9975,0.1997,0.2396
NATCOPHARM,0.0,0.0302,0.7922,0.0344,0.0532,0.186
TIMKEN,0.0,0.0,0.0426,0.9467,0.1603,0.048
WHIRLPOOL,0.0,0.0003,0.8599,0.9047,0.1558,0.0077
GOODLUCK,0.0,0.0,0.002,0.0877,0.2597,0.7851
NBCC,0.0,0.0,0.0006,0.1984,0.1369,0.3453
SYNGENE,0.0,0.0002,0.0753,0.4649,0.1797,0.2519
DRREDDY,0.0,0.9386,0.0549,0.1655,0.0855,0.3882
SETFGOLD,0.0,0.4701,0.4037,0.2014,0.0257,0.1595
BAJAJFINSV,0.0,0.0,0.2717,0.1409,0.2034,0.0049
TATASTEEL,0.0,0.0,0.0,0.3941,0.4261,0.3015
JVLAGRO,0.0,0.0,0.0,0.2761,0.1496,0.6341
ALPHAGEO,0.0,0.1199,0.5339,0.9394,0.0366,0.1075
MAANALU,0.0001,0.2706,0.0731,0.8139,0.0387,0.0925
INDNIPPON,0.0,0.0,0.0021,0.0547,0.1143,0.0413
VINYLINDIA,0.0,0.0,0.4206,0.0022,0.0719,0.0558
CGPOWER,0.0,0.0278,0.1139,0.5295,0.2029,0.8039
TIL,0.0,0.0,0.0,0.7958,0.2386,0.357
ROSSELLIND,0.0,0.0,0.0152,0.032,0.1322,0.4959
SKIPPER,0.0,0.0,0.0059,0.6201,0.3151,0.8681
MANGTIMBER,0.0027,0.0,0.1542,0.9623,0.0416,0.382
TRF,0.0,0.0,0.0,0.3784,0.1479,0.4942
NAVNETEDUL,0.0,0.0,0.0045,0.9194,0.1336,0.1124
SPECIALITY,0.0,0.0,0.0002,0.3314,0.1179,0.9896
KCPSUGIND,0.0,0.0,0.0,0.989,0.2159,0.845
ROHLTD,0.0,0.0,0.0002,0.6788,0.1535,0.234
DAAWAT,0.0,0.0014,0.0008,0.5654,0.0804,0.1674
GMBREW,0.0,0.0,0.0134,0.2565,0.0959,0.0313
EMMBI,0.0,0.0,0.0,0.208,0.1328,0.0102
TATAINVEST,0.0,0.0,0.0008,0.5482,0.2498,0.3017
SUBEX,0.0,0.0,0.0,0.3593,0.2168,0.8007
SAKUMA,0.0,0.0,0.1008,0.2687,0.0918,0.0198
LAXMIMACH,0.0,0.0105,0.0,0.1281,0.1706,0.051
GUJGASLTD,0.0,0.0005,0.2324,0.0591,0.1284,0.262
KOPRAN,0.0,0.0,0.0,0.8297,0.2794,0.4266
IOC,0.0,0.2371,0.2596,0.6647,0.1528,0.3261
