,Adj-r_sq,F-statistics,HML %,P(F-value),Rm-Rf %,SMB %,Symbol,WML %,const
0,0.4467,249.4877,0.0,0.0,0.0,0.0,RIIL,0.0,0.8467
1,0.1202,35.0504,0.0124,0.0,0.0,0.0,WILLAMAGOR,0.287,0.3172
2,0.2461,101.4499,0.0,0.0,0.0,0.0,UTTAMSTL,0.1964,0.1459
3,0.0749,23.0812,0.0016,0.0,0.0005,0.0,ENERGYDEV,0.0374,0.6303
4,0.115,31.1199,0.0024,0.0,0.0,0.0,CIMMCO,0.5977,0.3971
5,0.1764,66.9183,0.9185,0.0,0.0,0.0388,AXISBANK,0.9299,0.7583
6,0.1048,31.2541,0.0044,0.0,0.0,0.0,IVP,0.2688,0.2098
7,0.0881,29.6996,0.0655,0.0,0.0,0.0002,HERITGFOOD,0.2314,0.4586
8,0.0955,33.4789,0.0053,0.0,0.0,0.0,AEGISCHEM,0.8177,0.2552
9,0.1034,36.4872,0.2832,0.0,0.0,0.0085,BAJAJCORP,0.4993,0.4743
10,0.006,2.181,0.2477,0.0694,0.5701,0.0133,DUCON,0.4729,0.0081
11,0.0072,2.9631,0.4059,0.0189,0.064,0.0115,BSLNIFTY,0.5911,0.2936
12,0.1527,39.393,0.1369,0.0,0.0,0.0,GOCLCORP,0.2083,0.4441
13,0.0121,4.7719,0.6478,0.0008,0.0027,0.0142,N100,0.2577,0.0255
14,0.2175,35.7536,0.2201,0.0,0.0,0.7576,UTISENSETF,0.0322,0.1994
15,0.0091,2.9621,0.7472,0.0191,0.0039,0.4628,RMCL,0.2234,0.2514
16,0.1361,49.4642,0.0148,0.0,0.0,0.0,KIRLOSBROS,0.5081,0.5334
17,0.0701,21.4238,0.0,0.0,0.0003,0.0,SANGHVIFOR,0.6834,0.6978
18,0.0557,17.3159,0.0117,0.0,0.0,0.0414,INVENTURE,0.9705,0.8464
19,0.2175,86.5309,0.0001,0.0,0.0,0.0,MRPL,0.102,0.5918
20,0.02,7.2918,0.3137,0.0,0.0,0.7682,GOLDSHARE,0.9569,0.9401
21,0.1917,73.997,0.395,0.0,0.0,0.0011,BOSCHLTD,0.0056,0.5291
22,0.3088,138.5011,0.0014,0.0,0.0,0.0314,PFC,0.0065,0.7277
23,0.1973,50.267,0.3972,0.0,0.0,0.0,SHARDACROP,0.089,0.3924
24,0.2789,118.9504,0.0,0.0,0.0,0.0,KSL,0.1669,0.0885
25,0.0402,13.9018,0.3861,0.0,0.0,0.005,NESCO,0.7302,0.9024
26,0.1347,48.9187,0.0,0.0,0.0,0.0,VENKEYS,0.2096,0.1969
27,0.0748,18.81,0.0931,0.0,0.0,0.0,SILINV,0.8607,0.1384
28,0.2662,109.9131,0.0,0.0,0.0,0.0,SPIC,0.3446,0.7667
29,0.0811,26.2789,0.0009,0.0,0.0,0.0,AMDIND,0.8239,0.3656
30,0.0493,16.9723,0.3159,0.0,0.0,0.0471,MPHASIS,0.967,0.3919
31,0.2268,91.2696,0.0056,0.0,0.0,0.0,VIPIND,0.2465,0.1928
32,0.4928,300.0264,0.0,0.0,0.0,0.0124,HDIL,0.0,0.6423
33,0.0868,30.2655,0.015,0.0,0.0,0.0,VIVIMEDLAB,0.4694,0.6204
34,0.0154,4.8041,0.1743,0.0008,0.0445,0.0029,MAGNUM,0.8692,0.2471
35,0.0432,8.0762,0.0886,0.0,0.0027,0.0,SHREERAMA,0.2559,0.1057
36,0.1358,46.8129,0.0,0.0,0.0,0.0,PVP,0.7953,0.8285
37,0.1827,67.3713,0.0,0.0,0.0,0.0,PROVOGE,0.0,0.8984
38,0.1065,29.6427,0.3239,0.0,0.0,0.0,8KMILES,0.8301,0.1969
39,0.1305,42.1811,0.0001,0.0,0.0,0.0,USHERAGRO,0.4461,0.0646
40,0.4215,225.2255,0.0,0.0,0.0,0.0,JAICORPLTD,0.0221,0.668
41,0.1151,41.0101,0.4146,0.0,0.0,0.0,MCX,0.4795,0.4437
42,0.1639,61.342,0.0078,0.0,0.0,0.8383,TITAN,0.0895,0.2688
43,0.1571,57.1653,0.0022,0.0,0.0,0.0,ZICOM,0.6784,0.1054
44,0.282,121.8918,0.0,0.0,0.0,0.0,MUNJALSHOW,0.0005,0.3417
45,0.2368,94.1659,0.0,0.0,0.0,0.0,WSTCSTPAPR,0.7769,0.5706
46,0.2306,81.943,0.1485,0.0,0.0,0.2674,IBULHSGFIN,0.5902,0.0707
47,0.1406,51.3579,0.0,0.0,0.0,0.0,DEEPAKFERT,0.0441,0.2921
48,0.1031,34.0248,0.0,0.0,0.0,0.0,OMMETALS,0.8262,0.5082
49,0.0736,21.2279,0.0107,0.0,0.0,0.0,FILATEX,0.7032,0.0988
50,0.1156,39.8162,0.2745,0.0,0.0,0.0,BIL,0.8143,0.3665
51,0.1604,58.0146,0.0,0.0,0.0,0.0,UJAAS,0.5929,0.5426
52,0.191,73.0189,0.0,0.0,0.0,0.0,GAMMNINFRA,0.1665,0.1259
53,0.0468,15.7296,0.1204,0.0,0.0,0.0,ECEIND,0.6538,0.2684
54,0.0902,29.0549,0.0003,0.0,0.0,0.0,GALLANTT,0.9957,0.8025
55,0.0358,10.4923,0.0031,0.0,0.027,0.0,SURANASOL,0.97,0.8517
56,0.1228,44.0994,0.0082,0.0,0.0,0.0,DEN,0.3138,0.4742
57,0.014,3.4902,0.1801,0.0078,0.0004,0.7606,CRMFGETF,0.49,0.8199
58,0.1319,47.7646,0.0,0.0,0.0,0.0,NBVENTURES,0.8101,0.682
59,0.1774,67.3461,0.0271,0.0,0.0,0.0,TATAELXSI,0.0044,0.396
60,0.2035,75.0434,0.001,0.0,0.0,0.0,KAKATCEM,0.5579,0.5335
61,0.0322,11.2544,0.5418,0.0,0.0,0.0429,PERSISTENT,0.2076,0.7141
62,0.1278,22.0337,0.0594,0.0,0.0,0.0,KAYA,0.356,0.4289
63,0.14,49.2028,0.0,0.0,0.0,0.0,HIRECT,0.5855,0.5098
64,0.4686,272.3727,0.0467,0.0,0.0,0.1557,LICHSGFIN,0.05,0.4633
65,0.119,42.2378,0.0028,0.0,0.0,0.0,MASTEK,0.6284,0.4749
66,0.1646,61.6413,0.0229,0.0,0.0,0.0001,HEXAWARE,0.1428,0.184
67,0.1028,36.2604,0.01,0.0,0.0,0.0,RPPINFRA,0.6466,0.104
68,0.0782,27.1068,0.0054,0.0,0.0,0.0,SASKEN,0.0569,0.1078
69,0.069,21.3394,0.0035,0.0,0.0,0.0,PTL,0.1479,0.2862
70,0.0437,12.6894,0.3405,0.0,0.0,0.0004,VHL,0.1728,0.0465
71,0.5272,344.1002,0.0,0.0,0.0,0.0,ORIENTBANK,0.0006,0.2554
72,0.0969,34.0338,0.9756,0.0,0.0,0.002,PAGEIND,0.0015,0.0176
73,0.1788,67.2779,0.0,0.0,0.0,0.0,NAHARINDUS,0.8513,0.568
74,0.1637,57.9654,0.0,0.0,0.0,0.0,ASIANTILES,0.729,0.0826
75,0.2408,98.5954,0.0002,0.0,0.0,0.0,HERCULES,0.0051,0.7265
76,0.2347,95.3761,0.0039,0.0,0.0,0.0,PURVA,0.0055,0.7304
77,0.1473,54.1556,0.1172,0.0,0.0,0.0,DHANUKA,0.4111,0.0425
78,0.0861,30.0073,0.6027,0.0,0.0,0.0112,SKFINDIA,0.798,0.0713
79,0.19,70.4963,0.0,0.0,0.0,0.0,SAREGAMA,0.361,0.1403
80,0.1895,70.9555,0.0,0.0,0.0,0.0,KAMDHENU,0.0238,0.1982
81,0.1083,38.3787,0.0269,0.0,0.0,0.0,TATACOFFEE,0.3263,0.188
82,0.1997,76.1913,0.0,0.0,0.0,0.0,NELCAST,0.982,0.4038
83,0.0579,19.5256,0.4044,0.0,0.0,0.0465,NATCOPHARM,0.0011,0.393
84,0.1646,61.6417,0.015,0.0,0.0,0.0,TIMKEN,0.0128,0.1786
85,0.1561,57.4067,0.8796,0.0,0.0,0.0003,WHIRLPOOL,0.8555,0.0305
86,0.2601,65.5032,0.0042,0.0,0.0,0.0,GOODLUCK,0.0726,0.9629
87,0.1362,49.5133,0.0004,0.0,0.0,0.0,NBCC,0.5692,0.5862
88,0.1808,33.3892,0.1169,0.0,0.0,0.0001,SYNGENE,0.2542,0.356
89,0.0848,29.5291,0.0792,0.0,0.0,0.8831,DRREDDY,0.3293,0.8017
90,0.025,8.8859,0.3044,0.0,0.0,0.2624,SETFGOLD,0.3869,0.9809
91,0.2045,80.1214,0.4536,0.0,0.0,0.0,BAJAJFINSV,0.0423,0.0334
92,0.4355,238.415,0.0,0.0,0.0,0.0006,TATASTEEL,0.0,0.3702
93,0.1493,53.1589,0.0,0.0,0.0,0.0,JVLAGRO,0.3831,0.8778
94,0.0379,11.4272,0.6117,0.0,0.0,0.0653,ALPHAGEO,0.2449,0.0972
95,0.0411,11.8002,0.0403,0.0,0.0001,0.4531,MAANALU,0.121,0.1441
96,0.1132,40.1441,0.0013,0.0,0.0,0.0,INDNIPPON,0.1557,0.093
97,0.0696,21.676,0.3087,0.0,0.0,0.0,VINYLINDIA,0.012,0.1137
98,0.2036,79.6985,0.1699,0.0,0.0,0.0224,CGPOWER,0.295,0.9811
99,0.2416,97.7621,0.0,0.0,0.0,0.0,TIL,0.03,0.4379
100,0.1291,39.2156,0.0135,0.0,0.0,0.0,ROSSELLIND,0.2852,0.6421
101,0.317,75.3829,0.0027,0.0,0.0,0.0,SKIPPER,0.1583,0.77
102,0.044,13.163,0.3058,0.0,0.0005,0.0,MANGTIMBER,0.0997,0.4453
103,0.1569,52.6711,0.0001,0.0,0.0,0.0,TRF,0.0004,0.4257
104,0.135,49.0377,0.0116,0.0,0.0,0.0,NAVNETEDUL,0.1697,0.2548
105,0.1185,41.0214,0.0008,0.0,0.0,0.0,SPECIALITY,0.203,0.8315
106,0.2161,85.816,0.0,0.0,0.0,0.0,KCPSUGIND,0.9997,0.8591
107,0.1556,55.7658,0.0009,0.0,0.0,0.0,ROHLTD,0.0933,0.2999
108,0.0805,27.95,0.0013,0.0,0.0,0.0014,DAAWAT,0.6094,0.2546
109,0.0962,33.7427,0.0061,0.0,0.0,0.0,GMBREW,0.163,0.1016
110,0.134,48.6153,0.0,0.0,0.0,0.0,EMMBI,0.0773,0.0272
111,0.2498,103.4526,0.0013,0.0,0.0,0.0,TATAINVEST,0.6993,0.6834
112,0.2179,83.967,0.0,0.0,0.0,0.0,SUBEX,0.1222,0.669
113,0.0934,30.4687,0.0503,0.0,0.0,0.0,SAKUMA,0.0573,0.0519
114,0.1695,63.8153,0.0,0.0,0.0,0.007,LAXMIMACH,0.4743,0.1817
