Date,TRIL
2015-01-01,205.65
2015-01-02,206.45
2015-01-05,202.45
2015-01-06,192.9
2015-01-07,188.05
2015-01-08,201.85
2015-01-09,201.85
2015-01-12,206.85
2015-01-13,206.0
2015-01-14,206.5
2015-01-15,208.35
2015-01-16,207.95
2015-01-19,207.9
2015-01-20,206.75
2015-01-21,204.7
2015-01-22,205.4
2015-01-23,203.4
2015-01-27,207.1
2015-01-28,202.3
2015-01-29,199.55
2015-01-30,198.55
2015-02-02,204.4
2015-02-03,206.0
2015-02-04,199.15
2015-02-05,201.35
2015-02-06,197.2
2015-02-09,194.4
2015-02-10,192.95
2015-02-11,190.9
2015-02-12,194.0
2015-02-13,191.3
2015-02-16,195.95
2015-02-18,195.15
2015-02-19,194.55
2015-02-20,196.35
2015-02-23,192.75
2015-02-24,189.4
2015-02-25,187.75
2015-02-26,192.75
2015-02-27,190.25
2015-02-28,188.6
2015-03-02,189.35
2015-03-03,188.5
2015-03-04,184.4
2015-03-05,183.85
2015-03-09,178.6
2015-03-10,175.75
2015-03-11,170.15
2015-03-12,169.6
2015-03-13,172.75
2015-03-16,169.95
2015-03-17,170.1
2015-03-18,171.6
2015-03-19,168.3
2015-03-20,169.7
2015-03-23,166.85
2015-03-24,167.1
2015-03-25,172.1
2015-03-26,164.35
2015-03-27,166.85
2015-03-30,200.2
2015-03-31,228.85
2015-04-01,247.2
2015-04-06,265.3
2015-04-07,260.3
2015-04-08,253.05
2015-04-09,255.4
2015-04-10,252.3
2015-04-13,261.1
2015-04-15,260.55
2015-04-16,260.95
2015-04-17,259.35
2015-04-20,260.1
2015-04-21,258.9
2015-04-22,261.25
2015-04-23,260.6
2015-04-24,254.65
2015-04-27,243.9
2015-04-28,248.0
2015-04-29,242.7
2015-04-30,237.35
2015-05-04,243.7
2015-05-05,238.55
2015-05-06,229.95
2015-05-07,227.95
2015-05-08,238.15
2015-05-11,231.2
2015-05-12,237.05
2015-05-13,235.05
2015-05-14,263.05
2015-05-15,257.9
2015-05-18,260.9
2015-05-19,300.5
2015-05-20,292.0
2015-05-21,290.95
2015-05-22,277.15
2015-05-25,276.15
2015-05-26,278.0
2015-05-27,254.05
2015-05-28,247.95
2015-05-29,248.2
2015-06-01,258.8
2015-06-02,253.1
2015-06-03,237.4
2015-06-04,244.85
2015-06-05,243.9
2015-06-08,243.35
2015-06-09,243.7
2015-06-10,243.8
2015-06-11,241.75
2015-06-12,241.95
2015-06-15,237.2
2015-06-16,235.3
2015-06-17,239.5
2015-06-18,237.75
2015-06-19,240.25
2015-06-22,252.7
2015-06-23,258.1
2015-06-24,242.95
2015-06-25,240.5
2015-06-26,241.9
2015-06-29,240.3
2015-06-30,258.65
2015-07-01,249.7
2015-07-02,252.75
2015-07-03,252.5
2015-07-06,260.5
2015-07-07,267.25
2015-07-08,264.75
2015-07-09,278.5
2015-07-10,282.2
2015-07-13,282.65
2015-07-14,288.95
2015-07-15,296.05
2015-07-16,294.95
2015-07-17,287.65
2015-07-20,283.2
2015-07-21,277.45
2015-07-22,271.85
2015-07-23,269.65
2015-07-24,268.0
2015-07-27,267.5
2015-07-28,269.4
2015-07-29,267.5
2015-07-30,263.85
2015-07-31,264.95
2015-08-03,269.45
2015-08-04,266.8
2015-08-05,287.55
2015-08-06,283.45
2015-08-07,258.45
2015-08-10,245.3
2015-08-11,241.95
2015-08-12,235.45
2015-08-13,233.35
2015-08-14,229.25
2015-08-17,225.25
2015-08-18,214.35
2015-08-19,218.6
2015-08-20,214.4
2015-08-21,212.1
2015-08-24,193.0
2015-08-25,185.0
2015-08-26,188.4
2015-08-27,191.95
2015-08-28,196.9
2015-08-31,190.05
2015-09-01,179.35
2015-09-02,181.85
2015-09-03,184.2
2015-09-04,169.75
2015-09-07,166.25
2015-09-08,167.45
2015-09-09,176.7
2015-09-10,170.4
2015-09-11,175.35
2015-09-14,179.95
2015-09-15,181.7
2015-09-16,181.25
2015-09-18,187.55
2015-09-21,186.6
2015-09-22,189.0
2015-09-23,193.6
2015-09-24,191.8
2015-09-28,183.95
2015-09-29,180.25
2015-09-30,178.55
2015-10-01,181.8
2015-10-05,179.25
2015-10-06,180.05
2015-10-07,179.15
2015-10-08,180.1
2015-10-09,180.65
2015-10-12,177.45
2015-10-13,180.05
2015-10-14,185.55
2015-10-15,182.05
2015-10-16,178.1
2015-10-19,186.65
2015-10-20,209.5
2015-10-21,199.85
2015-10-23,195.35
2015-10-26,192.15
2015-10-27,184.8
2015-10-28,184.45
2015-10-29,181.35
2015-10-30,180.95
2015-11-02,184.75
2015-11-03,180.95
2015-11-04,177.7
2015-11-05,177.25
2015-11-06,175.8
2015-11-09,175.35
2015-11-10,174.9
2015-11-11,178.3
2015-11-13,179.1
2015-11-16,178.4
2015-11-17,176.2
2015-11-18,175.65
2015-11-19,183.65
2015-11-20,182.75
2015-11-23,182.95
2015-11-24,186.65
2015-11-26,184.9
2015-11-27,182.95
2015-11-30,184.75
2015-12-01,185.75
2015-12-02,190.75
2015-12-03,217.35
2015-12-04,242.05
2015-12-07,241.2
2015-12-08,237.45
2015-12-09,221.0
2015-12-10,237.35
2015-12-11,231.0
2015-12-14,228.4
2015-12-15,237.45
2015-12-16,245.55
2015-12-17,257.95
2015-12-18,277.3
2015-12-21,273.5
2015-12-22,268.6
2015-12-23,270.0
2015-12-24,267.15
2015-12-28,260.85
2015-12-29,260.35
2015-12-30,256.15
2015-12-31,271.55
