Date,L&TFH
2015-01-01,68.7
2015-01-02,69.2
2015-01-05,69.25
2015-01-06,66.0
2015-01-07,66.05
2015-01-08,67.05
2015-01-09,67.2
2015-01-12,67.6
2015-01-13,66.85
2015-01-14,66.35
2015-01-15,68.35
2015-01-16,68.7
2015-01-19,68.9
2015-01-20,68.65
2015-01-21,69.45
2015-01-22,71.55
2015-01-23,70.8
2015-01-27,70.05
2015-01-28,69.05
2015-01-29,68.7
2015-01-30,68.85
2015-02-02,70.8
2015-02-03,69.0
2015-02-04,68.2
2015-02-05,67.05
2015-02-06,66.55
2015-02-09,65.8
2015-02-10,64.85
2015-02-11,66.05
2015-02-12,66.85
2015-02-13,66.95
2015-02-16,67.1
2015-02-18,67.45
2015-02-19,67.15
2015-02-20,67.35
2015-02-23,67.0
2015-02-24,66.6
2015-02-25,66.05
2015-02-26,66.85
2015-02-27,67.15
2015-02-28,66.9
2015-03-02,67.55
2015-03-03,69.4
2015-03-04,68.0
2015-03-05,67.8
2015-03-09,67.05
2015-03-10,66.35
2015-03-11,65.9
2015-03-12,66.4
2015-03-13,65.2
2015-03-16,64.8
2015-03-17,65.4
2015-03-18,65.5
2015-03-19,65.25
2015-03-20,64.55
2015-03-23,64.05
2015-03-24,63.2
2015-03-25,62.75
2015-03-26,61.8
2015-03-27,61.35
2015-03-30,63.0
2015-03-31,62.8
2015-04-01,63.5
2015-04-06,63.7
2015-04-07,64.1
2015-04-08,64.85
2015-04-09,64.5
2015-04-10,65.55
2015-04-13,66.15
2015-04-15,64.9
2015-04-16,64.6
2015-04-17,64.25
2015-04-20,63.15
2015-04-21,63.2
2015-04-22,63.7
2015-04-23,66.25
2015-04-24,63.9
2015-04-27,63.1
2015-04-28,63.75
2015-04-29,64.0
2015-04-30,63.05
2015-05-04,63.95
2015-05-05,64.25
2015-05-06,62.6
2015-05-07,60.95
2015-05-08,62.1
2015-05-11,63.05
2015-05-12,62.1
2015-05-13,62.85
2015-05-14,63.8
2015-05-15,64.75
2015-05-18,65.55
2015-05-19,66.15
2015-05-20,65.65
2015-05-21,65.05
2015-05-22,64.45
2015-05-25,63.9
2015-05-26,63.75
2015-05-27,63.7
2015-05-28,63.7
2015-05-29,64.55
2015-06-01,63.6
2015-06-02,63.15
2015-06-03,61.5
2015-06-04,60.95
2015-06-05,60.9
2015-06-08,60.6
2015-06-09,60.3
2015-06-10,61.4
2015-06-11,60.25
2015-06-12,59.95
2015-06-15,60.3
2015-06-16,62.45
2015-06-17,62.1
2015-06-18,62.75
2015-06-19,63.05
2015-06-22,63.5
2015-06-23,63.25
2015-06-24,62.65
2015-06-25,63.15
2015-06-26,63.0
2015-06-29,64.3
2015-06-30,66.0
2015-07-01,66.75
2015-07-02,67.4
2015-07-03,67.05
2015-07-06,66.4
2015-07-07,72.1
2015-07-08,70.35
2015-07-09,70.95
2015-07-10,70.75
2015-07-13,70.9
2015-07-14,72.05
2015-07-15,71.75
2015-07-16,71.7
2015-07-17,72.5
2015-07-20,72.85
2015-07-21,71.85
2015-07-22,73.05
2015-07-23,71.55
2015-07-24,70.75
2015-07-27,69.5
2015-07-28,68.2
2015-07-29,68.4
2015-07-30,69.8
2015-07-31,70.8
2015-08-03,70.75
2015-08-04,71.15
2015-08-05,71.3
2015-08-06,70.3
2015-08-07,70.6
2015-08-10,70.2
2015-08-11,69.4
2015-08-12,68.0
2015-08-13,67.25
2015-08-14,68.95
2015-08-17,68.45
2015-08-18,68.65
2015-08-19,69.6
2015-08-20,66.6
2015-08-21,66.9
2015-08-24,59.7
2015-08-25,61.75
2015-08-26,62.2
2015-08-27,62.85
2015-08-28,64.0
2015-08-31,64.25
2015-09-01,62.75
2015-09-02,62.6
2015-09-03,63.65
2015-09-04,63.15
2015-09-07,62.35
2015-09-08,63.45
2015-09-09,63.9
2015-09-10,64.2
2015-09-11,64.05
2015-09-14,67.0
2015-09-15,66.65
2015-09-16,67.05
2015-09-18,68.8
2015-09-21,67.0
2015-09-22,65.85
2015-09-23,65.85
2015-09-24,65.6
2015-09-28,65.55
2015-09-29,65.3
2015-09-30,66.75
2015-10-01,67.2
2015-10-05,67.7
2015-10-06,67.8
2015-10-07,67.75
2015-10-08,68.1
2015-10-09,68.3
2015-10-12,68.05
2015-10-13,68.1
2015-10-14,68.55
2015-10-15,69.05
2015-10-16,68.7
2015-10-19,68.7
2015-10-20,68.85
2015-10-21,68.9
2015-10-23,68.55
2015-10-26,67.9
2015-10-27,67.8
2015-10-28,67.6
2015-10-29,67.15
2015-10-30,66.85
2015-11-02,66.35
2015-11-03,66.15
2015-11-04,66.75
2015-11-05,66.1
2015-11-06,65.1
2015-11-09,65.4
2015-11-10,64.95
2015-11-11,65.45
2015-11-13,64.75
2015-11-16,65.8
2015-11-17,65.6
2015-11-18,65.05
2015-11-19,65.2
2015-11-20,65.5
2015-11-23,65.2
2015-11-24,66.1
2015-11-26,66.0
2015-11-27,66.25
2015-11-30,66.7
2015-12-01,66.4
2015-12-02,65.45
2015-12-03,67.2
2015-12-04,68.4
2015-12-07,68.3
2015-12-08,67.55
2015-12-09,65.1
2015-12-10,65.25
2015-12-11,64.2
2015-12-14,64.45
2015-12-15,64.65
2015-12-16,64.5
2015-12-17,65.35
2015-12-18,64.9
2015-12-21,65.45
2015-12-22,64.7
2015-12-23,64.7
2015-12-24,66.55
2015-12-28,65.7
2015-12-29,65.85
2015-12-30,65.25
2015-12-31,65.15
