Date,GNFC
2015-01-01,82.4
2015-01-02,83.45
2015-01-05,83.65
2015-01-06,81.5
2015-01-07,84.05
2015-01-08,84.95
2015-01-09,84.55
2015-01-12,83.75
2015-01-13,84.85
2015-01-14,84.35
2015-01-15,83.95
2015-01-16,83.95
2015-01-19,85.15
2015-01-20,85.55
2015-01-21,90.45
2015-01-22,92.65
2015-01-23,90.4
2015-01-27,89.2
2015-01-28,87.35
2015-01-29,86.65
2015-01-30,86.6
2015-02-02,81.45
2015-02-03,81.85
2015-02-04,82.85
2015-02-05,81.65
2015-02-06,80.15
2015-02-09,78.55
2015-02-10,78.7
2015-02-11,79.5
2015-02-12,79.9
2015-02-13,80.0
2015-02-16,80.25
2015-02-18,82.65
2015-02-19,83.5
2015-02-20,82.4
2015-02-23,80.95
2015-02-24,81.05
2015-02-25,80.35
2015-02-26,79.8
2015-02-27,81.6
2015-02-28,80.15
2015-03-02,80.0
2015-03-03,80.1
2015-03-04,79.35
2015-03-05,78.5
2015-03-09,78.0
2015-03-10,76.8
2015-03-11,76.1
2015-03-12,76.35
2015-03-13,76.1
2015-03-16,74.8
2015-03-17,73.95
2015-03-18,72.55
2015-03-19,72.7
2015-03-20,71.8
2015-03-23,70.05
2015-03-24,69.1
2015-03-25,67.4
2015-03-26,66.95
2015-03-27,66.4
2015-03-30,67.7
2015-03-31,68.1
2015-04-01,73.6
2015-04-06,71.6
2015-04-07,75.9
2015-04-08,75.75
2015-04-09,74.05
2015-04-10,74.75
2015-04-13,75.25
2015-04-15,74.4
2015-04-16,73.75
2015-04-17,73.5
2015-04-20,72.2
2015-04-21,71.8
2015-04-22,71.7
2015-04-23,71.15
2015-04-24,70.9
2015-04-27,70.15
2015-04-28,70.05
2015-04-29,70.45
2015-04-30,69.75
2015-05-04,70.35
2015-05-05,70.55
2015-05-06,69.05
2015-05-07,67.7
2015-05-08,69.3
2015-05-11,69.25
2015-05-12,68.2
2015-05-13,68.45
2015-05-14,68.45
2015-05-15,68.95
2015-05-18,69.2
2015-05-19,70.6
2015-05-20,70.3
2015-05-21,70.05
2015-05-22,69.4
2015-05-25,68.7
2015-05-26,68.55
2015-05-27,67.9
2015-05-28,68.8
2015-05-29,64.65
2015-06-01,64.1
2015-06-02,63.65
2015-06-03,60.75
2015-06-04,60.05
2015-06-05,60.7
2015-06-08,59.75
2015-06-09,60.0
2015-06-10,59.85
2015-06-11,59.3
2015-06-12,59.1
2015-06-15,58.6
2015-06-16,57.6
2015-06-17,59.4
2015-06-18,60.7
2015-06-19,61.45
2015-06-22,62.1
2015-06-23,61.75
2015-06-24,61.65
2015-06-25,61.65
2015-06-26,60.5
2015-06-29,58.85
2015-06-30,58.85
2015-07-01,60.7
2015-07-02,60.05
2015-07-03,60.4
2015-07-06,59.6
2015-07-07,59.95
2015-07-08,61.15
2015-07-09,62.25
2015-07-10,61.3
2015-07-13,61.45
2015-07-14,61.75
2015-07-15,61.1
2015-07-16,61.35
2015-07-17,62.45
2015-07-20,63.45
2015-07-21,62.75
2015-07-22,63.25
2015-07-23,64.8
2015-07-24,64.45
2015-07-27,63.6
2015-07-28,62.75
2015-07-29,62.6
2015-07-30,63.65
2015-07-31,64.35
2015-08-03,63.5
2015-08-04,63.85
2015-08-05,65.3
2015-08-06,67.0
2015-08-07,67.05
2015-08-10,69.1
2015-08-11,69.65
2015-08-12,64.8
2015-08-13,64.05
2015-08-14,64.05
2015-08-17,63.2
2015-08-18,63.25
2015-08-19,62.45
2015-08-20,61.6
2015-08-21,60.5
2015-08-24,54.1
2015-08-25,54.85
2015-08-26,54.95
2015-08-27,58.7
2015-08-28,58.6
2015-08-31,58.7
2015-09-01,57.95
2015-09-02,58.35
2015-09-03,57.2
2015-09-04,56.95
2015-09-07,55.85
2015-09-08,56.3
2015-09-09,56.65
2015-09-10,56.25
2015-09-11,56.4
2015-09-14,56.9
2015-09-15,57.45
2015-09-16,57.3
2015-09-18,56.95
2015-09-21,58.25
2015-09-22,56.65
2015-09-23,58.0
2015-09-24,57.9
2015-09-28,58.9
2015-09-29,58.45
2015-09-30,57.9
2015-10-01,57.85
2015-10-05,58.65
2015-10-06,59.0
2015-10-07,59.85
2015-10-08,61.05
2015-10-09,61.6
2015-10-12,63.4
2015-10-13,62.45
2015-10-14,61.1
2015-10-15,61.0
2015-10-16,61.1
2015-10-19,61.05
2015-10-20,61.1
2015-10-21,61.05
2015-10-23,59.6
2015-10-26,60.2
2015-10-27,61.05
2015-10-28,62.3
2015-10-29,61.35
2015-10-30,61.15
2015-11-02,61.5
2015-11-03,63.15
2015-11-04,73.25
2015-11-05,69.6
2015-11-06,76.2
2015-11-09,74.3
2015-11-10,73.45
2015-11-11,75.2
2015-11-13,73.5
2015-11-16,72.2
2015-11-17,76.7
2015-11-18,77.55
2015-11-19,78.65
2015-11-20,80.1
2015-11-23,78.85
2015-11-24,78.65
2015-11-26,78.25
2015-11-27,76.7
2015-11-30,76.2
2015-12-01,78.25
2015-12-02,77.1
2015-12-03,77.95
2015-12-04,77.7
2015-12-07,78.05
2015-12-08,77.95
2015-12-09,75.0
2015-12-10,76.5
2015-12-11,75.1
2015-12-14,78.35
2015-12-15,78.4
2015-12-16,78.45
2015-12-17,78.65
2015-12-18,77.6
2015-12-21,77.6
2015-12-22,77.0
2015-12-23,77.7
2015-12-24,77.2
2015-12-28,77.05
2015-12-29,77.9
2015-12-30,77.0
2015-12-31,80.9
