Date,JYOTISTRUC
2015-01-01,41.05
2015-01-02,41.9
2015-01-05,41.1
2015-01-06,39.25
2015-01-07,38.95
2015-01-08,39.95
2015-01-09,39.35
2015-01-12,39.25
2015-01-13,38.85
2015-01-14,38.8
2015-01-15,39.4
2015-01-16,39.15
2015-01-19,38.9
2015-01-20,38.95
2015-01-21,38.35
2015-01-22,36.8
2015-01-23,36.8
2015-01-27,36.8
2015-01-28,36.4
2015-01-29,36.15
2015-01-30,36.35
2015-02-02,36.5
2015-02-03,35.9
2015-02-04,35.95
2015-02-05,34.85
2015-02-06,33.3
2015-02-09,31.95
2015-02-10,30.25
2015-02-11,31.5
2015-02-12,32.05
2015-02-13,33.45
2015-02-16,32.55
2015-02-18,35.4
2015-02-19,34.75
2015-02-20,35.25
2015-02-23,34.05
2015-02-24,33.4
2015-02-25,33.5
2015-02-26,33.45
2015-02-27,34.6
2015-02-28,33.05
2015-03-02,32.45
2015-03-03,33.65
2015-03-04,32.05
2015-03-05,32.2
2015-03-09,31.95
2015-03-10,31.0
2015-03-11,30.6
2015-03-12,30.8
2015-03-13,29.9
2015-03-16,29.2
2015-03-17,28.7
2015-03-18,27.9
2015-03-19,27.4
2015-03-20,26.5
2015-03-23,25.7
2015-03-24,24.9
2015-03-25,24.25
2015-03-26,25.65
2015-03-27,24.85
2015-03-30,26.0
2015-03-31,25.65
2015-04-01,27.4
2015-04-06,29.05
2015-04-07,28.95
2015-04-08,29.1
2015-04-09,28.95
2015-04-10,32.3
2015-04-13,32.65
2015-04-15,31.75
2015-04-16,31.2
2015-04-17,31.0
2015-04-20,29.3
2015-04-21,29.05
2015-04-22,29.15
2015-04-23,28.8
2015-04-24,28.05
2015-04-27,27.05
2015-04-28,27.2
2015-04-29,27.55
2015-04-30,27.2
2015-05-04,28.7
2015-05-05,28.15
2015-05-06,27.1
2015-05-07,26.2
2015-05-08,27.1
2015-05-11,27.25
2015-05-12,26.15
2015-05-13,26.45
2015-05-14,26.25
2015-05-15,26.45
2015-05-18,27.1
2015-05-19,27.35
2015-05-20,27.1
2015-05-21,26.15
2015-05-22,26.2
2015-05-25,25.7
2015-05-26,25.5
2015-05-27,25.25
2015-05-28,24.95
2015-05-29,25.55
2015-06-01,24.6
2015-06-02,23.95
2015-06-03,23.25
2015-06-04,22.65
2015-06-05,22.5
2015-06-08,21.55
2015-06-09,23.45
2015-06-10,23.1
2015-06-11,21.9
2015-06-12,21.15
2015-06-15,21.7
2015-06-16,21.85
2015-06-17,22.15
2015-06-18,24.45
2015-06-19,27.35
2015-06-22,25.95
2015-06-23,24.75
2015-06-24,24.95
2015-06-25,25.3
2015-06-26,24.95
2015-06-29,23.85
2015-06-30,24.35
2015-07-01,25.2
2015-07-02,24.85
2015-07-03,25.45
2015-07-06,25.45
2015-07-07,26.25
2015-07-08,25.6
2015-07-09,26.1
2015-07-10,25.6
2015-07-13,25.8
2015-07-14,25.5
2015-07-15,25.8
2015-07-16,25.9
2015-07-17,27.45
2015-07-20,27.85
2015-07-21,26.35
2015-07-22,26.8
2015-07-23,26.75
2015-07-24,27.65
2015-07-27,26.45
2015-07-28,26.25
2015-07-29,27.1
2015-07-30,27.4
2015-07-31,27.3
2015-08-03,27.1
2015-08-04,26.85
2015-08-05,27.35
2015-08-06,27.3
2015-08-07,26.95
2015-08-10,26.5
2015-08-11,25.75
2015-08-12,24.05
2015-08-13,22.05
2015-08-14,17.65
2015-08-17,15.9
2015-08-18,14.35
2015-08-19,12.95
2015-08-20,13.55
2015-08-21,13.15
2015-08-24,12.5
2015-08-25,12.05
2015-08-26,12.0
2015-08-27,12.6
2015-08-28,12.45
2015-08-31,12.8
2015-09-01,12.2
2015-09-02,12.0
2015-09-03,12.1
2015-09-04,11.6
2015-09-07,11.0
2015-09-08,11.15
2015-09-09,12.25
2015-09-10,13.4
2015-09-11,14.7
2015-09-14,15.4
2015-09-15,15.0
2015-09-16,14.7
2015-09-18,14.7
2015-09-21,14.8
2015-09-22,14.3
2015-09-23,14.5
2015-09-24,14.35
2015-09-28,14.05
2015-09-29,14.0
2015-09-30,13.7
2015-10-01,13.2
2015-10-05,13.4
2015-10-06,13.95
2015-10-07,15.05
2015-10-08,15.4
2015-10-09,15.6
2015-10-12,15.6
2015-10-13,15.7
2015-10-14,15.55
2015-10-15,17.1
2015-10-16,18.15
2015-10-19,17.65
2015-10-20,17.25
2015-10-21,17.35
2015-10-23,17.25
2015-10-26,16.65
2015-10-27,16.15
2015-10-28,16.0
2015-10-29,16.2
2015-10-30,16.1
2015-11-02,15.3
2015-11-03,15.25
2015-11-04,15.05
2015-11-05,14.45
2015-11-06,13.5
2015-11-09,13.1
2015-11-10,13.15
2015-11-11,13.8
2015-11-13,13.1
2015-11-16,13.15
2015-11-17,13.25
2015-11-18,13.2
2015-11-19,13.3
2015-11-20,13.3
2015-11-23,13.1
2015-11-24,13.25
2015-11-26,15.9
2015-11-27,18.0
2015-11-30,19.05
2015-12-01,17.75
2015-12-02,19.0
2015-12-03,19.0
2015-12-04,18.1
2015-12-07,17.35
2015-12-08,16.95
2015-12-09,15.8
2015-12-10,16.95
2015-12-11,16.3
2015-12-14,16.75
2015-12-15,16.9
2015-12-16,16.9
2015-12-17,17.2
2015-12-18,17.55
2015-12-21,17.45
2015-12-22,17.1
2015-12-23,16.8
2015-12-24,16.85
2015-12-28,16.8
2015-12-29,16.7
2015-12-30,16.5
2015-12-31,16.15
