Date,BVCL
2015-01-01,12.75
2015-01-02,13.3
2015-01-05,13.85
2015-01-06,13.4
2015-01-07,13.0
2015-01-08,13.5
2015-01-09,12.95
2015-01-12,13.95
2015-01-13,14.0
2015-01-14,13.25
2015-01-15,14.0
2015-01-16,13.35
2015-01-19,13.3
2015-01-20,14.15
2015-01-21,14.15
2015-01-22,13.65
2015-01-23,13.4
2015-01-27,12.8
2015-01-28,13.4
2015-01-29,14.25
2015-01-30,14.8
2015-02-02,14.1
2015-02-03,14.3
2015-02-04,14.15
2015-02-05,13.8
2015-02-06,13.0
2015-02-09,12.8
2015-02-10,13.0
2015-02-11,13.0
2015-02-12,12.6
2015-02-13,12.65
2015-02-16,14.8
2015-02-18,14.05
2015-02-19,14.5
2015-02-20,14.25
2015-02-23,14.5
2015-02-24,14.15
2015-02-25,14.45
2015-02-26,13.95
2015-02-27,15.0
2015-02-28,15.7
2015-03-02,16.25
2015-03-03,16.45
2015-03-04,17.6
2015-03-05,21.1
2015-03-09,20.65
2015-03-10,21.55
2015-03-11,21.2
2015-03-12,19.75
2015-03-13,18.85
2015-03-16,17.0
2015-03-17,17.6
2015-03-18,17.6
2015-03-19,16.65
2015-03-20,17.25
2015-03-23,17.0
2015-03-24,15.45
2015-03-25,15.7
2015-03-26,16.4
2015-03-27,16.4
2015-03-30,16.9
2015-03-31,16.1
2015-04-01,17.7
2015-04-06,18.05
2015-04-07,18.2
2015-04-08,18.25
2015-04-09,18.5
2015-04-10,17.8
2015-04-13,18.1
2015-04-15,17.75
2015-04-16,18.0
2015-04-17,18.0
2015-04-20,16.9
2015-04-21,16.5
2015-04-22,16.95
2015-04-23,16.9
2015-04-24,16.75
2015-04-27,17.2
2015-04-28,16.7
2015-04-29,16.7
2015-04-30,16.4
2015-05-04,17.4
2015-05-05,17.8
2015-05-06,16.2
2015-05-07,15.3
2015-05-08,17.0
2015-05-11,17.95
2015-05-12,17.3
2015-05-13,20.75
2015-05-14,22.25
2015-05-15,20.05
2015-05-18,18.5
2015-05-19,19.0
2015-05-20,19.1
2015-05-21,18.3
2015-05-22,17.95
2015-05-25,17.3
2015-05-26,17.0
2015-05-27,17.0
2015-05-28,17.5
2015-05-29,16.6
2015-06-01,15.1
2015-06-02,15.2
2015-06-03,14.5
2015-06-04,14.7
2015-06-05,15.05
2015-06-08,14.5
2015-06-09,15.2
2015-06-10,14.9
2015-06-11,15.25
2015-06-12,15.35
2015-06-15,15.0
2015-06-16,14.55
2015-06-17,14.2
2015-06-18,14.6
2015-06-19,14.55
2015-06-22,14.5
2015-06-23,14.35
2015-06-24,14.8
2015-06-25,14.95
2015-06-26,15.2
2015-06-29,14.5
2015-06-30,14.3
2015-07-01,14.75
2015-07-02,15.35
2015-07-03,16.6
2015-07-06,16.85
2015-07-07,18.0
2015-07-08,17.1
2015-07-09,16.85
2015-07-10,17.15
2015-07-13,16.75
2015-07-14,16.85
2015-07-15,18.2
2015-07-16,17.2
2015-07-17,17.4
2015-07-20,18.0
2015-07-21,17.5
2015-07-22,17.15
2015-07-23,17.2
2015-07-24,16.8
2015-07-27,16.5
2015-07-28,16.5
2015-07-29,17.0
2015-07-30,17.15
2015-07-31,18.0
2015-08-03,18.1
2015-08-04,17.95
2015-08-05,18.05
2015-08-06,17.6
2015-08-07,18.0
2015-08-10,17.35
2015-08-11,17.15
2015-08-12,17.0
2015-08-13,17.4
2015-08-14,18.1
2015-08-17,17.1
2015-08-18,17.7
2015-08-19,17.25
2015-08-20,16.75
2015-08-21,15.9
2015-08-24,13.55
2015-08-25,12.55
2015-08-26,12.95
2015-08-27,14.2
2015-08-28,15.15
2015-08-31,16.7
2015-09-01,16.1
2015-09-02,15.65
2015-09-03,15.5
2015-09-04,15.0
2015-09-07,14.9
2015-09-08,14.7
2015-09-09,14.95
2015-09-10,14.8
2015-09-11,15.7
2015-09-14,15.0
2015-09-15,15.95
2015-09-16,15.3
2015-09-18,15.05
2015-09-21,14.95
2015-09-22,15.7
2015-09-23,16.3
2015-09-24,16.3
2015-09-28,16.2
2015-09-29,15.5
2015-09-30,16.75
2015-10-01,16.2
2015-10-05,16.1
2015-10-06,16.4
2015-10-07,16.35
2015-10-08,16.75
2015-10-09,16.35
2015-10-12,16.15
2015-10-13,16.25
2015-10-14,16.9
2015-10-15,17.45
2015-10-16,17.7
2015-10-19,16.95
2015-10-20,17.15
2015-10-21,16.45
2015-10-23,16.7
2015-10-26,18.6
2015-10-27,17.5
2015-10-28,17.85
2015-10-29,16.75
2015-10-30,17.25
2015-11-02,16.7
2015-11-03,17.65
2015-11-04,16.85
2015-11-05,16.35
2015-11-06,16.7
2015-11-09,16.2
2015-11-10,15.6
2015-11-11,16.8
2015-11-13,15.85
2015-11-16,15.95
2015-11-18,15.6
2015-11-19,16.0
2015-11-20,15.85
2015-11-23,16.1
2015-11-24,16.15
2015-11-26,16.5
2015-11-27,16.55
2015-11-30,16.1
2015-12-01,16.45
2015-12-02,16.6
2015-12-03,16.0
2015-12-04,15.0
2015-12-07,15.15
2015-12-08,15.0
2015-12-09,14.8
2015-12-10,14.9
2015-12-11,15.4
2015-12-14,15.15
2015-12-15,15.35
2015-12-16,15.25
2015-12-17,16.35
2015-12-18,19.6
2015-12-21,19.25
2015-12-22,17.8
2015-12-23,18.25
2015-12-24,18.05
2015-12-28,18.0
2015-12-29,18.25
2015-12-30,18.3
2015-12-31,18.45
